ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.852188,4.936976,14.024891,1.593341,2.862045,3.332128,0.869044,0.490815,-0.850833,32.7188,-8.9758,-28.4764,5,2020-06-14 11:36:38:807
3.852188,4.936976,14.024891,1.593341,2.862045,3.332128,0.869044,0.490815,-0.850833,32.7188,-8.9758,-28.4764,14,2020-06-14 11:36:38:816
3.852188,4.936976,14.024891,2.390234,2.846819,4.614812,0.399379,0.91575,-0.810363,33.6869,-9.076,-27.5181,25,2020-06-14 11:36:38:827
2.989808,4.596815,13.787736,2.390234,2.846819,4.614812,0.399379,0.91575,-0.810363,33.6869,-9.076,-27.5181,35,2020-06-14 11:36:38:837
2.989808,4.596815,13.787736,2.390234,2.846819,4.614812,0.399379,0.91575,-0.810363,33.6869,-9.076,-27.5181,45,2020-06-14 11:36:38:847
2.853265,3.789531,14.463267,2.058419,1.888231,4.900505,0.236434,0.507855,-0.543048,34.6942,-9.102,-26.4833,55,2020-06-14 11:36:38:857
2.853265,3.789531,14.463267,2.058419,1.888231,4.900505,0.236434,0.507855,-0.543048,34.6942,-9.102,-26.4833,65,2020-06-14 11:36:38:867
2.853265,3.789531,14.463267,2.058419,1.888231,4.900505,0.236434,0.507855,-0.543048,34.6942,-9.102,-26.4833,75,2020-06-14 11:36:38:877
2.920339,3.669756,14.626161,2.086533,1.35038,5.207099,0.637939,-0.36864,-0.320463,34.6942,-9.102,-26.4833,85,2020-06-14 11:36:38:887
2.920339,3.669756,14.626161,2.086533,1.35038,5.207099,0.637939,-0.36864,-0.320463,35.4918,-8.5332,-25.8862,94,2020-06-14 11:36:38:896
2.920339,3.669756,14.626161,2.086533,1.35038,5.207099,0.637939,-0.36864,-0.320463,35.4918,-8.5332,-25.8862,105,2020-06-14 11:36:38:907
2.996995,2.654064,12.563636,2.086533,1.35038,5.207099,0.637939,-0.36864,-0.320463,35.4918,-8.5332,-25.8862,115,2020-06-14 11:36:38:917
2.996995,2.654064,12.563636,2.070799,0.138362,3.398129,0.856264,-0.8202,-0.197988,35.3315,-8.5605,-25.5771,125,2020-06-14 11:36:38:927
2.996995,2.654064,12.563636,2.070799,0.138362,3.398129,0.856264,-0.8202,-0.197988,35.3315,-8.5605,-25.5771,135,2020-06-14 11:36:38:937
2.726303,2.115077,11.856963,2.070799,0.138362,3.398129,0.856264,-0.8202,-0.197988,35.3315,-8.5605,-25.5771,145,2020-06-14 11:36:38:947
2.726303,2.115077,11.856963,1.535227,-0.687946,2.560632,0.389794,-0.465555,0.108732,35.3315,-8.5605,-25.5771,155,2020-06-14 11:36:38:957
2.726303,2.115077,11.856963,1.535227,-0.687946,2.560632,0.389794,-0.465555,0.108732,35.0128,-8.8206,-25.9626,165,2020-06-14 11:36:38:967
3.157493,2.242038,12.091722,1.535227,-0.687946,2.560632,0.389794,-0.465555,0.108732,35.0128,-8.8206,-25.9626,175,2020-06-14 11:36:38:977
3.157493,2.242038,12.091722,1.646987,-0.612723,2.861763,0.116089,-0.25149,0.021402,35.0128,-8.8206,-25.9626,185,2020-06-14 11:36:38:987
2.362187,2.445656,12.637896,1.646987,-0.612723,2.861763,0.116089,-0.25149,0.021402,34.8579,-9.279,-26.1498,194,2020-06-14 11:36:38:996
2.362187,2.445656,12.637896,1.646987,-0.612723,2.861763,0.116089,-0.25149,0.021402,34.8579,-9.279,-26.1498,206,2020-06-14 11:36:39:008
2.362187,2.445656,12.637896,1.646987,-0.612723,2.861763,0.116089,-0.25149,0.021402,34.8579,-9.279,-26.1498,215,2020-06-14 11:36:39:017
1.703425,2.546267,12.879842,0.554761,-0.451462,3.478276,0.011719,-0.192915,-0.062733,34.1402,-9.7587,-25.9924,225,2020-06-14 11:36:39:027
