ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.294422,-5.160057,12.961288,0.559505,-1.308873,3.876243,-1.481411,-0.01719,0.016077,-31.234,13.9723,-26.8655,5,2020-06-14 11:39:16:636
-0.294422,-5.160057,12.961288,0.559505,-1.308873,3.876243,-1.481411,-0.01719,0.016077,-30.7051,16.5566,-26.0525,15,2020-06-14 11:39:16:646
-0.445339,-5.322951,14.911225,0.559505,-1.308873,3.876243,-0.918026,-0.838305,-0.104268,-30.7051,16.5566,-26.0525,25,2020-06-14 11:39:16:656
-0.445339,-5.322951,14.911225,0.181423,-1.349237,5.879224,-0.918026,-0.838305,-0.104268,-30.7051,16.5566,-26.0525,37,2020-06-14 11:39:16:668
-0.445339,-5.322951,14.911225,0.181423,-1.349237,5.879224,-0.918026,-0.838305,-0.104268,-30.6046,18.0886,-25.2252,45,2020-06-14 11:39:16:676
-0.445339,-4.74324,13.8069,0.181423,-1.349237,5.879224,-0.511196,-0.51135,-0.015873,-30.6046,18.0886,-25.2252,54,2020-06-14 11:39:16:685
-0.445339,-4.74324,13.8069,0.268604,-0.293975,4.080808,-0.511196,-0.51135,-0.015873,-30.6046,18.0886,-25.2252,66,2020-06-14 11:39:16:697
-0.445339,-4.74324,13.8069,0.268604,-0.293975,4.080808,-0.511196,-0.51135,-0.015873,-30.6046,18.0886,-25.2252,75,2020-06-14 11:39:16:706
0.606286,-4.38631,12.961288,0.268604,-0.293975,4.080808,-0.940391,-0.23019,0.055482,-31.4971,18.6929,-24.0416,85,2020-06-14 11:39:16:716
0.606286,-4.38631,12.961288,1.258527,0.158865,4.868519,-0.940391,-0.23019,0.055482,-31.4971,18.6929,-24.0416,96,2020-06-14 11:39:16:727
0.606286,-4.38631,12.961288,1.258527,0.158865,4.868519,-0.940391,-0.23019,0.055482,-31.4971,18.6929,-24.0416,105,2020-06-14 11:39:16:736
0.968006,-4.283304,14.544714,1.258527,0.158865,4.868519,-1.085231,-0.077895,-0.065928,-31.7275,19.4061,-23.3001,119,2020-06-14 11:39:16:750
0.968006,-4.283304,14.544714,1.141401,0.430642,5.956284,-1.085231,-0.077895,-0.065928,-31.7275,19.4061,-23.3001,125,2020-06-14 11:39:16:756
0.968006,-4.283304,14.544714,1.141401,0.430642,5.956284,-1.085231,-0.077895,-0.065928,-31.7275,19.4061,-23.3001,136,2020-06-14 11:39:16:767
-0.064454,-4.716889,14.789055,1.141401,0.430642,5.956284,-1.085231,-0.077895,-0.065928,-31.7275,19.4061,-23.3001,145,2020-06-14 11:39:16:776
-0.064454,-4.716889,14.789055,1.141401,0.430642,5.956284,-0.909506,-0.06831,-0.161778,-32.0827,20.4075,-22.7967,155,2020-06-14 11:39:16:786
-0.064454,-4.716889,14.789055,0.263975,0.281836,6.373017,-0.909506,-0.06831,-0.161778,-32.0827,20.4075,-22.7967,165,2020-06-14 11:39:16:796
0.302057,-4.728867,16.094603,0.263975,0.281836,6.373017,-0.909506,-0.06831,-0.161778,-32.0827,20.4075,-22.7967,175,2020-06-14 11:39:16:806
0.302057,-4.728867,16.094603,0.575516,0.431832,7.462262,-0.624086,0.00411,-0.042498,-32.0827,20.4075,-22.7967,187,2020-06-14 11:39:16:818
0.302057,-4.728867,16.094603,0.575516,0.431832,7.462262,-0.624086,0.00411,-0.042498,-32.3133,21.1133,-22.3843,194,2020-06-14 11:39:16:825
1.03508,-4.460571,15.586757,0.575516,0.431832,7.462262,-0.624086,0.00411,-0.042498,-32.3133,21.1133,-22.3843,205,2020-06-14 11:39:16:836
1.03508,-4.460571,15.586757,1.369159,0.782926,5.698118,-0.624086,0.00411,-0.042498,-32.3133,21.1133,-22.3843,216,2020-06-14 11:39:16:847
0.759598,-4.585137,12.829536,1.369159,0.782926,5.698118,-0.459011,0.61542,-0.197988,-32.6593,21.4153,-22.1403,225,2020-06-14 11:39:16:856
0.759598,-4.585137,12.829536,1.369159,0.782926,5.698118,-0.459011,0.61542,-0.197988,-32.6593,21.4153,-22.1403,235,2020-06-14 11:39:16:866
0.759598,-4.585137,12.829536,1.369159,0.782926,5.698118,-0.459011,0.61542,-0.197988,-32.6593,21.4153,-22.1403,245,2020-06-14 11:39:16:876
0.369131,-5.169639,11.871336,1.035433,0.49202,3.441472,-0.826436,0.558975,-0.311943,-32.3221,21.7802,-21.9501,255,2020-06-14 11:39:16:886
0.369131,-5.169639,11.871336,1.035433,0.49202,3.441472,-0.826436,0.558975,-0.311943,-32.3221,21.7802,-21.9501,266,2020-06-14 11:39:16:897
0.369131,-5.169639,11.871336,1.035433,0.49202,3.441472,-0.826436,0.558975,-0.311943,-32.3221,21.7802,-21.9501,275,2020-06-14 11:39:16:906
-1.178362,-6.70755,14.662093,-0.417314,-0.826317,5.558652,-0.781706,0.017955,-0.125568,-32.3221,21.7802,-21.9501,285,2020-06-14 11:39:16:916
-1.178362,-6.70755,14.662093,-0.417314,-0.826317,5.558652,-0.781706,0.017955,-0.125568,-31.7383,21.7779,-21.7131,294,2020-06-14 11:39:16:925
-1.178362,-6.70755,14.662093,-0.417314,-0.826317,5.558652,-0.781706,0.017955,-0.125568,-31.7383,21.7779,-21.7131,305,2020-06-14 11:39:16:936
-0.629792,-6.834511,17.100712,-0.245968,-0.992412,9.156909,-0.047921,0.51957,-0.004158,-31.7383,21.7779,-21.7131,315,2020-06-14 11:39:16:946
-0.629792,-6.834511,17.100712,-0.245968,-0.992412,9.156909,-0.047921,0.51957,-0.004158,-31.7383,21.7779,-21.7131,325,2020-06-14 11:39:16:956
-0.629792,-6.834511,17.100712,-0.245968,-0.992412,9.156909,-0.047921,0.51957,-0.004158,-31.9999,21.8102,-21.2508,335,2020-06-14 11:39:16:966
-1.010677,-6.903981,13.382896,-0.261988,-1.06671,5.228773,0.488839,0.53448,0.006492,-31.9999,21.8102,-21.2508,345,2020-06-14 11:39:16:976
-1.010677,-6.903981,13.382896,-0.261988,-1.06671,5.228773,0.488839,0.53448,0.006492,-31.9999,21.8102,-21.2508,355,2020-06-14 11:39:16:986
-1.154407,-6.56382,11.873732,-0.261988,-1.06671,5.228773,0.488839,0.53448,0.006492,-31.9999,21.8102,-21.2508,365,2020-06-14 11:39:16:996
-1.154407,-6.56382,11.873732,-0.261988,-1.06671,5.228773,0.488839,0.53448,0.006492,-31.9999,21.8102,-21.2508,375,2020-06-14 11:39:17:006
-1.154407,-6.56382,11.873732,-0.304985,-0.754561,3.422571,0.778519,-0.148185,0.016077,-31.6438,22.238,-21.4876,385,2020-06-14 11:39:17:016
-0.500435,-6.190122,12.108491,-0.304985,-0.754561,3.422571,0.778519,-0.148185,0.016077,-31.6438,22.238,-21.4876,395,2020-06-14 11:39:17:026
-0.500435,-6.190122,12.108491,-0.304985,-0.754561,3.422571,0.778519,-0.148185,0.016077,-31.6438,22.238,-21.4876,405,2020-06-14 11:39:17:036
-0.857365,-6.161376,11.804262,-0.304985,-0.754561,3.422571,0.891409,-0.01506,-0.041433,-31.4559,21.6885,-22.271,415,2020-06-14 11:39:17:046
-0.857365,-6.161376,11.804262,-0.111804,-0.771102,3.135467,0.891409,-0.01506,-0.041433,-31.4559,21.6885,-22.271,425,2020-06-14 11:39:17:056
-0.857365,-6.161376,11.804262,-0.111804,-0.771102,3.135467,0.891409,-0.01506,-0.041433,-31.4559,21.6885,-22.271,435,2020-06-14 11:39:17:066
-1.295741,-6.336247,11.186223,-0.111804,-0.771102,3.135467,0.891409,-0.01506,-0.041433,-31.4559,21.6885,-22.271,445,2020-06-14 11:39:17:076
-1.295741,-6.336247,11.186223,-0.507576,-1.232562,2.308074,0.996844,0.162795,0.166242,-31.3609,20.6033,-22.6007,455,2020-06-14 11:39:17:086
-1.295741,-6.336247,11.186223,-0.507576,-1.232562,2.308074,0.996844,0.162795,0.166242,-31.3609,20.6033,-22.6007,465,2020-06-14 11:39:17:096
-0.421384,-5.785282,10.30947,-0.054137,-1.010239,1.667435,1.252444,-0.10239,0.238662,-31.3609,20.6033,-22.6007,476,2020-06-14 11:39:17:107
-0.421384,-5.785282,10.30947,-0.054137,-1.010239,1.667435,1.252444,-0.10239,0.238662,-31.3609,20.6033,-22.6007,485,2020-06-14 11:39:17:116
-0.421384,-5.785282,10.30947,-0.054137,-1.010239,1.667435,1.252444,-0.10239,0.238662,-31.3467,19.5329,-23.1249,495,2020-06-14 11:39:17:126
-0.601046,-5.169639,9.224309,-0.054137,-1.010239,1.667435,1.252444,-0.10239,0.238662,-31.3467,19.5329,-23.1249,505,2020-06-14 11:39:17:136
-0.601046,-5.169639,9.224309,0.201531,-0.710356,-0.062881,1.070329,-0.14712,0.033117,-31.3467,19.5329,-23.1249,515,2020-06-14 11:39:17:146
-0.601046,-5.169639,9.224309,0.201531,-0.710356,-0.062881,1.070329,-0.14712,0.033117,-31.3467,19.5329,-23.1249,524,2020-06-14 11:39:17:155
-1.69579,-5.069028,8.893729,0.201531,-0.710356,-0.062881,1.070329,-0.14712,0.033117,-31.2182,18.9135,-23.8107,535,2020-06-14 11:39:17:166
-1.69579,-5.069028,8.893729,-1.039161,-0.912885,-0.7221,0.978739,-0.129015,0.093822,-31.2182,18.9135,-23.8107,545,2020-06-14 11:39:17:176
-1.69579,-5.069028,8.893729,-1.039161,-0.912885,-0.7221,0.978739,-0.129015,0.093822,-31.2182,18.9135,-23.8107,555,2020-06-14 11:39:17:186
-2.076674,-5.409189,6.922233,-1.405606,-1.556698,-2.787011,0.978739,-0.129015,0.093822,-31.8339,18.3155,-23.9798,566,2020-06-14 11:39:17:197
-2.076674,-5.409189,6.922233,-1.405606,-1.556698,-2.787011,0.319504,-0.680685,0.349422,-31.8339,18.3155,-23.9798,575,2020-06-14 11:39:17:206
-2.076674,-5.409189,6.922233,-1.405606,-1.556698,-2.787011,0.319504,-0.680685,0.349422,-31.8339,18.3155,-23.9798,585,2020-06-14 11:39:17:216
-1.163989,-5.164848,11.538362,-1.405606,-1.556698,-2.787011,0.319504,-0.680685,0.349422,-31.8339,18.3155,-23.9798,595,2020-06-14 11:39:17:226
-1.163989,-5.164848,11.538362,-0.569435,-1.142591,2.282782,0.075619,-0.158835,0.602892,-31.6862,17.7968,-24.2411,605,2020-06-14 11:39:17:236
-1.163989,-5.164848,11.538362,-0.569435,-1.142591,2.282782,0.075619,-0.158835,0.602892,-31.6862,17.7968,-24.2411,614,2020-06-14 11:39:17:245
-0.83341,-4.501294,13.447575,-0.569435,-1.142591,2.282782,0.075619,-0.158835,0.602892,-31.6862,17.7968,-24.2411,626,2020-06-14 11:39:17:257
-0.83341,-4.501294,13.447575,0.199117,-0.38836,2.494018,0.075619,-0.158835,0.602892,-31.6862,17.7968,-24.2411,635,2020-06-14 11:39:17:266
-0.83341,-4.501294,13.447575,0.199117,-0.38836,2.494018,0.986194,0.052035,0.573072,-31.6425,17.5657,-23.9464,645,2020-06-14 11:39:17:276
0.587122,-3.238866,9.509373,0.199117,-0.38836,2.494018,0.986194,0.052035,0.573072,-31.6425,17.5657,-23.9464,654,2020-06-14 11:39:17:285
