ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.05751,-1.950087,6.086204,0.827813,-0.499713,-3.412395,-0.481376,-0.25149,-0.649548,-22.7897,12.4131,-34.3847,4,2020-06-14 12:26:46:831
-2.129375,-1.892595,6.443133,0.827813,-0.499713,-3.412395,-0.481376,-0.25149,-0.649548,-22.7897,12.4131,-34.3847,15,2020-06-14 12:26:46:842
-2.129375,-1.892595,6.443133,0.644804,-0.168303,-2.795981,-0.602786,-0.303675,-0.653808,-23.0289,12.2796,-33.9777,25,2020-06-14 12:26:46:852
-2.129375,-1.892595,6.443133,0.644804,-0.168303,-2.795981,-0.602786,-0.303675,-0.653808,-23.0289,12.2796,-33.9777,34,2020-06-14 12:26:46:861
-1.98325,-1.9429,6.934211,0.644804,-0.168303,-2.795981,-0.602786,-0.303675,-0.653808,-23.0289,12.2796,-33.9777,45,2020-06-14 12:26:46:872
-1.98325,-1.9429,6.934211,0.74024,-0.06439,-2.414478,-0.814721,-0.05553,-0.679368,-23.0289,12.2796,-33.9777,56,2020-06-14 12:26:46:883
-2.148539,-2.208801,7.039613,0.74024,-0.06439,-2.414478,-0.814721,-0.05553,-0.679368,-23.5612,12.9971,-33.2192,65,2020-06-14 12:26:46:892
-2.148539,-2.208801,7.039613,0.74024,-0.06439,-2.414478,-0.814721,-0.05553,-0.679368,-23.5612,12.9971,-33.2192,75,2020-06-14 12:26:46:902
-2.148539,-2.208801,7.039613,0.388266,0.127976,-1.563711,-0.913766,-0.22593,-0.705993,-23.5612,12.9971,-33.2192,85,2020-06-14 12:26:46:912
-1.944922,-1.803961,8.510449,0.388266,0.127976,-1.563711,-0.913766,-0.22593,-0.705993,-23.8214,12.8888,-33.3163,95,2020-06-14 12:26:46:922
-1.944922,-1.803961,8.510449,0.388266,0.127976,-1.563711,-0.913766,-0.22593,-0.705993,-23.8214,12.8888,-33.3163,105,2020-06-14 12:26:46:932
-1.944922,-1.803961,8.510449,0.614312,1.213389,0.010322,-0.829631,-0.31539,-0.848703,-23.8214,12.8888,-33.3163,116,2020-06-14 12:26:46:943
-1.657462,-1.468591,9.758505,0.614312,1.213389,0.010322,-0.829631,-0.31539,-0.848703,-23.8214,12.8888,-33.3163,125,2020-06-14 12:26:46:952
-1.657462,-1.468591,9.758505,0.614312,1.213389,0.010322,-0.829631,-0.31539,-0.848703,-24.6312,13.2698,-33.0772,135,2020-06-14 12:26:46:962
-1.657462,-1.468591,9.758505,0.60119,0.861432,1.295515,-0.804071,-0.205695,-1.176723,-24.6312,13.2698,-33.0772,145,2020-06-14 12:26:46:972
-1.657462,-1.468591,9.758505,0.60119,0.861432,1.295515,-0.804071,-0.205695,-1.176723,-24.6312,13.2698,-33.0772,154,2020-06-14 12:26:46:981
-1.829938,-2.910682,10.520274,0.60119,0.861432,1.295515,-0.804071,-0.205695,-1.176723,-25.2388,13.5756,-32.816,165,2020-06-14 12:26:46:992
-1.829938,-2.910682,10.520274,-0.109401,-0.565547,1.077155,-0.730586,-0.016125,-1.438713,-25.2388,13.5756,-32.816,175,2020-06-14 12:26:47:002
-1.829938,-2.910682,10.520274,-0.109401,-0.565547,1.077155,-0.730586,-0.016125,-1.438713,-25.2388,13.5756,-32.816,185,2020-06-14 12:26:47:012
-3.609794,-4.700121,10.67119,-0.109401,-0.565547,1.077155,-0.730586,-0.016125,-1.438713,-25.2388,13.5756,-32.816,196,2020-06-14 12:26:47:023
-3.609794,-4.700121,10.67119,-2.249799,-1.625679,1.65792,-0.609176,-0.097065,-1.496223,-26.181,13.3661,-32.142,205,2020-06-14 12:26:47:032
-5.358509,-5.811633,10.917927,-2.249799,-1.625679,1.65792,-0.609176,-0.097065,-1.496223,-26.181,13.3661,-32.142,215,2020-06-14 12:26:47:042
-5.358509,-5.811633,10.917927,-2.249799,-1.625679,1.65792,-0.609176,-0.097065,-1.496223,-26.181,13.3661,-32.142,225,2020-06-14 12:26:47:052
-5.358509,-5.811633,10.917927,-3.908632,-2.352949,2.370246,-0.290741,-0.309,-0.942423,-26.6999,13.1199,-31.2317,235,2020-06-14 12:26:47:062
-5.758558,-5.964945,11.279648,-3.908632,-2.352949,2.370246,-0.290741,-0.309,-0.942423,-26.6999,13.1199,-31.2317,245,2020-06-14 12:26:47:072
