ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.867189,-1.911759,9.368038,-1.941396,0.132177,0.134291,-0.901296,-0.133238,-0.37942,-29.8835,9.1694,-29.4858,10,2020-06-14 12:47:00:586
-2.601289,-1.638672,9.320128,-1.941396,0.132177,0.134291,-0.901296,-0.133238,-0.37942,-29.8835,9.1694,-29.4858,19,2020-06-14 12:47:00:595
-2.601289,-1.638672,9.320128,-1.941396,0.132177,0.134291,-0.901296,-0.133238,-0.37942,-29.8835,9.1694,-29.4858,29,2020-06-14 12:47:00:605
-1.904198,-2.599267,11.713233,-1.382425,0.22289,1.645969,-1.196301,-0.118328,-0.44332,-30.0865,9.2989,-29.5283,39,2020-06-14 12:47:00:615
-1.904198,-2.599267,11.713233,-1.382425,0.22289,1.645969,-1.196301,-0.118328,-0.44332,-30.0865,9.2989,-29.5283,49,2020-06-14 12:47:00:625
-1.904198,-2.599267,11.713233,-1.236065,0.089358,3.343873,-1.196301,-0.118328,-0.44332,-30.0865,9.2989,-29.5283,61,2020-06-14 12:47:00:637
-1.904198,-2.599267,11.713233,-1.236065,0.089358,3.343873,-1.196301,-0.118328,-0.44332,-30.0865,9.2989,-29.5283,69,2020-06-14 12:47:00:645
-2.251546,-2.556148,13.037945,-1.236065,0.089358,3.343873,-0.999276,-0.261038,-0.497635,-30.6372,9.8606,-29.2128,79,2020-06-14 12:47:00:655
-2.251546,-2.556148,13.037945,-1.236065,0.089358,3.343873,-0.999276,-0.261038,-0.497635,-30.6372,9.8606,-29.2128,90,2020-06-14 12:47:00:666
-1.949713,-3.540699,14.161434,-1.658557,-0.290739,5.39894,-0.999276,-0.261038,-0.497635,-30.6372,9.8606,-29.2128,99,2020-06-14 12:47:00:675
-1.949713,-3.540699,14.161434,-1.658557,-0.290739,5.39894,-0.406071,-0.124718,-0.43054,-30.6372,9.8606,-29.2128,111,2020-06-14 12:47:00:687
-1.949713,-3.540699,14.161434,-1.658557,-0.290739,5.39894,-0.406071,-0.124718,-0.43054,-30.6475,10.6343,-28.8966,119,2020-06-14 12:47:00:695
-1.966481,-3.734734,12.692992,-1.266486,-0.556659,4.054093,-0.406071,-0.124718,-0.43054,-30.6475,10.6343,-28.8966,130,2020-06-14 12:47:00:706
-1.966481,-3.734734,12.692992,-1.266486,-0.556659,4.054093,-0.443346,0.210757,-0.380485,-30.6475,10.6343,-28.8966,140,2020-06-14 12:47:00:716
-1.966481,-3.734734,12.692992,-1.266486,-0.556659,4.054093,-0.443346,0.210757,-0.380485,-30.6475,10.6343,-28.8966,149,2020-06-14 12:47:00:725
-2.261128,-3.947934,12.570822,-1.449795,-0.709198,3.481257,-0.443346,0.210757,-0.380485,-30.7729,11.0419,-27.8973,159,2020-06-14 12:47:00:735
