ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.310357,-2.49147,10.747847,0.358394,-0.859608,1.598525,0.8741,0.015581,-1.087652,-18.5148,17.5508,-36.2962,8,2020-06-14 20:38:34:632
-3.753524,-2.489074,9.475836,0.358394,-0.859608,1.598525,0.8741,0.015581,-1.087652,-18.5148,17.5508,-36.2962,18,2020-06-14 20:38:34:642
-3.753524,-2.489074,9.475836,-0.103001,-0.960735,0.386822,1.04024,-0.372079,-1.325147,-18.5148,17.5508,-36.2962,28,2020-06-14 20:38:34:652
-3.753524,-2.489074,9.475836,-0.103001,-0.960735,0.386822,1.04024,-0.372079,-1.325147,-18.9365,15.9731,-36.9122,38,2020-06-14 20:38:34:662
-4.28293,-2.29983,9.322524,-0.103001,-0.960735,0.386822,1.04024,-0.372079,-1.325147,-18.9365,15.9731,-36.9122,51,2020-06-14 20:38:34:675
-4.28293,-2.29983,9.322524,-1.095778,-1.024703,0.165481,0.85067,-0.269839,-1.525367,-18.9365,15.9731,-36.9122,58,2020-06-14 20:38:34:682
-5.078236,-2.453142,9.588425,-1.095778,-1.024703,0.165481,0.85067,-0.269839,-1.525367,-19.7765,14.1187,-37.1007,68,2020-06-14 20:38:34:692
-5.078236,-2.453142,9.588425,-1.095778,-1.024703,0.165481,0.85067,-0.269839,-1.525367,-19.7765,14.1187,-37.1007,77,2020-06-14 20:38:34:701
-5.078236,-2.453142,9.588425,-1.923174,-1.025185,0.471032,0.85067,0.035816,-1.563707,-19.7765,14.1187,-37.1007,88,2020-06-14 20:38:34:712
-5.248316,-2.163286,9.942959,-1.923174,-1.025185,0.471032,0.85067,0.035816,-1.563707,-19.7765,14.1187,-37.1007,97,2020-06-14 20:38:34:721
-5.248316,-2.163286,9.942959,-1.923174,-1.025185,0.471032,0.85067,0.035816,-1.563707,-20.2372,12.5054,-36.903,108,2020-06-14 20:38:34:732
-5.856773,-2.136936,9.44709,-2.391183,-0.885324,0.169678,1.060476,0.241361,-1.670207,-20.2372,12.5054,-36.903,119,2020-06-14 20:38:34:743
-5.856773,-2.136936,9.44709,-2.391183,-0.885324,0.169678,1.060476,0.241361,-1.670207,-20.2372,12.5054,-36.903,128,2020-06-14 20:38:34:752
-5.856773,-2.136936,9.44709,-2.391183,-0.885324,0.169678,1.060476,0.241361,-1.670207,-20.5696,10.3183,-36.9851,137,2020-06-14 20:38:34:761
-7.243767,-2.702274,8.036141,-2.391183,-0.885324,0.169678,1.060476,0.241361,-1.670207,-20.5696,10.3183,-36.9851,148,2020-06-14 20:38:34:772
-7.243767,-2.702274,8.036141,-3.854141,-1.681958,-1.258543,1.540791,0.004931,-1.736237,-20.5696,10.3183,-36.9851,159,2020-06-14 20:38:34:783
-7.243767,-2.702274,8.036141,-3.854141,-1.681958,-1.258543,1.540791,0.004931,-1.736237,-20.5696,10.3183,-36.9851,168,2020-06-14 20:38:34:792
-7.861807,-2.762161,7.008471,-5.053141,-2.15008,-2.751449,1.531205,-0.083464,-1.628672,-20.2361,7.9938,-37.1178,181,2020-06-14 20:38:34:805
-7.861807,-2.762161,7.008471,-5.053141,-2.15008,-2.751449,1.531205,-0.083464,-1.628672,-20.2361,7.9938,-37.1178,191,2020-06-14 20:38:34:815
-7.861807,-2.762161,7.008471,-5.053141,-2.15008,-2.751449,1.531205,-0.083464,-1.628672,-20.2361,7.9938,-37.1178,200,2020-06-14 20:38:34:824
