sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.0864;1.579;6.5169;3.5698;-0.821;-3.1848;0.4952;-0.1491;-0.6653;-3.54;-38.94;-22.56;5;2020-06-13 12:00:46:952
3.0864;1.579;6.5169;3.5698;-0.821;-3.1848;0.4952;-0.1491;-0.6653;-3.54;-38.94;-22.56;15;2020-06-13 12:00:46:962
3.0864;1.579;6.5169;3.5698;-0.821;-3.1848;0.3584;0.1991;-0.7361;-3.24;-38.77;-21.06;25;2020-06-13 12:00:46:972
3.0218;1.1004;6.6987;3.5698;-0.821;-3.1848;0.3584;0.1991;-0.7361;-3.24;-38.77;-21.06;35;2020-06-13 12:00:46:982
3.0218;1.1004;6.6987;3.3719;-1.5346;-2.9371;0.3584;0.1991;-0.7361;-3.24;-38.77;-21.06;45;2020-06-13 12:00:46:992
3.0218;1.1004;6.6987;3.3719;-1.5346;-2.9371;0.3584;0.1991;-0.7361;-3.24;-38.77;-21.06;56;2020-06-13 12:00:47:003
1.9594;0.8994;6.2345;3.3719;-1.5346;-2.9371;0.4415;0.083;-0.8998;-2.34;-39.12;-21.06;65;2020-06-13 12:00:47:012
1.9594;0.8994;6.2345;2.2105;-1.7237;-4.0621;0.4415;0.083;-0.8998;-2.34;-39.12;-21.06;75;2020-06-13 12:00:47:022
1.9594;0.8994;6.2345;2.2105;-1.7237;-4.0621;0.4415;0.083;-0.8998;-2.34;-39.12;-21.06;85;2020-06-13 12:00:47:032
1.488;0.641;4.8563;2.2105;-1.7237;-4.0621;0.4329;-0.4643;-0.9927;0.36;-40.16;-22.26;95;2020-06-13 12:00:47:042
1.488;0.641;4.8563;1.94;-2.0769;-4.5936;0.4329;-0.4643;-0.9927;0.36;-40.16;-22.26;105;2020-06-13 12:00:47:052
1.1649;0.7726;5.1266;1.94;-2.0769;-4.5936;0.4329;-0.4643;-0.9927;0.36;-40.16;-22.26;115;2020-06-13 12:00:47:062
1.1649;0.7726;5.1266;1.94;-2.0769;-4.5936;0.2081;-0.8882;-1.2786;0.66;-39.98;-21.96;125;2020-06-13 12:00:47:072
1.1649;0.7726;5.1266;1.94;-2.0769;-4.5936;0.2081;-0.8882;-1.2786;0.66;-39.98;-21.96;137;2020-06-13 12:00:47:084
-0.1559;1.1028;5.7703;0.3897;-1.5438;-3.6827;0.2081;-0.8882;-1.2786;0.66;-39.98;-21.96;145;2020-06-13 12:00:47:092
-0.1559;1.1028;5.7703;0.3897;-1.5438;-3.6827;0.2081;-0.8882;-1.2786;0.66;-39.98;-21.96;155;2020-06-13 12:00:47:102
-0.1559;1.1028;5.7703;0.3897;-1.5438;-3.6827;0.3572;-0.8895;-1.4044;3.66;-40.33;-20.16;165;2020-06-13 12:00:47:112
-0.1559;1.1028;5.7703;0.3897;-1.5438;-3.6827;0.3572;-0.8895;-1.4044;3.66;-40.33;-20.16;175;2020-06-13 12:00:47:122
-1.2877;0.7367;4.215;-1.0464;-2.0683;-5.1888;0.3572;-0.8895;-1.4044;3.66;-40.33;-20.16;186;2020-06-13 12:00:47:133
-1.2877;0.7367;4.215;-1.0464;-2.0683;-5.1888;0.1263;-0.9481;-1.3678;3.66;-40.85;-20.46;195;2020-06-13 12:00:47:142
-1.0843;0.184;3.5713;-1.0012;-2.62;-5.7769;0.1263;-0.9481;-1.3678;3.66;-40.85;-20.46;205;2020-06-13 12:00:47:152
-1.0843;0.184;3.5713;-1.0012;-2.62;-5.7769;0.1263;-0.9481;-1.3678;3.66;-40.85;-20.46;215;2020-06-13 12:00:47:162
-1.0843;0.184;3.5713;-1.0012;-2.62;-5.7769;-0.6043;-1.2645;-1.3849;3.66;-40.16;-21.66;225;2020-06-13 12:00:47:172
-0.8594;0.1744;5.7775;-1.0012;-2.62;-5.7769;-0.6043;-1.2645;-1.3849;3.66;-40.16;-21.66;235;2020-06-13 12:00:47:182
-0.8594;0.1744;5.7775;-1.1862;-2.4148;-3.3157;-0.6043;-1.2645;-1.3849;3.66;-40.16;-21.66;245;2020-06-13 12:00:47:192
-0.8594;0.1744;5.7775;-1.1862;-2.4148;-3.3157;-0.6043;-1.2645;-1.3849;3.66;-40.16;-21.66;255;2020-06-13 12:00:47:202
-1.2494;0.2557;6.9619;-1.7721;-2.1093;-2.2238;-0.6727;-1.0629;-1.2541;6.06;-40.85;-21.66;266;2020-06-13 12:00:47:213
-1.2494;0.2557;6.9619;-1.7721;-2.1093;-2.2238;-0.6727;-1.0629;-1.2541;6.06;-40.85;-21.66;275;2020-06-13 12:00:47:222
-1.2494;0.2557;6.9619;-1.7721;-2.1093;-2.2238;-0.6727;-1.0629;-1.2541;6.06;-40.85;-21.66;285;2020-06-13 12:00:47:232
-1.996;0.5333;6.5528;-1.7721;-2.1093;-2.2238;-0.3929;-0.8443;-1.0;6.06;-39.29;-23.16;295;2020-06-13 12:00:47:242
-1.996;0.5333;6.5528;-2.8727;-1.5892;-2.6459;-0.3929;-0.8443;-1.0;6.06;-39.29;-23.16;305;2020-06-13 12:00:47:252
