sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.599;-0.067;4.749;-1.228;-2.254;-5.299;1.564;-0.68;-0.32;-8.6;-39.5;-20.5;5;2020-06-14 09:47:17:619
-0.599;-0.067;4.749;-1.228;-2.254;-5.299;1.564;-0.68;-0.32;-8.6;-39.5;-20.5;16;2020-06-14 09:47:17:630
0.677;0.22;1.71;-1.228;-2.254;-5.299;1.564;-0.68;-0.32;-8.6;-39.5;-20.5;26;2020-06-14 09:47:17:640
0.677;0.22;1.71;0.73;-2.349;-8.146;1.564;-0.68;-0.32;-8.9;-41.0;-17.8;35;2020-06-14 09:47:17:649
0.677;0.22;1.71;0.73;-2.349;-8.146;1.144;-0.716;-0.624;-8.9;-41.0;-17.8;45;2020-06-14 09:47:17:659
0.028;0.39;1.023;-1.264;-2.331;-8.662;1.144;-0.716;-0.624;-8.9;-41.0;-17.8;55;2020-06-14 09:47:17:669
0.028;0.39;1.023;-1.264;-2.331;-8.662;1.144;-0.716;-0.624;-9.2;-41.5;-17.5;65;2020-06-14 09:47:17:679
0.028;0.39;1.023;-1.264;-2.331;-8.662;0.257;-0.557;-0.701;-9.2;-41.5;-17.5;75;2020-06-14 09:47:17:689
0.241;0.593;0.31;-0.703;-2.572;-8.705;0.257;-0.557;-0.701;-9.2;-41.5;-17.5;85;2020-06-14 09:47:17:699
0.241;0.593;0.31;-0.703;-2.572;-8.705;0.257;-0.557;-0.701;-9.2;-41.5;-17.5;95;2020-06-14 09:47:17:709
0.241;0.593;0.31;-0.703;-2.572;-8.705;-0.302;-0.342;-0.655;-7.7;-42.1;-16.0;105;2020-06-14 09:47:17:719
0.292;0.373;2.038;-1.01;-2.631;-7.342;-0.302;-0.342;-0.655;-7.7;-42.1;-16.0;115;2020-06-14 09:47:17:729
0.292;0.373;2.038;-1.01;-2.631;-7.342;-0.302;-0.342;-0.655;-7.7;-42.1;-16.0;125;2020-06-14 09:47:17:739
-0.02;0.071;1.518;-1.01;-2.631;-7.342;-0.249;-0.199;-0.633;-8.3;-40.8;-17.5;135;2020-06-14 09:47:17:749
-0.02;0.071;1.518;-1.272;-2.943;-7.675;-0.249;-0.199;-0.633;-8.3;-40.8;-17.5;145;2020-06-14 09:47:17:759
