sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.34;0.509;14.676;0.911;0.471;4.607;0.772;0.265;1.015;-3.2;-35.0;-30.7;5;2020-06-14 09:53:21:988
-0.34;0.509;14.676;0.911;0.471;4.607;0.772;0.265;1.015;-3.2;-35.0;-30.7;15;2020-06-14 09:53:21:998
0.351;0.052;12.08;1.571;-0.752;1.189;0.772;0.265;1.015;-3.2;-35.0;-30.7;25;2020-06-14 09:53:22:008
0.351;0.052;12.08;1.571;-0.752;1.189;0.772;0.265;1.015;-5.3;-35.3;-29.5;35;2020-06-14 09:53:22:018
1.153;-0.613;10.451;1.571;-0.752;1.189;1.223;0.004;0.482;-5.3;-35.3;-29.5;45;2020-06-14 09:53:22:028
1.153;-0.613;10.451;2.396;-1.102;0.645;1.223;0.004;0.482;-5.3;-35.3;-29.5;55;2020-06-14 09:53:22:038
1.153;-0.613;10.451;2.396;-1.102;0.645;1.223;0.004;0.482;-5.9;-36.9;-29.2;66;2020-06-14 09:53:22:049
-0.57;0.105;8.654;2.396;-1.102;0.645;1.415;0.1;0.065;-5.9;-36.9;-29.2;75;2020-06-14 09:53:22:058
-0.57;0.105;8.654;0.738;-1.068;-2.018;1.415;0.1;0.065;-5.9;-36.9;-29.2;85;2020-06-14 09:53:22:068
-0.57;0.105;8.654;0.738;-1.068;-2.018;1.415;0.1;0.065;-4.4;-37.4;-27.1;95;2020-06-14 09:53:22:078
-0.024;-0.168;6.665;0.738;-1.068;-2.018;1.334;-0.121;0.152;-4.4;-37.4;-27.1;105;2020-06-14 09:53:22:088
-0.024;-0.168;6.665;1.186;-1.675;-3.053;1.334;-0.121;0.152;-4.4;-37.4;-27.1;115;2020-06-14 09:53:22:098
-0.024;-0.168;6.665;1.186;-1.675;-3.053;1.334;-0.121;0.152;-5.6;-38.4;-26.5;125;2020-06-14 09:53:22:108
0.134;-0.359;5.818;1.186;-1.675;-3.053;1.256;-0.52;0.255;-5.6;-38.4;-26.5;135;2020-06-14 09:53:22:118
