sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.115;-0.768;2.698;3.876;-2.626;-6.756;0.141;0.02;-0.616;-5.6;-39.3;-23.2;4;2020-06-14 09:57:17:252
3.115;-0.768;2.698;3.876;-2.626;-6.756;0.141;0.02;-0.616;-5.6;-39.3;-23.2;15;2020-06-14 09:57:17:263
1.868;-0.766;2.916;3.876;-2.626;-6.756;0.141;0.02;-0.616;-5.6;-39.3;-23.2;24;2020-06-14 09:57:17:272
1.868;-0.766;2.916;2.358;-2.679;-6.18;-0.953;-0.031;-0.527;-4.4;-39.5;-23.5;35;2020-06-14 09:57:17:283
1.868;-0.766;2.916;2.358;-2.679;-6.18;-0.953;-0.031;-0.527;-4.4;-39.5;-23.5;45;2020-06-14 09:57:17:293
0.088;-0.541;5.95;2.358;-2.679;-6.18;-0.953;-0.031;-0.527;-4.4;-39.5;-23.5;55;2020-06-14 09:57:17:303
0.088;-0.541;5.95;0.367;-1.296;-2.209;-0.953;-0.031;-0.527;-3.5;-39.1;-24.1;65;2020-06-14 09:57:17:313
0.088;-0.541;5.95;0.367;-1.296;-2.209;-1.316;-0.119;-0.466;-3.5;-39.1;-24.1;75;2020-06-14 09:57:17:323
-0.508;0.935;8.924;0.367;-1.296;-2.209;-1.316;-0.119;-0.466;-3.5;-39.1;-24.1;84;2020-06-14 09:57:17:332
-0.508;0.935;8.924;0.153;0.0;0.583;-1.316;-0.119;-0.466;-3.5;-39.1;-24.1;95;2020-06-14 09:57:17:343
-0.508;0.935;8.924;0.153;0.0;0.583;-1.272;-0.239;-0.022;-3.8;-38.1;-27.7;104;2020-06-14 09:57:17:352
-0.467;0.73;10.561;0.153;0.0;0.583;-1.272;-0.239;-0.022;-3.8;-38.1;-27.7;114;2020-06-14 09:57:17:362
-0.467;0.73;10.561;0.483;-0.027;1.957;-1.272;-0.239;-0.022;-3.8;-38.1;-27.7;124;2020-06-14 09:57:17:372
-0.426;0.993;12.69;0.483;-0.027;1.957;-1.245;0.128;0.218;-4.1;-36.2;-27.4;134;2020-06-14 09:57:17:382
-0.426;0.993;12.69;0.483;-0.027;1.957;-1.245;0.128;0.218;-4.1;-36.2;-27.4;145;2020-06-14 09:57:17:393
-0.426;0.993;12.69;0.271;0.994;3.98;-1.245;0.128;0.218;-4.1;-36.2;-27.4;154;2020-06-14 09:57:17:402
0.301;1.648;14.361;0.271;0.994;3.98;-1.578;-0.178;0.297;-3.8;-36.7;-30.7;164;2020-06-14 09:57:17:412
0.301;1.648;14.361;0.271;0.994;3.98;-1.578;-0.178;0.297;-3.8;-36.7;-30.7;174;2020-06-14 09:57:17:422
0.301;1.648;14.361;0.271;0.994;3.98;-1.578;-0.178;0.297;-3.8;-36.7;-30.7;184;2020-06-14 09:57:17:432
0.301;1.648;14.361;0.271;0.994;3.98;-1.578;-0.178;0.297;-3.8;-36.7;-30.7;194;2020-06-14 09:57:17:442
1.227;1.818;14.748;1.895;1.785;5.157;-1.637;-0.238;0.28;-3.5;-36.2;-28.6;204;2020-06-14 09:57:17:452
1.227;1.818;14.748;1.895;1.785;5.157;-1.637;-0.238;0.28;-3.5;-36.2;-28.6;214;2020-06-14 09:57:17:462
1.385;2.287;16.99;1.895;1.785;5.157;-1.637;-0.238;0.28;-3.5;-36.2;-28.6;224;2020-06-14 09:57:17:472
1.385;2.287;16.99;2.107;2.189;9.259;-1.278;-0.464;0.367;-5.0;-32.5;-33.1;234;2020-06-14 09:57:17:482
1.385;2.287;16.99;2.107;2.189;9.259;-1.278;-0.464;0.367;-5.0;-32.5;-33.1;244;2020-06-14 09:57:17:492
4.718;-0.354;17.871;2.107;2.189;9.259;-1.278;-0.464;0.367;-5.0;-32.5;-33.1;254;2020-06-14 09:57:17:502
4.718;-0.354;17.871;6.245;0.137;6.904;-1.278;-0.464;0.367;-5.0;-32.5;-33.1;264;2020-06-14 09:57:17:512
4.718;-0.354;17.871;6.245;0.137;6.904;-0.305;-1.227;0.773;-6.5;-32.0;-34.0;274;2020-06-14 09:57:17:522
8.535;-2.154;14.849;6.245;0.137;6.904;-0.305;-1.227;0.773;-6.5;-32.0;-34.0;284;2020-06-14 09:57:17:532
8.535;-2.154;14.849;7.954;-1.075;3.698;-0.305;-1.227;0.773;-6.5;-32.0;-34.0;295;2020-06-14 09:57:17:543
8.535;-2.154;14.849;7.954;-1.075;3.698;0.346;-0.972;0.343;-8.6;-31.3;-33.4;304;2020-06-14 09:57:17:552
7.728;-2.046;12.504;7.954;-1.075;3.698;0.346;-0.972;0.343;-8.6;-31.3;-33.4;315;2020-06-14 09:57:17:563
7.728;-2.046;12.504;6.095;-0.86;2.024;0.346;-0.972;0.343;-8.6;-31.3;-33.4;324;2020-06-14 09:57:17:572
7.728;-2.046;12.504;6.095;-0.86;2.024;0.805;0.074;-0.088;-9.2;-31.8;-31.3;334;2020-06-14 09:57:17:582
