sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.868;-0.615;17.979;1.163;-1.635;7.745;-1.624;0.339;-0.186;-1.7;-38.9;-25.6;4;2020-06-14 10:20:49:128
0.868;-0.615;17.979;2.597;0.397;9.648;-1.624;0.339;-0.186;-2.0;-37.4;-28.9;14;2020-06-14 10:20:49:138
1.579;0.988;20.182;2.597;0.397;9.648;-1.624;0.339;-0.186;-2.0;-37.4;-28.9;24;2020-06-14 10:20:49:148
1.579;0.988;20.182;2.597;0.397;9.648;-1.707;0.181;-0.477;-2.0;-37.4;-28.9;34;2020-06-14 10:20:49:158
1.579;0.988;20.182;0.957;1.565;12.828;-1.707;0.181;-0.477;-2.3;-36.7;-28.9;44;2020-06-14 10:20:49:168
-0.436;1.749;23.994;0.957;1.565;12.828;-1.707;0.181;-0.477;-2.3;-36.7;-28.9;55;2020-06-14 10:20:49:179
-0.436;1.749;23.994;0.957;1.565;12.828;-1.707;0.181;-0.477;-2.3;-36.7;-28.9;64;2020-06-14 10:20:49:188
-0.436;1.749;23.994;-0.193;2.604;15.539;-1.38;0.102;-0.303;-2.3;-36.7;-28.9;74;2020-06-14 10:20:49:198
-0.826;2.249;25.15;-0.193;2.604;15.539;-1.38;0.102;-0.303;0.1;-34.8;-31.6;84;2020-06-14 10:20:49:208
-0.826;2.249;25.15;-0.193;2.604;15.539;-1.38;0.102;-0.303;0.1;-34.8;-31.6;94;2020-06-14 10:20:49:218
-0.826;2.249;25.15;0.844;3.26;15.064;-0.802;-0.184;-0.136;0.1;-34.8;-31.6;104;2020-06-14 10:20:49:228
0.292;2.371;24.633;0.844;3.26;15.064;-0.802;-0.184;-0.136;0.1;-34.8;-31.6;114;2020-06-14 10:20:49:238
0.292;2.371;24.633;0.31;3.344;13.62;-0.802;-0.184;-0.136;0.1;-33.9;-33.7;124;2020-06-14 10:20:49:248
-0.733;2.062;22.97;0.31;3.344;13.62;0.023;-0.219;-0.207;0.1;-33.9;-33.7;134;2020-06-14 10:20:49:258
-0.733;2.062;22.97;0.31;3.344;13.62;0.023;-0.219;-0.207;0.1;-33.9;-33.7;144;2020-06-14 10:20:49:268
-0.733;2.062;22.97;-0.635;2.011;12.136;0.023;-0.219;-0.207;0.1;-34.4;-34.0;154;2020-06-14 10:20:49:278
-1.283;0.643;21.814;-0.635;2.011;12.136;0.023;-0.219;-0.207;0.1;-34.4;-34.0;164;2020-06-14 10:20:49:288
-1.283;0.643;21.814;-0.635;2.011;12.136;0.803;-0.009;-0.165;0.1;-34.4;-34.0;174;2020-06-14 10:20:49:298
-1.283;0.643;21.814;0.056;0.55;10.519;0.803;-0.009;-0.165;-0.2;-33.7;-33.4;184;2020-06-14 10:20:49:308
-0.235;-0.302;19.505;0.056;0.55;10.519;0.803;-0.009;-0.165;-0.2;-33.7;-33.4;194;2020-06-14 10:20:49:318
-0.235;-0.302;19.505;0.056;0.55;10.519;1.529;-0.488;-0.302;-0.2;-33.7;-33.4;205;2020-06-14 10:20:49:329
-0.235;-0.302;19.505;0.219;-0.094;6.833;1.529;-0.488;-0.302;0.1;-35.8;-30.4;215;2020-06-14 10:20:49:339
-0.221;-0.106;15.753;0.219;-0.094;6.833;1.529;-0.488;-0.302;0.1;-35.8;-30.4;225;2020-06-14 10:20:49:349
-0.221;-0.106;15.753;0.219;-0.094;6.833;1.793;-0.577;-0.358;0.1;-35.8;-30.4;234;2020-06-14 10:20:49:358
-0.221;-0.106;15.753;0.406;-0.514;3.458;1.793;-0.577;-0.358;0.1;-37.0;-27.7;244;2020-06-14 10:20:49:368
0.143;-0.173;13.296;0.406;-0.514;3.458;1.793;-0.577;-0.358;0.1;-37.0;-27.7;255;2020-06-14 10:20:49:379
0.143;-0.173;13.296;0.406;-0.514;3.458;1.872;-0.133;-0.403;0.1;-37.0;-27.7;264;2020-06-14 10:20:49:388
0.143;-0.173;13.296;0.678;-1.132;1.745;1.872;-0.133;-0.403;0.1;-37.0;-27.7;274;2020-06-14 10:20:49:398
0.428;-0.278;11.819;0.678;-1.132;1.745;1.872;-0.133;-0.403;0.4;-38.4;-27.1;284;2020-06-14 10:20:49:408
0.428;-0.278;11.819;0.678;-1.132;1.745;1.872;-0.133;-0.403;0.4;-38.4;-27.1;294;2020-06-14 10:20:49:418
0.179;-0.292;10.056;0.373;-1.845;-0.075;2.036;-0.087;-0.506;0.4;-38.4;-27.1;304;2020-06-14 10:20:49:428
