sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-6.143;1.883;11.322;-6.725;0.059;1.717;-0.25;0.056;-0.071;2.6;-41.7;-18.4;6;2020-06-14 10:43:33:961
-6.143;1.883;11.322;-6.725;0.059;1.717;-0.25;0.056;-0.071;2.6;-41.7;-18.4;16;2020-06-14 10:43:33:971
-6.143;1.883;11.322;-6.725;0.059;1.717;-0.25;0.056;-0.071;2.6;-41.7;-18.4;26;2020-06-14 10:43:33:981
-6.143;1.883;11.322;-6.725;0.059;1.717;-0.25;0.056;-0.071;2.6;-41.7;-18.4;36;2020-06-14 10:43:33:991
-6.576;1.684;10.324;-7.097;-0.158;0.705;0.177;-0.004;-0.048;2.3;-41.3;-18.4;46;2020-06-14 10:43:34:001
-6.576;1.684;10.324;-7.097;-0.158;0.705;0.177;-0.004;-0.048;2.3;-41.3;-18.4;56;2020-06-14 10:43:34:011
-3.714;1.926;9.972;-7.097;-0.158;0.705;0.177;-0.004;-0.048;2.3;-41.3;-18.4;66;2020-06-14 10:43:34:021
-3.714;1.926;9.972;-3.546;-0.162;0.363;0.363;0.551;0.785;2.3;-41.5;-16.3;76;2020-06-14 10:43:34:031
-3.714;1.926;9.972;-3.546;-0.162;0.363;0.363;0.551;0.785;2.3;-41.5;-16.3;86;2020-06-14 10:43:34:041
-1.673;2.005;9.795;-3.546;-0.162;0.363;0.363;0.551;0.785;2.3;-41.5;-16.3;96;2020-06-14 10:43:34:051
-1.673;2.005;9.795;-0.99;-0.144;0.379;0.265;0.646;0.972;2.0;-42.6;-16.9;106;2020-06-14 10:43:34:061
-1.673;2.005;9.795;-0.99;-0.144;0.379;0.265;0.646;0.972;2.0;-42.6;-16.9;116;2020-06-14 10:43:34:071
0.21;2.28;10.386;-0.99;-0.144;0.379;0.265;0.646;0.972;2.0;-42.6;-16.9;125;2020-06-14 10:43:34:080
0.21;2.28;10.386;-0.99;-0.144;0.379;0.265;0.646;0.972;2.0;-42.6;-16.9;135;2020-06-14 10:43:34:090
0.21;2.28;10.386;1.056;0.211;0.186;0.381;0.48;0.871;-0.7;-41.3;-16.6;146;2020-06-14 10:43:34:101
1.383;2.644;9.013;1.056;0.211;0.186;0.381;0.48;0.871;-0.7;-41.3;-16.6;155;2020-06-14 10:43:34:110
1.383;2.644;9.013;1.056;0.211;0.186;0.381;0.48;0.871;-0.7;-41.3;-16.6;165;2020-06-14 10:43:34:120
1.383;2.644;9.013;2.115;0.015;-1.133;0.28;0.422;0.784;0.2;-42.0;-16.0;176;2020-06-14 10:43:34:131
2.287;2.306;8.192;2.115;0.015;-1.133;0.28;0.422;0.784;0.2;-42.0;-16.0;186;2020-06-14 10:43:34:141
2.287;2.306;8.192;2.115;0.015;-1.133;0.28;0.422;0.784;0.2;-42.0;-16.0;195;2020-06-14 10:43:34:150
3.594;2.005;7.328;3.191;-0.311;-1.771;0.151;0.331;0.682;-1.9;-42.0;-15.4;206;2020-06-14 10:43:34:161
3.594;2.005;7.328;3.191;-0.311;-1.771;0.151;0.331;0.682;-1.9;-42.0;-15.4;216;2020-06-14 10:43:34:171
3.594;2.005;7.328;4.349;-0.501;-3.293;0.151;0.331;0.682;-1.9;-42.0;-15.4;226;2020-06-14 10:43:34:181
4.151;1.912;5.612;4.349;-0.501;-3.293;0.056;0.238;0.425;-1.9;-42.0;-15.4;236;2020-06-14 10:43:34:191
4.151;1.912;5.612;4.349;-0.501;-3.293;0.056;0.238;0.425;-2.5;-41.9;-14.5;245;2020-06-14 10:43:34:200
4.151;1.912;5.612;3.589;-0.783;-4.114;0.056;0.238;0.425;-2.5;-41.9;-14.5;256;2020-06-14 10:43:34:211
3.062;1.38;5.62;3.589;-0.783;-4.114;0.056;0.238;0.425;-2.5;-41.9;-14.5;265;2020-06-14 10:43:34:220
3.062;1.38;5.62;3.589;-0.783;-4.114;-0.112;0.512;0.187;-3.4;-42.0;-16.0;276;2020-06-14 10:43:34:231
3.062;1.38;5.62;3.071;-1.937;-3.39;-0.112;0.512;0.187;-3.4;-42.0;-16.0;285;2020-06-14 10:43:34:240
2.775;0.385;5.945;3.071;-1.937;-3.39;-0.112;0.512;0.187;-3.4;-42.0;-16.0;296;2020-06-14 10:43:34:251
2.775;0.385;5.945;3.071;-1.937;-3.39;0.005;0.382;-0.016;-3.4;-42.0;-16.0;306;2020-06-14 10:43:34:261
2.775;0.385;5.945;2.951;-2.655;-3.801;0.005;0.382;-0.016;-3.1;-42.0;-16.0;316;2020-06-14 10:43:34:271
2.44;-0.331;5.431;2.951;-2.655;-3.801;0.005;0.382;-0.016;-3.1;-42.0;-16.0;325;2020-06-14 10:43:34:280
2.44;-0.331;5.431;2.951;-2.655;-3.801;0.22;0.049;-0.08;-3.1;-42.0;-16.0;335;2020-06-14 10:43:34:290
2.44;-0.331;5.431;2.701;-3.004;-5.197;0.22;0.049;-0.08;-2.2;-41.5;-15.7;346;2020-06-14 10:43:34:301
2.29;-0.431;3.356;2.701;-3.004;-5.197;0.22;0.049;-0.08;-2.2;-41.5;-15.7;355;2020-06-14 10:43:34:310
2.29;-0.431;3.356;2.701;-3.004;-5.197;0.029;-0.384;-0.133;-2.2;-41.5;-15.7;366;2020-06-14 10:43:34:321
