sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.884;0.378;8.481;-2.325;1.463;-2.341;0.876;0.406;0.149;-7.9;-35.6;-22.3;4;2020-06-14 20:28:29:412
-1.884;0.378;8.481;-1.135;-0.958;-0.386;0.876;0.406;0.149;-7.9;-35.6;-22.3;14;2020-06-14 20:28:29:422
-1.685;-0.082;10.159;-1.135;-0.958;-0.386;0.876;0.406;0.149;-7.9;-36.0;-22.3;24;2020-06-14 20:28:29:432
-1.685;-0.082;10.159;-1.135;-0.958;-0.386;1.323;-0.241;0.833;-7.9;-36.0;-22.3;34;2020-06-14 20:28:29:442
-1.685;-0.082;10.159;-1.052;-1.193;-1.269;1.323;-0.241;0.833;-9.7;-36.3;-21.1;45;2020-06-14 20:28:29:453
-0.946;-0.173;7.728;-1.052;-1.193;-1.269;1.323;-0.241;0.833;-9.7;-36.3;-21.1;55;2020-06-14 20:28:29:463
-0.946;-0.173;7.728;-1.052;-1.193;-1.269;1.716;-0.296;1.592;-9.7;-36.3;-21.1;65;2020-06-14 20:28:29:473
-0.946;-0.173;7.728;0.931;-2.594;-3.392;1.716;-0.296;1.592;-9.7;-36.3;-21.1;75;2020-06-14 20:28:29:483
1.428;-0.828;6.799;0.931;-2.594;-3.392;1.716;-0.296;1.592;-10.9;-37.0;-19.3;84;2020-06-14 20:28:29:492
1.428;-0.828;6.799;0.931;-2.594;-3.392;1.716;-0.296;1.592;-10.9;-37.0;-19.3;94;2020-06-14 20:28:29:502
1.428;-0.828;6.799;0.931;-2.594;-3.392;1.627;-0.278;1.287;-10.9;-37.0;-19.3;104;2020-06-14 20:28:29:512
2.744;-0.029;4.378;3.037;-2.359;-5.477;1.627;-0.278;1.287;-13.3;-36.5;-17.2;114;2020-06-14 20:28:29:522
2.744;-0.029;4.378;3.037;-2.359;-5.477;1.627;-0.278;1.287;-13.3;-36.5;-17.2;125;2020-06-14 20:28:29:533
2.847;0.313;3.356;2.975;-2.326;-6.285;0.921;-0.222;0.287;-14.5;-36.7;-16.9;135;2020-06-14 20:28:29:543
2.847;0.313;3.356;2.975;-2.326;-6.285;0.921;-0.222;0.287;-14.5;-36.7;-16.9;145;2020-06-14 20:28:29:553
2.847;0.313;3.356;2.975;-2.326;-6.285;0.921;-0.222;0.287;-14.5;-36.7;-16.9;155;2020-06-14 20:28:29:563
2.278;0.466;3.858;2.152;-2.332;-6.113;0.614;-0.111;-0.409;-14.5;-36.7;-16.9;165;2020-06-14 20:28:29:573
2.278;0.466;3.858;2.152;-2.332;-6.113;0.614;-0.111;-0.409;-12.1;-38.4;-16.3;175;2020-06-14 20:28:29:583
2.278;0.466;3.858;2.152;-2.332;-6.113;0.614;-0.111;-0.409;-12.1;-38.4;-16.3;185;2020-06-14 20:28:29:593
1.081;0.698;0.817;1.461;-2.396;-8.805;0.614;-0.111;-0.409;-12.1;-38.4;-16.3;194;2020-06-14 20:28:29:602
1.081;0.698;0.817;1.461;-2.396;-8.805;0.448;0.022;-0.638;-13.0;-38.4;-15.1;205;2020-06-14 20:28:29:613
1.081;0.698;0.817;1.461;-2.396;-8.805;0.448;0.022;-0.638;-13.0;-38.4;-15.1;214;2020-06-14 20:28:29:622
1.971;0.5;2.064;1.461;-2.396;-8.805;0.448;0.022;-0.638;-13.0;-38.4;-15.1;224;2020-06-14 20:28:29:632
1.971;0.5;2.064;2.411;-2.428;-7.418;0.106;0.324;-0.87;-10.9;-39.3;-14.2;234;2020-06-14 20:28:29:642
1.177;0.576;1.698;2.411;-2.428;-7.418;0.106;0.324;-0.87;-10.9;-39.3;-14.2;245;2020-06-14 20:28:29:653
1.177;0.576;1.698;2.411;-2.428;-7.418;0.106;0.324;-0.87;-10.9;-39.3;-14.2;254;2020-06-14 20:28:29:662
1.177;0.576;1.698;1.241;-2.274;-7.531;-0.1;0.653;-1.171;-10.3;-39.3;-16.0;264;2020-06-14 20:28:29:672
0.354;0.816;1.798;1.241;-2.274;-7.531;-0.1;0.653;-1.171;-10.3;-39.3;-16.0;275;2020-06-14 20:28:29:683
0.354;0.816;1.798;1.241;-2.274;-7.531;-0.1;0.653;-1.171;-10.3;-39.3;-16.0;285;2020-06-14 20:28:29:693
0.354;0.816;1.798;1.311;-2.028;-7.782;-0.04;0.672;-1.185;-7.9;-40.3;-14.8;295;2020-06-14 20:28:29:703
0.801;0.921;1.123;1.311;-2.028;-7.782;-0.04;0.672;-1.185;-7.9;-40.3;-14.8;304;2020-06-14 20:28:29:712
0.801;0.921;1.123;1.311;-2.028;-7.782;-0.04;0.672;-1.185;-7.9;-40.3;-14.8;315;2020-06-14 20:28:29:723
0.801;0.921;1.123;1.851;-1.895;-8.559;-0.169;0.115;-0.754;-6.7;-40.6;-16.0;324;2020-06-14 20:28:29:732
0.923;0.703;0.583;1.851;-1.895;-8.559;-0.169;0.115;-0.754;-6.7;-40.6;-16.0;335;2020-06-14 20:28:29:743
0.923;0.703;0.583;1.851;-1.895;-8.559;-0.169;0.115;-0.754;-6.7;-40.6;-16.0;345;2020-06-14 20:28:29:753
0.923;0.703;0.583;1.86;-2.47;-7.495;-0.525;-0.14;-0.7;-6.7;-40.6;-16.0;355;2020-06-14 20:28:29:763
0.466;0.112;2.128;1.86;-2.47;-7.495;-0.525;-0.14;-0.7;-6.7;-39.8;-15.7;365;2020-06-14 20:28:29:773
0.466;0.112;2.128;1.86;-2.47;-7.495;-0.525;-0.14;-0.7;-6.7;-39.8;-15.7;375;2020-06-14 20:28:29:783
0.466;0.112;2.128;1.466;-2.845;-5.593;-0.556;-0.324;-0.839;-6.7;-39.8;-15.7;385;2020-06-14 20:28:29:793
0.89;-0.082;4.292;1.466;-2.845;-5.593;-0.556;-0.324;-0.839;-4.9;-40.8;-16.9;394;2020-06-14 20:28:29:802
0.89;-0.082;4.292;1.466;-2.845;-5.593;-0.556;-0.324;-0.839;-4.9;-40.8;-16.9;405;2020-06-14 20:28:29:813
0.89;-0.082;4.292;1.528;-2.317;-4.323;-0.556;-0.324;-0.839;-4.9;-40.8;-16.9;415;2020-06-14 20:28:29:823
0.784;0.136;4.05;1.528;-2.317;-4.323;-0.287;-0.52;-0.886;-4.9;-40.8;-16.9;425;2020-06-14 20:28:29:833
0.784;0.136;4.05;1.528;-2.317;-4.323;-0.287;-0.52;-0.886;-4.0;-39.8;-18.1;435;2020-06-14 20:28:29:843
0.784;0.136;4.05;1.802;-1.592;-5.797;-0.287;-0.52;-0.886;-4.0;-39.8;-18.1;445;2020-06-14 20:28:29:853
0.753;0.485;4.988;1.802;-1.592;-5.797;-0.995;-0.749;-0.664;-4.0;-39.8;-18.1;455;2020-06-14 20:28:29:863
0.753;0.485;4.988;1.802;-1.592;-5.797;-0.995;-0.749;-0.664;-2.5;-40.0;-19.0;465;2020-06-14 20:28:29:873
0.753;0.485;4.988;1.848;-2.711;-0.491;-0.995;-0.749;-0.664;-2.5;-40.0;-19.0;474;2020-06-14 20:28:29:882
1.191;-0.898;9.175;1.848;-2.711;-0.491;-0.78;-0.715;-0.86;-2.5;-40.0;-19.0;484;2020-06-14 20:28:29:892
1.191;-0.898;9.175;1.848;-2.711;-0.491;-0.78;-0.715;-0.86;-2.2;-39.1;-18.7;495;2020-06-14 20:28:29:903
-0.362;0.708;10.305;0.331;-1.306;0.732;-0.78;-0.715;-0.86;-2.2;-39.1;-18.7;505;2020-06-14 20:28:29:913
-0.362;0.708;10.305;0.331;-1.306;0.732;-0.78;-0.715;-0.86;-2.2;-39.1;-18.7;515;2020-06-14 20:28:29:923
-0.362;0.708;10.305;0.331;-1.306;0.732;-0.685;-0.446;-0.817;-2.2;-39.1;-18.7;525;2020-06-14 20:28:29:933
-0.855;0.823;11.992;-0.28;-0.551;3.047;-0.685;-0.446;-0.817;-1.3;-38.4;-19.9;535;2020-06-14 20:28:29:943
-0.855;0.823;11.992;-0.28;-0.551;3.047;-0.685;-0.446;-0.817;-1.3;-38.4;-19.9;545;2020-06-14 20:28:29:953
-0.855;0.823;11.992;-0.698;-0.283;2.498;-1.059;-0.862;-0.6;-1.3;-38.4;-19.9;555;2020-06-14 20:28:29:963
-0.776;0.983;12.564;-0.698;-0.283;2.498;-1.059;-0.862;-0.6;-2.5;-38.2;-20.2;565;2020-06-14 20:28:29:973
-0.776;0.983;12.564;-0.698;-0.283;2.498;-1.059;-0.862;-0.6;-2.5;-38.2;-20.2;575;2020-06-14 20:28:29:983
-0.776;0.983;12.564;-0.698;-0.283;2.498;-1.693;-0.58;-0.541;-2.5;-38.2;-20.2;585;2020-06-14 20:28:29:993
-2.585;1.78;16.409;-2.573;1.075;6.907;-1.693;-0.58;-0.541;-1.0;-37.7;-21.7;595;2020-06-14 20:28:30:003
-2.585;1.78;16.409;-2.573;1.075;6.907;-1.693;-0.58;-0.541;-1.0;-37.7;-21.7;605;2020-06-14 20:28:30:013
-2.585;1.78;16.409;-2.573;1.075;6.907;-1.693;-0.58;-0.541;-1.0;-37.7;-21.7;614;2020-06-14 20:28:30:022
-2.278;0.72;19.34;-2.337;0.368;9.751;-1.085;-0.393;-0.117;-0.1;-36.8;-23.8;624;2020-06-14 20:28:30:032
-2.278;0.72;19.34;-2.337;0.368;9.751;-1.085;-0.393;-0.117;-0.1;-36.8;-23.8;635;2020-06-14 20:28:30:043
-1.06;0.028;17.596;-1.254;-0.079;7.937;-1.085;-0.393;-0.117;-0.1;-36.8;-23.8;645;2020-06-14 20:28:30:053
-1.06;0.028;17.596;-1.254;-0.079;7.937;-0.985;-0.591;-0.405;-0.1;-36.8;-23.8;655;2020-06-14 20:28:30:063
-1.06;0.028;17.596;-1.254;-0.079;7.937;-0.985;-0.591;-0.405;-1.0;-35.6;-24.7;665;2020-06-14 20:28:30:073
-1.216;-0.342;19.821;-1.543;-0.136;10.102;-0.985;-0.591;-0.405;-1.0;-35.6;-24.7;675;2020-06-14 20:28:30:083
-1.216;-0.342;19.821;-1.543;-0.136;10.102;-1.274;-0.457;-0.618;-1.0;-35.6;-24.7;684;2020-06-14 20:28:30:092
