sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.926;-1.931;1.657;3.433;-4.158;-8.854;1.119;0.728;0.418;-7.0;-38.6;-17.8;4;2020-06-14 20:36:20:610
1.926;-1.931;1.657;3.433;-4.158;-8.854;1.119;0.728;0.418;-7.0;-38.6;-17.8;15;2020-06-14 20:36:20:621
1.926;-1.931;1.657;4.388;-4.041;-6.026;1.119;0.728;0.418;-7.0;-38.6;-17.8;25;2020-06-14 20:36:20:631
1.986;-1.18;3.937;4.388;-4.041;-6.026;1.119;0.728;0.418;-7.9;-38.0;-18.1;34;2020-06-14 20:36:20:640
1.986;-1.18;3.937;4.388;-4.041;-6.026;1.701;-0.911;-0.599;-7.9;-38.0;-18.1;45;2020-06-14 20:36:20:651
1.986;-1.18;3.937;4.388;-4.041;-6.026;1.701;-0.911;-0.599;-7.9;-38.0;-18.1;54;2020-06-14 20:36:20:660
-1.197;0.89;3.471;0.491;-2.105;-5.766;1.701;-0.911;-0.599;-7.9;-39.6;-16.0;65;2020-06-14 20:36:20:671
-1.197;0.89;3.471;0.491;-2.105;-5.766;2.159;-1.178;-0.701;-7.9;-39.6;-16.0;75;2020-06-14 20:36:20:681
-0.972;2.354;0.702;0.49;-1.123;-8.341;2.159;-1.178;-0.701;-7.9;-39.6;-16.0;85;2020-06-14 20:36:20:691
-0.972;2.354;0.702;0.49;-1.123;-8.341;2.159;-1.178;-0.701;-6.7;-40.3;-13.0;95;2020-06-14 20:36:20:701
-0.972;2.354;0.702;0.49;-1.123;-8.341;0.57;-0.432;-0.71;-6.7;-40.3;-13.0;104;2020-06-14 20:36:20:710
1.636;2.495;0.643;3.026;-1.134;-8.292;0.57;-0.432;-0.71;-6.7;-40.3;-13.0;114;2020-06-14 20:36:20:720
1.636;2.495;0.643;3.026;-1.134;-8.292;0.57;-0.432;-0.71;-4.6;-41.0;-13.0;124;2020-06-14 20:36:20:730
1.636;2.495;0.643;3.026;-1.134;-8.292;-0.721;-0.79;-1.042;-4.6;-41.0;-13.0;135;2020-06-14 20:36:20:741
1.368;1.914;2.346;2.678;-1.532;-6.603;-0.721;-0.79;-1.042;-4.6;-41.0;-13.0;145;2020-06-14 20:36:20:751
1.368;1.914;2.346;2.678;-1.532;-6.603;-0.721;-0.79;-1.042;-4.6;-41.0;-13.0;155;2020-06-14 20:36:20:761
1.368;1.914;2.346;2.678;-1.532;-6.603;-0.721;-0.79;-1.042;-4.0;-41.3;-13.0;165;2020-06-14 20:36:20:771
1.596;0.466;3.923;2.678;-1.532;-6.603;-1.528;-0.864;-0.975;-4.0;-41.3;-13.0;175;2020-06-14 20:36:20:781
1.596;0.466;3.923;2.789;-2.681;-4.723;-1.528;-0.864;-0.975;-4.0;-41.3;-13.0;185;2020-06-14 20:36:20:791
1.596;0.466;3.923;2.789;-2.681;-4.723;-1.528;-0.864;-0.975;-4.3;-40.1;-15.1;195;2020-06-14 20:36:20:801
1.828;-0.173;6.321;2.789;-2.681;-4.723;-2.043;-0.79;-1.062;-4.3;-40.1;-15.1;205;2020-06-14 20:36:20:811
1.828;-0.173;6.321;2.49;-2.322;-2.17;-2.043;-0.79;-1.062;-4.3;-40.1;-15.1;214;2020-06-14 20:36:20:820
1.828;-0.173;6.321;2.49;-2.322;-2.17;-2.043;-0.79;-1.062;-4.3;-40.1;-15.1;225;2020-06-14 20:36:20:831
1.172;0.947;9.18;2.49;-2.322;-2.17;-0.898;-0.617;-0.842;-2.2;-39.6;-18.4;235;2020-06-14 20:36:20:841
1.172;0.947;9.18;2.378;-0.694;-0.166;-0.898;-0.617;-0.842;-2.2;-39.6;-18.4;245;2020-06-14 20:36:20:851
1.986;0.902;8.589;2.378;-0.694;-0.166;-0.898;-0.617;-0.842;-2.2;-39.6;-18.4;254;2020-06-14 20:36:20:860
1.986;0.902;8.589;2.378;-0.694;-0.166;-0.898;-0.617;-0.842;-1.0;-40.0;-17.8;265;2020-06-14 20:36:20:871
1.986;0.902;8.589;2.555;-1.602;-1.336;0.204;-0.735;-0.701;-1.0;-40.0;-17.8;275;2020-06-14 20:36:20:881
1.098;0.222;7.405;2.555;-1.602;-1.336;0.204;-0.735;-0.701;-1.0;-40.0;-17.8;285;2020-06-14 20:36:20:891
1.098;0.222;7.405;2.555;-1.602;-1.336;0.204;-0.735;-0.701;-2.5;-39.8;-18.7;295;2020-06-14 20:36:20:901
1.098;0.222;7.405;0.554;-0.975;-2.263;0.006;-0.915;-0.591;-2.5;-39.8;-18.7;305;2020-06-14 20:36:20:911
-0.551;1.591;7.991;0.554;-0.975;-2.263;0.006;-0.915;-0.591;-2.5;-39.8;-18.7;315;2020-06-14 20:36:20:921
-0.551;1.591;7.991;0.554;-0.975;-2.263;0.006;-0.915;-0.591;-2.5;-39.8;-18.7;325;2020-06-14 20:36:20:931
-0.551;1.591;7.991;0.011;-0.258;-1.324;-0.292;-1.04;-0.496;-0.1;-40.1;-17.5;335;2020-06-14 20:36:20:941
0.725;0.794;8.108;0.011;-0.258;-1.324;-0.292;-1.04;-0.496;-0.1;-40.1;-17.5;345;2020-06-14 20:36:20:951
0.725;0.794;8.108;0.011;-0.258;-1.324;-0.292;-1.04;-0.496;-0.1;-40.1;-17.5;354;2020-06-14 20:36:20:960
0.725;0.794;8.108;-0.132;-1.115;-1.3;-0.292;-1.04;-0.496;-0.7;-39.3;-18.4;364;2020-06-14 20:36:20:970
-1.06;0.964;8.666;-0.132;-1.115;-1.3;-0.604;-0.97;-0.904;-0.7;-39.3;-18.4;374;2020-06-14 20:36:20:980
-1.06;0.964;8.666;-0.132;-1.115;-1.3;-0.604;-0.97;-0.904;-0.7;-39.3;-18.4;384;2020-06-14 20:36:20:990
-0.819;0.438;12.312;-1.708;-0.829;2.302;-0.604;-0.97;-0.904;-0.7;-39.3;-18.4;394;2020-06-14 20:36:21:000
