sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.039;-0.228;11.965;5.014;-1.569;2.46;-0.003;0.464;-0.283;-7.0;-35.1;-22.6;5;2020-06-14 20:38:40:896
3.039;-0.228;11.965;5.014;-1.569;2.46;-0.003;0.464;-0.283;-6.4;-35.6;-23.5;15;2020-06-14 20:38:40:906
1.062;1.136;12.903;3.065;-0.061;3.508;-0.003;0.464;-0.283;-6.4;-35.6;-23.5;25;2020-06-14 20:38:40:916
1.062;1.136;12.903;3.065;-0.061;3.508;-0.003;0.464;-0.283;-6.4;-35.6;-23.5;34;2020-06-14 20:38:40:925
1.062;1.136;12.903;3.065;-0.061;3.508;-0.254;0.095;-0.638;-6.4;-35.1;-23.2;45;2020-06-14 20:38:40:936
0.126;1.78;12.808;3.065;-0.061;3.508;-0.254;0.095;-0.638;-6.4;-35.1;-23.2;55;2020-06-14 20:38:40:946
0.126;1.78;12.808;2.002;0.697;3.407;-0.254;0.095;-0.638;-6.4;-35.1;-23.2;65;2020-06-14 20:38:40:956
0.126;1.78;12.808;2.002;0.697;3.407;-0.575;0.275;-0.903;-6.4;-35.1;-23.2;75;2020-06-14 20:38:40:966
-0.321;1.634;13.872;2.002;0.697;3.407;-0.575;0.275;-0.903;-4.9;-34.8;-24.4;85;2020-06-14 20:38:40:976
-0.321;1.634;13.872;0.759;0.898;5.553;-0.575;0.275;-0.903;-4.9;-34.8;-24.4;95;2020-06-14 20:38:40:986
-2.037;2.306;15.746;0.759;0.898;5.553;-0.94;0.428;-0.931;-4.9;-34.8;-24.4;105;2020-06-14 20:38:40:996
-2.037;2.306;15.746;0.759;0.898;5.553;-0.94;0.428;-0.931;-3.1;-34.4;-26.2;115;2020-06-14 20:38:41:006
-2.037;2.306;15.746;-1.365;2.048;6.03;-0.94;0.428;-0.931;-3.1;-34.4;-26.2;125;2020-06-14 20:38:41:016
-3.898;1.739;13.652;-1.365;2.048;6.03;-1.097;-0.354;-0.242;-3.1;-34.4;-26.2;135;2020-06-14 20:38:41:026
-3.898;1.739;13.652;-0.572;0.1;5.196;-1.097;-0.354;-0.242;-3.1;-34.4;-26.2;145;2020-06-14 20:38:41:036
-3.898;1.739;13.652;-0.572;0.1;5.196;-1.097;-0.354;-0.242;-3.1;-33.9;-25.9;155;2020-06-14 20:38:41:046
-1.807;-0.421;14.363;-0.572;0.1;5.196;-1.097;-0.354;-0.242;-3.1;-33.9;-25.9;165;2020-06-14 20:38:41:056
