sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-4.808;0.438;9.762;-4.45;-1.576;0.297;1.152;-0.052;0.003;9.2;-39.4;-18.7;5;2020-06-14 20:45:57:296
-4.808;0.438;9.762;-4.45;-1.576;0.297;1.152;-0.052;0.003;7.7;-39.4;-18.1;14;2020-06-14 20:45:57:305
-4.753;0.749;8.757;-4.265;-1.552;-1.058;1.152;-0.052;0.003;7.7;-39.4;-18.1;24;2020-06-14 20:45:57:315
-4.753;0.749;8.757;-4.265;-1.552;-1.058;1.03;0.181;0.22;7.7;-39.4;-18.1;34;2020-06-14 20:45:57:325
-4.753;0.749;8.757;-4.265;-1.552;-1.058;1.03;0.181;0.22;8.0;-40.6;-17.2;44;2020-06-14 20:45:57:335
-4.858;0.569;8.898;-4.372;-2.135;-0.975;1.03;0.181;0.22;8.0;-40.6;-17.2;55;2020-06-14 20:45:57:346
-4.858;0.569;8.898;-4.372;-2.135;-0.975;1.03;0.181;0.22;8.0;-40.6;-17.2;65;2020-06-14 20:45:57:356
-4.858;0.569;8.898;-4.372;-2.135;-0.975;1.168;0.341;0.602;7.4;-41.0;-15.4;74;2020-06-14 20:45:57:365
-4.863;0.313;6.766;-4.372;-2.135;-0.975;1.168;0.341;0.602;7.4;-41.0;-15.4;85;2020-06-14 20:45:57:376
-4.863;0.313;6.766;-4.298;-2.646;-3.787;1.168;0.341;0.602;7.4;-41.0;-15.4;95;2020-06-14 20:45:57:386
-4.863;0.313;6.766;-4.298;-2.646;-3.787;0.844;0.637;0.942;7.4;-41.0;-15.4;104;2020-06-14 20:45:57:395
-5.085;0.701;5.407;-4.298;-2.646;-3.787;0.844;0.637;0.942;5.3;-41.7;-14.8;114;2020-06-14 20:45:57:405
-5.085;0.701;5.407;-4.389;-2.134;-3.749;0.844;0.637;0.942;5.3;-41.7;-14.8;124;2020-06-14 20:45:57:415
-5.085;0.701;5.407;-4.389;-2.134;-3.749;0.844;0.637;0.942;5.3;-41.7;-14.8;134;2020-06-14 20:45:57:425
-5.061;1.189;6.098;-4.255;-2.091;-3.333;0.765;0.579;1.273;4.4;-41.7;-13.6;145;2020-06-14 20:45:57:436
-5.061;1.189;6.098;-4.255;-2.091;-3.333;0.765;0.579;1.273;4.4;-41.7;-13.6;156;2020-06-14 20:45:57:447
-5.061;1.189;6.098;-4.255;-2.091;-3.333;0.765;0.579;1.273;4.4;-41.7;-13.6;164;2020-06-14 20:45:57:455
-3.41;1.141;4.701;-2.613;-2.553;-4.522;0.891;0.569;1.664;4.4;-41.7;-13.6;174;2020-06-14 20:45:57:465
-3.41;1.141;4.701;-2.613;-2.553;-4.522;0.891;0.569;1.664;1.7;-42.6;-11.5;185;2020-06-14 20:45:57:476
-3.41;1.141;4.701;-2.613;-2.553;-4.522;0.891;0.569;1.664;1.7;-42.6;-11.5;195;2020-06-14 20:45:57:486
-3.87;1.883;4.875;-3.031;-2.074;-4.189;0.891;0.569;1.664;1.7;-42.6;-11.5;205;2020-06-14 20:45:57:496
-3.87;1.883;4.875;-3.031;-2.074;-4.189;0.667;1.006;1.697;0.2;-43.2;-10.3;215;2020-06-14 20:45:57:506
-3.87;1.883;4.875;-3.031;-2.074;-4.189;0.667;1.006;1.697;0.2;-43.2;-10.3;225;2020-06-14 20:45:57:516
-2.74;2.058;5.981;-1.805;-2.102;-2.953;0.667;1.006;1.697;0.2;-43.2;-10.3;235;2020-06-14 20:45:57:526
-2.74;2.058;5.981;-1.805;-2.102;-2.953;0.792;1.139;1.737;-2.2;-42.2;-9.1;245;2020-06-14 20:45:57:536
-2.74;2.058;5.981;-1.805;-2.102;-2.953;0.792;1.139;1.737;-2.2;-42.2;-9.1;254;2020-06-14 20:45:57:545
-1.58;1.203;5.1;-0.571;-3.183;-3.682;0.792;1.139;1.737;-2.2;-42.2;-9.1;265;2020-06-14 20:45:57:556
-1.58;1.203;5.1;-0.571;-3.183;-3.682;0.756;0.931;1.676;-3.7;-42.7;-8.8;275;2020-06-14 20:45:57:566
-1.58;1.203;5.1;-0.571;-3.183;-3.682;0.756;0.931;1.676;-3.7;-42.7;-8.8;285;2020-06-14 20:45:57:576
-1.147;1.132;3.818;-0.132;-3.443;-4.822;0.756;0.931;1.676;-3.7;-42.7;-8.8;295;2020-06-14 20:45:57:586
-1.147;1.132;3.818;-0.132;-3.443;-4.822;0.756;0.931;1.676;-3.7;-42.7;-8.8;306;2020-06-14 20:45:57:597
-1.147;1.132;3.818;-0.132;-3.443;-4.822;0.076;0.646;1.614;-6.4;-42.2;-7.9;315;2020-06-14 20:45:57:606
-0.364;1.737;4.526;0.587;-2.899;-4.034;0.076;0.646;1.614;-6.4;-42.2;-7.9;325;2020-06-14 20:45:57:616
-0.364;1.737;4.526;0.587;-2.899;-4.034;0.076;0.646;1.614;-6.4;-42.2;-7.9;335;2020-06-14 20:45:57:626
-0.364;1.737;4.526;0.587;-2.899;-4.034;-0.114;0.578;1.454;-6.7;-42.0;-8.8;345;2020-06-14 20:45:57:636
-0.304;1.282;4.701;0.586;-3.342;-3.83;-0.114;0.578;1.454;-6.7;-42.0;-8.8;355;2020-06-14 20:45:57:646
-0.304;1.282;4.701;0.586;-3.342;-3.83;-0.114;0.578;1.454;-6.7;-42.0;-8.8;365;2020-06-14 20:45:57:656
-0.304;1.282;4.701;0.586;-3.342;-3.83;-0.023;0.852;1.452;-6.7;-42.0;-8.8;375;2020-06-14 20:45:57:666
-0.118;1.266;7.058;0.765;-3.356;-1.441;-0.023;0.852;1.452;-10.0;-40.5;-9.7;385;2020-06-14 20:45:57:676
-0.118;1.266;7.058;0.765;-3.356;-1.441;-0.023;0.852;1.452;-10.0;-40.5;-9.7;395;2020-06-14 20:45:57:686
-0.118;1.266;7.058;0.765;-3.356;-1.441;-0.023;0.852;1.452;-10.0;-40.5;-9.7;404;2020-06-14 20:45:57:695
1.454;0.667;5.055;2.324;-4.016;-3.377;0.194;0.638;1.351;-11.5;-41.0;-8.8;415;2020-06-14 20:45:57:706
1.454;0.667;5.055;2.324;-4.016;-3.377;0.194;0.638;1.351;-11.5;-41.0;-8.8;425;2020-06-14 20:45:57:716
1.763;1.045;4.461;2.324;-4.016;-3.377;0.194;0.638;1.351;-11.5;-41.0;-8.8;435;2020-06-14 20:45:57:726
1.763;1.045;4.461;2.628;-3.775;-4.078;-0.551;0.547;1.232;-12.1;-40.5;-8.5;445;2020-06-14 20:45:57:736
1.763;1.045;4.461;2.628;-3.775;-4.078;-0.551;0.547;1.232;-12.1;-40.5;-8.5;454;2020-06-14 20:45:57:745
2.373;0.136;4.856;2.628;-3.775;-4.078;-0.551;0.547;1.232;-12.1;-40.5;-8.5;464;2020-06-14 20:45:57:755
2.373;0.136;4.856;3.402;-4.137;-2.27;-1.018;0.885;1.007;-12.1;-40.5;-8.5;474;2020-06-14 20:45:57:765
2.373;0.136;4.856;3.402;-4.137;-2.27;-1.018;0.885;1.007;-13.9;-38.0;-10.3;485;2020-06-14 20:45:57:776
2.68;0.67;8.96;3.402;-4.137;-2.27;-1.018;0.885;1.007;-13.9;-38.0;-10.3;495;2020-06-14 20:45:57:786
2.68;0.67;8.96;3.46;-3.253;1.997;-0.589;0.672;0.91;-13.9;-38.0;-10.3;505;2020-06-14 20:45:57:796
2.68;0.67;8.96;3.46;-3.253;1.997;-0.589;0.672;0.91;-16.0;-37.5;-13.6;515;2020-06-14 20:45:57:806
2.637;1.275;9.539;3.46;-3.253;1.997;-0.589;0.672;0.91;-16.0;-37.5;-13.6;526;2020-06-14 20:45:57:817
2.637;1.275;9.539;3.46;-3.253;1.997;-0.589;0.672;0.91;-16.0;-37.5;-13.6;535;2020-06-14 20:45:57:826
2.637;1.275;9.539;3.613;-2.149;-0.93;-0.243;0.373;0.88;-16.0;-37.5;-13.6;545;2020-06-14 20:45:57:836
3.677;1.969;7.56;3.613;-2.149;-0.93;-0.243;0.373;0.88;-16.0;-36.0;-14.5;555;2020-06-14 20:45:57:846
3.677;1.969;7.56;3.613;-2.149;-0.93;-0.243;0.373;0.88;-16.0;-36.0;-14.5;564;2020-06-14 20:45:57:855
4.256;1.641;8.326;5.146;-2.29;-0.33;-0.584;0.762;0.639;-16.0;-36.0;-14.5;574;2020-06-14 20:45:57:865
4.256;1.641;8.326;5.146;-2.29;-0.33;-0.584;0.762;0.639;-16.0;-36.7;-12.7;585;2020-06-14 20:45:57:876
4.256;1.641;8.326;5.146;-2.29;-0.33;-0.584;0.762;0.639;-16.0;-36.7;-12.7;595;2020-06-14 20:45:57:886
3.756;1.947;9.173;4.611;-1.402;0.596;-0.997;0.732;0.104;-16.0;-36.7;-12.7;605;2020-06-14 20:45:57:896
3.756;1.947;9.173;4.611;-1.402;0.596;-0.997;0.732;0.104;-16.3;-35.6;-15.7;614;2020-06-14 20:45:57:905
2.952;2.933;10.903;4.611;-1.402;0.596;-0.997;0.732;0.104;-16.3;-35.6;-15.7;626;2020-06-14 20:45:57:917
2.952;2.933;10.903;4.059;-0.635;2.121;-0.997;0.732;0.104;-16.3;-35.6;-15.7;635;2020-06-14 20:45:57:926
2.952;2.933;10.903;4.059;-0.635;2.121;-1.29;0.252;0.017;-16.3;-35.6;-15.7;645;2020-06-14 20:45:57:936
