sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.294;-1.204;4.981;-0.11;-2.766;-3.896;0.952;0.306;-0.038;-10.6;-38.7;-15.7;6;2020-06-14 20:49:46:048
1.294;-1.204;4.981;1.229;-3.852;-4.572;1.118;0.297;-0.175;-10.6;-38.7;-15.7;16;2020-06-14 20:49:46:058
0.938;-0.362;4.095;1.229;-3.852;-4.572;1.118;0.297;-0.175;-10.6;-38.7;-15.7;26;2020-06-14 20:49:46:068
0.938;-0.362;4.095;0.669;-2.798;-5.954;1.118;0.297;-0.175;-11.5;-39.1;-15.1;35;2020-06-14 20:49:46:077
0.938;-0.362;4.095;0.669;-2.798;-5.954;1.147;-0.231;-0.282;-11.5;-39.1;-15.1;46;2020-06-14 20:49:46:088
0.83;0.94;3.464;0.669;-2.798;-5.954;1.147;-0.231;-0.282;-11.5;-39.1;-15.1;56;2020-06-14 20:49:46:098
0.83;0.94;3.464;0.857;-1.976;-5.748;1.147;-0.231;-0.282;-8.5;-40.6;-13.0;66;2020-06-14 20:49:46:108
0.83;0.94;3.464;0.857;-1.976;-5.748;0.827;-0.495;0.004;-8.5;-40.6;-13.0;76;2020-06-14 20:49:46:118
2.005;1.603;3.818;0.857;-1.976;-5.748;0.827;-0.495;0.004;-8.5;-40.6;-13.0;86;2020-06-14 20:49:46:128
2.005;1.603;3.818;2.473;-1.754;-5.383;0.827;-0.495;0.004;-11.8;-39.4;-12.1;96;2020-06-14 20:49:46:138
2.005;1.603;3.818;2.473;-1.754;-5.383;0.827;-0.495;0.004;-11.8;-39.4;-12.1;105;2020-06-14 20:49:46:147
4.627;1.057;5.555;2.473;-1.754;-5.383;0.221;-0.25;0.458;-11.8;-39.4;-12.1;115;2020-06-14 20:49:46:157
