sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-8.66;0.586;12.458;-7.57;-0.393;1.867;0.536;-0.142;0.475;2.6;-34.7;-23.4;5;2020-06-14 21:03:25:679
-6.889;0.804;10.477;-7.57;-0.393;1.867;0.536;-0.142;0.475;2.6;-34.7;-23.4;16;2020-06-14 21:03:25:690
-6.889;0.804;10.477;-6.044;-0.107;0.76;0.536;-0.142;0.475;2.6;-34.7;-23.4;25;2020-06-14 21:03:25:699
-5.724;1.388;10.932;-6.044;-0.107;0.76;0.354;-0.128;0.616;2.6;-34.7;-23.4;35;2020-06-14 21:03:25:709
-5.724;1.388;10.932;-6.044;-0.107;0.76;0.354;-0.128;0.616;1.7;-35.1;-21.6;46;2020-06-14 21:03:25:720
-5.724;1.388;10.932;-4.535;-0.119;0.957;0.354;-0.128;0.616;1.7;-35.1;-21.6;56;2020-06-14 21:03:25:730
-4.013;1.069;11.35;-4.535;-0.119;0.957;0.354;-0.128;0.616;1.7;-35.1;-21.6;66;2020-06-14 21:03:25:740
-4.013;1.069;11.35;-4.535;-0.119;0.957;0.239;0.158;0.819;0.8;-35.3;-21.3;76;2020-06-14 21:03:25:750
-4.013;1.069;11.35;-1.875;-0.302;2.668;0.239;0.158;0.819;0.8;-35.3;-21.3;86;2020-06-14 21:03:25:760
-1.599;1.148;12.858;-1.875;-0.302;2.668;0.239;0.158;0.819;0.8;-35.3;-21.3;95;2020-06-14 21:03:25:769
-1.599;1.148;12.858;-1.875;-0.302;2.668;0.465;0.205;0.776;0.8;-35.3;-21.3;106;2020-06-14 21:03:25:780
-1.599;1.148;12.858;-0.828;-0.468;2.529;0.465;0.205;0.776;-0.1;-35.3;-21.3;116;2020-06-14 21:03:25:790
-0.386;0.804;11.453;-0.828;-0.468;2.529;0.465;0.205;0.776;-0.1;-35.3;-21.3;126;2020-06-14 21:03:25:800
-0.386;0.804;11.453;-0.828;-0.468;2.529;0.614;0.058;0.714;-0.1;-35.3;-21.3;136;2020-06-14 21:03:25:810
-0.386;0.804;11.453;1.94;-0.64;1.965;0.614;0.058;0.714;-0.4;-36.0;-20.1;145;2020-06-14 21:03:25:819
2.084;1.423;12.023;1.94;-0.64;1.965;0.614;0.058;0.714;-0.4;-36.0;-20.1;155;2020-06-14 21:03:25:829
2.084;1.423;12.023;1.94;-0.64;1.965;0.614;0.058;0.714;-0.4;-36.0;-20.1;165;2020-06-14 21:03:25:839
3.299;2.072;11.03;3.48;0.057;1.746;0.856;-0.126;0.699;-0.4;-36.0;-20.1;176;2020-06-14 21:03:25:850
3.299;2.072;11.03;3.48;0.057;1.746;0.856;-0.126;0.699;-1.6;-36.1;-19.8;185;2020-06-14 21:03:25:859
3.299;2.072;11.03;3.48;0.057;1.746;0.856;-0.126;0.699;-1.6;-36.1;-19.8;196;2020-06-14 21:03:25:870
4.053;1.665;8.838;4.317;-0.616;-0.814;1.064;-0.145;0.694;-1.6;-36.1;-19.8;206;2020-06-14 21:03:25:880
4.053;1.665;8.838;4.317;-0.616;-0.814;1.064;-0.145;0.694;-3.7;-36.3;-18.3;215;2020-06-14 21:03:25:889
4.053;1.665;8.838;4.317;-0.616;-0.814;1.064;-0.145;0.694;-3.7;-36.3;-18.3;226;2020-06-14 21:03:25:900
3.653;1.579;8.352;4.317;-0.616;-0.814;1.278;0.176;0.56;-3.7;-36.3;-18.3;237;2020-06-14 21:03:25:911
3.653;1.579;8.352;3.67;-0.879;-0.9;1.278;0.176;0.56;-4.0;-37.9;-16.8;246;2020-06-14 21:03:25:920
3.653;1.579;8.352;3.67;-0.879;-0.9;1.278;0.176;0.56;-4.0;-37.9;-16.8;255;2020-06-14 21:03:25:929
3.366;1.285;6.191;3.67;-0.879;-0.9;1.278;0.176;0.56;-4.0;-37.9;-16.8;266;2020-06-14 21:03:25:940
3.366;1.285;6.191;3.668;-1.816;-3.929;1.531;0.236;0.533;-4.0;-37.9;-16.8;276;2020-06-14 21:03:25:950
3.366;1.285;6.191;3.668;-1.816;-3.929;1.531;0.236;0.533;-4.9;-39.1;-14.7;287;2020-06-14 21:03:25:961
3.512;1.361;4.591;3.668;-1.816;-3.929;1.531;0.236;0.533;-4.9;-39.1;-14.7;295;2020-06-14 21:03:25:969
3.512;1.361;4.591;3.777;-1.87;-5.008;1.335;0.511;0.309;-4.9;-39.1;-14.7;305;2020-06-14 21:03:25:979
3.512;1.361;4.591;3.777;-1.87;-5.008;1.335;0.511;0.309;-4.3;-39.2;-12.6;315;2020-06-14 21:03:25:989
3.022;2.201;3.732;3.777;-1.87;-5.008;1.335;0.511;0.309;-4.3;-39.2;-12.6;326;2020-06-14 21:03:26:000
3.022;2.201;3.732;2.906;-1.425;-5.472;0.872;0.496;0.108;-4.3;-39.2;-12.6;337;2020-06-14 21:03:26:011
3.022;2.201;3.732;2.906;-1.425;-5.472;0.872;0.496;0.108;-4.9;-38.4;-13.5;346;2020-06-14 21:03:26:020
1.581;2.376;3.354;2.906;-1.425;-5.472;0.872;0.496;0.108;-4.9;-38.4;-13.5;356;2020-06-14 21:03:26:030
