sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.405;3.175;12.372;-0.162;1.226;5.28;0.621;0.056;-0.526;2.0;-35.1;-22.2;6;2020-06-14 21:10:56:429
-1.405;3.175;12.372;-0.898;2.613;1.45;-0.382;-0.015;-0.716;2.0;-35.1;-22.2;16;2020-06-14 21:10:56:439
-2.599;3.871;11.571;-0.898;2.613;1.45;-0.382;-0.015;-0.716;2.3;-35.8;-24.0;25;2020-06-14 21:10:56:448
-2.599;3.871;11.571;-0.898;2.613;1.45;-0.382;-0.015;-0.716;2.3;-35.8;-24.0;36;2020-06-14 21:10:56:459
-2.599;3.871;11.571;-1.889;2.702;4.373;-1.495;-0.247;-0.612;2.3;-35.8;-24.0;46;2020-06-14 21:10:56:469
-2.855;3.07;15.169;-1.889;2.702;4.373;-1.495;-0.247;-0.612;4.7;-34.9;-25.5;56;2020-06-14 21:10:56:479
-2.855;3.07;15.169;-1.889;2.702;4.373;-1.495;-0.247;-0.612;4.7;-34.9;-25.5;66;2020-06-14 21:10:56:489
-2.855;3.07;15.169;-0.456;1.368;8.56;-1.495;-0.247;-0.612;4.7;-34.9;-25.5;75;2020-06-14 21:10:56:498
-1.273;1.273;18.675;-0.456;1.368;8.56;-1.311;-0.242;-0.388;3.5;-33.5;-24.9;86;2020-06-14 21:10:56:509
-1.273;1.273;18.675;-0.456;1.368;8.56;-1.311;-0.242;-0.388;3.5;-33.5;-24.9;96;2020-06-14 21:10:56:519
-0.591;0.598;19.711;0.408;0.721;9.841;-1.311;-0.242;-0.388;3.5;-33.5;-24.9;106;2020-06-14 21:10:56:529
-0.591;0.598;19.711;0.408;0.721;9.841;-0.419;-0.055;-0.602;5.3;-33.0;-28.2;116;2020-06-14 21:10:56:539
-0.591;0.598;19.711;0.408;0.721;9.841;-0.419;-0.055;-0.602;5.3;-33.0;-28.2;125;2020-06-14 21:10:56:548
-0.9;0.406;18.388;0.332;0.431;8.598;-0.419;-0.055;-0.602;5.3;-33.0;-28.2;135;2020-06-14 21:10:56:558
