sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-5.63;1.21;21.87;-5.29;1.68;11.65;0.62;0.42;0.31;-2.0;-31.0;-26.0;6;2020-06-14 21:15:04:748
-5.63;1.21;21.87;-5.29;1.68;11.65;0.62;0.42;0.31;-2.0;-31.0;-26.0;16;2020-06-14 21:15:04:758
-8.24;0.46;17.16;-6.87;0.72;5.88;0.62;0.42;0.31;-2.0;-31.0;-27.0;26;2020-06-14 21:15:04:768
-8.24;0.46;17.16;-6.87;0.72;5.88;0.12;0.37;1.06;-2.0;-31.0;-27.0;36;2020-06-14 21:15:04:778
-5.14;-0.73;15.21;-6.87;0.72;5.88;0.12;0.37;1.06;-2.0;-31.0;-27.0;46;2020-06-14 21:15:04:788
-5.14;-0.73;15.21;-6.87;0.72;5.88;0.12;0.37;1.06;-2.0;-31.0;-27.0;56;2020-06-14 21:15:04:798
-5.14;-0.73;15.21;-2.47;-1.39;3.18;0.12;0.37;1.06;-3.0;-31.0;-27.0;66;2020-06-14 21:15:04:808
-0.36;-1.82;12.09;-2.47;-1.39;3.18;0.65;-0.03;0.86;-3.0;-31.0;-27.0;76;2020-06-14 21:15:04:818
-0.36;-1.82;12.09;-2.47;-1.39;3.18;0.65;-0.03;0.86;-3.0;-31.0;-27.0;86;2020-06-14 21:15:04:828
-0.36;-1.82;12.09;0.22;-0.98;-1.43;0.65;-0.03;0.86;-5.0;-32.0;-26.0;96;2020-06-14 21:15:04:838
-0.67;0.4;7.03;0.22;-0.98;-1.43;1.54;0.25;0.4;-5.0;-32.0;-26.0;105;2020-06-14 21:15:04:847
-0.67;0.4;7.03;0.22;-0.98;-1.43;1.54;0.25;0.4;-5.0;-32.0;-26.0;116;2020-06-14 21:15:04:858
-0.67;0.4;7.03;-0.72;0.72;-8.32;1.54;0.25;0.4;-5.0;-33.0;-23.0;126;2020-06-14 21:15:04:868
-1.24;1.04;-0.7;-0.72;0.72;-8.32;1.15;-0.05;0.28;-5.0;-33.0;-23.0;136;2020-06-14 21:15:04:878
-1.24;1.04;-0.7;-0.72;0.72;-8.32;1.15;-0.05;0.28;-5.0;-33.0;-23.0;146;2020-06-14 21:15:04:888
0.25;0.33;0.65;0.97;-0.63;-9.51;1.15;-0.05;0.28;-5.0;-34.0;-24.0;156;2020-06-14 21:15:04:898
0.25;0.33;0.65;0.97;-0.63;-9.51;1.15;-0.05;0.28;-5.0;-34.0;-24.0;165;2020-06-14 21:15:04:907
0.25;0.33;0.65;0.97;-0.63;-9.51;0.56;-0.63;-0.27;-5.0;-34.0;-24.0;175;2020-06-14 21:15:04:917
-0.64;0.14;2.69;0.97;-0.63;-9.51;0.56;-0.63;-0.27;-5.0;-34.0;-23.0;186;2020-06-14 21:15:04:928
-0.64;0.14;2.69;-0.53;-0.79;-7.39;0.56;-0.63;-0.27;-5.0;-34.0;-23.0;196;2020-06-14 21:15:04:938
-0.64;0.14;2.69;-0.53;-0.79;-7.39;0.91;-0.62;-0.63;-5.0;-34.0;-23.0;205;2020-06-14 21:15:04:947
-0.27;-0.72;2.78;-0.53;-0.79;-7.39;0.91;-0.62;-0.63;-5.0;-34.0;-23.0;216;2020-06-14 21:15:04:958
-0.27;-0.72;2.78;0.47;-2.55;-7.46;0.91;-0.62;-0.63;-4.0;-35.0;-21.0;226;2020-06-14 21:15:04:968
-0.27;-0.72;2.78;0.47;-2.55;-7.46;1.25;-0.77;-0.8;-4.0;-35.0;-21.0;236;2020-06-14 21:15:04:978
-0.98;-1.23;2.39;0.47;-2.55;-7.46;1.25;-0.77;-0.8;-4.0;-35.0;-21.0;246;2020-06-14 21:15:04:988
-0.98;-1.23;2.39;-1.56;-2.96;-8.3;1.25;-0.77;-0.8;-4.0;-35.0;-21.0;256;2020-06-14 21:15:04:998
-0.98;-1.23;2.39;-1.56;-2.96;-8.3;1.77;-0.78;-0.66;-5.0;-35.0;-20.0;265;2020-06-14 21:15:05:007
-3.29;-0.78;-1.36;-2.84;-3.22;-11.45;1.77;-0.78;-0.66;-5.0;-35.0;-20.0;275;2020-06-14 21:15:05:017
-3.29;-0.78;-1.36;-2.84;-3.22;-11.45;1.77;-0.78;-0.66;-5.0;-35.0;-20.0;285;2020-06-14 21:15:05:027
-3.29;-0.78;-1.36;-2.84;-3.22;-11.45;1.77;-0.78;-0.66;-3.0;-37.0;-17.0;296;2020-06-14 21:15:05:038
-2.01;-1.39;-2.03;-1.9;-3.97;-11.24;1.63;0.44;-0.3;-3.0;-37.0;-17.0;306;2020-06-14 21:15:05:048
-2.01;-1.39;-2.03;-1.9;-3.97;-11.24;1.63;0.44;-0.3;-3.0;-37.0;-17.0;315;2020-06-14 21:15:05:057
-2.01;-1.39;-2.03;-1.9;-3.97;-11.24;1.63;0.44;-0.3;-4.0;-38.0;-16.0;325;2020-06-14 21:15:05:067
-1.94;-0.99;0.6;-1.87;-3.83;-8.48;0.91;0.06;-0.25;-4.0;-38.0;-16.0;336;2020-06-14 21:15:05:078
-1.94;-0.99;0.6;-1.87;-3.83;-8.48;0.91;0.06;-0.25;-4.0;-38.0;-16.0;346;2020-06-14 21:15:05:088
-2.9;-0.4;1.31;-1.87;-3.83;-8.48;0.91;0.06;-0.25;-4.0;-38.0;-16.0;356;2020-06-14 21:15:05:098
-2.9;-0.4;1.31;-2.54;-3.28;-7.63;0.75;-1.25;-0.43;-4.0;-38.0;-14.0;366;2020-06-14 21:15:05:108
-2.9;-0.4;1.31;-2.54;-3.28;-7.63;0.75;-1.25;-0.43;-4.0;-38.0;-14.0;376;2020-06-14 21:15:05:118
-2.12;-0.61;1.43;-2.54;-3.28;-7.63;0.75;-1.25;-0.43;-4.0;-38.0;-14.0;386;2020-06-14 21:15:05:128
-2.12;-0.61;1.43;-2.16;-4.06;-7.62;0.75;-1.25;-0.43;-3.0;-38.0;-13.0;396;2020-06-14 21:15:05:138
-2.12;-0.61;1.43;-2.16;-4.06;-7.62;0.92;-1.01;-0.72;-3.0;-38.0;-13.0;405;2020-06-14 21:15:05:147
-4.44;-0.94;0.38;-2.16;-4.06;-7.62;0.92;-1.01;-0.72;-3.0;-38.0;-13.0;415;2020-06-14 21:15:05:157
-4.44;-0.94;0.38;-4.89;-4.4;-8.83;0.92;-1.01;-0.72;-3.0;-38.0;-13.0;426;2020-06-14 21:15:05:168
-4.44;-0.94;0.38;-4.89;-4.4;-8.83;0.39;-0.49;-0.61;-2.0;-39.0;-11.0;436;2020-06-14 21:15:05:178
-5.31;-0.74;-1.64;-4.89;-4.4;-8.83;0.39;-0.49;-0.61;-2.0;-39.0;-11.0;446;2020-06-14 21:15:05:188
-5.31;-0.74;-1.64;-5.15;-4.21;-5.73;0.39;-0.49;-0.61;-2.0;-39.0;-11.0;456;2020-06-14 21:15:05:198
-5.31;-0.74;-1.64;-5.15;-4.21;-5.73;-0.32;-0.32;-0.29;-1.0;-39.0;-14.0;466;2020-06-14 21:15:05:208
-4.11;-1.91;4.51;-5.15;-4.21;-5.73;-0.32;-0.32;-0.29;-1.0;-39.0;-14.0;476;2020-06-14 21:15:05:218
-4.11;-1.91;4.51;-4.71;-5.11;-6.42;-0.32;-0.32;-0.29;-1.0;-39.0;-14.0;486;2020-06-14 21:15:05:228
-5.77;-0.25;2.52;-4.71;-5.11;-6.42;-1.08;0.59;0.09;-1.0;-39.0;-13.0;496;2020-06-14 21:15:05:238
-5.77;-0.25;2.52;-4.71;-5.11;-6.42;-1.08;0.59;0.09;-1.0;-39.0;-13.0;505;2020-06-14 21:15:05:247
-5.77;-0.25;2.52;-5.79;-3.16;-4.12;-1.08;0.59;0.09;-1.0;-39.0;-13.0;516;2020-06-14 21:15:05:258
-4.72;-0.24;7.35;-5.79;-3.16;-4.12;-2.44;1.43;0.76;-1.0;-39.0;-13.0;526;2020-06-14 21:15:05:268
-4.72;-0.24;7.35;-3.84;-2.85;0.76;-2.44;1.43;0.76;-2.0;-39.0;-15.0;536;2020-06-14 21:15:05:278
-4.72;-0.24;7.35;-3.84;-2.85;0.76;-2.44;1.43;0.76;-2.0;-39.0;-15.0;546;2020-06-14 21:15:05:288
-3.11;-1.03;11.0;-3.84;-2.85;0.76;-2.09;0.62;1.16;-2.0;-39.0;-15.0;556;2020-06-14 21:15:05:298
-3.11;-1.03;11.0;-0.85;-4.04;2.54;-2.09;0.62;1.16;-2.0;-37.0;-18.0;566;2020-06-14 21:15:05:308
-3.11;-2.46;12.05;-0.85;-4.04;2.54;-2.09;0.62;1.16;-2.0;-37.0;-18.0;576;2020-06-14 21:15:05:318
0.47;-2.46;12.05;-0.85;-4.04;2.54;-1.43;0.53;0.83;-2.0;-37.0;-18.0;586;2020-06-14 21:15:05:328
0.47;-2.46;12.05;0.83;-1.96;3.0;-1.43;0.53;0.83;-3.0;-36.0;-20.0;595;2020-06-14 21:15:05:337
0.23;1.78;14.59;0.83;-1.96;3.0;-1.43;0.53;0.83;-3.0;-36.0;-20.0;606;2020-06-14 21:15:05:348
0.23;1.78;14.59;0.83;-1.96;3.0;-1.43;0.53;0.83;-3.0;-36.0;-20.0;616;2020-06-14 21:15:05:358
0.23;1.78;14.59;2.32;1.22;5.81;-1.45;0.47;1.1;-3.0;-36.0;-20.0;625;2020-06-14 21:15:05:367
3.47;0.9;14.63;2.32;1.22;5.81;-1.45;0.47;1.1;-4.0;-35.0;-21.0;636;2020-06-14 21:15:05:378
3.47;0.9;14.63;2.32;1.22;3.48;-1.45;0.47;1.1;-4.0;-35.0;-21.0;646;2020-06-14 21:15:05:388
3.47;0.9;14.63;6.24;-2.38;3.48;-0.67;-0.34;0.42;-4.0;-35.0;-21.0;655;2020-06-14 21:15:05:397
6.06;-2.78;11.19;6.24;-2.38;3.48;-0.67;-0.34;0.42;-5.0;-34.0;-23.0;665;2020-06-14 21:15:05:407
6.06;-2.78;11.19;4.68;-2.26;4.98;-0.67;-0.34;0.42;-5.0;-34.0;-23.0;676;2020-06-14 21:15:05:418
6.06;-2.78;11.19;4.68;-2.26;4.98;-1.51;-0.23;-0.18;-5.0;-34.0;-23.0;686;2020-06-14 21:15:05:428
3.46;0.4;17.57;4.68;-2.26;4.98;-1.51;-0.23;-0.18;-6.0;-33.0;-25.0;696;2020-06-14 21:15:05:438
