ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.4977,-0.3903,9.7256,2.6221,-1.5128,0.1107,-0.6561,-0.2225,0.7807,-10.14,-34.96,-25.26,5,2020-06-13 12:20:18:882
2.4977,-0.3903,9.7256,2.6221,-1.5128,0.1107,-0.6561,-0.2225,0.7807,-10.14,-34.96,-25.26,14,2020-06-13 12:20:18:891
2.4977,-0.3903,9.7256,2.6221,-1.5128,0.1107,-0.2297,-0.0685,0.727,-10.14,-33.75,-26.16,26,2020-06-13 12:20:18:903
3.1366,-0.5243,9.003,3.1844,-1.5529,-0.6209,-0.2297,-0.0685,0.727,-10.14,-33.75,-26.16,34,2020-06-13 12:20:18:911
3.1366,-0.5243,9.003,3.1844,-1.5529,-0.6209,-0.2297,-0.0685,0.727,-10.14,-33.75,-26.16,44,2020-06-13 12:20:18:921
3.1366,-0.5243,9.003,3.1844,-1.5529,-0.6209,-0.6817,-0.0221,0.7624,-10.14,-33.75,-26.16,55,2020-06-13 12:20:18:932
3.6846,0.3275,9.0939,3.677,-0.5287,-0.5381,-0.6817,-0.0221,0.7624,-11.34,-33.92,-27.06,65,2020-06-13 12:20:18:942
3.6846,0.3275,9.0939,3.677,-0.5287,-0.5381,-0.6817,-0.0221,0.7624,-11.34,-33.92,-27.06,74,2020-06-13 12:20:18:951
3.6846,0.3275,9.0939,3.677,-0.5287,-0.5381,-0.6817,-0.0221,0.7624,-11.34,-33.92,-27.06,84,2020-06-13 12:20:18:961
3.6248,0.6745,9.7544,3.677,-0.5287,-0.5381,-1.1142,0.0365,0.8821,-11.34,-33.92,-27.06,94,2020-06-13 12:20:18:971
3.6248,0.6745,9.7544,3.6012,0.0191,0.0304,-1.1142,0.0365,0.8821,-12.24,-32.88,-28.26,105,2020-06-13 12:20:18:982
4.1081,-0.0984,10.5225,3.6012,0.0191,0.0304,-1.1142,0.0365,0.8821,-12.24,-32.88,-28.26,114,2020-06-13 12:20:18:991
4.1081,-0.0984,10.5225,3.9104,-0.389,3.3572,-1.4184,0.2747,0.843,-12.24,-32.88,-28.26,124,2020-06-13 12:20:19:001
4.1081,-0.0984,10.5225,3.9104,-0.389,3.3572,-1.4184,0.2747,0.843,-13.74,-30.46,-30.06,134,2020-06-13 12:20:19:011
3.1151,-0.1917,15.3799,3.9104,-0.389,3.3572,-1.4184,0.2747,0.843,-13.74,-30.46,-30.06,144,2020-06-13 12:20:19:021
3.1151,-0.1917,15.3799,2.6936,0.2155,7.2191,-0.5694,0.414,0.5779,-13.74,-30.46,-30.06,154,2020-06-13 12:20:19:031
3.1151,-0.1917,15.3799,2.6936,0.2155,7.2191,-0.5694,0.414,0.5779,-12.54,-29.42,-30.66,164,2020-06-13 12:20:19:041
3.2228,0.184,16.4399,2.6936,0.2155,7.2191,-0.5694,0.414,0.5779,-12.54,-29.42,-30.66,174,2020-06-13 12:20:19:051
3.2228,0.184,16.4399,3.7007,0.2999,5.9675,-0.5694,0.414,0.5779,-12.54,-29.42,-30.66,184,2020-06-13 12:20:19:061
3.2228,0.184,16.4399,3.7007,0.2999,5.9675,0.5167,0.0658,0.2762,-12.54,-29.42,-30.66,194,2020-06-13 12:20:19:071
3.7276,0.0045,14.4658,3.7007,0.2999,5.9675,0.5167,0.0658,0.2762,-13.74,-30.11,-30.06,204,2020-06-13 12:20:19:081
3.7276,0.0045,14.4658,3.6724,0.0737,4.3968,0.5167,0.0658,0.2762,-13.74,-30.11,-30.06,214,2020-06-13 12:20:19:091
3.7276,0.0045,14.4658,3.6724,0.0737,4.3968,0.8087,0.0219,-0.2064,-13.74,-30.11,-30.06,224,2020-06-13 12:20:19:101
3.0744,0.5142,13.492,3.6724,0.0737,4.3968,0.8087,0.0219,-0.2064,-13.74,-30.11,-30.66,234,2020-06-13 12:20:19:111
3.0744,0.5142,13.492,3.1072,0.66,3.236,0.8087,0.0219,-0.2064,-13.74,-30.11,-30.66,244,2020-06-13 12:20:19:121
3.0744,0.5142,13.492,3.1072,0.66,3.236,0.5827,-0.0856,-0.6658,-13.74,-30.11,-30.66,254,2020-06-13 12:20:19:131
3.3927,1.3397,12.3123,3.1072,0.66,3.236,0.5827,-0.0856,-0.6658,-11.94,-31.84,-28.26,264,2020-06-13 12:20:19:141
3.3927,1.3397,12.3123,3.1072,0.66,3.236,0.5827,-0.0856,-0.6658,-11.94,-31.84,-28.26,274,2020-06-13 12:20:19:151
3.3161,1.2392,11.9151,3.4012,0.9419,2.0566,0.2345,-0.5389,-1.1435,-11.94,-31.84,-28.26,285,2020-06-13 12:20:19:162
3.3161,1.2392,11.9151,3.4012,0.9419,2.0566,0.2345,-0.5389,-1.1435,-11.94,-31.84,-28.26,294,2020-06-13 12:20:19:171
3.3161,1.2392,11.9151,2.7932,0.2313,1.3219,0.2345,-0.5389,-1.1435,-12.24,-32.36,-27.96,305,2020-06-13 12:20:19:182
3.0672,0.5644,11.0369,2.7932,0.2313,1.3219,0.0708,-1.0031,-1.5381,-12.24,-32.36,-27.96,318,2020-06-13 12:20:19:195
3.0672,0.5644,11.0369,2.7932,0.2313,1.3219,0.0708,-1.0031,-1.5381,-12.24,-32.36,-27.96,324,2020-06-13 12:20:19:201
3.0672,0.5644,11.0369,2.7932,0.2313,1.3219,0.0708,-1.0031,-1.5381,-11.94,-32.88,-27.06,335,2020-06-13 12:20:19:212
3.0672,0.5644,11.0369,1.7916,-0.4437,-0.0544,0.0708,-1.0031,-1.5381,-11.94,-32.88,-27.06,345,2020-06-13 12:20:19:222
2.2465,0.0571,9.6108,1.7916,-0.4437,-0.0544,-0.0807,-0.7845,-1.6835,-11.94,-32.88,-27.06,355,2020-06-13 12:20:19:232
2.2465,0.0571,9.6108,0.9394,-0.7203,-1.4813,-0.0807,-0.7845,-1.6835,-9.54,-33.57,-28.26,364,2020-06-13 12:20:19:241
2.2465,0.0571,9.6108,0.9394,-0.7203,-1.4813,-0.0807,-0.7845,-1.6835,-9.54,-33.57,-28.26,374,2020-06-13 12:20:19:251
1.3564,-0.3305,7.8664,0.9394,-0.7203,-1.4813,-0.2285,-0.2444,-1.7666,-9.54,-33.57,-28.26,384,2020-06-13 12:20:19:261
1.3564,-0.3305,7.8664,-0.1376,-0.9118,-2.1774,-0.2285,-0.2444,-1.7666,-9.54,-33.57,-28.26,394,2020-06-13 12:20:19:271
0.4495,-0.4812,7.5936,-0.1376,-0.9118,-2.1774,-0.2285,-0.2444,-1.7666,-7.14,-34.96,-27.06,404,2020-06-13 12:20:19:281
0.4495,-0.4812,7.5936,-0.1376,-0.9118,-2.1774,-0.2566,0.2467,-1.7043,-7.14,-34.96,-27.06,414,2020-06-13 12:20:19:291
0.4495,-0.4812,7.5936,-0.8945,-1.325,-2.1516,-0.2566,0.2467,-1.7043,-7.14,-34.96,-27.06,425,2020-06-13 12:20:19:302
-0.3401,-0.9478,7.7564,-0.8945,-1.325,-2.1516,-0.2566,0.2467,-1.7043,-6.24,-35.13,-28.56,434,2020-06-13 12:20:19:311
-0.3401,-0.9478,7.7564,-0.8945,-1.325,-2.1516,0.0061,0.1685,-1.5527,-6.24,-35.13,-28.56,445,2020-06-13 12:20:19:322
-0.3401,-0.9478,7.7564,-0.9569,-1.5529,-1.1449,0.0061,0.1685,-1.5527,-6.24,-35.13,-28.56,457,2020-06-13 12:20:19:334
-0.388,-1.0818,8.7853,-0.9569,-1.5529,-1.1449,0.0061,0.1685,-1.5527,-4.14,-34.79,-27.96,464,2020-06-13 12:20:19:341
-0.388,-1.0818,8.7853,-0.9569,-1.5529,-1.1449,0.4752,-0.1394,-1.5234,-4.14,-34.79,-27.96,475,2020-06-13 12:20:19:352
-0.388,-1.0818,8.7853,-1.385,-1.3793,-1.5149,0.4752,-0.1394,-1.5234,-4.14,-34.79,-27.96,484,2020-06-13 12:20:19:361
