ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.881,2.555,7.438,0.155,1.181,-2.216,0.693,-0.633,0.225,-3.2,-38.9,-26.8,6,2020-06-14 09:53:17:059
-0.584,1.347,6.993,0.155,1.181,-2.216,0.693,-0.633,0.225,-4.4,-38.6,-25.0,17,2020-06-14 09:53:17:070
-0.584,1.347,6.993,0.155,1.181,-2.216,0.693,-0.633,0.225,-4.4,-38.6,-25.0,27,2020-06-14 09:53:17:080
-0.584,1.347,6.993,0.155,1.181,-2.216,0.693,-0.633,0.225,-4.4,-38.6,-25.0,37,2020-06-14 09:53:17:090
0.229,-0.029,5.239,-0.007,-0.888,-4.754,0.687,-0.49,0.325,-5.6,-38.6,-25.6,47,2020-06-14 09:53:17:100
0.229,-0.029,5.239,-0.007,-0.888,-4.754,0.687,-0.49,0.325,-5.6,-38.6,-25.6,56,2020-06-14 09:53:17:109
0.229,-0.029,5.239,-0.007,-0.888,-4.754,0.687,-0.49,0.325,-5.6,-38.6,-25.6,67,2020-06-14 09:53:17:120
1.081,-0.747,5.426,1.142,-2.407,-4.478,0.647,-0.188,0.221,-6.2,-38.9,-24.4,76,2020-06-14 09:53:17:129
1.081,-0.747,5.426,1.142,-2.407,-4.478,0.647,-0.188,0.221,-6.2,-38.9,-24.4,86,2020-06-14 09:53:17:139
1.081,-0.747,5.426,1.142,-2.407,-4.478,0.647,-0.188,0.221,-6.2,-38.9,-24.4,97,2020-06-14 09:53:17:150
1.239,0.064,5.665,1.329,-1.755,-4.176,0.647,-0.188,0.221,-6.2,-39.8,-23.5,107,2020-06-14 09:53:17:160
1.239,0.064,5.665,1.329,-1.755,-4.176,0.553,-0.248,-0.051,-6.2,-39.8,-23.5,116,2020-06-14 09:53:17:169
1.239,0.064,5.665,1.329,-1.755,-4.176,0.553,-0.248,-0.051,-6.2,-39.8,-23.5,126,2020-06-14 09:53:17:179
1.067,0.246,4.572,1.086,-1.686,-5.209,0.553,-0.248,-0.051,-6.2,-39.8,-23.5,136,2020-06-14 09:53:17:189
1.067,0.246,4.572,1.086,-1.686,-5.209,0.227,-0.144,-0.12,-6.8,-39.5,-22.9,146,2020-06-14 09:53:17:199
1.067,0.246,4.572,1.086,-1.686,-5.209,0.227,-0.144,-0.12,-6.8,-39.5,-22.9,157,2020-06-14 09:53:17:210
1.6,0.232,7.342,1.585,-1.747,-2.398,0.227,-0.144,-0.12,-6.8,-39.5,-22.9,166,2020-06-14 09:53:17:219
