ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.244,-0.051,4.457,2.202,-1.881,-4.752,-0.108,-0.111,0.184,-0.5,-42.1,-23.2,6,2020-06-14 10:05:05:622
1.244,-0.051,4.457,2.123,-2.772,-5.292,-0.203,-0.173,0.256,-0.5,-41.7,-23.2,15,2020-06-14 10:05:05:631
1.545,-0.845,3.389,2.123,-2.772,-5.292,-0.203,-0.173,0.256,-0.5,-41.7,-23.2,26,2020-06-14 10:05:05:642
1.545,-0.845,3.389,2.123,-2.772,-5.292,-0.203,-0.173,0.256,-0.5,-41.7,-23.2,35,2020-06-14 10:05:05:651
1.545,-0.845,3.389,3.249,-3.247,-6.328,-0.203,-0.173,0.256,-0.8,-41.5,-24.1,46,2020-06-14 10:05:05:662
2.622,-1.259,3.045,3.249,-3.247,-6.328,-0.33,-0.053,0.081,-0.8,-41.5,-24.1,55,2020-06-14 10:05:05:671
2.622,-1.259,3.045,3.249,-3.247,-6.328,-0.33,-0.053,0.081,-0.8,-41.5,-24.1,65,2020-06-14 10:05:05:681
2.622,-1.259,3.045,2.258,-3.265,-5.545,-0.33,-0.053,0.081,-1.1,-41.2,-23.5,76,2020-06-14 10:05:05:692
1.112,-1.266,4.251,2.258,-3.265,-5.545,-0.325,0.179,-0.096,-1.1,-41.2,-23.5,85,2020-06-14 10:05:05:701
1.112,-1.266,4.251,2.258,-3.265,-5.545,-0.325,0.179,-0.096,-1.1,-41.2,-23.5,95,2020-06-14 10:05:05:711
0.148,-1.338,6.993,0.76,-3.196,-2.415,-0.325,0.179,-0.096,-1.1,-41.2,-23.5,105,2020-06-14 10:05:05:721
0.148,-1.338,6.993,0.76,-3.196,-2.415,-0.216,-0.19,-0.074,-1.1,-41.0,-24.4,115,2020-06-14 10:05:05:731
0.148,-1.338,6.993,0.76,-3.196,-2.415,-0.216,-0.19,-0.074,-1.1,-41.0,-24.4,125,2020-06-14 10:05:05:741
2.16,-0.835,6.144,2.759,-2.811,-3.054,-0.216,-0.19,-0.074,-1.1,-41.0,-24.4,135,2020-06-14 10:05:05:751
2.16,-0.835,6.144,2.759,-2.811,-3.054,-1.056,-0.489,-0.261,-1.1,-39.8,-25.9,145,2020-06-14 10:05:05:761
2.16,-0.835,6.144,2.759,-2.811,-3.054,-1.056,-0.489,-0.261,-1.1,-39.8,-25.9,156,2020-06-14 10:05:05:772
0.454,-0.335,7.565,1.399,-1.834,-2.389,-1.056,-0.489,-0.261,-1.1,-39.8,-25.9,166,2020-06-14 10:05:05:782
0.454,-0.335,7.565,1.399,-1.834,-2.389,-2.059,-0.382,-0.082,-0.2,-39.1,-24.7,175,2020-06-14 10:05:05:791
0.454,-0.335,7.565,1.399,-1.834,-2.389,-2.059,-0.382,-0.082,-0.2,-39.1,-24.7,185,2020-06-14 10:05:05:801
-0.295,-0.79,13.353,0.179,-1.641,3.9,-2.059,-0.382,-0.082,-0.2,-39.1,-24.7,195,2020-06-14 10:05:05:811
-0.295,-0.79,13.353,0.179,-1.641,3.9,-2.059,-0.382,-0.082,-0.2,-39.1,-24.7,206,2020-06-14 10:05:05:822
-0.295,-0.79,13.353,0.179,-1.641,3.9,-1.828,-0.192,0.017,-0.8,-38.1,-30.1,215,2020-06-14 10:05:05:831
0.897,0.952,13.066,1.301,0.695,3.536,-1.828,-0.192,0.017,-0.8,-38.1,-30.1,226,2020-06-14 10:05:05:842
0.897,0.952,13.066,1.301,0.695,3.536,-1.828,-0.192,0.017,-0.8,-38.1,-30.1,235,2020-06-14 10:05:05:851
0.897,0.952,13.066,1.301,0.695,3.536,-2.162,0.439,0.041,-1.1,-36.3,-31.3,245,2020-06-14 10:05:05:861
-1.635,2.785,19.251,-1.544,3.064,10.977,-2.162,0.439,0.041,-1.1,-36.3,-31.3,255,2020-06-14 10:05:05:871
-1.635,2.785,19.251,-1.544,3.064,10.977,-2.162,0.439,0.041,-1.1,-36.3,-31.3,266,2020-06-14 10:05:05:882
-1.635,2.785,19.251,-1.544,3.064,10.977,-0.871,1.195,0.064,-0.2,-35.5,-32.8,277,2020-06-14 10:05:05:893
-1.57,1.526,24.403,-1.544,3.064,10.977,-0.871,1.195,0.064,-0.2,-35.5,-32.8,286,2020-06-14 10:05:05:902
-1.57,1.526,24.403,-0.701,2.501,14.589,-0.871,1.195,0.064,-0.2,-35.5,-32.8,297,2020-06-14 10:05:05:913
-1.57,1.526,24.403,-0.701,2.501,14.589,-0.871,1.195,0.064,-0.2,-35.5,-32.8,307,2020-06-14 10:05:05:923
-3.046,3.338,23.279,-0.701,2.501,14.589,0.579,0.935,-0.306,0.7,-36.0,-32.5,315,2020-06-14 10:05:05:931
-3.046,3.338,23.279,-2.473,4.535,12.628,0.579,0.935,-0.306,0.7,-36.0,-32.5,325,2020-06-14 10:05:05:941
-3.941,4.044,20.716,-2.473,4.535,12.628,0.579,0.935,-0.306,0.7,-36.0,-32.5,335,2020-06-14 10:05:05:951
-3.941,4.044,20.716,-2.156,4.184,9.898,0.578,0.043,-0.041,2.2,-35.5,-32.2,345,2020-06-14 10:05:05:961
-3.941,4.044,20.716,-2.156,4.184,9.898,0.578,0.043,-0.041,2.2,-35.5,-32.2,355,2020-06-14 10:05:05:971
-3.228,3.783,18.455,-2.156,4.184,9.898,0.578,0.043,-0.041,2.2,-35.5,-32.2,366,2020-06-14 10:05:05:982
-3.228,3.783,18.455,-1.925,3.776,7.882,0.161,-0.604,0.254,1.0,-36.3,-33.1,376,2020-06-14 10:05:05:992
-3.228,3.783,18.455,-1.925,3.776,7.882,0.161,-0.604,0.254,1.0,-36.3,-33.1,386,2020-06-14 10:05:06:002
-3.271,2.445,15.437,-1.925,3.776,7.882,0.161,-0.604,0.254,1.0,-36.3,-33.1,396,2020-06-14 10:05:06:012
-3.271,2.445,15.437,-1.283,1.6,5.977,-0.207,-0.61,0.663,1.0,-36.3,-33.1,406,2020-06-14 10:05:06:022
-3.271,2.445,15.437,-1.283,1.6,5.977,-0.207,-0.61,0.663,-0.2,-36.2,-32.2,415,2020-06-14 10:05:06:031
-1.503,0.756,15.461,-1.283,1.6,5.977,-0.207,-0.61,0.663,-0.2,-36.2,-32.2,425,2020-06-14 10:05:06:041
