ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.831,-0.419,29.722,0.095,2.502,19.751,-1.472,0.311,-0.473,0.1,-27.2,-39.4,4,2020-06-14 10:28:42:827
0.394,-2.044,28.696,0.095,2.502,19.751,-0.53,-0.457,-0.275,0.1,-27.2,-39.4,15,2020-06-14 10:28:42:838
0.394,-2.044,28.696,0.095,2.502,19.751,-0.53,-0.457,-0.275,0.4,-26.1,-40.6,24,2020-06-14 10:28:42:847
0.394,-2.044,28.696,1.924,-0.204,18.411,-0.53,-0.457,-0.275,0.4,-26.1,-40.6,34,2020-06-14 10:28:42:857
1.165,-3.901,26.818,1.924,-0.204,18.411,1.019,-0.79,-0.49,0.4,-26.1,-40.6,44,2020-06-14 10:28:42:867
1.165,-3.901,26.818,1.924,-0.204,18.411,1.019,-0.79,-0.49,0.4,-26.1,-40.6,54,2020-06-14 10:28:42:877
1.165,-3.901,26.818,0.83,-1.38,13.148,1.019,-0.79,-0.49,-0.8,-27.5,-38.2,64,2020-06-14 10:28:42:887
0.251,-4.08,21.197,0.83,-1.38,13.148,2.414,-0.726,-0.759,-0.8,-27.5,-38.2,74,2020-06-14 10:28:42:897
0.251,-4.08,21.197,0.83,-1.38,13.148,2.414,-0.726,-0.759,-0.8,-27.5,-38.2,84,2020-06-14 10:28:42:907
0.095,-3.46,15.815,0.342,-1.562,7.583,2.414,-0.726,-0.759,-0.2,-30.6,-37.0,94,2020-06-14 10:28:42:917
0.095,-3.46,15.815,0.342,-1.562,7.583,2.852,-0.402,-0.847,-0.2,-30.6,-37.0,106,2020-06-14 10:28:42:929
0.095,-3.46,15.815,-0.196,-1.888,3.027,2.852,-0.402,-0.847,-0.2,-30.6,-37.0,114,2020-06-14 10:28:42:937
-0.075,-3.226,12.877,-0.196,-1.888,3.027,2.852,-0.402,-0.847,-0.2,-30.6,-37.0,124,2020-06-14 10:28:42:947
-0.075,-3.226,12.877,-0.196,-1.888,3.027,2.852,-0.402,-0.847,0.4,-34.6,-31.9,134,2020-06-14 10:28:42:957
-0.075,-3.226,12.877,0.282,-2.584,1.777,2.594,-0.033,-0.905,0.4,-34.6,-31.9,145,2020-06-14 10:28:42:968
0.55,-2.967,11.109,0.282,-2.584,1.777,2.594,-0.033,-0.905,0.4,-34.6,-31.9,155,2020-06-14 10:28:42:978
0.55,-2.967,11.109,0.282,-2.584,1.777,2.594,-0.033,-0.905,1.0,-36.0,-29.5,164,2020-06-14 10:28:42:987
0.55,-2.967,11.109,0.282,-2.584,1.777,2.346,0.061,-1.168,1.0,-36.0,-29.5,174,2020-06-14 10:28:42:997
-0.331,-1.685,9.501,-0.128,-2.13,-0.68,2.346,0.061,-1.168,1.0,-36.0,-29.5,184,2020-06-14 10:28:43:007
-0.331,-1.685,9.501,-0.128,-2.13,-0.68,2.346,0.061,-1.168,3.4,-38.6,-28.6,195,2020-06-14 10:28:43:018
-0.331,-1.685,9.501,-0.128,-2.13,-0.68,1.98,0.023,-1.254,3.4,-38.6,-28.6,204,2020-06-14 10:28:43:027
-2.405,-0.527,9.111,-2.439,-1.429,-1.121,1.98,0.023,-1.254,3.4,-38.6,-28.6,215,2020-06-14 10:28:43:038
-2.405,-0.527,9.111,-2.439,-1.429,-1.121,1.98,0.023,-1.254,3.4,-38.6,-28.6,225,2020-06-14 10:28:43:048
-2.405,-0.527,9.111,-2.439,-1.429,-1.121,1.98,0.023,-1.254,4.0,-40.0,-25.6,235,2020-06-14 10:28:43:058
-3.597,-0.079,8.56,-3.597,-1.531,-1.597,1.979,-0.195,-0.805,4.0,-40.0,-25.6,244,2020-06-14 10:28:43:067
-3.597,-0.079,8.56,-3.597,-1.531,-1.597,1.979,-0.195,-0.805,4.0,-40.0,-25.6,255,2020-06-14 10:28:43:078
-2.214,-0.151,5.464,-2.262,-2.169,-4.569,1.979,-0.195,-0.805,3.4,-40.8,-22.3,264,2020-06-14 10:28:43:087
-2.214,-0.151,5.464,-2.262,-2.169,-4.569,2.008,-0.325,-0.358,3.4,-40.8,-22.3,274,2020-06-14 10:28:43:097
-2.214,-0.151,5.464,-2.262,-2.169,-4.569,2.008,-0.325,-0.358,3.4,-40.8,-22.3,284,2020-06-14 10:28:43:107
-1.723,0.323,4.277,-1.802,-2.211,-5.593,2.008,-0.325,-0.358,4.3,-42.2,-21.1,294,2020-06-14 10:28:43:117
-1.723,0.323,4.277,-1.802,-2.211,-5.593,1.674,-0.147,-0.178,4.3,-42.2,-21.1,304,2020-06-14 10:28:43:127
-1.723,0.323,4.277,-1.802,-2.211,-5.593,1.674,-0.147,-0.178,4.3,-42.2,-21.1,314,2020-06-14 10:28:43:137
-1.826,0.646,3.763,-1.907,-2.39,-6.023,1.674,-0.147,-0.178,5.8,-43.4,-19.0,324,2020-06-14 10:28:43:147
-1.826,0.646,3.763,-1.907,-2.39,-6.023,1.405,-0.214,-0.108,5.8,-43.4,-19.0,334,2020-06-14 10:28:43:157
-1.826,0.646,3.763,-1.907,-2.39,-6.023,1.405,-0.214,-0.108,5.8,-43.4,-19.0,344,2020-06-14 10:28:43:167
-1.496,0.447,2.94,-1.63,-3.0,-6.801,1.405,-0.214,-0.108,4.3,-43.6,-18.1,355,2020-06-14 10:28:43:178
-1.496,0.447,2.94,-1.63,-3.0,-6.801,1.405,-0.214,-0.108,4.3,-43.6,-18.1,364,2020-06-14 10:28:43:187
-1.764,0.55,2.219,-1.63,-3.0,-6.801,1.141,-0.276,-0.188,4.3,-43.6,-18.1,375,2020-06-14 10:28:43:198
-1.764,0.55,2.219,-1.63,-3.0,-6.801,1.141,-0.276,-0.188,4.0,-44.1,-16.6,384,2020-06-14 10:28:43:207
-1.764,0.55,2.219,-1.977,-2.775,-6.92,1.141,-0.276,-0.188,4.0,-44.1,-16.6,394,2020-06-14 10:28:43:217
-1.474,0.751,2.009,-1.977,-2.775,-6.92,0.749,-0.356,-0.104,4.0,-44.1,-16.6,404,2020-06-14 10:28:43:227
-1.474,0.751,2.009,-1.511,-3.271,-7.333,0.749,-0.356,-0.104,5.2,-44.7,-15.7,414,2020-06-14 10:28:43:237
-1.474,0.751,2.009,-1.511,-3.271,-7.333,0.749,-0.356,-0.104,5.2,-44.7,-15.7,424,2020-06-14 10:28:43:247
-0.685,0.194,2.609,-1.511,-3.271,-7.333,0.478,-0.268,-0.069,5.2,-44.7,-15.7,435,2020-06-14 10:28:43:258
-0.685,0.194,2.609,-0.898,-3.846,-6.158,0.478,-0.268,-0.069,4.6,-44.1,-14.8,444,2020-06-14 10:28:43:267
-0.685,0.194,2.609,-0.898,-3.846,-6.158,0.478,-0.268,-0.069,4.6,-44.1,-14.8,454,2020-06-14 10:28:43:277
-0.35,0.158,2.045,-0.898,-3.846,-6.158,0.478,-0.268,-0.069,4.6,-44.1,-14.8,464,2020-06-14 10:28:43:287
-0.35,0.158,2.045,-0.826,-3.934,-7.657,0.776,-0.201,-0.229,5.2,-44.7,-12.7,474,2020-06-14 10:28:43:297
-0.35,0.158,2.045,-0.826,-3.934,-7.657,0.776,-0.201,-0.229,5.2,-44.7,-12.7,484,2020-06-14 10:28:43:307
-0.958,0.083,0.174,-0.826,-3.934,-7.657,0.776,-0.201,-0.229,5.2,-44.7,-12.7,494,2020-06-14 10:28:43:317
-0.958,0.083,0.174,-1.439,-4.151,-9.246,0.517,0.002,-0.376,6.1,-45.2,-11.2,504,2020-06-14 10:28:43:327
-0.958,0.083,0.174,-1.439,-4.151,-9.246,0.517,0.002,-0.376,6.1,-45.2,-11.2,514,2020-06-14 10:28:43:337
-1.178,0.182,-0.626,-1.439,-4.151,-9.246,0.517,0.002,-0.376,6.1,-45.2,-11.2,524,2020-06-14 10:28:43:347
-1.178,0.182,-0.626,-1.077,-3.716,-8.861,-0.429,0.173,-0.347,5.8,-44.7,-12.7,534,2020-06-14 10:28:43:357
-1.178,0.182,-0.626,-1.077,-3.716,-8.861,-0.429,0.173,-0.347,5.8,-44.7,-12.7,544,2020-06-14 10:28:43:367
-0.374,0.452,0.922,-1.077,-3.716,-8.861,-0.429,0.173,-0.347,5.8,-44.7,-12.7,554,2020-06-14 10:28:43:377
-0.374,0.452,0.922,-0.277,-3.553,-7.629,-0.924,0.007,-0.262,7.0,-44.7,-14.5,564,2020-06-14 10:28:43:387
-0.438,0.005,1.542,-0.277,-3.553,-7.629,-0.924,0.007,-0.262,7.0,-44.7,-14.5,574,2020-06-14 10:28:43:397
-0.438,0.005,1.542,-0.277,-3.553,-7.629,-0.924,0.007,-0.262,7.0,-44.7,-14.5,584,2020-06-14 10:28:43:407
-0.438,0.005,1.542,-1.024,-4.184,-6.914,-1.049,-0.037,-0.116,7.0,-44.7,-14.5,594,2020-06-14 10:28:43:417
-1.537,-0.615,2.664,-1.024,-4.184,-6.914,-1.049,-0.037,-0.116,7.6,-43.8,-15.4,604,2020-06-14 10:28:43:427
-1.537,-0.615,2.664,-1.024,-4.184,-6.914,-1.049,-0.037,-0.116,7.6,-43.8,-15.4,614,2020-06-14 10:28:43:437
-1.537,-0.615,2.664,-1.355,-3.478,-5.496,-1.049,-0.037,-0.116,7.6,-43.8,-15.4,624,2020-06-14 10:28:43:447
-0.835,-0.187,3.303,-1.355,-3.478,-5.496,-1.229,-0.046,-0.023,7.6,-44.1,-17.2,634,2020-06-14 10:28:43:457
-0.835,-0.187,3.303,-0.452,-3.931,-5.974,-1.229,-0.046,-0.023,7.6,-44.1,-17.2,645,2020-06-14 10:28:43:468
-0.835,-0.187,3.303,-0.452,-3.931,-5.974,-1.229,-0.046,-0.023,7.6,-44.1,-17.2,655,2020-06-14 10:28:43:478
-0.194,-1.548,3.712,-0.452,-3.931,-5.974,-1.421,0.282,-0.047,7.3,-43.3,-19.3,665,2020-06-14 10:28:43:488
-0.194,-1.548,3.712,-1.048,-3.902,-2.705,-1.421,0.282,-0.047,7.3,-43.3,-19.3,675,2020-06-14 10:28:43:498
-0.194,-1.548,3.712,-1.048,-3.902,-2.705,-1.421,0.282,-0.047,7.3,-43.3,-19.3,684,2020-06-14 10:28:43:507
-1.546,-0.527,8.891,-1.048,-3.902,-2.705,-1.418,0.244,-0.094,7.6,-42.2,-20.5,695,2020-06-14 10:28:43:518
-1.546,-0.527,8.891,-1.048,-3.902,-2.705,-1.418,0.244,-0.094,7.6,-42.2,-20.5,704,2020-06-14 10:28:43:527
-1.546,0.014,8.096,-0.872,-2.254,0.441,-1.418,0.244,-0.094,7.6,-42.2,-20.5,714,2020-06-14 10:28:43:537
