ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.774,0.909,9.984,-4.812,-0.645,0.123,-0.307,-0.275,-0.111,-1.0,-40.3,-20.2,4,2020-06-14 10:53:52:814
-4.774,0.909,9.984,-4.812,-0.645,0.123,-0.125,-0.105,-0.038,-1.0,-40.3,-20.2,15,2020-06-14 10:53:52:825
-4.774,0.909,9.984,-4.812,-0.645,0.123,-0.125,-0.105,-0.038,-1.0,-40.3,-20.2,25,2020-06-14 10:53:52:835
-5.32,1.017,10.482,-5.403,-0.542,0.806,-0.125,-0.105,-0.038,-0.7,-41.2,-19.9,34,2020-06-14 10:53:52:844
-5.32,1.017,10.482,-5.403,-0.542,0.806,-0.125,-0.105,-0.038,-0.7,-41.2,-19.9,45,2020-06-14 10:53:52:855
-5.32,1.017,10.482,-5.403,-0.542,0.806,-0.125,-0.105,-0.038,-0.7,-41.2,-19.9,54,2020-06-14 10:53:52:864
-5.525,1.148,10.106,-5.572,-0.438,0.432,0.231,0.088,-0.004,0.5,-41.3,-19.6,64,2020-06-14 10:53:52:874
-5.525,1.148,10.106,-5.572,-0.438,0.432,0.231,0.088,-0.004,0.5,-41.3,-19.6,75,2020-06-14 10:53:52:885
-5.525,1.148,10.106,-5.572,-0.438,0.432,0.231,0.088,-0.004,0.5,-41.3,-19.6,85,2020-06-14 10:53:52:895
-6.04,1.938,9.73,-5.852,0.165,0.09,0.38,0.343,-0.033,0.5,-41.9,-19.3,95,2020-06-14 10:53:52:905
-6.04,1.938,9.73,-5.852,0.165,0.09,0.38,0.343,-0.033,0.5,-41.9,-19.3,106,2020-06-14 10:53:52:916
-6.04,1.938,9.73,-5.852,0.165,0.09,0.38,0.343,-0.033,0.5,-41.9,-19.3,115,2020-06-14 10:53:52:925
-5.557,2.084,9.386,-5.259,0.213,-0.234,0.38,0.343,-0.033,0.5,-41.9,-19.3,125,2020-06-14 10:53:52:935
-5.557,2.084,9.386,-5.259,0.213,-0.234,0.274,0.191,0.201,0.5,-42.2,-19.3,135,2020-06-14 10:53:52:945
-5.557,2.084,9.386,-5.259,0.213,-0.234,0.274,0.191,0.201,0.5,-42.2,-19.3,145,2020-06-14 10:53:52:955
-4.724,2.182,9.64,-4.282,0.263,0.047,0.274,0.191,0.201,0.5,-42.2,-19.3,155,2020-06-14 10:53:52:965
-4.724,2.182,9.64,-4.282,0.263,0.047,0.133,0.179,0.443,-0.7,-41.2,-18.7,165,2020-06-14 10:53:52:975
-4.724,2.182,9.64,-4.282,0.263,0.047,0.133,0.179,0.443,-0.7,-41.2,-18.7,175,2020-06-14 10:53:52:985
-4.477,2.055,9.9,-4.413,-0.132,0.445,0.133,0.179,0.443,-0.7,-41.2,-18.7,185,2020-06-14 10:53:52:995
-4.477,2.055,9.9,-4.413,-0.132,0.445,0.061,0.051,0.745,-0.1,-41.2,-19.3,195,2020-06-14 10:53:53:005
-4.477,2.055,9.9,-4.413,-0.132,0.445,0.061,0.051,0.745,-0.1,-41.2,-19.3,205,2020-06-14 10:53:53:015
-4.54,1.005,9.553,-4.129,-0.982,-0.046,0.061,0.051,0.745,-0.1,-41.2,-19.3,214,2020-06-14 10:53:53:024
