ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.497,-0.821,9.403,2.557,-1.504,0.071,-0.288,0.714,0.552,-6.7,-35.8,-23.2,4,2020-06-14 20:38:19:940
0.497,-0.821,9.403,2.557,-1.504,0.071,-0.638,-0.182,0.368,-6.1,-35.3,-22.9,14,2020-06-14 20:38:19:950
1.174,0.105,8.371,2.557,-1.504,0.071,-0.638,-0.182,0.368,-6.1,-35.3,-22.9,24,2020-06-14 20:38:19:960
1.174,0.105,8.371,3.231,-1.131,-1.022,-0.638,-0.182,0.368,-6.1,-35.3,-22.9,34,2020-06-14 20:38:19:970
1.876,-0.843,9.525,3.231,-1.131,-1.022,-0.962,0.104,0.319,-6.1,-35.3,-22.9,44,2020-06-14 20:38:19:980
1.876,-0.843,9.525,3.231,-1.131,-1.022,-0.962,0.104,0.319,-7.6,-34.1,-24.4,53,2020-06-14 20:38:19:989
1.876,-0.843,9.525,4.575,-1.058,2.734,-0.962,0.104,0.319,-7.6,-34.1,-24.4,63,2020-06-14 20:38:19:999
1.876,-0.843,9.525,4.575,-1.058,2.734,-0.962,0.104,0.319,-7.6,-34.1,-24.4,73,2020-06-14 20:38:20:009
2.359,-0.878,12.365,4.575,-1.058,2.734,-0.523,0.358,0.0,-7.3,-33.4,-25.6,83,2020-06-14 20:38:20:019
2.359,-0.878,12.365,4.514,-1.363,4.282,-0.523,0.358,0.0,-7.3,-33.4,-25.6,93,2020-06-14 20:38:20:029
2.359,-0.878,12.365,4.514,-1.363,4.282,-0.523,0.358,0.0,-7.3,-33.4,-25.6,104,2020-06-14 20:38:20:040
2.404,0.021,13.092,4.514,-1.363,4.282,-0.461,-0.416,-0.52,-6.7,-33.9,-25.3,113,2020-06-14 20:38:20:049
2.404,0.021,13.092,4.117,-0.479,3.384,-0.461,-0.416,-0.52,-6.7,-33.9,-25.3,123,2020-06-14 20:38:20:059
2.404,0.021,13.092,4.117,-0.479,3.384,-0.461,-0.416,-0.52,-6.7,-33.9,-25.3,134,2020-06-14 20:38:20:070
1.849,-0.778,12.109,4.117,-0.479,3.384,-0.726,-0.533,-0.782,-6.7,-33.9,-25.3,144,2020-06-14 20:38:20:080
1.849,-0.778,12.109,3.2,-0.729,3.389,-0.726,-0.533,-0.782,-7.0,-32.3,-26.2,154,2020-06-14 20:38:20:090
1.186,-0.517,13.877,3.2,-0.729,3.389,-0.726,-0.533,-0.782,-7.0,-32.3,-26.2,164,2020-06-14 20:38:20:100
1.186,-0.517,13.877,2.996,-0.832,5.216,-0.971,-0.291,-0.8,-7.0,-32.3,-26.2,174,2020-06-14 20:38:20:110
1.186,-0.517,13.877,2.996,-0.832,5.216,-0.971,-0.291,-0.8,-5.2,-32.7,-28.0,184,2020-06-14 20:38:20:120
1.586,-1.383,15.796,2.996,-0.832,5.216,-0.971,-0.291,-0.8,-5.2,-32.7,-28.0,195,2020-06-14 20:38:20:131
1.586,-1.383,15.796,2.913,-0.846,6.406,-0.971,-0.291,-0.8,-5.2,-32.7,-28.0,204,2020-06-14 20:38:20:140
1.586,-1.383,15.796,2.913,-0.846,6.406,-0.466,0.009,-1.053,-3.7,-31.6,-29.2,214,2020-06-14 20:38:20:150
0.93,-1.158,15.72,2.913,-0.846,6.406,-0.466,0.009,-1.053,-3.7,-31.6,-29.2,224,2020-06-14 20:38:20:160
0.93,-1.158,15.72,2.057,-0.497,5.969,-0.466,0.009,-1.053,-3.7,-31.6,-29.2,234,2020-06-14 20:38:20:170
0.93,-1.158,15.72,2.057,-0.497,5.969,0.173,-0.046,-1.142,-3.7,-31.6,-29.2,243,2020-06-14 20:38:20:179
0.373,-0.867,14.992,2.057,-0.497,5.969,0.173,-0.046,-1.142,-3.4,-31.3,-29.2,254,2020-06-14 20:38:20:190
0.373,-0.867,14.992,1.399,0.323,4.216,0.173,-0.046,-1.142,-3.4,-31.3,-29.2,264,2020-06-14 20:38:20:200
-0.065,0.11,13.31,1.399,0.323,4.216,0.173,-0.338,-1.181,-3.4,-31.3,-29.2,274,2020-06-14 20:38:20:210
-0.065,0.11,13.31,1.399,0.323,4.216,0.173,-0.338,-1.181,-2.2,-32.5,-27.1,284,2020-06-14 20:38:20:220
-0.065,0.11,13.31,1.399,0.323,4.216,0.173,-0.338,-1.181,-2.2,-32.5,-27.1,294,2020-06-14 20:38:20:230
-0.204,0.304,12.973,1.14,0.929,3.283,-0.248,-0.482,-1.091,-2.2,-32.5,-27.1,303,2020-06-14 20:38:20:239
-0.204,0.304,12.973,1.14,0.929,3.283,-0.248,-0.482,-1.091,-1.6,-32.2,-28.3,314,2020-06-14 20:38:20:250
-0.204,0.304,12.973,0.505,0.331,4.346,-0.248,-0.482,-1.091,-1.6,-32.2,-28.3,324,2020-06-14 20:38:20:260
-0.632,-0.536,14.473,0.505,0.331,4.346,-0.419,-0.36,-0.98,-1.6,-32.2,-28.3,334,2020-06-14 20:38:20:270
-0.632,-0.536,14.473,0.505,0.331,4.346,-0.419,-0.36,-0.98,-1.6,-32.2,-28.3,344,2020-06-14 20:38:20:280
-0.632,-0.536,14.473,0.505,0.331,4.346,-0.419,-0.36,-0.98,0.5,-32.5,-28.9,353,2020-06-14 20:38:20:289
-0.524,-1.647,15.703,0.384,-0.845,5.866,-0.419,-0.36,-0.98,0.5,-32.5,-28.9,364,2020-06-14 20:38:20:300
-0.524,-1.647,15.703,0.384,-0.845,5.866,0.171,-0.722,-1.059,0.5,-32.5,-28.9,373,2020-06-14 20:38:20:309
-0.524,-1.647,15.703,0.384,-0.845,5.866,0.171,-0.722,-1.059,0.2,-32.7,-29.2,384,2020-06-14 20:38:20:320
-0.711,-1.003,13.513,-0.039,-0.241,3.621,0.171,-0.722,-1.059,0.2,-32.7,-29.2,394,2020-06-14 20:38:20:330
-0.711,-1.003,13.513,-0.039,-0.241,3.621,0.359,-0.661,-1.361,0.2,-32.7,-29.2,404,2020-06-14 20:38:20:340
-3.054,0.323,12.786,-0.039,-0.241,3.621,0.359,-0.661,-1.361,1.1,-32.9,-28.3,414,2020-06-14 20:38:20:350
-3.054,0.323,12.786,-2.861,1.02,2.835,0.359,-0.661,-1.361,1.1,-32.9,-28.3,424,2020-06-14 20:38:20:360
-3.054,0.323,12.786,-2.861,1.02,2.835,0.065,-0.443,-1.151,1.1,-32.9,-28.3,434,2020-06-14 20:38:20:370
-2.831,-0.182,13.071,-2.861,1.02,2.835,0.065,-0.443,-1.151,1.1,-32.9,-28.3,444,2020-06-14 20:38:20:380
-2.831,-0.182,13.071,-2.244,0.405,3.198,0.065,-0.443,-1.151,2.3,-33.5,-27.1,454,2020-06-14 20:38:20:390
-2.831,-0.182,13.071,-2.244,0.405,3.198,0.065,-0.443,-1.151,2.3,-33.5,-27.1,464,2020-06-14 20:38:20:400
-2.431,-0.84,14.246,-2.525,-0.272,4.608,-0.072,-0.413,-0.938,2.3,-33.5,-27.1,474,2020-06-14 20:38:20:410
-2.431,-0.84,14.246,-2.525,-0.272,4.608,-0.072,-0.413,-0.938,1.1,-32.9,-27.7,484,2020-06-14 20:38:20:420
-2.431,-0.84,14.246,-2.525,-0.272,4.608,-0.072,-0.413,-0.938,1.1,-32.9,-27.7,494,2020-06-14 20:38:20:430
-4.717,-0.917,14.853,-4.592,-0.219,4.548,0.033,-0.221,-0.893,1.1,-32.9,-27.7,504,2020-06-14 20:38:20:440
