ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.405,0.914,6.153,-0.091,-1.769,-5.344,1.746,-0.11,-0.135,-7.9,-36.3,-21.1,3,2020-06-14 20:40:18:561
0.703,-1.369,6.689,-0.091,-1.769,-5.344,1.322,-0.017,0.062,-7.3,-37.5,-19.6,14,2020-06-14 20:40:18:572
0.703,-1.369,6.689,1.324,-2.903,-3.223,1.322,-0.017,0.062,-7.3,-37.5,-19.6,25,2020-06-14 20:40:18:583
0.703,-1.369,6.689,1.324,-2.903,-3.223,1.322,-0.017,0.062,-7.3,-37.5,-19.6,34,2020-06-14 20:40:18:592
0.208,-1.915,5.636,1.324,-2.903,-3.223,1.406,0.059,0.136,-7.6,-37.9,-19.6,44,2020-06-14 20:40:18:602
0.208,-1.915,5.636,0.912,-3.625,-4.091,1.406,0.059,0.136,-7.6,-37.9,-19.6,53,2020-06-14 20:40:18:611
0.208,-1.915,5.636,0.912,-3.625,-4.091,1.406,0.059,0.136,-7.6,-37.9,-19.6,63,2020-06-14 20:40:18:621
0.593,-1.924,2.404,0.912,-3.625,-4.091,1.406,0.059,0.136,-7.6,-37.9,-19.6,74,2020-06-14 20:40:18:632
0.593,-1.924,2.404,1.077,-4.454,-7.395,1.278,0.13,0.17,-7.6,-39.1,-16.9,84,2020-06-14 20:40:18:642
0.593,-1.924,2.404,1.077,-4.454,-7.395,1.278,0.13,0.17,-7.6,-39.1,-16.9,94,2020-06-14 20:40:18:652
0.378,-1.24,2.767,1.077,-4.454,-7.395,1.278,0.13,0.17,-7.6,-39.1,-16.9,104,2020-06-14 20:40:18:662
0.378,-1.24,2.767,0.772,-3.623,-7.114,1.165,0.331,0.089,-7.0,-40.1,-13.9,114,2020-06-14 20:40:18:672
0.378,-1.24,2.767,0.772,-3.623,-7.114,1.165,0.331,0.089,-7.0,-40.1,-13.9,124,2020-06-14 20:40:18:682
0.217,-0.268,1.837,0.56,-2.886,-7.088,1.165,0.331,0.089,-7.0,-40.1,-13.9,134,2020-06-14 20:40:18:692
0.217,-0.268,1.837,0.56,-2.886,-7.088,0.84,0.007,-0.008,-7.0,-40.1,-13.9,144,2020-06-14 20:40:18:702
0.217,-0.268,1.837,0.56,-2.886,-7.088,0.84,0.007,-0.008,-6.4,-40.5,-13.3,154,2020-06-14 20:40:18:712
0.057,0.471,2.112,0.918,-2.103,-7.601,0.84,0.007,-0.008,-6.4,-40.5,-13.3,164,2020-06-14 20:40:18:722
0.057,0.471,2.112,0.918,-2.103,-7.601,0.84,0.007,-0.008,-6.4,-40.5,-13.3,174,2020-06-14 20:40:18:732
0.057,0.471,2.112,0.918,-2.103,-7.601,0.468,0.126,-0.102,-6.1,-41.3,-11.8,184,2020-06-14 20:40:18:742
1.282,1.512,3.456,2.663,-1.636,-5.802,0.468,0.126,-0.102,-6.1,-41.3,-11.8,195,2020-06-14 20:40:18:753
1.282,1.512,3.456,2.663,-1.636,-5.802,0.468,0.126,-0.102,-6.1,-41.3,-11.8,205,2020-06-14 20:40:18:763
2.294,3.185,7.553,2.663,-1.636,-5.802,-0.183,0.07,-0.269,-5.2,-40.8,-12.7,214,2020-06-14 20:40:18:772
2.294,3.185,7.553,2.663,-1.636,-5.802,-0.183,0.07,-0.269,-5.2,-40.8,-12.7,224,2020-06-14 20:40:18:782
2.294,3.185,7.553,3.439,-0.948,-0.604,-0.183,0.07,-0.269,-5.2,-40.8,-12.7,234,2020-06-14 20:40:18:792
1.646,1.868,11.015,3.439,-0.948,-0.604,-0.175,-0.513,-0.043,-5.2,-40.8,-12.7,244,2020-06-14 20:40:18:802
1.646,1.868,11.015,3.923,-1.76,1.988,-0.175,-0.513,-0.043,-6.1,-41.5,-11.5,254,2020-06-14 20:40:18:812
1.646,1.868,11.015,3.923,-1.76,1.988,-0.175,-0.513,-0.043,-6.1,-41.5,-11.5,264,2020-06-14 20:40:18:822
