ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.866,1.591,7.316,2.574,-1.506,-1.239,0.109,0.215,-0.15,-11.5,-39.4,-12.7,6,2020-06-14 20:48:42:630
2.866,1.591,7.316,2.574,-1.506,-1.239,0.109,0.215,-0.15,-11.8,-38.7,-13.9,16,2020-06-14 20:48:42:640
4.618,2.189,10.24,4.459,-0.993,1.053,0.109,0.215,-0.15,-11.8,-38.7,-13.9,26,2020-06-14 20:48:42:650
4.618,2.189,10.24,4.459,-0.993,1.053,0.496,0.165,-0.281,-11.8,-38.7,-13.9,36,2020-06-14 20:48:42:660
4.618,2.189,10.24,4.459,-0.993,1.053,0.496,0.165,-0.281,-11.5,-39.6,-11.8,46,2020-06-14 20:48:42:670
6.254,2.134,10.527,5.948,-1.245,1.003,0.496,0.165,-0.281,-11.5,-39.6,-11.8,56,2020-06-14 20:48:42:680
6.254,2.134,10.527,5.948,-1.245,1.003,0.821,0.182,-0.691,-11.5,-39.6,-11.8,66,2020-06-14 20:48:42:690
6.515,1.845,8.91,5.948,-1.245,1.003,0.821,0.182,-0.691,-11.5,-39.6,-11.8,76,2020-06-14 20:48:42:700
6.515,1.845,8.91,5.929,-1.744,-1.102,0.821,0.182,-0.691,-9.1,-40.1,-11.5,86,2020-06-14 20:48:42:710
6.515,1.845,8.91,5.929,-1.744,-1.102,0.821,0.182,-0.691,-9.1,-40.1,-11.5,96,2020-06-14 20:48:42:720
