ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.624,-1.381,9.082,2.603,-2.313,-0.494,0.181,-0.511,0.742,-12.3,-30.8,-23.5,4,2020-06-14 21:01:21:412
1.624,-1.381,9.082,2.603,-2.313,-0.494,0.181,-0.511,0.742,-12.0,-31.4,-22.3,14,2020-06-14 21:01:21:422
2.409,-2.388,11.063,2.603,-2.313,-0.494,0.181,-0.511,0.742,-12.0,-31.4,-22.3,24,2020-06-14 21:01:21:432
2.409,-2.388,11.063,2.862,-1.974,1.673,0.181,-0.511,0.742,-12.0,-31.4,-22.3,34,2020-06-14 21:01:21:442
2.409,-2.388,11.063,2.862,-1.974,1.673,0.034,0.015,0.644,-13.5,-30.6,-23.2,44,2020-06-14 21:01:21:452
2.129,-0.187,11.494,2.862,-1.974,1.673,0.034,0.015,0.644,-13.5,-30.6,-23.2,54,2020-06-14 21:01:21:462
2.129,-0.187,11.494,2.856,-0.966,1.14,0.034,0.015,0.644,-13.5,-30.6,-23.2,64,2020-06-14 21:01:21:472
2.129,-0.187,11.494,2.856,-0.966,1.14,-1.191,-0.666,0.285,-13.5,-30.6,-23.2,74,2020-06-14 21:01:21:482
2.177,2.359,11.92,2.856,-0.966,1.14,-1.191,-0.666,0.285,-15.0,-29.2,-23.8,83,2020-06-14 21:01:21:491
2.177,2.359,11.92,2.048,2.288,3.286,-1.191,-0.666,0.285,-15.0,-29.2,-23.8,93,2020-06-14 21:01:21:501
2.177,2.359,11.92,2.048,2.288,3.286,-1.467,-1.104,0.286,-15.0,-29.2,-23.8,103,2020-06-14 21:01:21:511
2.555,-0.661,11.439,2.048,2.288,3.286,-1.467,-1.104,0.286,-17.1,-27.5,-24.4,114,2020-06-14 21:01:21:522
2.555,-0.661,11.439,3.065,-1.215,2.787,-1.467,-1.104,0.286,-17.1,-27.5,-24.4,123,2020-06-14 21:01:21:531
2.512,-0.979,13.853,3.065,-1.215,2.787,-1.547,-0.52,-0.263,-17.1,-27.5,-24.4,134,2020-06-14 21:01:21:542
2.512,-0.979,13.853,3.065,-1.215,2.787,-1.547,-0.52,-0.263,-16.8,-27.3,-24.1,144,2020-06-14 21:01:21:552
2.512,-0.979,13.853,1.777,0.303,5.225,-1.547,-0.52,-0.263,-16.8,-27.3,-24.1,154,2020-06-14 21:01:21:562
1.854,-0.24,16.016,1.777,0.303,5.225,-1.547,-0.52,-0.263,-16.8,-27.3,-24.1,164,2020-06-14 21:01:21:572
1.854,-0.24,16.016,1.777,0.303,5.225,-0.836,-0.142,-0.619,-17.1,-25.6,-27.1,174,2020-06-14 21:01:21:582
1.854,-0.24,16.016,1.316,0.95,6.38,-0.836,-0.142,-0.619,-17.1,-25.6,-27.1,183,2020-06-14 21:01:21:591
0.828,0.093,15.342,1.316,0.95,6.38,-0.836,-0.142,-0.619,-17.1,-25.6,-27.1,193,2020-06-14 21:01:21:601
0.828,0.093,15.342,1.316,0.95,6.38,0.167,-0.004,-0.707,-17.1,-25.6,-27.1,203,2020-06-14 21:01:21:611
0.828,0.093,15.342,0.835,0.97,4.833,0.167,-0.004,-0.707,-15.3,-27.3,-25.9,214,2020-06-14 21:01:21:622
1.103,0.105,13.901,0.835,0.97,4.833,0.167,-0.004,-0.707,-15.3,-27.3,-25.9,224,2020-06-14 21:01:21:632
1.103,0.105,13.901,0.835,0.97,4.833,1.032,0.436,-0.867,-15.3,-27.3,-25.9,234,2020-06-14 21:01:21:642
1.103,0.105,13.901,0.82,1.098,2.855,1.032,0.436,-0.867,-12.9,-28.2,-25.0,244,2020-06-14 21:01:21:652
