ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.063,2.16,18.986,0.691,2.753,7.066,-1.633,-2.396,0.167,-4.3,-29.5,-27.0,5,2020-06-14 21:06:52:081
-1.063,2.16,18.986,0.311,2.656,10.954,-1.633,-2.396,0.167,-5.8,-28.7,-29.1,14,2020-06-14 21:06:52:090
3.24,-0.287,20.201,0.311,2.656,10.954,-1.633,-2.396,0.167,-5.8,-28.7,-29.1,24,2020-06-14 21:06:52:100
3.24,-0.287,20.201,0.311,2.656,10.954,-1.633,-2.396,0.167,-5.8,-28.7,-29.1,34,2020-06-14 21:06:52:110
3.24,-0.287,20.201,4.295,-1.179,8.435,-0.589,-2.719,0.529,-10.0,-27.6,-29.1,45,2020-06-14 21:06:52:121
5.73,-4.066,16.847,4.295,-1.179,8.435,-0.589,-2.719,0.529,-10.0,-27.6,-29.1,55,2020-06-14 21:06:52:131
5.73,-4.066,16.847,4.295,-1.179,8.435,-0.589,-2.719,0.529,-10.0,-27.6,-29.1,65,2020-06-14 21:06:52:141
5.73,-4.066,16.847,5.699,-5.349,4.031,-0.309,-0.748,-0.096,-11.8,-27.1,-29.4,75,2020-06-14 21:06:52:151
7.365,-5.99,12.853,5.699,-5.349,4.031,-0.309,-0.748,-0.096,-11.8,-27.1,-29.4,85,2020-06-14 21:06:52:161
7.365,-5.99,12.853,5.699,-5.349,4.031,-0.309,-0.748,-0.096,-11.8,-27.1,-29.4,95,2020-06-14 21:06:52:171
7.365,-5.99,12.853,5.066,-0.306,4.898,-0.309,-0.748,-0.096,-11.8,-27.1,-29.4,105,2020-06-14 21:06:52:181
5.654,-1.422,15.229,5.066,-0.306,4.898,0.237,1.808,-0.647,-10.6,-27.1,-29.4,115,2020-06-14 21:06:52:191
5.654,-1.422,15.229,5.066,-0.306,4.898,0.237,1.808,-0.647,-10.6,-27.1,-29.4,125,2020-06-14 21:06:52:201
2.66,-0.972,15.023,2.282,0.68,5.931,0.237,1.808,-0.647,-10.6,-27.1,-29.4,135,2020-06-14 21:06:52:211
2.66,-0.972,15.023,2.282,0.68,5.931,0.169,1.676,-0.934,-7.6,-28.0,-29.1,145,2020-06-14 21:06:52:221
2.66,-0.972,15.023,2.282,0.68,5.931,0.169,1.676,-0.934,-7.6,-28.0,-29.1,155,2020-06-14 21:06:52:231
0.423,-1.271,13.868,0.277,0.069,3.797,0.169,1.676,-0.934,-7.6,-28.0,-29.1,164,2020-06-14 21:06:52:240
0.423,-1.271,13.868,0.277,0.069,3.797,-0.051,1.872,-1.029,-7.6,-28.0,-29.1,175,2020-06-14 21:06:52:251
0.423,-1.271,13.868,-0.388,0.606,5.561,-0.051,1.872,-1.029,-4.3,-27.8,-29.4,185,2020-06-14 21:06:52:261
-0.582,-0.661,15.385,-0.388,0.606,5.561,-0.051,1.872,-1.029,-4.3,-27.8,-29.4,194,2020-06-14 21:06:52:270
-0.582,-0.661,15.385,-0.388,0.606,5.561,-0.051,1.872,-1.029,-4.3,-27.8,-29.4,204,2020-06-14 21:06:52:280
-0.582,-0.661,15.385,-0.391,0.335,3.512,0.369,1.311,-0.723,-1.3,-28.2,-29.4,214,2020-06-14 21:06:52:290
-0.991,-0.95,14.083,-0.391,0.335,3.512,0.369,1.311,-0.723,-1.3,-28.2,-29.4,224,2020-06-14 21:06:52:300
-0.991,-0.95,14.083,-0.391,0.335,3.512,0.369,1.311,-0.723,-1.3,-28.2,-29.4,234,2020-06-14 21:06:52:310
-0.991,-0.95,14.083,-1.72,0.177,3.736,0.348,1.334,-0.789,0.5,-28.3,-29.7,244,2020-06-14 21:06:52:320
-3.152,-1.032,13.049,-1.72,0.177,3.736,0.348,1.334,-0.789,0.5,-28.3,-29.7,254,2020-06-14 21:06:52:330
-3.152,-1.032,13.049,-1.72,0.177,3.736,0.348,1.334,-0.789,0.5,-28.3,-29.7,264,2020-06-14 21:06:52:340
-3.152,-1.032,13.049,-2.174,0.38,4.139,0.045,0.649,-0.728,1.4,-28.8,-30.0,275,2020-06-14 21:06:52:351
-3.417,-0.754,14.011,-2.174,0.38,4.139,0.045,0.649,-0.728,1.4,-28.8,-30.0,285,2020-06-14 21:06:52:361
-3.417,-0.754,14.011,-2.174,0.38,4.139,0.045,0.649,-0.728,1.4,-28.8,-30.0,295,2020-06-14 21:06:52:371
-3.417,-0.754,14.011,-2.712,0.801,3.111,-0.15,-0.17,-0.54,2.0,-28.5,-28.8,305,2020-06-14 21:06:52:381
