ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.271,2.11,14.925,-0.19,0.802,5.478,-0.569,0.095,-0.48,-0.1,-36.0,-21.9,5,2020-06-14 21:09:50:295
-0.271,2.11,14.925,-0.19,0.802,5.478,-0.569,0.095,-0.48,0.2,-35.3,-20.7,14,2020-06-14 21:09:50:304
-1.096,2.519,17.28,-1.095,2.11,6.24,-0.569,0.095,-0.48,0.2,-35.3,-20.7,25,2020-06-14 21:09:50:315
-1.096,2.519,17.28,-1.095,2.11,6.24,-1.564,0.694,-0.318,0.2,-35.3,-20.7,35,2020-06-14 21:09:50:325
-1.096,2.519,17.28,-1.23,2.658,10.589,-1.564,0.694,-0.318,0.8,-34.0,-22.8,45,2020-06-14 21:09:50:335
-1.336,2.943,21.261,-1.23,2.658,10.589,-1.564,0.694,-0.318,0.8,-34.0,-22.8,55,2020-06-14 21:09:50:345
-1.336,2.943,21.261,-1.23,2.658,10.589,-1.564,0.694,-0.318,0.8,-34.0,-22.8,65,2020-06-14 21:09:50:355
-1.336,2.943,21.261,-1.361,2.776,12.079,-0.965,0.843,-0.31,0.8,-34.0,-22.8,75,2020-06-14 21:09:50:365
-1.666,2.737,21.522,-1.361,2.776,12.079,-0.965,0.843,-0.31,1.4,-34.7,-24.0,85,2020-06-14 21:09:50:375
-1.666,2.737,21.522,-1.361,2.776,12.079,-0.965,0.843,-0.31,1.4,-34.7,-24.0,95,2020-06-14 21:09:50:385
-1.666,2.737,21.522,-1.361,2.776,12.079,-0.064,0.514,-0.497,1.4,-34.7,-24.0,105,2020-06-14 21:09:50:395
-1.656,3.122,20.101,-1.087,3.278,10.254,-0.064,0.514,-0.497,2.9,-33.2,-24.9,115,2020-06-14 21:09:50:405
-1.656,3.122,20.101,-1.087,3.278,10.254,-0.064,0.514,-0.497,2.9,-33.2,-24.9,126,2020-06-14 21:09:50:416
-1.639,3.304,16.854,-1.087,3.278,10.254,0.28,0.128,-0.777,2.9,-33.2,-24.9,135,2020-06-14 21:09:50:425
-1.639,3.304,16.854,-1.092,3.318,6.574,0.28,0.128,-0.777,2.9,-33.2,-24.9,145,2020-06-14 21:09:50:435
-1.639,3.304,16.854,-1.092,3.318,6.574,0.28,0.128,-0.777,5.3,-33.5,-23.7,155,2020-06-14 21:09:50:445
-1.477,2.811,15.779,-1.092,3.318,6.574,0.28,0.128,-0.777,5.3,-33.5,-23.7,165,2020-06-14 21:09:50:455
-1.477,2.811,15.779,-0.629,2.768,5.484,0.022,-0.17,-0.739,5.3,-33.5,-23.7,175,2020-06-14 21:09:50:465
-1.477,2.811,15.779,-0.629,2.768,5.484,0.022,-0.17,-0.739,5.0,-33.2,-24.3,185,2020-06-14 21:09:50:475
-1.127,2.598,14.875,-0.629,2.768,5.484,0.022,-0.17,-0.739,5.0,-33.2,-24.3,195,2020-06-14 21:09:50:485
-1.127,2.598,14.875,-0.629,2.768,5.484,-0.411,-0.355,-0.319,5.0,-33.2,-24.3,205,2020-06-14 21:09:50:495
-1.127,2.598,14.875,-0.141,2.206,5.56,-0.411,-0.355,-0.319,5.3,-34.0,-23.4,215,2020-06-14 21:09:50:505
-0.433,1.464,15.485,-0.141,2.206,5.56,-0.411,-0.355,-0.319,5.3,-34.0,-23.4,224,2020-06-14 21:09:50:514
-0.433,1.464,15.485,-0.141,2.206,5.56,-0.575,-0.157,0.111,5.3,-34.0,-23.4,235,2020-06-14 21:09:50:525
-0.433,1.464,15.485,0.263,0.746,4.292,-0.575,-0.157,0.111,5.3,-33.0,-24.6,245,2020-06-14 21:09:50:535
-0.168,0.098,14.15,0.263,0.746,4.292,-0.575,-0.157,0.111,5.3,-33.0,-24.6,254,2020-06-14 21:09:50:544
-0.168,0.098,14.15,0.263,0.746,4.292,-0.575,-0.157,0.111,5.3,-33.0,-24.6,265,2020-06-14 21:09:50:555
-0.168,0.098,14.15,0.559,-0.285,2.76,-0.783,0.189,0.315,5.3,-33.0,-24.6,274,2020-06-14 21:09:50:564
0.208,-1.051,12.939,0.559,-0.285,2.76,-0.783,0.189,0.315,5.0,-32.0,-27.0,284,2020-06-14 21:09:50:574
0.208,-1.051,12.939,0.559,-0.285,2.76,-0.783,0.189,0.315,5.0,-32.0,-27.0,295,2020-06-14 21:09:50:585
0.545,-1.879,14.224,1.17,-1.219,4.126,-0.21,0.511,0.196,5.0,-32.0,-27.0,305,2020-06-14 21:09:50:595
0.545,-1.879,14.224,1.17,-1.219,4.126,-0.21,0.511,0.196,5.3,-32.1,-24.3,315,2020-06-14 21:09:50:605
0.545,-1.879,14.224,1.17,-1.219,4.126,-0.21,0.511,0.196,5.3,-32.1,-24.3,324,2020-06-14 21:09:50:614
-1.893,-0.469,10.795,-1.209,0.077,0.675,0.505,0.165,-0.161,5.3,-32.1,-24.3,335,2020-06-14 21:09:50:625
-1.893,-0.469,10.795,-1.209,0.077,0.675,0.505,0.165,-0.161,5.3,-32.1,-24.3,345,2020-06-14 21:09:50:635
-1.893,-0.469,10.795,-1.209,0.077,0.675,0.505,0.165,-0.161,6.2,-32.3,-25.2,354,2020-06-14 21:09:50:644
-1.06,-1.278,7.984,-0.145,-1.269,-2.535,0.926,-0.071,-0.182,6.2,-32.3,-25.2,365,2020-06-14 21:09:50:655
-1.06,-1.278,7.984,-0.145,-1.269,-2.535,0.926,-0.071,-0.182,6.2,-32.3,-25.2,375,2020-06-14 21:09:50:665
-1.06,-1.278,7.984,-0.145,-1.269,-2.535,0.926,-0.071,-0.182,6.8,-32.5,-24.3,384,2020-06-14 21:09:50:674
-0.472,-1.828,5.605,0.075,-1.9,-4.791,1.015,-0.066,-0.5,6.8,-32.5,-24.3,395,2020-06-14 21:09:50:685
-0.472,-1.828,5.605,0.075,-1.9,-4.791,1.015,-0.066,-0.5,6.8,-32.5,-24.3,405,2020-06-14 21:09:50:695
-0.472,-1.828,5.605,0.075,-1.9,-4.791,1.015,-0.066,-0.5,6.8,-32.5,-24.3,414,2020-06-14 21:09:50:704
-1.448,-1.216,4.907,0.075,-1.9,-4.791,1.015,-0.066,-0.5,5.6,-33.7,-24.0,425,2020-06-14 21:09:50:715
-1.448,-1.216,4.907,-1.098,-1.302,-4.588,0.733,-0.206,-0.55,5.6,-33.7,-24.0,434,2020-06-14 21:09:50:724
-1.482,-0.924,5.787,-1.098,-1.302,-4.588,0.733,-0.206,-0.55,5.6,-33.7,-24.0,445,2020-06-14 21:09:50:735
-1.482,-0.924,5.787,-1.098,-1.302,-4.588,0.733,-0.206,-0.55,5.6,-33.7,-24.0,454,2020-06-14 21:09:50:744
-1.482,-0.924,5.787,-0.433,-1.462,-4.574,0.991,-0.578,-0.504,6.5,-33.9,-23.7,464,2020-06-14 21:09:50:754
0.514,-1.726,1.513,-0.433,-1.462,-4.574,0.991,-0.578,-0.504,6.5,-33.9,-23.7,475,2020-06-14 21:09:50:765
0.514,-1.726,1.513,-0.433,-1.462,-4.574,0.991,-0.578,-0.504,6.5,-33.9,-23.7,485,2020-06-14 21:09:50:775
0.105,-1.405,1.305,0.457,-2.086,-8.668,1.071,-0.823,-0.64,7.7,-34.4,-22.8,495,2020-06-14 21:09:50:785
0.105,-1.405,1.305,0.457,-2.086,-8.668,1.071,-0.823,-0.64,7.7,-34.4,-22.8,507,2020-06-14 21:09:50:797
0.105,-1.405,1.305,0.457,-2.086,-8.668,1.071,-0.823,-0.64,7.7,-34.4,-22.8,514,2020-06-14 21:09:50:804
0.105,-1.405,1.305,-0.564,-1.948,-4.704,1.071,-0.823,-0.64,7.7,-34.4,-22.8,525,2020-06-14 21:09:50:815
-0.881,-0.931,5.16,-0.564,-1.948,-4.704,0.498,-0.002,-0.533,7.1,-34.9,-22.5,535,2020-06-14 21:09:50:825
-0.881,-0.931,5.16,-0.564,-1.948,-4.704,0.498,-0.002,-0.533,7.1,-34.9,-22.5,544,2020-06-14 21:09:50:834
-0.929,-0.457,5.696,-0.498,-1.674,-4.046,0.498,-0.002,-0.533,7.1,-34.9,-22.5,555,2020-06-14 21:09:50:845
-0.929,-0.457,5.696,-0.498,-1.674,-4.046,0.406,-0.078,-0.293,7.7,-35.1,-22.2,565,2020-06-14 21:09:50:855
-0.929,-0.457,5.696,-0.498,-1.674,-4.046,0.406,-0.078,-0.293,7.7,-35.1,-22.2,575,2020-06-14 21:09:50:865
0.232,-0.529,5.512,0.56,-1.74,-4.264,0.406,-0.078,-0.293,7.7,-35.1,-22.2,585,2020-06-14 21:09:50:875
0.232,-0.529,5.512,0.56,-1.74,-4.264,0.239,0.018,-0.238,9.5,-36.1,-20.4,595,2020-06-14 21:09:50:885
0.232,-0.529,5.512,0.56,-1.74,-4.264,0.239,0.018,-0.238,9.5,-36.1,-20.4,605,2020-06-14 21:09:50:895
0.232,-0.529,5.512,0.56,-1.74,-4.264,0.239,0.018,-0.238,9.5,-36.1,-20.4,615,2020-06-14 21:09:50:905
