ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.64,-3.02,20.27,-1.11,-0.32,9.47,1.11,0.36,-0.99,-3.0,-25.0,-33.0,5,2020-06-14 21:15:40:131
-0.98,-2.0,16.58,-1.11,-0.32,9.47,1.11,0.36,-0.99,-3.0,-25.0,-33.0,16,2020-06-14 21:15:40:142
-0.98,-2.0,16.58,-1.98,0.6,4.95,1.11,0.36,-0.99,-3.0,-25.0,-33.0,26,2020-06-14 21:15:40:152
-2.09,-1.49,14.27,-1.98,0.6,4.95,0.46,0.65,-0.78,0.0,-27.0,-32.0,36,2020-06-14 21:15:40:162
-2.09,-1.49,14.27,-1.98,0.6,4.95,0.46,0.65,-0.78,0.0,-27.0,-32.0,46,2020-06-14 21:15:40:172
-2.09,-1.49,14.27,-2.15,-0.41,5.66,0.46,0.65,-0.78,0.0,-27.0,-32.0,56,2020-06-14 21:15:40:182
-1.92,-2.56,16.7,-2.15,-0.41,5.66,0.46,0.65,-0.78,0.0,-27.0,-31.0,66,2020-06-14 21:15:40:192
-1.92,-2.56,16.7,-2.15,-0.41,5.66,0.71,0.72,-0.33,0.0,-27.0,-31.0,76,2020-06-14 21:15:40:202
-1.92,-2.56,16.7,-2.15,-0.41,5.66,0.71,0.72,-0.33,0.0,-27.0,-31.0,85,2020-06-14 21:15:40:211
-1.47,-2.13,16.49,-1.43,-0.84,6.56,0.71,0.72,-0.33,1.0,-28.0,-30.0,96,2020-06-14 21:15:40:222
-1.47,-2.13,16.49,-1.43,-0.84,6.56,2.32,0.03,-0.36,1.0,-28.0,-30.0,105,2020-06-14 21:15:40:231
-1.47,-2.13,16.49,-1.43,-0.84,6.56,2.32,0.03,-0.36,1.0,-28.0,-30.0,116,2020-06-14 21:15:40:242
-2.6,-0.73,9.95,-2.42,0.05,-0.3,2.32,0.03,-0.36,1.0,-30.0,-27.0,125,2020-06-14 21:15:40:251
-2.6,-0.73,9.95,-2.42,0.05,-0.3,2.73,-0.51,-0.21,1.0,-30.0,-27.0,136,2020-06-14 21:15:40:262
-2.6,-0.73,9.95,-2.42,0.05,-0.3,2.73,-0.51,-0.21,1.0,-30.0,-27.0,146,2020-06-14 21:15:40:272
-2.31,0.25,6.37,-2.27,0.15,-3.89,2.73,-0.51,-0.21,1.0,-30.0,-27.0,156,2020-06-14 21:15:40:282
-2.31,0.25,6.37,-2.27,0.15,-3.89,2.73,-0.51,-0.21,1.0,-32.0,-26.0,165,2020-06-14 21:15:40:291
-2.31,0.25,6.37,-2.27,0.15,-3.89,2.1,-0.25,0.1,1.0,-32.0,-26.0,176,2020-06-14 21:15:40:302
0.55,-0.79,5.83,0.49,-1.48,-4.37,2.1,-0.25,0.1,1.0,-32.0,-26.0,185,2020-06-14 21:15:40:311
0.55,-0.79,5.83,0.49,-1.48,-4.37,2.1,-0.25,0.1,1.0,-32.0,-26.0,195,2020-06-14 21:15:40:321
0.55,-0.79,5.83,0.49,-1.48,-4.37,1.75,-0.44,-0.3,3.0,-36.0,-22.0,206,2020-06-14 21:15:40:332
-1.07,-0.17,4.93,-1.26,-1.35,-5.19,1.75,-0.44,-0.3,3.0,-36.0,-22.0,215,2020-06-14 21:15:40:341
-1.07,-0.17,4.93,-1.26,-1.35,-5.19,1.75,-0.44,-0.3,3.0,-36.0,-22.0,225,2020-06-14 21:15:40:351
-1.07,-0.17,4.93,-1.26,-1.35,-5.19,1.15,-0.54,-0.21,0.0,-35.0,-20.0,236,2020-06-14 21:15:40:362
-1.99,-0.69,5.71,-2.28,-2.22,-4.32,1.15,-0.54,-0.21,0.0,-35.0,-20.0,245,2020-06-14 21:15:40:371
-1.99,-0.69,5.71,-2.28,-2.22,-4.32,1.15,-0.54,-0.21,0.0,-35.0,-20.0,256,2020-06-14 21:15:40:382
-1.74,-1.32,5.04,-2.28,-2.22,-4.32,1.79,-0.54,-0.25,0.0,-35.0,-20.0,266,2020-06-14 21:15:40:392
-1.74,-1.32,5.04,-2.14,-3.24,-5.41,1.79,-0.54,-0.25,0.0,-36.0,-18.0,276,2020-06-14 21:15:40:402
-1.74,-1.32,5.04,-2.14,-3.24,-5.41,1.79,-0.54,-0.25,0.0,-36.0,-18.0,288,2020-06-14 21:15:40:414
-1.82,-0.48,1.44,-2.14,-3.24,-5.41,1.79,-0.54,-0.25,0.0,-36.0,-18.0,296,2020-06-14 21:15:40:422
-1.82,-0.48,1.44,-2.4,-2.8,-9.22,2.21,0.05,-0.12,0.0,-36.0,-18.0,306,2020-06-14 21:15:40:432
-1.82,-0.48,1.44,-2.4,-2.8,-9.22,2.21,0.05,-0.12,2.0,-38.0,-16.0,316,2020-06-14 21:15:40:442
-1.91,0.12,0.0,-2.4,-2.8,-9.22,2.21,0.05,-0.12,2.0,-38.0,-16.0,326,2020-06-14 21:15:40:452
-1.91,0.12,0.0,-1.78,-3.41,-9.11,1.54,0.57,0.02,2.0,-38.0,-16.0,336,2020-06-14 21:15:40:462
-1.91,0.12,0.0,-1.78,-3.41,-9.11,1.54,0.57,0.02,1.0,-38.0,-15.0,346,2020-06-14 21:15:40:472
-1.42,0.25,0.95,-1.78,-3.41,-9.11,1.54,0.57,0.02,1.0,-38.0,-15.0,357,2020-06-14 21:15:40:483
-1.42,0.25,0.95,-3.09,-3.38,-8.51,0.85,0.43,-0.24,1.0,-38.0,-15.0,366,2020-06-14 21:15:40:492
-1.42,0.25,0.95,-3.09,-3.38,-8.51,0.85,0.43,-0.24,1.0,-39.0,-14.0,376,2020-06-14 21:15:40:502
-3.32,-0.65,-0.3,-3.09,-3.38,-8.51,0.85,0.43,-0.24,1.0,-39.0,-14.0,385,2020-06-14 21:15:40:511
-3.32,-0.65,-0.3,-3.34,-3.95,-8.11,0.85,0.43,-0.24,1.0,-39.0,-14.0,395,2020-06-14 21:15:40:521
-3.32,-0.65,-0.3,-3.34,-3.95,-8.11,0.05,0.24,-0.26,3.0,-39.0,-14.0,406,2020-06-14 21:15:40:532
-3.88,-0.65,1.11,-3.34,-3.95,-8.11,0.05,0.24,-0.26,3.0,-39.0,-14.0,416,2020-06-14 21:15:40:542
-3.88,-0.65,1.11,-3.94,-4.3,-7.98,0.05,0.24,-0.26,3.0,-39.0,-14.0,426,2020-06-14 21:15:40:552
-3.66,-0.77,1.92,-3.94,-4.3,-7.98,-0.79,-0.01,-0.06,3.0,-39.0,-14.0,435,2020-06-14 21:15:40:561
-3.66,-0.77,1.92,-3.94,-4.3,-7.98,-0.79,-0.01,-0.06,3.0,-39.0,-14.0,446,2020-06-14 21:15:40:572
-3.66,-0.77,1.92,-2.93,-3.97,-5.07,-0.79,-0.01,-0.06,3.0,-39.0,-14.0,456,2020-06-14 21:15:40:582
-3.31,-0.87,5.17,-2.93,-3.97,-5.07,-0.96,-0.05,0.04,3.0,-39.0,-14.0,466,2020-06-14 21:15:40:592
-3.31,-0.87,5.17,-2.93,-3.97,-5.07,-0.96,-0.05,0.04,3.0,-38.0,-17.0,476,2020-06-14 21:15:40:602
