ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.81,2.01,17.85,-0.75,1.9,8.33,0.76,-0.3,-0.86,2.0,-33.0,-25.0,5,2020-06-14 21:19:02:326
-1.81,2.01,17.85,-0.75,1.9,8.33,0.76,-0.3,-0.86,2.0,-33.0,-25.0,15,2020-06-14 21:19:02:336
-1.81,2.01,17.85,-0.75,1.9,8.33,0.76,-0.3,-0.86,2.0,-33.0,-25.0,25,2020-06-14 21:19:02:346
-0.76,1.63,13.94,0.32,0.97,4.64,1.06,-0.3,-0.94,2.0,-33.0,-25.0,34,2020-06-14 21:19:02:355
-0.76,1.63,13.94,0.32,0.97,4.64,1.06,-0.3,-0.94,2.0,-33.0,-25.0,44,2020-06-14 21:19:02:365
-0.76,1.63,13.94,0.32,0.97,4.64,1.06,-0.3,-0.94,2.0,-33.0,-25.0,54,2020-06-14 21:19:02:375
0.19,2.14,10.45,1.22,1.31,0.36,1.06,-0.3,-0.94,3.0,-34.0,-23.0,65,2020-06-14 21:19:02:386
0.19,2.14,10.45,1.22,1.31,0.36,0.51,-0.06,-0.92,3.0,-34.0,-23.0,75,2020-06-14 21:19:02:396
0.19,2.14,10.45,1.22,1.31,0.36,0.51,-0.06,-0.92,3.0,-34.0,-23.0,85,2020-06-14 21:19:02:406
-0.06,1.13,10.47,0.87,-0.02,0.81,0.51,-0.06,-0.92,3.0,-34.0,-23.0,94,2020-06-14 21:19:02:415
-0.06,1.13,10.47,0.87,-0.02,0.81,0.02,0.02,-0.96,6.0,-35.0,-23.0,105,2020-06-14 21:19:02:426
-1.11,-0.25,10.95,0.87,-0.02,0.81,0.02,0.02,-0.96,6.0,-35.0,-23.0,115,2020-06-14 21:19:02:436
-1.11,-0.25,10.95,0.87,-0.02,0.81,0.02,0.02,-0.96,6.0,-35.0,-23.0,125,2020-06-14 21:19:02:446
-1.11,-0.25,10.95,-0.6,-1.51,0.02,0.44,-0.27,-1.01,6.0,-34.0,-24.0,135,2020-06-14 21:19:02:456
-2.68,-1.3,8.71,-0.6,-1.51,0.02,0.44,-0.27,-1.01,6.0,-34.0,-24.0,145,2020-06-14 21:19:02:466
-2.68,-1.3,8.71,-0.6,-1.51,0.02,0.44,-0.27,-1.01,6.0,-34.0,-24.0,155,2020-06-14 21:19:02:476
-2.68,-1.3,8.71,-2.57,-2.52,-2.06,0.44,-0.27,-1.01,6.0,-34.0,-24.0,164,2020-06-14 21:19:02:485
-3.96,-1.89,6.95,-2.57,-2.52,-2.06,0.93,-0.36,-0.86,6.0,-34.0,-23.0,175,2020-06-14 21:19:02:496
-3.96,-1.89,6.95,-2.57,-2.52,-2.06,0.93,-0.36,-0.86,6.0,-34.0,-23.0,185,2020-06-14 21:19:02:506
-3.96,-1.89,6.95,-3.15,-2.7,-4.02,0.93,-0.36,-0.86,7.0,-35.0,-21.0,195,2020-06-14 21:19:02:516
