sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.996,0.3969,6.1938,-0.0644,-2.6694,-2.2377,0.4488,-0.9469,-0.6555,7.26,-41.54,-19.86,5,2020-06-13 12:04:15:263
-1.996,0.3969,6.1938,-1.4863,-2.1199,-3.3361,0.4488,-0.9469,-0.6555,7.26,-41.54,-19.86,14,2020-06-13 12:04:15:272
-1.996,0.3969,6.1938,-1.4863,-2.1199,-3.3361,0.0346,-1.1766,-0.6201,7.26,-41.54,-19.86,24,2020-06-13 12:04:15:282
-3.3384,1.5168,6.28,-1.4863,-2.1199,-3.3361,0.0346,-1.1766,-0.6201,6.96,-41.37,-18.96,34,2020-06-13 12:04:15:292
-3.3384,1.5168,6.28,-2.1661,-1.0487,-2.8816,0.0346,-1.1766,-0.6201,6.96,-41.37,-18.96,44,2020-06-13 12:04:15:302
-3.3384,1.5168,6.28,-2.1661,-1.0487,-2.8816,-0.3563,-1.1912,-0.4136,6.96,-41.37,-18.96,54,2020-06-13 12:04:15:312
-1.6084,1.8063,7.3759,-2.1661,-1.0487,-2.8816,-0.3563,-1.1912,-0.4136,6.96,-41.37,-18.96,65,2020-06-13 12:04:15:323
-1.6084,1.8063,7.3759,-0.8484,-1.0062,-1.2724,-0.3563,-1.1912,-0.4136,6.96,-40.5,-20.46,74,2020-06-13 12:04:15:332
-1.6084,1.8063,7.3759,-0.8484,-1.0062,-1.2724,-0.432,-0.8271,-0.1961,6.96,-40.5,-20.46,84,2020-06-13 12:04:15:342
-1.9577,1.8972,8.9193,-0.8484,-1.0062,-1.2724,-0.432,-0.8271,-0.1961,6.96,-40.5,-20.46,94,2020-06-13 12:04:15:352
-1.9577,1.8972,8.9193,-2.4836,-0.2565,-0.64,-0.432,-0.8271,-0.1961,6.96,-40.5,-20.46,104,2020-06-13 12:04:15:362
-3.7499,2.8185,8.1847,-2.4836,-0.2565,-0.64,-0.4394,-0.628,-0.4417,5.46,-40.5,-19.86,114,2020-06-13 12:04:15:372
-3.7499,2.8185,8.1847,-2.4836,-0.2565,-0.64,-0.4394,-0.628,-0.4417,5.46,-40.5,-19.86,124,2020-06-13 12:04:15:382
-3.7499,2.8185,8.1847,-3.151,0.1591,-1.7682,-0.4394,-0.628,-0.4417,5.46,-40.5,-19.86,134,2020-06-13 12:04:15:392
-3.7499,2.8185,8.1847,-3.151,0.1591,-1.7682,-0.4394,-0.628,-0.4417,6.96,-40.33,-21.36,144,2020-06-13 12:04:15:402
-3.1086,2.2035,7.0672,-3.151,0.1591,-1.7682,-1.06,-0.8149,-0.9585,6.96,-40.33,-21.36,154,2020-06-13 12:04:15:412
-3.1086,2.2035,7.0672,-3.2635,-0.4919,-0.2394,-1.06,-0.8149,-0.9585,6.96,-40.33,-21.36,164,2020-06-13 12:04:15:422
-4.5276,0.763,10.9412,-3.2635,-0.4919,-0.2394,-1.06,-0.8149,-0.9585,7.86,-39.81,-21.66,174,2020-06-13 12:04:15:432
-4.5276,0.763,10.9412,-3.2635,-0.4919,-0.2394,-1.2408,-0.7257,-1.358,7.86,-39.81,-21.66,184,2020-06-13 12:04:15:442
-4.5276,0.763,10.9412,-3.2635,-0.4919,-0.2394,-1.2408,-0.7257,-1.358,7.86,-39.81,-21.66,194,2020-06-13 12:04:15:452
-5.7192,-0.6727,9.7424,-5.5304,-2.1258,1.2376,-1.2408,-0.7257,-1.358,9.06,-38.77,-24.06,204,2020-06-13 12:04:15:462
-5.7192,-0.6727,9.7424,-5.5304,-2.1258,1.2376,-0.8206,0.2309,-0.8656,9.06,-38.77,-24.06,214,2020-06-13 12:04:15:472
-5.7192,-0.6727,9.7424,-5.5304,-2.1258,1.2376,-0.8206,0.2309,-0.8656,9.06,-38.77,-24.06,225,2020-06-13 12:04:15:483
-4.8937,-1.57,9.2327,-4.639,-3.0317,-0.2552,-0.8206,0.2309,-0.8656,9.66,-38.08,-24.66,235,2020-06-13 12:04:15:493
-4.8937,-1.57,9.2327,-4.639,-3.0317,-0.2552,-0.8206,0.2309,-0.8656,9.66,-38.08,-24.66,245,2020-06-13 12:04:15:503
-4.8937,-1.57,9.2327,-4.639,-3.0317,-0.2552,-0.7729,0.1759,-1.1894,9.66,-38.08,-24.66,254,2020-06-13 12:04:15:512
-6.0159,-0.6416,11.3312,-5.8583,-1.9437,2.3402,-0.7729,0.1759,-1.1894,9.66,-38.08,-24.66,264,2020-06-13 12:04:15:522
-6.0159,-0.6416,11.3312,-5.8583,-1.9437,2.3402,-0.7729,0.1759,-1.1894,12.06,-36.17,-25.56,274,2020-06-13 12:04:15:532
-5.0612,-2.2352,10.9843,-5.8583,-1.9437,2.3402,-1.3166,-1.3085,-1.5132,12.06,-36.17,-25.56,284,2020-06-13 12:04:15:542
-5.0612,-2.2352,10.9843,-3.503,-3.6756,0.3605,-1.3166,-1.3085,-1.5132,12.06,-36.17,-25.56,294,2020-06-13 12:04:15:552
-5.0612,-2.2352,10.9843,-3.503,-3.6756,0.3605,-1.3166,-1.3085,-1.5132,12.36,-35.31,-27.06,304,2020-06-13 12:04:15:562
-1.8428,-3.5895,9.9123,-3.503,-3.6756,0.3605,-1.4815,-0.6586,-0.873,12.36,-35.31,-27.06,314,2020-06-13 12:04:15:572
-1.8428,-3.5895,9.9123,-1.7612,-3.14,1.6592,-1.4815,-0.6586,-0.873,12.36,-35.31,-27.06,324,2020-06-13 12:04:15:582
-1.8428,-3.5895,9.9123,-1.7612,-3.14,1.6592,-1.4815,-0.6586,-0.873,12.36,-33.92,-28.86,334,2020-06-13 12:04:15:592
-1.8428,-3.5895,9.9123,-1.7612,-3.14,1.6592,-1.4815,-0.6586,-0.873,12.36,-33.92,-28.86,344,2020-06-13 12:04:15:602
-2.2066,-1.7135,14.4563,-2.7913,-1.4265,5.2047,-1.1394,0.1478,-0.5223,12.36,-33.92,-28.86,354,2020-06-13 12:04:15:612
-2.2066,-1.7135,14.4563,-2.7913,-1.4265,5.2047,-1.1394,0.1478,-0.5223,14.46,-33.4,-29.16,364,2020-06-13 12:04:15:622
-2.2066,-1.7135,14.4563,-2.7913,-1.4265,5.2047,-1.1394,0.1478,-0.5223,14.46,-33.4,-29.16,374,2020-06-13 12:04:15:632
-2.1396,-1.29,14.7314,-2.28,-0.9275,5.047,-1.5255,-0.7331,0.1276,14.46,-33.4,-29.16,385,2020-06-13 12:04:15:643
-2.1396,-1.29,14.7314,-2.28,-0.9275,5.047,-1.5255,-0.7331,0.1276,14.46,-33.4,-29.16,394,2020-06-13 12:04:15:652
-2.1396,-1.29,14.7314,-2.28,-0.9275,5.047,-1.5255,-0.7331,0.1276,12.96,-30.98,-32.76,404,2020-06-13 12:04:15:662
0.5332,-0.9287,16.6959,-0.0151,0.056,7.6424,-1.2811,-0.799,0.6297,12.96,-30.98,-32.76,414,2020-06-13 12:04:15:672
0.5332,-0.9287,16.6959,-0.0151,0.056,7.6424,-1.2811,-0.799,0.6297,12.96,-30.98,-32.76,424,2020-06-13 12:04:15:682
-0.711,0.0595,19.8928,-0.0151,0.056,7.6424,-1.2811,-0.799,0.6297,11.16,-31.5,-32.46,434,2020-06-13 12:04:15:692
-0.711,0.0595,19.8928,-1.3174,1.2516,10.3608,-1.2811,-0.799,0.6297,11.16,-31.5,-32.46,444,2020-06-13 12:04:15:702
-0.711,0.0595,19.8928,-1.3174,1.2516,10.3608,-0.3367,-0.1344,1.0977,11.16,-31.5,-32.46,454,2020-06-13 12:04:15:712
0.1528,-0.1845,19.2204,-1.3174,1.2516,10.3608,-0.3367,-0.1344,1.0977,10.86,-30.98,-32.76,464,2020-06-13 12:04:15:722
0.1528,-0.1845,19.2204,-0.125,0.9056,8.382,-0.3367,-0.1344,1.0977,10.86,-30.98,-32.76,474,2020-06-13 12:04:15:732
0.1528,-0.1845,19.2204,-0.125,0.9056,8.382,-0.1339,-0.088,1.6328,10.86,-30.98,-32.76,484,2020-06-13 12:04:15:742
0.3801,-0.096,17.4329,-0.125,0.9056,8.382,-0.1339,-0.088,1.6328,10.86,-30.98,-32.76,494,2020-06-13 12:04:15:752
0.3801,-0.096,17.4329,-0.0109,1.1023,7.5895,-0.1339,-0.088,1.6328,8.16,-31.15,-33.06,504,2020-06-13 12:04:15:762
0.3801,-0.096,17.4329,-0.0109,1.1023,7.5895,-0.2757,-0.3629,1.8392,8.16,-31.15,-33.06,514,2020-06-13 12:04:15:772
1.1889,-0.5937,17.7105,-0.0109,1.1023,7.5895,-0.2757,-0.3629,1.8392,8.16,-31.15,-33.06,524,2020-06-13 12:04:15:782
1.1889,-0.5937,17.7105,0.8821,0.625,7.7081,-0.2757,-0.3629,1.8392,6.06,-30.11,-31.86,534,2020-06-13 12:04:15:792
1.1889,-0.5937,17.7105,0.8821,0.625,7.7081,0.3462,0.1881,1.7672,6.06,-30.11,-31.86,544,2020-06-13 12:04:15:802
1.7679,-0.9981,16.7988,0.8821,0.625,7.7081,0.3462,0.1881,1.7672,6.06,-30.11,-31.86,554,2020-06-13 12:04:15:812
1.7679,-0.9981,16.7988,1.4419,0.32,6.0211,0.3462,0.1881,1.7672,6.36,-32.19,-32.46,564,2020-06-13 12:04:15:822
1.7679,-0.9981,16.7988,1.4419,0.32,6.0211,0.3462,0.1881,1.7672,6.36,-32.19,-32.46,574,2020-06-13 12:04:15:832
1.9378,-0.7133,14.9061,1.4419,0.32,6.0211,0.4097,0.4764,1.6975,6.36,-32.19,-32.46,584,2020-06-13 12:04:15:842
