sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3569,0.5357,4.5428,-0.9307,-1.4446,-4.7122,0.3347,-0.1219,-0.1574,-2.04,-39.64,-24.36,9,2020-06-14 09:43:35:113
-0.3569,0.5357,4.5428,-0.9307,-1.4446,-4.7122,0.3347,-0.1219,-0.1574,-3.24,-39.46,-23.46,16,2020-06-14 09:43:35:120
0.1791,0.0308,6.1101,-0.9307,-1.4446,-4.7122,0.3347,-0.1219,-0.1574,-3.24,-39.46,-23.46,25,2020-06-14 09:43:35:129
0.1791,0.0308,6.1101,-0.9307,-1.4446,-4.7122,0.3347,-0.1219,-0.1574,-3.24,-39.46,-23.46,35,2020-06-14 09:43:35:139
0.1791,0.0308,6.1101,0.1447,-2.1168,-4.3636,0.3286,-0.1305,-0.2723,-3.24,-40.68,-20.76,45,2020-06-14 09:43:35:149
0.4303,-0.1797,4.8945,0.1447,-2.1168,-4.3636,0.3286,-0.1305,-0.2723,-3.24,-40.68,-20.76,55,2020-06-14 09:43:35:159
0.4303,-0.1797,4.8945,0.1447,-2.1168,-4.3636,0.3286,-0.1305,-0.2723,-3.24,-40.68,-20.76,66,2020-06-14 09:43:35:170
0.4303,-0.1797,4.8945,0.17,-1.9111,-4.986,0.2346,-0.3015,-0.37,-0.84,-41.71,-20.16,75,2020-06-14 09:43:35:179
-0.0052,0.3371,4.6505,0.17,-1.9111,-4.986,0.2346,-0.3015,-0.37,-0.84,-41.71,-20.16,85,2020-06-14 09:43:35:189
-0.0052,0.3371,4.6505,0.17,-1.9111,-4.986,0.2346,-0.3015,-0.37,-0.84,-41.71,-20.16,95,2020-06-14 09:43:35:199
-0.7852,0.4448,4.5572,-1.1536,-1.6658,-5.1003,0.3628,-0.0462,-0.4274,-2.64,-40.5,-21.66,106,2020-06-14 09:43:35:210
-0.7852,0.4448,4.5572,-1.1536,-1.6658,-5.1003,0.3628,-0.0462,-0.4274,-2.64,-40.5,-21.66,115,2020-06-14 09:43:35:219
-0.7852,0.4448,4.5572,-1.1536,-1.6658,-5.1003,0.3628,-0.0462,-0.4274,-2.64,-40.5,-21.66,126,2020-06-14 09:43:35:230
-0.4646,0.3706,3.6862,-0.6626,-1.8502,-6.2414,0.3628,0.0381,-0.4873,-2.64,-40.5,-21.66,135,2020-06-14 09:43:35:239
-0.4646,0.3706,3.6862,-0.6626,-1.8502,-6.2414,0.3628,0.0381,-0.4873,0.36,-42.06,-20.76,146,2020-06-14 09:43:35:250
-0.4646,0.3706,3.6862,-0.6626,-1.8502,-6.2414,0.3628,0.0381,-0.4873,0.36,-42.06,-20.76,155,2020-06-14 09:43:35:259
