sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.516,0.406,10.68,1.37,-0.81,0.678,1.91,0.32,0.064,-5.6,-37.4,-26.5,6,2020-06-14 09:49:56:056
0.516,0.406,10.68,1.37,-0.81,0.678,1.91,0.32,0.064,-5.6,-37.4,-26.5,15,2020-06-14 09:49:56:065
1.069,0.947,9.159,1.665,-0.425,-1.389,1.91,0.32,0.064,-5.3,-38.4,-25.3,26,2020-06-14 09:49:56:076
1.069,0.947,9.159,1.665,-0.425,-1.389,1.91,0.32,0.064,-5.3,-38.4,-25.3,35,2020-06-14 09:49:56:085
1.069,0.947,9.159,1.665,-0.425,-1.389,1.973,0.02,0.213,-5.3,-38.4,-25.3,45,2020-06-14 09:49:56:095
1.079,1.902,6.943,1.665,-0.425,-1.389,1.973,0.02,0.213,-5.3,-38.4,-25.3,55,2020-06-14 09:49:56:105
1.079,1.902,6.943,1.873,-0.227,-3.09,1.973,0.02,0.213,-5.9,-39.6,-23.2,65,2020-06-14 09:49:56:115
1.079,1.902,6.943,1.873,-0.227,-3.09,1.071,-0.43,0.185,-5.9,-39.6,-23.2,75,2020-06-14 09:49:56:125
1.555,1.909,6.11,1.873,-0.227,-3.09,1.071,-0.43,0.185,-5.9,-39.6,-23.2,86,2020-06-14 09:49:56:136
1.555,1.909,6.11,1.927,-1.19,-2.932,1.071,-0.43,0.185,-7.4,-39.8,-21.7,95,2020-06-14 09:49:56:145
1.555,1.909,6.11,1.927,-1.19,-2.932,0.479,-0.669,-0.022,-7.4,-39.8,-21.7,106,2020-06-14 09:49:56:156
1.596,0.909,8.024,1.927,-1.19,-2.932,0.479,-0.669,-0.022,-7.4,-39.8,-21.7,115,2020-06-14 09:49:56:165
1.596,0.909,8.024,1.721,-2.04,-1.26,0.479,-0.669,-0.022,-7.4,-39.8,-21.7,125,2020-06-14 09:49:56:175
1.373,0.761,8.41,1.721,-2.04,-1.26,0.65,-0.848,-0.067,-5.9,-40.5,-20.5,136,2020-06-14 09:49:56:186
1.373,0.761,8.41,1.721,-2.04,-1.26,0.65,-0.848,-0.067,-5.9,-40.5,-20.5,145,2020-06-14 09:49:56:195
1.373,0.761,8.41,1.678,-2.083,-1.526,0.65,-0.848,-0.067,-5.9,-40.5,-20.5,155,2020-06-14 09:49:56:205
