sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.912,-0.261,14.514,0.261,0.031,4.407,0.768,-0.82,0.312,-20.0,-22.0,-32.8,4,2020-06-14 09:52:47:316
1.916,-0.417,12.02,2.819,-0.531,1.862,1.374,-0.57,0.624,-20.0,-22.0,-32.8,14,2020-06-14 09:52:47:326
1.916,-0.417,12.02,2.819,-0.531,1.862,1.374,-0.57,0.624,-21.2,-23.2,-31.3,24,2020-06-14 09:52:47:336
1.916,-0.417,12.02,2.819,-0.531,1.862,1.374,-0.57,0.624,-21.2,-23.2,-31.3,34,2020-06-14 09:52:47:346
2.67,-0.967,10.199,3.427,-1.725,-0.255,1.583,-0.397,0.579,-21.2,-23.2,-31.3,44,2020-06-14 09:52:47:356
2.67,-0.967,10.199,3.427,-1.725,-0.255,1.583,-0.397,0.579,-22.4,-23.7,-29.8,54,2020-06-14 09:52:47:366
2.67,-0.967,10.199,3.427,-1.725,-0.255,1.583,-0.397,0.579,-22.4,-23.7,-29.8,64,2020-06-14 09:52:47:376
3.369,-1.271,10.159,3.939,-2.242,0.305,1.583,-0.397,0.579,-22.4,-23.7,-29.8,75,2020-06-14 09:52:47:387
3.369,-1.271,10.159,3.939,-2.242,0.305,1.578,-0.288,0.155,-22.4,-23.7,-29.8,84,2020-06-14 09:52:47:396
3.369,-1.271,10.159,3.939,-2.242,0.305,1.578,-0.288,0.155,-22.4,-25.4,-28.0,94,2020-06-14 09:52:47:406
3.854,-0.675,10.716,4.173,-2.289,0.175,1.578,-0.288,0.155,-22.4,-25.4,-28.0,104,2020-06-14 09:52:47:416
3.854,-0.675,10.716,4.173,-2.289,0.175,2.279,-0.481,-0.299,-22.4,-25.4,-28.0,114,2020-06-14 09:52:47:426
3.376,-0.381,6.952,4.173,-2.289,0.175,2.279,-0.481,-0.299,-23.9,-26.8,-26.8,125,2020-06-14 09:52:47:437
3.376,-0.381,6.952,4.195,-2.725,-3.445,2.279,-0.481,-0.299,-23.9,-26.8,-26.8,134,2020-06-14 09:52:47:446
3.376,-0.381,6.952,4.195,-2.725,-3.445,1.994,-0.083,-0.572,-23.9,-26.8,-26.8,144,2020-06-14 09:52:47:456
5.915,-0.663,5.854,4.195,-2.725,-3.445,1.994,-0.083,-0.572,-23.6,-28.2,-24.4,154,2020-06-14 09:52:47:466
5.915,-0.663,5.854,7.334,-3.492,-3.863,1.994,-0.083,-0.572,-23.6,-28.2,-24.4,164,2020-06-14 09:52:47:476
5.915,-0.663,5.854,7.334,-3.492,-3.863,1.775,0.242,-1.526,-23.6,-28.2,-24.4,174,2020-06-14 09:52:47:486
4.725,0.174,5.655,7.334,-3.492,-3.863,1.775,0.242,-1.526,-23.0,-29.8,-23.5,184,2020-06-14 09:52:47:496
4.725,0.174,5.655,7.334,-3.492,-3.863,1.775,0.242,-1.526,-23.0,-29.8,-23.5,194,2020-06-14 09:52:47:506
4.725,0.174,5.655,4.139,-3.125,-4.453,1.775,0.242,-1.526,-23.0,-29.8,-23.5,204,2020-06-14 09:52:47:516
3.082,0.124,4.789,4.139,-3.125,-4.453,1.475,0.188,-1.804,-20.3,-32.7,-22.0,214,2020-06-14 09:52:47:526
3.082,0.124,4.789,4.139,-3.125,-4.453,1.475,0.188,-1.804,-20.3,-32.7,-22.0,224,2020-06-14 09:52:47:536
3.082,0.124,4.789,2.992,-3.138,-4.519,1.475,0.188,-1.804,-20.3,-32.7,-22.0,234,2020-06-14 09:52:47:546
2.084,0.99,5.22,2.992,-3.138,-4.519,1.257,0.133,-1.724,-19.4,-34.1,-19.6,244,2020-06-14 09:52:47:556
2.084,0.99,5.22,2.992,-3.138,-4.519,1.257,0.133,-1.724,-19.4,-34.1,-19.6,254,2020-06-14 09:52:47:566
1.945,1.562,3.856,2.638,-2.372,-5.023,1.257,0.133,-1.724,-19.4,-34.1,-19.6,264,2020-06-14 09:52:47:576
1.945,1.562,3.856,2.638,-2.372,-5.023,1.012,-0.21,-1.3,-17.9,-36.0,-18.7,275,2020-06-14 09:52:47:587
1.945,1.562,3.856,2.638,-2.372,-5.023,1.012,-0.21,-1.3,-17.9,-36.0,-18.7,285,2020-06-14 09:52:47:597
1.694,-0.309,3.689,2.624,-4.197,-5.067,1.012,-0.21,-1.3,-17.9,-36.0,-18.7,294,2020-06-14 09:52:47:606
1.694,-0.309,3.689,2.624,-4.197,-5.067,1.012,-0.21,-1.3,-16.1,-37.7,-17.5,305,2020-06-14 09:52:47:617
1.694,-0.309,3.689,2.624,-4.197,-5.067,1.327,-0.348,-1.181,-16.1,-37.7,-17.5,315,2020-06-14 09:52:47:627
