sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.56,0.036,4.672,2.991,-1.373,-4.517,0.464,-0.036,0.459,-1.1,-39.8,-25.3,5,2020-06-14 10:01:38:003
2.56,0.036,4.672,2.993,-1.508,-5.085,0.464,-0.036,0.459,-4.4,-39.5,-24.1,16,2020-06-14 10:01:38:014
1.744,-0.115,4.583,2.993,-1.508,-5.085,0.464,-0.036,0.459,-4.4,-39.5,-24.1,26,2020-06-14 10:01:38:024
1.744,-0.115,4.583,2.993,-1.508,-5.085,0.342,0.278,0.297,-4.4,-39.5,-24.1,35,2020-06-14 10:01:38:033
1.777,-0.06,5.067,2.503,-1.758,-4.403,0.342,0.278,0.297,-3.2,-40.7,-23.2,49,2020-06-14 10:01:38:047
1.777,-0.06,5.067,2.503,-1.758,-4.403,0.342,0.278,0.297,-3.2,-40.7,-23.2,55,2020-06-14 10:01:38:053
1.777,-0.06,5.067,2.503,-1.758,-4.403,0.342,0.278,0.297,-3.2,-40.7,-23.2,65,2020-06-14 10:01:38:063
1.419,1.404,6.467,2.063,-0.196,-2.832,-0.27,0.338,-0.008,-3.2,-40.7,-23.2,75,2020-06-14 10:01:38:073
1.419,1.404,6.467,2.063,-0.196,-2.832,-0.27,0.338,-0.008,-2.6,-39.6,-25.0,85,2020-06-14 10:01:38:083
1.419,1.404,6.467,2.063,-0.196,-2.832,-0.27,0.338,-0.008,-2.6,-39.6,-25.0,95,2020-06-14 10:01:38:093
-0.13,0.6,7.261,0.336,-1.001,-1.207,-0.578,0.959,-0.005,-2.6,-39.6,-25.0,105,2020-06-14 10:01:38:103
-0.13,0.6,7.261,0.336,-1.001,-1.207,-0.578,0.959,-0.005,-2.3,-39.5,-24.1,116,2020-06-14 10:01:38:114
-0.13,0.6,7.261,0.336,-1.001,-1.207,-0.578,0.959,-0.005,-2.3,-39.5,-24.1,125,2020-06-14 10:01:38:123
0.284,0.842,10.424,1.859,-0.605,1.22,-0.527,1.247,-0.146,-2.3,-39.5,-24.1,135,2020-06-14 10:01:38:133
0.284,0.842,10.424,1.859,-0.605,1.22,-0.527,1.247,-0.146,-1.7,-38.9,-27.4,146,2020-06-14 10:01:38:144
-0.429,0.773,11.666,1.859,-0.605,1.22,-0.527,1.247,-0.146,-1.7,-38.9,-27.4,156,2020-06-14 10:01:38:154
-0.429,0.773,11.666,0.056,0.256,3.364,-0.527,1.247,-0.146,-1.7,-38.9,-27.4,166,2020-06-14 10:01:38:164
-0.429,0.773,11.666,0.056,0.256,3.364,-0.781,0.724,-0.652,-1.7,-38.9,-27.4,176,2020-06-14 10:01:38:174
-3.855,1.866,12.808,0.056,0.256,3.364,-0.781,0.724,-0.652,0.4,-38.6,-25.6,185,2020-06-14 10:01:38:183
-3.855,1.866,12.808,-2.485,0.747,3.866,-0.781,0.724,-0.652,0.4,-38.6,-25.6,195,2020-06-14 10:01:38:193
-3.855,1.866,12.808,-2.485,0.747,3.866,-0.968,0.086,-0.173,0.4,-38.6,-25.6,205,2020-06-14 10:01:38:203
-2.494,1.199,13.805,-2.485,0.747,3.866,-0.968,0.086,-0.173,0.4,-38.6,-25.6,216,2020-06-14 10:01:38:214
-2.494,1.199,13.805,0.75,0.162,3.898,-0.968,0.086,-0.173,1.0,-37.4,-28.9,227,2020-06-14 10:01:38:225
-2.494,1.199,13.805,0.75,0.162,3.898,-0.642,-0.222,-0.184,1.0,-37.4,-28.9,236,2020-06-14 10:01:38:234
-0.355,1.026,13.446,0.75,0.162,3.898,-0.642,-0.222,-0.184,1.0,-37.4,-28.9,246,2020-06-14 10:01:38:244
-0.355,1.026,13.446,0.874,0.191,2.806,-0.642,-0.222,-0.184,0.4,-37.2,-29.2,256,2020-06-14 10:01:38:254
-0.355,1.026,13.446,0.874,0.191,2.806,-0.642,-0.222,-0.184,0.4,-37.2,-29.2,265,2020-06-14 10:01:38:263
-0.943,0.684,11.664,0.874,0.191,2.806,-0.625,-0.481,-0.163,0.4,-37.2,-29.2,275,2020-06-14 10:01:38:273
-0.943,0.684,11.664,0.567,0.811,2.368,-0.625,-0.481,-0.163,0.7,-36.7,-30.1,285,2020-06-14 10:01:38:283
-0.304,0.856,11.611,0.567,0.811,2.368,-0.625,-0.481,-0.163,0.7,-36.7,-30.1,296,2020-06-14 10:01:38:294
