sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.187,-1.551,3.925,2.77,-4.033,-5.261,-1.268,-0.557,0.15,-4.4,-41.7,-19.0,4,2020-06-14 10:06:29:689
2.187,-1.551,3.925,2.77,-4.033,-5.261,-1.32,-0.629,0.091,-3.8,-41.4,-22.6,14,2020-06-14 10:06:29:699
1.146,-1.606,4.287,1.561,-3.721,-4.954,-1.32,-0.629,0.091,-3.8,-41.4,-22.6,25,2020-06-14 10:06:29:710
1.146,-1.606,4.287,1.561,-3.721,-4.954,-1.32,-0.629,0.091,-3.8,-41.4,-22.6,34,2020-06-14 10:06:29:719
1.146,-1.606,4.287,1.561,-3.721,-4.954,-1.235,0.183,0.072,-3.5,-39.5,-23.5,44,2020-06-14 10:06:29:729
0.466,-1.316,5.632,1.561,-3.721,-4.954,-1.235,0.183,0.072,-3.5,-39.5,-23.5,54,2020-06-14 10:06:29:739
0.466,-1.316,5.632,1.122,-2.962,-3.3,-1.235,0.183,0.072,-3.5,-39.5,-23.5,65,2020-06-14 10:06:29:750
0.466,-1.316,5.632,1.122,-2.962,-3.3,-1.579,0.312,0.175,-4.1,-38.9,-24.4,75,2020-06-14 10:06:29:760
1.105,-1.852,7.46,1.122,-2.962,-3.3,-1.579,0.312,0.175,-4.1,-38.9,-24.4,84,2020-06-14 10:06:29:769
1.105,-1.852,7.46,1.494,-3.336,-1.011,-1.579,0.312,0.175,-4.1,-38.9,-24.4,94,2020-06-14 10:06:29:779
1.105,-1.852,7.46,1.494,-3.336,-1.011,-1.579,0.312,0.175,-4.1,-38.9,-24.4,105,2020-06-14 10:06:29:790
