sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.003,-1.022,12.353,3.042,-0.36,3.673,2.224,0.416,-0.672,-6.8,-34.6,-30.1,6,2020-06-14 10:25:36:712
3.003,-1.022,12.353,3.042,-0.36,3.673,2.224,0.416,-0.672,-6.8,-34.6,-30.1,16,2020-06-14 10:25:36:722
3.003,-1.022,12.353,2.426,-0.94,0.777,2.116,-0.048,-0.937,-6.8,-34.6,-30.1,25,2020-06-14 10:25:36:731
2.787,-0.302,10.381,2.426,-0.94,0.777,2.116,-0.048,-0.937,-5.9,-36.5,-28.0,35,2020-06-14 10:25:36:741
2.787,-0.302,10.381,2.426,-0.94,0.777,2.116,-0.048,-0.937,-5.9,-36.5,-28.0,45,2020-06-14 10:25:36:751
1.012,0.957,9.216,1.601,-0.288,-0.419,1.688,-0.215,-1.235,-5.9,-36.5,-28.0,56,2020-06-14 10:25:36:762
1.012,0.957,9.216,1.601,-0.288,-0.419,1.688,-0.215,-1.235,-5.9,-36.5,-28.0,66,2020-06-14 10:25:36:772
1.012,0.957,9.216,0.005,0.101,-1.366,1.688,-0.215,-1.235,-2.9,-38.4,-26.5,76,2020-06-14 10:25:36:782
0.516,1.239,8.632,0.005,0.101,-1.366,1.252,-0.323,-1.001,-2.9,-38.4,-26.5,85,2020-06-14 10:25:36:791
0.516,1.239,8.632,0.005,0.101,-1.366,1.252,-0.323,-1.001,-2.9,-38.4,-26.5,95,2020-06-14 10:25:36:801
0.516,1.239,8.632,0.005,0.101,-1.366,1.252,-0.323,-1.001,-3.5,-39.6,-25.0,107,2020-06-14 10:25:36:813
1.586,0.813,9.79,0.986,-0.746,-0.336,1.223,-0.279,-0.839,-3.5,-39.6,-25.0,115,2020-06-14 10:25:36:821
1.586,0.813,9.79,0.986,-0.746,-0.336,1.223,-0.279,-0.839,-3.5,-39.6,-25.0,125,2020-06-14 10:25:36:831
1.586,0.813,9.79,0.986,-0.746,-0.336,1.223,-0.279,-0.839,-2.9,-40.3,-23.8,135,2020-06-14 10:25:36:841
0.806,0.909,7.5,0.281,-1.114,-2.455,1.192,-0.312,-0.808,-2.9,-40.3,-23.8,145,2020-06-14 10:25:36:851
0.806,0.909,7.5,0.281,-1.114,-2.455,1.192,-0.312,-0.808,-2.9,-40.3,-23.8,155,2020-06-14 10:25:36:861
0.806,0.909,7.5,0.281,-1.114,-2.455,1.192,-0.312,-0.808,-0.5,-41.5,-21.7,165,2020-06-14 10:25:36:871
-0.022,1.388,7.957,-0.639,-1.076,-1.605,1.192,-0.312,-0.808,-0.5,-41.5,-21.7,175,2020-06-14 10:25:36:881
-0.022,1.388,7.957,-0.639,-1.076,-1.605,0.992,-0.259,-0.682,-0.5,-41.5,-21.7,185,2020-06-14 10:25:36:891
-0.883,1.179,7.335,-0.639,-1.076,-1.605,0.992,-0.259,-0.682,-0.5,-41.5,-21.7,195,2020-06-14 10:25:36:901
-0.883,1.179,7.335,-1.612,-1.554,-2.712,0.992,-0.259,-0.682,-1.4,-41.2,-19.3,205,2020-06-14 10:25:36:911
-0.883,1.179,7.335,-1.612,-1.554,-2.712,1.224,-0.353,-0.585,-1.4,-41.2,-19.3,215,2020-06-14 10:25:36:921
-0.883,1.179,7.335,-1.612,-1.554,-2.712,1.224,-0.353,-0.585,-1.4,-41.2,-19.3,225,2020-06-14 10:25:36:931
-1.046,1.014,5.928,-1.897,-2.021,-4.608,1.224,-0.353,-0.585,-0.2,-43.3,-18.7,235,2020-06-14 10:25:36:941
-1.046,1.014,5.928,-1.897,-2.021,-4.608,1.224,-0.353,-0.585,-0.2,-43.3,-18.7,245,2020-06-14 10:25:36:951
-1.046,1.014,5.928,-1.897,-2.021,-4.608,1.23,-0.3,-0.488,-0.2,-43.3,-18.7,255,2020-06-14 10:25:36:961
-1.685,1.002,3.129,-2.24,-2.417,-6.338,1.23,-0.3,-0.488,-0.2,-43.3,-18.7,265,2020-06-14 10:25:36:971
-1.685,1.002,3.129,-2.24,-2.417,-6.338,1.23,-0.3,-0.488,0.4,-43.4,-15.4,275,2020-06-14 10:25:36:981
-1.027,0.093,3.263,-2.24,-2.417,-6.338,0.953,0.018,-0.433,0.4,-43.4,-15.4,285,2020-06-14 10:25:36:991
-1.027,0.093,3.263,-1.572,-3.764,-5.942,0.953,0.018,-0.433,0.4,-43.4,-15.4,295,2020-06-14 10:25:37:001
-1.027,0.093,3.263,-1.572,-3.764,-5.942,0.953,0.018,-0.433,1.3,-44.0,-15.7,306,2020-06-14 10:25:37:012
-1.087,-0.663,3.217,-1.572,-3.764,-5.942,1.035,-0.039,-0.742,1.3,-44.0,-15.7,315,2020-06-14 10:25:37:021
-1.087,-0.663,3.217,-1.609,-4.738,-6.557,1.035,-0.039,-0.742,1.3,-44.0,-15.7,325,2020-06-14 10:25:37:031
-1.087,-0.663,3.217,-1.609,-4.738,-6.557,1.035,-0.039,-0.742,1.0,-44.3,-13.3,335,2020-06-14 10:25:37:041
-1.101,-0.558,0.745,-1.609,-4.738,-6.557,1.271,-0.393,-0.853,1.0,-44.3,-13.3,346,2020-06-14 10:25:37:052
-1.101,-0.558,0.745,-1.609,-4.738,-6.557,1.271,-0.393,-0.853,1.0,-44.3,-13.3,356,2020-06-14 10:25:37:062
-1.101,-0.558,0.745,-1.638,-4.627,-11.002,1.271,-0.393,-0.853,2.8,-44.5,-13.0,366,2020-06-14 10:25:37:072
-1.18,-0.096,-3.287,-1.638,-4.627,-11.002,0.473,-0.395,-0.671,2.8,-44.5,-13.0,375,2020-06-14 10:25:37:081
-1.18,-0.096,-3.287,-1.638,-4.627,-11.002,0.473,-0.395,-0.671,2.8,-44.5,-13.0,385,2020-06-14 10:25:37:091
-1.18,-0.096,-3.287,-1.827,-4.733,-11.254,0.473,-0.395,-0.671,4.0,-44.8,-11.2,395,2020-06-14 10:25:37:101
-1.252,-0.785,-1.475,-1.827,-4.733,-11.254,0.473,-0.395,-0.671,4.0,-44.8,-11.2,405,2020-06-14 10:25:37:111
-1.252,-0.785,-1.475,-1.827,-4.733,-11.254,-0.661,0.074,-0.414,4.0,-44.8,-11.2,415,2020-06-14 10:25:37:121
-1.252,-0.785,-1.475,-1.813,-4.775,-8.333,-0.661,0.074,-0.414,4.0,-44.8,-11.2,425,2020-06-14 10:25:37:131
-1.733,-0.302,1.42,-1.813,-4.775,-8.333,-0.661,0.074,-0.414,4.6,-45.0,-13.3,435,2020-06-14 10:25:37:141
