sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-6.31,-1.046,10.247,-6.079,-0.907,0.208,0.202,0.06,-0.315,4.1,-36.3,-25.3,6,2020-06-14 10:39:02:663
-6.31,-1.046,10.247,-6.079,-0.907,0.208,0.202,0.06,-0.315,5.6,-37.7,-25.3,16,2020-06-14 10:39:02:673
-6.31,-1.046,10.247,-6.079,-0.907,0.208,0.202,0.06,-0.315,5.6,-37.7,-25.3,26,2020-06-14 10:39:02:683
-7.346,-1.127,10.463,-7.216,-1.141,0.745,0.202,0.06,-0.315,5.6,-37.7,-25.3,35,2020-06-14 10:39:02:692
-7.346,-1.127,10.463,-7.216,-1.141,0.745,0.346,-0.047,-0.029,5.3,-37.4,-25.3,45,2020-06-14 10:39:02:702
-7.346,-1.127,10.463,-7.216,-1.141,0.745,0.346,-0.047,-0.029,5.3,-37.4,-25.3,55,2020-06-14 10:39:02:712
-7.825,-0.4,10.939,-7.743,-0.583,0.779,0.346,-0.047,-0.029,5.3,-37.4,-25.3,65,2020-06-14 10:39:02:722
-7.825,-0.4,10.939,-7.743,-0.583,0.779,0.451,-0.149,0.36,3.2,-37.2,-25.0,75,2020-06-14 10:39:02:732
-7.825,-0.4,10.939,-7.743,-0.583,0.779,0.451,-0.149,0.36,3.2,-37.2,-25.0,85,2020-06-14 10:39:02:742
-6.112,-0.488,10.479,-5.929,-0.698,0.612,0.451,-0.149,0.36,3.2,-37.2,-25.0,95,2020-06-14 10:39:02:752
-6.112,-0.488,10.479,-5.929,-0.698,0.612,0.607,-0.195,0.539,3.2,-37.2,-25.0,106,2020-06-14 10:39:02:763
-6.112,-0.488,10.479,-5.929,-0.698,0.612,0.607,-0.195,0.539,4.1,-38.2,-24.4,116,2020-06-14 10:39:02:773
-5.87,0.146,10.362,-5.697,-0.257,0.496,0.607,-0.195,0.539,4.1,-38.2,-24.4,126,2020-06-14 10:39:02:783
-5.87,0.146,10.362,-5.697,-0.257,0.496,0.607,-0.195,0.539,4.1,-38.2,-24.4,135,2020-06-14 10:39:02:792
-5.87,0.146,10.362,-5.697,-0.257,0.496,0.494,-0.101,0.829,2.3,-38.4,-23.5,146,2020-06-14 10:39:02:803
-4.774,0.277,11.008,-5.697,-0.257,0.496,0.494,-0.101,0.829,2.3,-38.4,-23.5,155,2020-06-14 10:39:02:812
-4.774,0.277,11.008,-4.087,-0.248,1.206,0.494,-0.101,0.829,2.3,-38.4,-23.5,166,2020-06-14 10:39:02:823
-2.563,0.605,11.094,-4.087,-0.248,1.206,0.583,-0.155,1.059,1.4,-39.1,-22.3,176,2020-06-14 10:39:02:833
-2.563,0.605,11.094,-4.087,-0.248,1.206,0.583,-0.155,1.059,1.4,-39.1,-22.3,185,2020-06-14 10:39:02:842
-2.563,0.605,11.094,-1.159,0.147,1.206,0.583,-0.155,1.059,1.4,-39.1,-22.3,195,2020-06-14 10:39:02:852
-0.24,1.292,10.613,-1.159,0.147,1.206,0.734,0.075,1.126,1.4,-39.1,-22.3,206,2020-06-14 10:39:02:863
-0.24,1.292,10.613,0.538,0.703,0.436,0.734,0.075,1.126,-0.4,-39.4,-22.9,215,2020-06-14 10:39:02:872
-0.24,1.292,10.613,0.538,0.703,0.436,0.734,0.075,1.126,-0.4,-39.4,-22.9,225,2020-06-14 10:39:02:882
0.615,1.902,10.223,0.538,0.703,0.436,0.507,0.343,1.088,-0.4,-39.4,-22.9,235,2020-06-14 10:39:02:892
0.615,1.902,10.223,0.538,0.703,0.436,0.507,0.343,1.088,-1.0,-40.0,-20.8,245,2020-06-14 10:39:02:902
0.615,1.902,10.223,1.006,0.595,0.188,0.507,0.343,1.088,-1.0,-40.0,-20.8,256,2020-06-14 10:39:02:913
1.021,1.333,9.86,1.006,0.595,0.188,0.507,0.343,1.088,-1.0,-40.0,-20.8,266,2020-06-14 10:39:02:923
1.021,1.333,9.86,1.006,0.595,0.188,0.379,0.541,1.106,-2.8,-39.8,-21.1,275,2020-06-14 10:39:02:932
1.672,1.191,9.606,1.713,-0.079,-0.104,0.379,0.541,1.106,-2.8,-39.8,-21.1,285,2020-06-14 10:39:02:942
1.672,1.191,9.606,1.713,-0.079,-0.104,0.379,0.541,1.106,-2.8,-39.8,-21.1,295,2020-06-14 10:39:02:952
1.672,1.191,9.606,1.713,-0.079,-0.104,0.368,0.602,1.042,-2.8,-39.8,-21.1,305,2020-06-14 10:39:02:962
1.868,0.974,9.374,2.182,-0.385,-0.253,0.368,0.602,1.042,-3.1,-39.3,-20.8,315,2020-06-14 10:39:02:972
1.868,0.974,9.374,2.182,-0.385,-0.253,0.368,0.602,1.042,-3.1,-39.3,-20.8,325,2020-06-14 10:39:02:982
1.868,0.974,9.374,2.182,-0.385,-0.253,0.47,0.562,0.965,-3.1,-39.3,-20.8,336,2020-06-14 10:39:02:993
