sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.587,1.148,8.996,-4.288,-0.962,0.211,0.246,-0.512,-0.517,4.7,-42.2,-17.5,5,2020-06-14 10:53:50:062
-4.587,1.148,8.996,-5.209,-0.581,-2.043,0.246,-0.512,-0.517,4.7,-42.2,-17.5,15,2020-06-14 10:53:50:072
-5.822,1.868,8.063,-5.209,-0.581,-2.043,0.246,-0.512,-0.517,4.7,-42.2,-17.5,25,2020-06-14 10:53:50:082
-5.822,1.868,8.063,-5.209,-0.581,-2.043,-0.291,0.184,-0.269,3.8,-41.9,-18.7,35,2020-06-14 10:53:50:092
-5.822,1.868,8.063,-6.795,-0.569,1.146,-0.291,0.184,-0.269,3.8,-41.9,-18.7,45,2020-06-14 10:53:50:102
-7.026,1.196,11.582,-6.795,-0.569,1.146,-0.291,0.184,-0.269,3.8,-41.9,-18.7,55,2020-06-14 10:53:50:112
-7.026,1.196,11.582,-6.795,-0.569,1.146,-0.291,0.184,-0.269,4.4,-41.9,-19.3,65,2020-06-14 10:53:50:122
-7.026,1.196,11.582,-6.944,-0.973,2.895,0.117,0.402,0.085,4.4,-41.9,-19.3,74,2020-06-14 10:53:50:131
-7.143,1.0,12.334,-6.944,-0.973,2.895,0.117,0.402,0.085,4.4,-41.9,-19.3,84,2020-06-14 10:53:50:141
-7.143,1.0,12.334,-6.944,-0.973,2.895,0.117,0.402,0.085,5.3,-42.6,-18.7,95,2020-06-14 10:53:50:152
-6.609,1.507,10.333,-6.38,-0.893,1.287,0.645,0.06,0.282,5.3,-42.6,-18.7,105,2020-06-14 10:53:50:162
-6.609,1.507,10.333,-6.38,-0.893,1.287,0.645,0.06,0.282,5.3,-42.6,-18.7,114,2020-06-14 10:53:50:171
-6.609,1.507,10.333,-6.201,-0.724,0.181,0.645,0.06,0.282,4.1,-42.2,-17.5,124,2020-06-14 10:53:50:181
-6.605,2.07,10.178,-6.201,-0.724,0.181,0.684,0.133,0.368,4.1,-42.2,-17.5,134,2020-06-14 10:53:50:191
-6.605,2.07,10.178,-6.201,-0.724,0.181,0.684,0.133,0.368,4.1,-42.2,-17.5,145,2020-06-14 10:53:50:202
-6.605,2.07,10.178,-5.796,-0.102,0.037,0.684,0.133,0.368,4.7,-42.9,-16.9,155,2020-06-14 10:53:50:212
-5.903,2.409,9.013,-5.796,-0.102,0.037,0.684,0.133,0.368,4.7,-42.9,-16.9,164,2020-06-14 10:53:50:221
-5.903,2.409,9.013,-5.796,-0.102,0.037,0.7,0.09,0.701,4.7,-42.9,-16.9,175,2020-06-14 10:53:50:232
-5.903,2.409,9.013,-5.439,-0.305,-1.148,0.7,0.09,0.701,3.5,-43.2,-15.1,185,2020-06-14 10:53:50:242
-5.202,2.189,8.39,-5.439,-0.305,-1.148,0.7,0.09,0.701,3.5,-43.2,-15.1,194,2020-06-14 10:53:50:251
-5.202,2.189,8.39,-5.439,-0.305,-1.148,0.197,0.045,1.343,3.5,-43.2,-15.1,204,2020-06-14 10:53:50:261
-5.202,2.189,8.39,-2.763,-1.134,-0.184,0.197,0.045,1.343,1.4,-43.6,-15.1,215,2020-06-14 10:53:50:272
-1.202,1.565,9.661,-2.763,-1.134,-0.184,0.197,0.045,1.343,1.4,-43.6,-15.1,225,2020-06-14 10:53:50:282
-1.202,1.565,9.661,-2.763,-1.134,-0.184,0.042,0.166,1.411,1.4,-43.6,-15.1,235,2020-06-14 10:53:50:292
1.641,2.617,11.166,1.877,-0.155,1.744,0.042,0.166,1.411,0.2,-43.8,-14.2,245,2020-06-14 10:53:50:302
1.641,2.617,11.166,1.877,-0.155,1.744,0.042,0.166,1.411,0.2,-43.8,-14.2,255,2020-06-14 10:53:50:312
1.641,2.617,11.166,1.877,-0.155,1.744,0.407,0.173,0.945,0.2,-43.8,-14.2,265,2020-06-14 10:53:50:322
2.529,2.859,9.216,2.94,0.019,-0.205,0.407,0.173,0.945,-0.7,-42.7,-14.8,275,2020-06-14 10:53:50:332
2.529,2.859,9.216,2.94,0.019,-0.205,0.407,0.173,0.945,-0.7,-42.7,-14.8,285,2020-06-14 10:53:50:342
2.529,2.859,9.216,2.94,0.019,-0.205,0.268,0.305,0.638,-0.7,-42.7,-14.8,295,2020-06-14 10:53:50:352
3.993,3.527,8.501,2.94,0.019,-0.205,0.268,0.305,0.638,-0.7,-42.7,-14.8,304,2020-06-14 10:53:50:361
3.993,3.527,8.501,4.232,0.777,-0.947,0.268,0.305,0.638,-2.8,-43.1,-15.4,315,2020-06-14 10:53:50:372
3.993,3.527,8.501,4.232,0.777,-0.947,0.268,0.305,0.638,-2.8,-43.1,-15.4,325,2020-06-14 10:53:50:382
2.814,4.163,7.895,4.232,0.777,-0.947,0.075,0.466,0.352,-2.8,-43.1,-15.4,335,2020-06-14 10:53:50:392
2.814,4.163,7.895,2.925,0.31,-0.662,0.075,0.466,0.352,-1.9,-43.2,-13.9,345,2020-06-14 10:53:50:402
2.656,2.83,8.812,2.925,0.31,-0.662,0.075,0.466,0.352,-1.9,-43.2,-13.9,354,2020-06-14 10:53:50:411
2.656,2.83,8.812,2.925,0.31,-0.662,0.073,0.42,0.336,-1.9,-43.2,-13.9,365,2020-06-14 10:53:50:422
2.656,2.83,8.812,2.841,-0.223,-0.535,0.073,0.42,0.336,-1.9,-43.2,-13.9,375,2020-06-14 10:53:50:432
2.29,2.699,8.218,2.841,-0.223,-0.535,0.073,0.42,0.336,-3.4,-43.1,-13.6,385,2020-06-14 10:53:50:442
2.29,2.699,8.218,2.841,-0.223,-0.535,0.214,0.189,0.396,-3.4,-43.1,-13.6,395,2020-06-14 10:53:50:452
2.29,2.699,8.218,2.539,-0.552,-1.751,0.214,0.189,0.396,-3.4,-43.1,-13.6,404,2020-06-14 10:53:50:461
2.055,2.299,6.95,2.539,-0.552,-1.751,0.214,0.189,0.396,-3.4,-43.1,-13.6,415,2020-06-14 10:53:50:472
2.055,2.299,6.95,2.539,-0.552,-1.751,0.214,0.189,0.396,-2.8,-43.2,-14.5,425,2020-06-14 10:53:50:482
2.055,2.299,6.95,2.488,-1.119,-2.399,0.145,0.044,0.46,-2.8,-43.2,-14.5,434,2020-06-14 10:53:50:491
2.579,1.701,6.794,2.488,-1.119,-2.399,0.145,0.044,0.46,-2.8,-43.2,-14.5,445,2020-06-14 10:53:50:502
2.579,1.701,6.794,2.488,-1.119,-2.399,0.145,0.044,0.46,-3.4,-42.2,-13.9,455,2020-06-14 10:53:50:512
2.579,1.701,6.794,3.499,-1.971,-3.179,0.117,-0.219,0.335,-3.4,-42.2,-13.9,465,2020-06-14 10:53:50:522
3.46,1.112,5.689,3.499,-1.971,-3.179,0.117,-0.219,0.335,-3.4,-42.2,-13.9,475,2020-06-14 10:53:50:532
3.46,1.112,5.689,3.499,-1.971,-3.179,0.117,-0.219,0.335,-4.0,-42.9,-13.9,485,2020-06-14 10:53:50:542
3.46,1.112,5.689,2.695,-1.573,-3.717,-0.12,-0.294,0.012,-4.0,-42.9,-13.9,495,2020-06-14 10:53:50:552
2.467,1.668,5.541,2.695,-1.573,-3.717,-0.12,-0.294,0.012,-4.0,-42.9,-13.9,505,2020-06-14 10:53:50:562
2.467,1.668,5.541,2.695,-1.573,-3.717,-0.12,-0.294,0.012,-4.0,-42.9,-13.9,515,2020-06-14 10:53:50:572
2.464,1.605,5.481,2.298,-1.534,-3.767,-0.525,-0.512,-0.197,-5.2,-43.1,-14.2,525,2020-06-14 10:53:50:582
2.464,1.605,5.481,2.298,-1.534,-3.767,-0.525,-0.512,-0.197,-5.2,-43.1,-14.2,534,2020-06-14 10:53:50:591
2.464,1.605,5.481,2.298,-1.534,-3.767,-0.525,-0.512,-0.197,-5.2,-43.1,-14.2,544,2020-06-14 10:53:50:601
3.027,1.675,5.663,2.793,-1.115,-3.721,-0.525,-0.512,-0.197,-4.9,-42.6,-14.5,555,2020-06-14 10:53:50:612
3.027,1.675,5.663,2.793,-1.115,-3.721,-0.834,-0.443,-0.481,-4.9,-42.6,-14.5,564,2020-06-14 10:53:50:621
3.027,1.675,5.663,2.793,-1.115,-3.721,-0.834,-0.443,-0.481,-4.9,-42.6,-14.5,575,2020-06-14 10:53:50:632
2.108,1.605,6.704,2.149,-1.071,-2.601,-0.834,-0.443,-0.481,-4.3,-42.7,-15.4,585,2020-06-14 10:53:50:642
2.108,1.605,6.704,2.149,-1.071,-2.601,-0.999,-0.141,-0.784,-4.3,-42.7,-15.4,595,2020-06-14 10:53:50:652
2.108,1.605,6.704,2.149,-1.071,-2.601,-0.999,-0.141,-0.784,-4.3,-42.7,-15.4,605,2020-06-14 10:53:50:662
0.543,1.201,7.831,0.309,-1.141,-1.492,-0.999,-0.141,-0.784,-3.4,-42.6,-15.7,615,2020-06-14 10:53:50:672
0.543,1.201,7.831,0.309,-1.141,-1.492,-1.064,0.028,-0.761,-3.4,-42.6,-15.7,625,2020-06-14 10:53:50:682
0.543,1.201,7.831,0.309,-1.141,-1.492,-1.064,0.028,-0.761,-3.4,-42.6,-15.7,635,2020-06-14 10:53:50:692
