sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.739,0.27,8.489,1.988,0.4,-2.939,0.043,0.501,0.078,-7.6,-33.4,-25.6,5,2020-06-14 20:32:30:830
1.739,0.27,8.489,1.988,0.4,-2.939,0.662,0.543,-0.087,-7.3,-33.4,-24.4,15,2020-06-14 20:32:30:840
1.739,0.27,8.489,1.593,-0.94,-2.923,0.662,0.543,-0.087,-7.3,-33.4,-24.4,26,2020-06-14 20:32:30:851
0.918,-1.235,6.345,1.593,-0.94,-2.923,0.662,0.543,-0.087,-7.3,-33.4,-24.4,36,2020-06-14 20:32:30:861
0.918,-1.235,6.345,1.593,-0.94,-2.923,0.662,0.543,-0.087,-6.7,-33.7,-25.0,46,2020-06-14 20:32:30:871
0.82,-1.154,5.457,1.426,-1.684,-4.724,0.685,0.208,-0.234,-6.7,-33.7,-25.0,56,2020-06-14 20:32:30:881
0.82,-1.154,5.457,1.426,-1.684,-4.724,0.685,0.208,-0.234,-6.7,-33.7,-25.0,66,2020-06-14 20:32:30:891
0.82,-1.154,5.457,1.426,-1.684,-4.724,0.685,0.208,-0.234,-6.1,-34.8,-23.2,76,2020-06-14 20:32:30:901
0.605,-0.053,4.014,1.23,-0.688,-5.705,1.012,0.136,-0.259,-6.1,-34.8,-23.2,86,2020-06-14 20:32:30:911
0.605,-0.053,4.014,1.23,-0.688,-5.705,1.012,0.136,-0.259,-6.1,-34.8,-23.2,95,2020-06-14 20:32:30:920
0.605,-0.053,4.014,1.23,-0.688,-5.705,1.012,0.136,-0.259,-6.1,-34.8,-23.2,106,2020-06-14 20:32:30:931
0.959,-0.228,2.684,1.672,-1.063,-7.005,1.019,0.188,-0.192,-4.6,-36.0,-22.9,116,2020-06-14 20:32:30:941
0.959,-0.228,2.684,1.672,-1.063,-7.005,1.019,0.188,-0.192,-4.6,-36.0,-22.9,125,2020-06-14 20:32:30:950
0.959,-0.228,2.684,1.672,-1.063,-7.005,1.019,0.188,-0.192,-4.6,-36.0,-22.9,136,2020-06-14 20:32:30:961
1.191,0.143,2.511,1.901,-0.905,-7.312,1.019,0.188,-0.192,-4.6,-36.3,-21.1,146,2020-06-14 20:32:30:971
1.191,0.143,2.511,1.901,-0.905,-7.312,0.552,0.093,-0.271,-4.6,-36.3,-21.1,156,2020-06-14 20:32:30:981
1.191,0.143,2.511,1.901,-0.905,-7.312,0.552,0.093,-0.271,-4.6,-36.3,-21.1,166,2020-06-14 20:32:30:991
0.954,0.146,3.478,1.676,-1.044,-6.267,0.552,0.093,-0.271,-4.6,-36.3,-21.1,176,2020-06-14 20:32:31:001
0.954,0.146,3.478,1.676,-1.044,-6.267,0.41,-0.077,-0.382,-3.7,-36.5,-22.0,186,2020-06-14 20:32:31:011
0.828,0.483,3.411,1.676,-1.044,-6.267,0.41,-0.077,-0.382,-3.7,-36.5,-22.0,196,2020-06-14 20:32:31:021
0.828,0.483,3.411,1.426,-0.827,-6.508,0.41,-0.077,-0.382,-3.7,-36.5,-22.0,206,2020-06-14 20:32:31:031
0.828,0.483,3.411,1.426,-0.827,-6.508,0.265,-0.221,-0.364,-4.9,-37.7,-21.1,216,2020-06-14 20:32:31:041
0.717,0.737,3.744,1.398,-0.713,-5.664,0.265,-0.221,-0.364,-4.9,-37.7,-21.1,226,2020-06-14 20:32:31:051
0.717,0.737,3.744,1.398,-0.713,-5.664,0.265,-0.221,-0.364,-4.9,-37.7,-21.1,235,2020-06-14 20:32:31:060
0.717,0.737,3.744,1.398,-0.713,-5.664,0.318,-0.171,-0.283,-3.7,-37.7,-21.1,246,2020-06-14 20:32:31:071
1.184,0.124,4.737,1.742,-1.263,-4.661,0.318,-0.171,-0.283,-3.7,-37.7,-21.1,256,2020-06-14 20:32:31:081
1.184,0.124,4.737,1.742,-1.263,-4.661,0.318,-0.171,-0.283,-3.7,-37.7,-21.1,265,2020-06-14 20:32:31:090
1.184,0.124,4.737,1.742,-1.263,-4.661,0.318,-0.171,-0.283,-4.0,-37.5,-20.8,276,2020-06-14 20:32:31:101
0.141,0.014,5.543,1.742,-1.263,-4.661,1.17,-0.017,-0.221,-4.0,-37.5,-20.8,286,2020-06-14 20:32:31:111
0.141,0.014,5.543,0.329,-1.57,-5.479,1.17,-0.017,-0.221,-4.0,-37.5,-20.8,295,2020-06-14 20:32:31:120
0.639,0.024,2.569,0.329,-1.57,-5.479,1.17,-0.017,-0.221,-4.0,-37.5,-20.8,305,2020-06-14 20:32:31:130
0.639,0.024,2.569,0.329,-1.57,-5.479,0.979,-0.225,0.099,-4.0,-39.1,-17.5,315,2020-06-14 20:32:31:140
0.639,0.024,2.569,2.359,-2.264,-5.698,0.979,-0.225,0.099,-4.0,-39.1,-17.5,326,2020-06-14 20:32:31:151
2.335,-0.606,4.258,2.359,-2.264,-5.698,0.979,-0.225,0.099,-4.0,-39.1,-17.5,336,2020-06-14 20:32:31:161
2.335,-0.606,4.258,2.359,-2.264,-5.698,0.599,-0.412,0.165,-4.0,-38.9,-17.8,346,2020-06-14 20:32:31:171
2.335,-0.606,4.258,2.544,-2.683,-5.204,0.599,-0.412,0.165,-4.0,-38.9,-17.8,356,2020-06-14 20:32:31:181
1.706,0.076,4.16,2.544,-2.683,-5.204,0.599,-0.412,0.165,-4.0,-38.9,-17.8,366,2020-06-14 20:32:31:191
1.706,0.076,4.16,1.489,-1.563,-3.496,0.398,-0.219,-0.343,-4.0,-38.9,-17.8,375,2020-06-14 20:32:31:200
1.706,0.076,4.16,1.489,-1.563,-3.496,0.398,-0.219,-0.343,-3.4,-40.1,-16.9,385,2020-06-14 20:32:31:210
0.416,1.203,7.589,1.489,-1.563,-3.496,0.398,-0.219,-0.343,-3.4,-40.1,-16.9,395,2020-06-14 20:32:31:220
0.416,1.203,7.589,0.428,-0.94,-1.831,0.458,-0.562,-0.497,-3.4,-40.1,-16.9,406,2020-06-14 20:32:31:231
0.416,1.203,7.589,0.428,-0.94,-1.831,0.458,-0.562,-0.497,-3.4,-40.5,-15.7,415,2020-06-14 20:32:31:240
0.777,1.213,5.732,0.428,-0.94,-1.831,0.458,-0.562,-0.497,-3.4,-40.5,-15.7,425,2020-06-14 20:32:31:250
0.777,1.213,5.732,0.428,-0.94,-1.831,0.458,-0.562,-0.497,-3.4,-40.5,-15.7,436,2020-06-14 20:32:31:261
1.687,1.715,5.191,1.508,-1.026,-4.703,-0.078,-0.754,-0.149,-2.5,-39.8,-15.7,446,2020-06-14 20:32:31:271
1.687,1.715,5.191,1.508,-1.026,-4.703,-0.078,-0.754,-0.149,-2.5,-39.8,-15.7,456,2020-06-14 20:32:31:281
1.687,1.715,5.191,1.508,-1.026,-4.703,-0.078,-0.754,-0.149,-2.5,-39.8,-15.7,466,2020-06-14 20:32:31:291
0.057,2.402,9.742,0.225,0.179,-0.022,-0.856,-0.19,-0.278,-2.5,-39.8,-15.7,476,2020-06-14 20:32:31:301
0.057,2.402,9.742,0.225,0.179,-0.022,-0.856,-0.19,-0.278,-3.1,-39.1,-17.5,486,2020-06-14 20:32:31:311
0.057,2.402,9.742,0.225,0.179,-0.022,-0.856,-0.19,-0.278,-3.1,-39.1,-17.5,495,2020-06-14 20:32:31:320
0.397,1.368,10.723,0.28,-0.367,1.382,-1.274,-0.101,-0.28,-3.1,-39.1,-17.5,505,2020-06-14 20:32:31:330
0.397,1.368,10.723,0.28,-0.367,1.382,-1.274,-0.101,-0.28,-3.4,-38.7,-18.7,516,2020-06-14 20:32:31:341
0.397,1.368,10.723,-1.392,-0.637,2.155,-1.274,-0.101,-0.28,-3.4,-38.7,-18.7,526,2020-06-14 20:32:31:351
0.397,1.368,10.723,-1.392,-0.637,2.155,-1.274,-0.101,-0.28,-3.4,-38.7,-18.7,537,2020-06-14 20:32:31:362
-1.881,1.194,13.054,-1.392,-0.637,2.155,-1.62,0.4,-0.302,-3.4,-38.7,-18.7,546,2020-06-14 20:32:31:371
-1.881,1.194,13.054,-1.392,-0.637,2.155,-1.62,0.4,-0.302,-0.7,-37.7,-20.5,556,2020-06-14 20:32:31:381
-1.881,1.194,13.054,-2.834,0.189,6.978,-1.62,0.4,-0.302,-0.7,-37.7,-20.5,566,2020-06-14 20:32:31:391
-2.594,0.976,18.046,-2.834,0.189,6.978,-0.699,0.488,-0.144,-0.7,-37.7,-20.5,575,2020-06-14 20:32:31:400
-2.594,0.976,18.046,-2.834,0.189,6.978,-0.699,0.488,-0.144,-0.1,-38.0,-21.7,585,2020-06-14 20:32:31:410
