sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.72,0.179,11.102,3.576,-1.58,1.58,-0.886,-0.143,-0.154,-9.7,-35.1,-21.4,5,2020-06-14 20:38:39:011
1.72,0.179,11.102,3.592,-1.284,3.071,-0.886,-0.143,-0.154,-9.4,-34.8,-23.8,15,2020-06-14 20:38:39:021
1.785,0.304,12.781,3.592,-1.284,3.071,-0.886,-0.143,-0.154,-9.4,-34.8,-23.8,25,2020-06-14 20:38:39:031
1.785,0.304,12.781,3.592,-1.284,3.071,-0.726,-0.71,-0.474,-9.4,-34.8,-23.8,35,2020-06-14 20:38:39:041
1.785,0.304,12.781,3.143,-1.2,3.465,-0.726,-0.71,-0.474,-9.1,-33.9,-23.5,44,2020-06-14 20:38:39:050
1.268,-0.065,13.111,3.143,-1.2,3.465,-0.726,-0.71,-0.474,-9.1,-33.9,-23.5,54,2020-06-14 20:38:39:060
1.268,-0.065,13.111,3.143,-1.2,3.465,-0.726,-0.71,-0.474,-9.1,-33.9,-23.5,64,2020-06-14 20:38:39:070
1.268,-0.065,13.111,2.283,-1.155,4.721,-0.367,-0.826,-0.519,-10.6,-34.2,-23.5,75,2020-06-14 20:38:39:081
0.792,0.043,14.353,2.283,-1.155,4.721,-0.367,-0.826,-0.519,-10.6,-34.2,-23.5,84,2020-06-14 20:38:39:090
0.792,0.043,14.353,2.283,-1.155,4.721,-0.367,-0.826,-0.519,-10.6,-34.2,-23.5,95,2020-06-14 20:38:39:101
1.89,0.414,12.36,2.982,-0.689,2.767,0.165,-1.038,-0.487,-10.6,-34.2,-23.5,105,2020-06-14 20:38:39:111
1.89,0.414,12.36,2.982,-0.689,2.767,0.165,-1.038,-0.487,-9.4,-34.1,-22.6,115,2020-06-14 20:38:39:121
1.89,0.414,12.36,2.982,-0.689,2.767,0.165,-1.038,-0.487,-9.4,-34.1,-22.6,125,2020-06-14 20:38:39:131
