sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.108,-1.34,8.228,4.077,-3.469,-1.167,1.31,-0.369,0.133,-4.6,-38.7,-19.9,5,2020-06-14 20:39:18:078
3.108,-1.34,8.228,4.077,-3.469,-1.167,1.679,-0.149,-0.286,-4.9,-38.6,-18.4,15,2020-06-14 20:39:18:088
3.005,-0.591,4.885,3.874,-3.103,-4.48,1.679,-0.149,-0.286,-4.9,-38.6,-18.4,25,2020-06-14 20:39:18:098
3.005,-0.591,4.885,3.874,-3.103,-4.48,1.679,-0.149,-0.286,-4.9,-38.6,-18.4,35,2020-06-14 20:39:18:108
3.005,-0.591,4.885,3.874,-3.103,-4.48,1.679,-0.149,-0.286,-4.9,-38.6,-18.4,45,2020-06-14 20:39:18:118
3.362,0.598,6.809,4.357,-2.488,-3.268,1.231,0.059,-0.672,-4.3,-40.1,-15.7,55,2020-06-14 20:39:18:128
3.362,0.598,6.809,4.357,-2.488,-3.268,1.231,0.059,-0.672,-4.3,-40.1,-15.7,65,2020-06-14 20:39:18:138
3.362,0.598,6.809,4.357,-2.488,-3.268,1.231,0.059,-0.672,-4.3,-40.1,-15.7,74,2020-06-14 20:39:18:147
1.914,-0.036,6.464,3.27,-3.043,-2.125,1.429,-0.644,-0.95,-3.1,-41.0,-13.0,85,2020-06-14 20:39:18:158
1.914,-0.036,6.464,3.27,-3.043,-2.125,1.429,-0.644,-0.95,-3.1,-41.0,-13.0,95,2020-06-14 20:39:18:168
1.914,-0.036,6.464,0.648,-2.74,-5.613,1.429,-0.644,-0.95,-3.1,-41.0,-13.0,105,2020-06-14 20:39:18:178
-0.259,0.593,2.861,0.648,-2.74,-5.613,0.886,-0.998,-0.634,-2.2,-42.2,-10.9,114,2020-06-14 20:39:18:187
-0.259,0.593,2.861,0.648,-2.74,-5.613,0.886,-0.998,-0.634,-2.2,-42.2,-10.9,124,2020-06-14 20:39:18:197
-0.259,0.593,2.861,1.286,-1.885,-4.401,0.886,-0.998,-0.634,-2.2,-42.2,-10.9,135,2020-06-14 20:39:18:208
0.732,1.883,4.856,1.286,-1.885,-4.401,0.886,-0.998,-0.634,-2.2,-42.2,-10.9,145,2020-06-14 20:39:18:218
0.732,1.883,4.856,1.286,-1.885,-4.401,0.458,-1.054,-0.625,-2.5,-41.9,-11.5,155,2020-06-14 20:39:18:228
0.82,2.285,5.201,1.227,-1.409,-3.91,0.458,-1.054,-0.625,-2.5,-41.9,-11.5,165,2020-06-14 20:39:18:238
0.82,2.285,5.201,1.227,-1.409,-3.91,0.458,-1.054,-0.625,-2.5,-41.9,-11.5,175,2020-06-14 20:39:18:248
0.82,2.285,5.201,1.227,-1.409,-3.91,0.33,-0.931,-0.933,-1.3,-43.1,-10.0,184,2020-06-14 20:39:18:257
