sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.219,1.5,4.318,-2.438,-2.341,-4.643,1.738,0.519,0.748,-1.3,-42.7,-10.0,7,2020-06-14 20:43:11:317
-2.219,1.5,4.318,-2.438,-2.341,-4.643,1.738,0.519,0.748,-1.0,-43.4,-7.6,17,2020-06-14 20:43:11:327
-2.068,2.474,5.265,-2.438,-2.341,-4.643,1.738,0.519,0.748,-1.0,-43.4,-7.6,26,2020-06-14 20:43:11:336
-2.068,2.474,5.265,-2.052,-2.567,-3.252,1.534,0.879,1.107,-1.0,-43.4,-7.6,37,2020-06-14 20:43:11:347
-2.068,2.474,5.265,-2.052,-2.567,-3.252,1.534,0.879,1.107,-2.5,-43.8,-5.8,47,2020-06-14 20:43:11:357
-1.57,1.924,4.952,-2.052,-2.567,-3.252,1.534,0.879,1.107,-2.5,-43.8,-5.8,57,2020-06-14 20:43:11:367
-1.57,1.924,4.952,-1.211,-3.602,-3.719,1.534,0.879,1.107,-2.5,-43.8,-5.8,67,2020-06-14 20:43:11:377
-1.57,1.924,4.952,-1.211,-3.602,-3.719,1.313,1.061,1.218,-4.6,-41.9,-3.1,76,2020-06-14 20:43:11:386
-0.924,1.498,4.327,-1.211,-3.602,-3.719,1.313,1.061,1.218,-4.6,-41.9,-3.1,86,2020-06-14 20:43:11:396
-0.924,1.498,4.327,-1.011,-3.982,-4.046,1.313,1.061,1.218,-4.6,-41.9,-3.1,96,2020-06-14 20:43:11:406
-0.986,1.318,4.033,-1.011,-3.982,-4.046,1.055,1.256,1.142,-6.1,-42.6,-3.1,106,2020-06-14 20:43:11:416
-0.986,1.318,4.033,-1.011,-3.982,-4.046,1.055,1.256,1.142,-6.1,-42.6,-3.1,116,2020-06-14 20:43:11:426
-0.986,1.318,4.033,-1.028,-4.016,-4.303,1.055,1.256,1.142,-6.1,-42.6,-3.1,126,2020-06-14 20:43:11:436
-0.864,1.653,3.543,-1.028,-4.016,-4.303,0.792,1.37,1.288,-7.6,-41.9,-3.1,137,2020-06-14 20:43:11:447
-0.864,1.653,3.543,-1.028,-4.016,-4.303,0.792,1.37,1.288,-7.6,-41.9,-3.1,147,2020-06-14 20:43:11:457
-0.864,1.653,3.543,-0.341,-4.113,-4.567,0.792,1.37,1.288,-7.6,-41.9,-3.1,157,2020-06-14 20:43:11:467
-0.12,1.531,3.466,-0.341,-4.113,-4.567,0.353,1.361,1.442,-9.1,-42.2,-2.5,167,2020-06-14 20:43:11:477
-0.12,1.531,3.466,0.166,-4.26,-4.23,0.353,1.361,1.442,-9.1,-42.2,-2.5,177,2020-06-14 20:43:11:487
-0.12,1.531,3.466,0.166,-4.26,-4.23,0.353,1.361,1.442,-9.1,-42.2,-2.5,187,2020-06-14 20:43:11:497
-0.005,1.601,3.657,0.166,-4.26,-4.23,0.353,1.361,1.442,-10.3,-41.3,-2.2,197,2020-06-14 20:43:11:507
-0.005,1.601,3.657,0.703,-3.931,-3.951,-0.062,1.233,1.456,-10.3,-41.3,-2.2,207,2020-06-14 20:43:11:517
0.485,1.974,3.768,0.703,-3.931,-3.951,-0.062,1.233,1.456,-10.3,-41.3,-2.2,216,2020-06-14 20:43:11:526
0.485,1.974,3.768,0.703,-3.931,-3.951,-0.062,1.233,1.456,-13.9,-40.3,-4.6,226,2020-06-14 20:43:11:536
0.485,1.974,3.768,1.101,-3.828,-4.136,-0.459,1.075,1.355,-13.9,-40.3,-4.6,237,2020-06-14 20:43:11:547
1.103,1.897,3.626,1.101,-3.828,-4.136,-0.459,1.075,1.355,-13.9,-40.3,-4.6,247,2020-06-14 20:43:11:557
1.103,1.897,3.626,1.101,-3.828,-4.136,-0.459,1.075,1.355,-14.2,-39.6,-3.4,257,2020-06-14 20:43:11:567
1.103,1.897,3.626,2.156,-3.817,-3.142,-0.715,1.179,1.195,-14.2,-39.6,-3.4,266,2020-06-14 20:43:11:576
1.687,1.629,5.103,2.156,-3.817,-3.142,-0.715,1.179,1.195,-14.2,-39.6,-3.4,277,2020-06-14 20:43:11:587
1.687,1.629,5.103,2.156,-3.817,-3.142,-0.715,1.179,1.195,-14.2,-39.6,-3.4,287,2020-06-14 20:43:11:597
1.687,1.629,5.103,1.724,-3.943,-2.512,-0.715,1.179,1.195,-15.4,-38.9,-5.2,297,2020-06-14 20:43:11:607
1.258,1.44,5.215,1.724,-3.943,-2.512,-0.947,0.989,1.096,-15.4,-38.9,-5.2,307,2020-06-14 20:43:11:617
1.258,1.44,5.215,1.724,-3.943,-2.512,-0.947,0.989,1.096,-15.4,-38.9,-5.2,316,2020-06-14 20:43:11:626
2.464,1.553,6.632,2.357,-3.374,-1.825,-0.947,0.989,1.096,-17.8,-38.4,-6.7,326,2020-06-14 20:43:11:636
2.464,1.553,6.632,2.357,-3.374,-1.825,-1.442,0.277,1.389,-17.8,-38.4,-6.7,337,2020-06-14 20:43:11:647
2.464,1.553,6.632,2.357,-3.374,-1.825,-1.442,0.277,1.389,-17.8,-38.4,-6.7,347,2020-06-14 20:43:11:657
4.914,0.576,6.491,5.033,-4.031,-1.727,-1.442,0.277,1.389,-17.8,-38.4,-6.7,357,2020-06-14 20:43:11:667
4.914,0.576,6.491,5.033,-4.031,-1.727,-1.211,0.38,1.36,-16.9,-37.2,-8.8,367,2020-06-14 20:43:11:677
4.914,0.576,6.491,5.033,-4.031,-1.727,-1.211,0.38,1.36,-16.9,-37.2,-8.8,377,2020-06-14 20:43:11:687
4.599,1.143,8.524,4.725,-3.484,-0.299,-1.211,0.38,1.36,-16.9,-37.2,-8.8,387,2020-06-14 20:43:11:697
4.599,1.143,8.524,4.725,-3.484,-0.299,-1.371,0.527,1.069,-20.2,-35.1,-11.8,398,2020-06-14 20:43:11:708
4.599,1.143,8.524,4.725,-3.484,-0.299,-1.371,0.527,1.069,-20.2,-35.1,-11.8,406,2020-06-14 20:43:11:716
5.9,1.105,8.9,5.772,-2.842,0.299,-1.371,0.527,1.069,-20.2,-35.1,-11.8,416,2020-06-14 20:43:11:726
5.9,1.105,8.9,5.772,-2.842,0.299,-1.371,0.527,1.069,-20.2,-35.1,-11.8,426,2020-06-14 20:43:11:736
5.9,1.105,8.9,5.772,-2.842,0.299,-1.554,0.16,0.381,-20.2,-35.1,-11.8,436,2020-06-14 20:43:11:746
5.754,1.766,10.422,5.96,-2.136,1.444,-1.554,0.16,0.381,-19.9,-34.2,-14.5,447,2020-06-14 20:43:11:757
5.754,1.766,10.422,5.96,-2.136,1.444,-1.554,0.16,0.381,-19.9,-34.2,-14.5,457,2020-06-14 20:43:11:767
5.754,1.766,10.422,5.96,-2.136,1.444,-1.558,0.207,-0.344,-19.9,-34.2,-14.5,466,2020-06-14 20:43:11:776
4.072,1.921,11.013,4.135,-1.295,2.078,-1.558,0.207,-0.344,-19.6,-33.2,-16.9,477,2020-06-14 20:43:11:787
4.072,1.921,11.013,4.135,-1.295,2.078,-1.558,0.207,-0.344,-19.6,-33.2,-16.9,487,2020-06-14 20:43:11:797
4.216,1.727,12.245,4.397,-1.115,3.167,-1.322,0.534,-0.487,-19.6,-33.2,-16.9,497,2020-06-14 20:43:11:807
4.216,1.727,12.245,4.397,-1.115,3.167,-1.322,0.534,-0.487,-19.6,-33.2,-16.9,507,2020-06-14 20:43:11:817
4.216,1.727,12.245,4.397,-1.115,3.167,-1.322,0.534,-0.487,-19.9,-32.5,-18.1,517,2020-06-14 20:43:11:827
3.816,1.139,13.056,4.151,-1.386,3.865,-1.322,0.534,-0.487,-19.9,-32.5,-18.1,526,2020-06-14 20:43:11:836
3.816,1.139,13.056,4.151,-1.386,3.865,-1.04,0.583,-0.6,-19.9,-32.5,-18.1,537,2020-06-14 20:43:11:847
3.816,1.139,13.056,4.151,-1.386,3.865,-1.04,0.583,-0.6,-18.1,-32.5,-18.7,547,2020-06-14 20:43:11:857
3.151,1.39,11.283,3.656,-0.845,2.007,-1.04,0.583,-0.6,-18.1,-32.5,-18.7,557,2020-06-14 20:43:11:867
3.151,1.39,11.283,3.656,-0.845,2.007,-1.254,0.569,-0.983,-18.1,-32.5,-18.7,567,2020-06-14 20:43:11:877
3.151,1.39,11.283,3.656,-0.845,2.007,-1.254,0.569,-0.983,-18.1,-32.5,-18.7,577,2020-06-14 20:43:11:887
1.359,1.639,12.872,1.809,-0.056,3.763,-1.254,0.569,-0.983,-16.0,-32.5,-21.7,587,2020-06-14 20:43:11:897
1.359,1.639,12.872,1.809,-0.056,3.763,-1.417,0.216,-1.185,-16.0,-32.5,-21.7,596,2020-06-14 20:43:11:906
1.359,1.639,12.872,1.809,-0.056,3.763,-1.417,0.216,-1.185,-16.0,-32.5,-21.7,606,2020-06-14 20:43:11:916
0.107,1.514,14.243,1.809,-0.056,3.763,-1.417,0.216,-1.185,-15.1,-32.3,-22.0,616,2020-06-14 20:43:11:926
