sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.118,1.883,7.17,4.213,-2.077,-1.053,0.975,-0.376,-0.346,-10.3,-41.0,-8.8,9,2020-06-14 20:48:37:720
5.118,1.883,7.17,4.905,-2.538,-2.578,0.805,-0.423,-0.536,-10.3,-41.0,-8.8,18,2020-06-14 20:48:37:729
5.118,1.883,7.17,4.905,-2.538,-2.578,0.805,-0.423,-0.536,-9.1,-41.5,-8.5,28,2020-06-14 20:48:37:739
5.254,1.23,5.844,4.905,-2.538,-2.578,0.805,-0.423,-0.536,-9.1,-41.5,-8.5,39,2020-06-14 20:48:37:750
5.254,1.23,5.844,4.783,-3.301,-3.569,0.805,-0.423,-0.536,-9.1,-41.5,-8.5,49,2020-06-14 20:48:37:760
5.254,1.23,5.844,4.783,-3.301,-3.569,0.611,-0.766,-0.75,-8.8,-41.9,-7.9,59,2020-06-14 20:48:37:770
5.216,1.014,4.004,4.783,-3.301,-3.569,0.611,-0.766,-0.75,-8.8,-41.9,-7.9,69,2020-06-14 20:48:37:780
5.216,1.014,4.004,4.712,-3.545,-5.283,0.611,-0.766,-0.75,-8.8,-41.9,-7.9,79,2020-06-14 20:48:37:790
4.563,1.105,2.935,4.712,-3.545,-5.283,0.296,-1.01,-1.021,-8.8,-41.9,-7.9,89,2020-06-14 20:48:37:800
4.563,1.105,2.935,4.712,-3.545,-5.283,0.296,-1.01,-1.021,-7.6,-42.4,-5.8,99,2020-06-14 20:48:37:810
4.563,1.105,2.935,1.232,-3.052,-7.09,0.296,-1.01,-1.021,-7.6,-42.4,-5.8,108,2020-06-14 20:48:37:819
0.438,1.234,1.384,1.232,-3.052,-7.09,-0.499,-0.993,-1.03,-7.6,-42.4,-5.8,119,2020-06-14 20:48:37:830
0.438,1.234,1.384,1.232,-3.052,-7.09,-0.499,-0.993,-1.03,-7.6,-42.4,-5.8,129,2020-06-14 20:48:37:840
0.438,1.234,1.384,-2.155,-3.506,-4.446,-0.499,-0.993,-1.03,-6.4,-42.4,-7.6,139,2020-06-14 20:48:37:850
-1.022,0.945,5.242,-2.155,-3.506,-4.446,-0.837,-0.92,-0.623,-6.4,-42.4,-7.6,149,2020-06-14 20:48:37:860
-1.022,0.945,5.242,-2.155,-3.506,-4.446,-0.837,-0.92,-0.623,-6.4,-42.4,-7.6,158,2020-06-14 20:48:37:869
-1.022,0.945,5.242,-0.157,-3.753,-4.047,-0.837,-0.92,-0.623,-5.5,-42.7,-8.2,168,2020-06-14 20:48:37:879
0.804,0.261,4.653,-0.157,-3.753,-4.047,-0.837,-0.92,-0.623,-5.5,-42.7,-8.2,178,2020-06-14 20:48:37:889
