sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.029,1.486,8.108,3.992,-1.139,-0.751,-0.398,0.249,0.633,-10.8,-35.8,-15.4,7,2020-06-14 20:59:14:117
2.713,1.646,8.934,3.992,-1.139,-0.751,-0.297,0.331,0.594,-10.8,-35.8,-15.4,17,2020-06-14 20:59:14:127
2.713,1.646,8.934,3.647,-1.192,-0.325,-0.297,0.331,0.594,-10.8,-35.8,-15.4,27,2020-06-14 20:59:14:137
2.713,1.646,8.934,3.647,-1.192,-0.325,-0.297,0.331,0.594,-10.8,-35.8,-15.4,38,2020-06-14 20:59:14:148
3.024,1.108,7.998,3.647,-1.192,-0.325,-0.407,0.298,0.533,-13.2,-34.7,-16.0,47,2020-06-14 20:59:14:157
3.024,1.108,7.998,4.28,-1.453,-1.369,-0.407,0.298,0.533,-13.2,-34.7,-16.0,58,2020-06-14 20:59:14:168
3.464,1.167,8.07,4.28,-1.453,-1.369,-0.407,0.298,0.533,-13.2,-34.7,-16.0,67,2020-06-14 20:59:14:177
3.464,1.167,8.07,4.28,-1.453,-1.369,-0.711,0.147,0.372,-13.2,-33.2,-18.7,77,2020-06-14 20:59:14:187
3.464,1.167,8.07,4.481,-1.175,-1.114,-0.711,0.147,0.372,-13.2,-33.2,-18.7,87,2020-06-14 20:59:14:197
3.347,1.139,8.51,4.481,-1.175,-1.114,-0.711,0.147,0.372,-13.2,-33.2,-18.7,98,2020-06-14 20:59:14:208
3.347,1.139,8.51,4.481,-1.175,-1.114,-0.711,0.147,0.372,-13.2,-33.4,-18.4,108,2020-06-14 20:59:14:218
3.347,1.139,8.51,4.207,-1.154,-0.155,-0.845,-0.032,0.37,-13.2,-33.4,-18.4,118,2020-06-14 20:59:14:228
3.261,0.868,9.759,4.207,-1.154,-0.155,-0.845,-0.032,0.37,-13.2,-33.4,-18.4,128,2020-06-14 20:59:14:238
3.261,0.868,9.759,4.276,-1.072,1.08,-0.845,-0.032,0.37,-14.1,-33.2,-19.9,138,2020-06-14 20:59:14:248
3.261,0.868,9.759,4.276,-1.072,1.08,-0.725,-0.525,0.303,-14.1,-33.2,-19.9,148,2020-06-14 20:59:14:258
4.07,0.952,9.975,4.276,-1.072,1.08,-0.725,-0.525,0.303,-14.1,-33.2,-19.9,158,2020-06-14 20:59:14:268
4.07,0.952,9.975,4.13,-1.107,0.467,-0.725,-0.525,0.303,-14.1,-33.2,-19.9,169,2020-06-14 20:59:14:279
4.07,0.952,9.975,4.13,-1.107,0.467,-1.194,-0.952,-0.005,-15.6,-31.6,-20.2,178,2020-06-14 20:59:14:288
2.567,0.299,11.86,4.13,-1.107,0.467,-1.194,-0.952,-0.005,-15.6,-31.6,-20.2,188,2020-06-14 20:59:14:298
2.567,0.299,11.86,3.062,-1.152,5.303,-1.194,-0.952,-0.005,-15.6,-31.6,-20.2,198,2020-06-14 20:59:14:308
2.567,0.299,11.86,3.062,-1.152,5.303,-1.194,-0.952,-0.005,-15.0,-30.9,-22.0,207,2020-06-14 20:59:14:317
3.586,0.576,15.669,3.062,-1.152,5.303,-1.084,-0.838,-0.302,-15.0,-30.9,-22.0,217,2020-06-14 20:59:14:327
3.586,0.576,15.669,4.035,0.057,5.216,-1.084,-0.838,-0.302,-15.0,-30.9,-22.0,227,2020-06-14 20:59:14:337
4.113,2.172,14.351,4.035,0.057,5.216,-1.084,-0.838,-0.302,-15.0,-30.9,-22.0,238,2020-06-14 20:59:14:348
4.113,2.172,14.351,4.035,0.057,5.216,-1.025,-0.782,-0.704,-15.3,-30.4,-21.1,248,2020-06-14 20:59:14:358
4.113,2.172,14.351,3.228,1.586,4.658,-1.025,-0.782,-0.704,-15.3,-30.4,-21.1,258,2020-06-14 20:59:14:368
3.141,1.708,14.597,3.228,1.586,4.658,-1.025,-0.782,-0.704,-15.3,-30.4,-21.1,268,2020-06-14 20:59:14:378
3.141,1.708,14.597,3.228,1.586,4.658,-1.051,-0.359,-0.701,-15.0,-29.7,-22.9,277,2020-06-14 20:59:14:387
3.141,1.708,14.597,2.141,0.996,5.161,-1.051,-0.359,-0.701,-15.0,-29.7,-22.9,288,2020-06-14 20:59:14:398
2.196,1.407,14.617,2.141,0.996,5.161,-1.051,-0.359,-0.701,-15.0,-29.7,-22.9,298,2020-06-14 20:59:14:408
2.196,1.407,14.617,2.141,0.996,5.161,-0.618,-0.197,-0.755,-14.4,-29.5,-23.8,308,2020-06-14 20:59:14:418
2.196,1.407,14.617,1.883,0.904,4.166,-0.618,-0.197,-0.755,-14.4,-29.5,-23.8,318,2020-06-14 20:59:14:428
2.175,1.187,13.475,1.883,0.904,4.166,-0.618,-0.197,-0.755,-14.4,-29.5,-23.8,327,2020-06-14 20:59:14:437
2.175,1.187,13.475,1.883,0.904,4.166,-0.163,-0.033,-0.883,-14.1,-28.7,-24.1,337,2020-06-14 20:59:14:447
2.175,1.187,13.475,1.698,0.513,3.223,-0.163,-0.033,-0.883,-14.1,-28.7,-24.1,347,2020-06-14 20:59:14:457
2.024,0.536,12.647,1.698,0.513,3.223,-0.163,-0.033,-0.883,-14.1,-28.7,-24.1,357,2020-06-14 20:59:14:467
2.024,0.536,12.647,1.188,-0.125,1.921,0.366,0.004,-1.13,-12.3,-29.7,-24.7,368,2020-06-14 20:59:14:478
1.56,0.098,11.023,1.188,-0.125,1.921,0.366,0.004,-1.13,-12.3,-29.7,-24.7,378,2020-06-14 20:59:14:488
1.56,0.098,11.023,1.188,-0.125,1.921,0.366,0.004,-1.13,-12.3,-29.7,-24.7,388,2020-06-14 20:59:14:498
1.56,0.098,11.023,1.287,-0.619,0.046,0.366,0.004,-1.13,-11.7,-30.4,-24.1,397,2020-06-14 20:59:14:507
1.237,-0.036,9.173,1.287,-0.619,0.046,0.636,-0.039,-1.462,-11.7,-30.4,-24.1,408,2020-06-14 20:59:14:518
1.237,-0.036,9.173,1.287,-0.619,0.046,0.636,-0.039,-1.462,-11.7,-30.4,-24.1,418,2020-06-14 20:59:14:528
1.237,-0.036,9.173,0.224,-0.589,-1.348,0.636,-0.039,-1.462,-9.0,-30.8,-22.9,427,2020-06-14 20:59:14:537
0.574,0.119,8.273,0.224,-0.589,-1.348,0.509,0.049,-1.594,-9.0,-30.8,-22.9,438,2020-06-14 20:59:14:548
0.574,0.119,8.273,0.224,-0.589,-1.348,0.509,0.049,-1.594,-9.0,-30.8,-22.9,448,2020-06-14 20:59:14:558
0.574,0.119,8.273,-0.171,-0.72,-1.502,0.509,0.049,-1.594,-7.2,-32.0,-22.0,458,2020-06-14 20:59:14:568
-0.125,0.127,8.364,-0.171,-0.72,-1.502,0.493,0.258,-1.545,-7.2,-32.0,-22.0,467,2020-06-14 20:59:14:577
-0.125,0.127,8.364,-0.171,-0.72,-1.502,0.493,0.258,-1.545,-7.2,-32.0,-22.0,478,2020-06-14 20:59:14:588
-0.469,-0.007,8.106,-0.666,-1.023,-1.6,0.493,0.258,-1.545,-5.4,-32.5,-22.3,487,2020-06-14 20:59:14:597
-0.469,-0.007,8.106,-0.666,-1.023,-1.6,0.493,0.258,-1.545,-5.4,-32.5,-22.3,497,2020-06-14 20:59:14:607
-0.469,-0.007,8.106,-0.666,-1.023,-1.6,0.575,0.168,-1.456,-5.4,-32.5,-22.3,507,2020-06-14 20:59:14:617
-1.173,-0.244,8.23,-1.412,-1.426,-1.344,0.575,0.168,-1.456,-5.4,-32.5,-22.3,518,2020-06-14 20:59:14:628
-1.173,-0.244,8.23,-1.412,-1.426,-1.344,0.575,0.168,-1.456,-4.5,-32.7,-20.8,528,2020-06-14 20:59:14:638
-1.173,-0.244,8.23,-1.412,-1.426,-1.344,0.402,-0.106,-1.349,-4.5,-32.7,-20.8,538,2020-06-14 20:59:14:648
-2.044,-0.036,8.003,-2.197,-1.274,-1.703,0.402,-0.106,-1.349,-4.5,-32.7,-20.8,548,2020-06-14 20:59:14:658
-2.044,-0.036,8.003,-2.197,-1.274,-1.703,0.402,-0.106,-1.349,-2.4,-33.5,-21.1,558,2020-06-14 20:59:14:668
-2.044,-0.036,8.003,-2.197,-1.274,-1.703,0.087,-0.286,-1.132,-2.4,-33.5,-21.1,568,2020-06-14 20:59:14:678
-2.309,0.057,7.405,-2.371,-1.314,-2.269,0.087,-0.286,-1.132,-2.4,-33.5,-21.1,578,2020-06-14 20:59:14:688
-2.309,0.057,7.405,-2.371,-1.314,-2.269,0.087,-0.286,-1.132,-2.4,-33.4,-20.8,588,2020-06-14 20:59:14:698
-2.309,0.057,7.405,-2.371,-1.314,-2.269,0.087,-0.286,-1.132,-2.4,-33.4,-20.8,597,2020-06-14 20:59:14:707
-1.673,-0.491,6.916,-1.72,-1.824,-2.779,0.065,-0.179,-0.937,-2.4,-33.4,-20.8,608,2020-06-14 20:59:14:718
-1.673,-0.491,6.916,-1.72,-1.824,-2.779,0.065,-0.179,-0.937,-2.4,-33.4,-20.8,618,2020-06-14 20:59:14:728
-2.044,-0.058,6.838,-1.72,-1.824,-2.779,0.065,-0.179,-0.937,-0.9,-34.0,-22.0,628,2020-06-14 20:59:14:738
-2.044,-0.058,6.838,-2.235,-1.301,-2.195,-0.209,-0.22,-0.963,-0.9,-34.0,-22.0,638,2020-06-14 20:59:14:748
-2.044,-0.058,6.838,-2.235,-1.301,-2.195,-0.209,-0.22,-0.963,-0.9,-34.0,-22.0,648,2020-06-14 20:59:14:758
-2.965,-0.687,7.117,-2.235,-1.301,-2.195,-0.209,-0.22,-0.963,-0.9,-34.0,-22.0,657,2020-06-14 20:59:14:767
-2.965,-0.687,7.117,-3.331,-2.222,-2.368,-0.238,-0.596,-0.877,0.3,-33.7,-22.0,667,2020-06-14 20:59:14:777
-2.965,-0.687,7.117,-3.331,-2.222,-2.368,-0.238,-0.596,-0.877,0.3,-33.7,-22.0,678,2020-06-14 20:59:14:788
-3.173,-1.266,8.56,-3.331,-2.222,-2.368,-0.238,-0.596,-0.877,0.3,-33.7,-22.0,687,2020-06-14 20:59:14:797
-3.173,-1.266,8.56,-3.666,-2.57,-0.929,-0.573,-0.118,-0.594,0.9,-33.5,-22.9,698,2020-06-14 20:59:14:808
-3.173,-1.266,8.56,-3.666,-2.57,-0.929,-0.573,-0.118,-0.594,0.9,-33.5,-22.9,707,2020-06-14 20:59:14:817
-3.219,-1.362,9.721,-3.666,-2.57,-0.929,-0.573,-0.118,-0.594,0.9,-33.5,-22.9,718,2020-06-14 20:59:14:828
-3.219,-1.362,9.721,-3.694,-1.716,0.46,-0.573,-0.118,-0.594,2.1,-32.3,-23.2,727,2020-06-14 20:59:14:837
