sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-7.342,4.35,10.14,-7.778,1.396,0.931,-0.513,-0.653,-0.452,-0.4,-38.4,-13.5,6,2020-06-14 21:03:23:032
-7.342,4.35,10.14,-7.778,1.396,0.931,-0.513,-0.653,-0.452,-0.4,-38.4,-13.5,16,2020-06-14 21:03:23:042
-7.526,4.635,10.161,-8.171,1.915,0.809,-0.513,-0.653,-0.452,-0.4,-38.4,-13.5,26,2020-06-14 21:03:23:052
-7.526,4.635,10.161,-8.171,1.915,0.809,-0.787,-0.768,-0.195,-0.1,-37.9,-16.2,35,2020-06-14 21:03:23:061
-7.526,4.635,10.161,-8.171,1.915,0.809,-0.787,-0.768,-0.195,-0.1,-37.9,-16.2,45,2020-06-14 21:03:23:071
-7.598,4.271,11.587,-8.349,1.737,2.181,-0.787,-0.768,-0.195,-0.1,-37.9,-16.2,55,2020-06-14 21:03:23:081
-7.598,4.271,11.587,-8.349,1.737,2.181,-0.787,-0.768,-0.195,-1.6,-37.2,-17.4,65,2020-06-14 21:03:23:091
-6.349,3.35,13.028,-7.135,0.991,3.558,-0.668,-0.277,0.24,-1.6,-37.2,-17.4,76,2020-06-14 21:03:23:102
-6.349,3.35,13.028,-7.135,0.991,3.558,-0.668,-0.277,0.24,-1.6,-37.2,-17.4,86,2020-06-14 21:03:23:112
-6.349,3.35,13.028,-7.135,0.991,3.558,-0.668,-0.277,0.24,-0.1,-37.0,-17.7,96,2020-06-14 21:03:23:122
-4.724,2.716,13.621,-5.496,0.42,4.108,-0.06,0.089,0.67,-0.1,-37.0,-17.7,106,2020-06-14 21:03:23:132
-4.724,2.716,13.621,-5.496,0.42,4.108,-0.06,0.089,0.67,-0.1,-37.0,-17.7,115,2020-06-14 21:03:23:141
-4.724,2.716,13.621,-5.496,0.42,4.108,-0.06,0.089,0.67,-0.1,-37.0,-17.7,126,2020-06-14 21:03:23:152
-2.178,2.735,12.226,-5.496,0.42,4.108,0.501,0.286,0.816,-2.8,-37.7,-17.7,135,2020-06-14 21:03:23:161
-2.178,2.735,12.226,-2.554,0.372,2.574,0.501,0.286,0.816,-2.8,-37.7,-17.7,145,2020-06-14 21:03:23:171
-2.178,2.735,12.226,-2.554,0.372,2.574,0.501,0.286,0.816,-2.8,-37.7,-17.7,155,2020-06-14 21:03:23:181
-0.453,3.101,11.078,-2.554,0.372,2.574,0.448,0.402,0.891,-2.8,-37.5,-16.8,166,2020-06-14 21:03:23:192
-0.453,3.101,11.078,-0.501,0.67,1.713,0.448,0.402,0.891,-2.8,-37.5,-16.8,176,2020-06-14 21:03:23:202
-0.453,3.101,11.078,-0.501,0.67,1.713,0.448,0.402,0.891,-2.8,-37.5,-16.8,186,2020-06-14 21:03:23:212
1.349,2.967,11.202,-0.501,0.67,1.713,0.448,0.402,0.891,-2.5,-38.2,-16.2,196,2020-06-14 21:03:23:222
1.349,2.967,11.202,1.467,0.323,1.569,0.349,0.544,0.861,-2.5,-38.2,-16.2,205,2020-06-14 21:03:23:231
1.349,2.967,11.202,1.467,0.323,1.569,0.349,0.544,0.861,-2.5,-38.2,-16.2,216,2020-06-14 21:03:23:242
2.182,3.11,11.542,1.467,0.323,1.569,0.349,0.544,0.861,-3.7,-37.7,-15.9,226,2020-06-14 21:03:23:252
2.182,3.11,11.542,2.201,0.437,2.177,0.402,0.53,0.876,-3.7,-37.7,-15.9,235,2020-06-14 21:03:23:261
3.129,3.146,11.288,2.201,0.437,2.177,0.402,0.53,0.876,-3.7,-37.7,-15.9,246,2020-06-14 21:03:23:272
3.129,3.146,11.288,2.201,0.437,2.177,0.402,0.53,0.876,-4.9,-37.2,-16.2,255,2020-06-14 21:03:23:281
3.129,3.146,11.288,3.075,0.211,1.433,0.53,0.4,0.891,-4.9,-37.2,-16.2,265,2020-06-14 21:03:23:291
4.118,2.677,10.264,3.075,0.211,1.433,0.53,0.4,0.891,-4.9,-37.2,-16.2,275,2020-06-14 21:03:23:301
4.118,2.677,10.264,3.075,0.211,1.433,0.53,0.4,0.891,-5.8,-38.2,-15.6,286,2020-06-14 21:03:23:312
4.118,2.677,10.264,3.723,-1.127,0.08,0.53,0.4,0.891,-5.8,-38.2,-15.6,296,2020-06-14 21:03:23:322
4.218,1.857,9.443,3.723,-1.127,0.08,0.754,0.408,0.837,-5.8,-38.2,-15.6,306,2020-06-14 21:03:23:332
4.218,1.857,9.443,3.723,-1.127,0.08,0.754,0.408,0.837,-7.3,-38.0,-15.9,315,2020-06-14 21:03:23:341
4.218,1.857,9.443,4.158,-1.26,-0.744,0.754,0.408,0.837,-7.3,-38.0,-15.9,325,2020-06-14 21:03:23:351
4.828,2.091,7.991,4.158,-1.26,-0.744,0.999,0.143,0.695,-7.3,-38.0,-15.9,336,2020-06-14 21:03:23:362
4.828,2.091,7.991,4.158,-1.26,-0.744,0.999,0.143,0.695,-8.5,-38.2,-13.2,346,2020-06-14 21:03:23:372
4.828,2.091,7.991,4.071,-1.093,-3.164,0.999,0.143,0.695,-8.5,-38.2,-13.2,356,2020-06-14 21:03:23:382
4.479,2.464,5.598,4.071,-1.093,-3.164,1.118,0.146,0.481,-8.5,-38.2,-13.2,365,2020-06-14 21:03:23:391
