sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.347,2.751,23.039,0.376,3.092,13.748,-1.494,0.456,-0.991,-0.4,-34.0,-25.8,4,2020-06-14 21:10:49:093
-0.347,2.751,23.039,-0.792,3.389,15.329,-1.494,0.456,-0.991,-0.4,-34.0,-25.8,14,2020-06-14 21:10:49:103
-0.62,2.933,24.997,-0.792,3.389,15.329,-1.307,0.369,-0.948,1.7,-31.6,-28.2,24,2020-06-14 21:10:49:113
-0.62,2.933,24.997,-0.792,3.389,15.329,-1.307,0.369,-0.948,1.7,-31.6,-28.2,34,2020-06-14 21:10:49:123
-0.62,2.933,24.997,0.758,2.82,15.689,-1.307,0.369,-0.948,1.7,-31.6,-28.2,45,2020-06-14 21:10:49:134
0.289,2.369,23.331,0.758,2.82,15.689,-0.619,0.492,-0.904,2.0,-30.9,-28.8,55,2020-06-14 21:10:49:144
0.289,2.369,23.331,0.758,2.82,15.689,-0.619,0.492,-0.904,2.0,-30.9,-28.8,64,2020-06-14 21:10:49:153
0.289,2.369,23.331,0.173,2.516,10.449,-0.619,0.492,-0.904,2.0,-30.9,-28.8,75,2020-06-14 21:10:49:164
-0.412,1.644,20.087,0.173,2.516,10.449,-0.197,0.637,-1.113,4.4,-30.8,-27.9,85,2020-06-14 21:10:49:174
-0.412,1.644,20.087,0.173,2.516,10.449,-0.197,0.637,-1.113,4.4,-30.8,-27.9,95,2020-06-14 21:10:49:184
-0.412,1.644,20.087,0.173,2.516,10.449,-0.197,0.637,-1.113,4.4,-30.8,-27.9,105,2020-06-14 21:10:49:194
-1.041,0.325,18.924,-0.37,1.073,8.915,0.035,0.717,-1.046,6.2,-30.9,-29.4,115,2020-06-14 21:10:49:204
-1.041,0.325,18.924,-0.37,1.073,8.915,0.035,0.717,-1.046,6.2,-30.9,-29.4,125,2020-06-14 21:10:49:214
-1.041,0.325,18.924,-0.37,1.073,8.915,0.035,0.717,-1.046,6.2,-30.9,-29.4,135,2020-06-14 21:10:49:224
-1.398,-0.699,17.962,-0.513,0.06,7.897,0.035,0.717,-1.046,8.9,-30.1,-29.1,144,2020-06-14 21:10:49:233
-1.398,-0.699,17.962,-0.513,0.06,7.897,0.143,0.664,-0.822,8.9,-30.1,-29.1,154,2020-06-14 21:10:49:243
-1.398,-0.699,17.962,-0.513,0.06,7.897,0.143,0.664,-0.822,8.9,-30.1,-29.1,164,2020-06-14 21:10:49:253
-2.857,0.119,15.772,-1.745,0.88,5.555,0.143,0.664,-0.822,8.9,-30.1,-29.1,175,2020-06-14 21:10:49:264
-2.857,0.119,15.772,-1.745,0.88,5.555,0.603,0.319,-0.308,9.2,-30.6,-28.8,185,2020-06-14 21:10:49:274
-2.632,-0.012,15.121,-1.745,0.88,5.555,0.603,0.319,-0.308,9.2,-30.6,-28.8,195,2020-06-14 21:10:49:284
-2.632,-0.012,15.121,-1.57,0.298,3.769,0.603,0.319,-0.308,9.2,-30.6,-28.8,205,2020-06-14 21:10:49:294
-2.632,-0.012,15.121,-1.57,0.298,3.769,0.617,-0.716,-0.093,9.2,-30.6,-28.8,214,2020-06-14 21:10:49:303
-2.077,-0.591,10.293,-1.57,0.298,3.769,0.617,-0.716,-0.093,9.5,-30.9,-26.4,225,2020-06-14 21:10:49:314
-2.077,-0.591,10.293,-0.723,-0.499,-0.824,0.617,-0.716,-0.093,9.5,-30.9,-26.4,235,2020-06-14 21:10:49:324
-2.077,-0.591,10.293,-0.723,-0.499,-0.824,0.617,-0.716,-0.093,9.5,-30.9,-26.4,245,2020-06-14 21:10:49:334
-1.474,-1.206,9.025,-0.723,-0.499,-0.824,0.261,-0.467,-0.107,8.3,-31.6,-27.6,255,2020-06-14 21:10:49:344
-1.474,-1.206,9.025,-0.684,-1.012,-1.722,0.261,-0.467,-0.107,8.3,-31.6,-27.6,266,2020-06-14 21:10:49:355
-1.474,-1.206,9.025,-0.684,-1.012,-1.722,0.261,-0.467,-0.107,8.3,-31.6,-27.6,275,2020-06-14 21:10:49:364
-1.194,-1.56,7.208,-0.684,-1.012,-1.722,0.419,-0.276,-0.01,8.0,-30.9,-28.2,284,2020-06-14 21:10:49:373
-1.194,-1.56,7.208,-0.841,-1.401,-3.943,0.419,-0.276,-0.01,8.0,-30.9,-28.2,294,2020-06-14 21:10:49:383
-1.381,-1.659,6.763,-0.841,-1.401,-3.943,0.419,-0.276,-0.01,8.0,-30.9,-28.2,305,2020-06-14 21:10:49:394
-1.381,-1.659,6.763,-0.841,-1.401,-3.943,-0.16,-0.548,0.116,8.3,-31.6,-27.0,314,2020-06-14 21:10:49:403
-1.381,-1.659,6.763,-0.25,-0.735,-4.703,-0.16,-0.548,0.116,8.3,-31.6,-27.0,325,2020-06-14 21:10:49:414
-1.168,-1.036,5.435,-0.25,-0.735,-4.703,-0.16,-0.548,0.116,8.3,-31.6,-27.0,335,2020-06-14 21:10:49:424
-1.168,-1.036,5.435,-0.25,-0.735,-4.703,-0.342,-0.609,-0.183,8.6,-31.3,-28.2,345,2020-06-14 21:10:49:434
-1.168,-1.036,5.435,-1.863,-1.267,-2.244,-0.342,-0.609,-0.183,8.6,-31.3,-28.2,355,2020-06-14 21:10:49:444
-1.874,-1.146,8.465,-1.863,-1.267,-2.244,-0.342,-0.609,-0.183,8.6,-31.3,-28.2,365,2020-06-14 21:10:49:454
-1.874,-1.146,8.465,-1.863,-1.267,-2.244,1.329,-0.104,-0.376,8.6,-31.3,-28.2,375,2020-06-14 21:10:49:464
-1.874,-1.146,8.465,-1.986,-1.369,-2.722,1.329,-0.104,-0.376,7.1,-32.0,-26.4,385,2020-06-14 21:10:49:474
-2.336,-1.211,5.443,-1.986,-1.369,-2.722,1.329,-0.104,-0.376,7.1,-32.0,-26.4,395,2020-06-14 21:10:49:484
-2.336,-1.211,5.443,-1.986,-1.369,-2.722,1.329,-0.104,-0.376,7.1,-32.0,-26.4,405,2020-06-14 21:10:49:494
-2.336,-1.211,5.443,-1.612,-1.501,-6.839,1.736,-0.606,-0.547,7.1,-32.0,-26.4,414,2020-06-14 21:10:49:503
-1.781,-1.197,3.069,-1.612,-1.501,-6.839,1.736,-0.606,-0.547,8.0,-33.5,-24.3,425,2020-06-14 21:10:49:514
-1.781,-1.197,3.069,-1.612,-1.501,-6.839,1.736,-0.606,-0.547,8.0,-33.5,-24.3,434,2020-06-14 21:10:49:523
-2.254,-1.264,3.227,-2.072,-2.098,-7.105,0.807,-0.585,-0.575,8.0,-33.5,-24.3,444,2020-06-14 21:10:49:533
-2.254,-1.264,3.227,-2.072,-2.098,-7.105,0.807,-0.585,-0.575,8.0,-33.5,-24.3,454,2020-06-14 21:10:49:543
-2.254,-1.264,3.227,-2.072,-2.098,-7.105,0.807,-0.585,-0.575,7.1,-34.0,-25.8,465,2020-06-14 21:10:49:554
-2.173,-1.118,5.995,-2.28,-2.113,-3.938,0.546,-0.471,-0.394,7.1,-34.0,-25.8,475,2020-06-14 21:10:49:564
-2.173,-1.118,5.995,-2.28,-2.113,-3.938,0.546,-0.471,-0.394,7.1,-34.0,-25.8,484,2020-06-14 21:10:49:573
-2.173,-1.118,5.995,-2.28,-2.113,-3.938,0.546,-0.471,-0.394,7.1,-34.0,-25.8,494,2020-06-14 21:10:49:583
-3.147,-0.85,5.543,-2.28,-2.113,-3.938,0.546,-0.471,-0.394,6.8,-33.7,-24.0,504,2020-06-14 21:10:49:593
-3.147,-0.85,5.543,-4.255,-1.809,-4.265,0.577,-0.343,-0.183,6.8,-33.7,-24.0,515,2020-06-14 21:10:49:604
-3.147,-0.85,5.543,-4.255,-1.809,-4.265,0.577,-0.343,-0.183,6.8,-33.7,-24.0,525,2020-06-14 21:10:49:614
-2.266,-0.838,6.622,-2.512,-2.115,-3.508,0.577,-0.343,-0.183,6.8,-33.7,-24.0,534,2020-06-14 21:10:49:623
-2.266,-0.838,6.622,-2.512,-2.115,-3.508,0.517,-0.369,-0.073,7.4,-34.6,-21.9,544,2020-06-14 21:10:49:633
-2.266,-0.838,6.622,-2.512,-2.115,-3.508,0.517,-0.369,-0.073,7.4,-34.6,-21.9,555,2020-06-14 21:10:49:644
-2.166,-0.302,6.079,-2.512,-2.115,-3.508,0.517,-0.369,-0.073,7.4,-34.6,-21.9,565,2020-06-14 21:10:49:654
-2.166,-0.302,6.079,-2.538,-1.678,-3.325,0.316,0.012,-0.179,8.3,-35.3,-22.5,575,2020-06-14 21:10:49:664
-2.166,-0.302,6.079,-2.538,-1.678,-3.325,0.316,0.012,-0.179,8.3,-35.3,-22.5,585,2020-06-14 21:10:49:674
-2.561,-0.024,7.139,-3.128,-1.411,-2.261,0.316,0.012,-0.179,8.3,-35.3,-22.5,595,2020-06-14 21:10:49:684
-2.561,-0.024,7.139,-3.128,-1.411,-2.261,0.316,0.012,-0.179,8.3,-35.3,-22.5,604,2020-06-14 21:10:49:693
-2.738,0.143,7.503,-3.128,-1.411,-2.261,0.313,-0.008,-0.208,6.8,-34.6,-22.5,615,2020-06-14 21:10:49:704
-2.738,0.143,7.503,-3.002,-1.311,-2.238,0.313,-0.008,-0.208,6.8,-34.6,-22.5,625,2020-06-14 21:10:49:714
-2.738,0.143,7.503,-3.002,-1.311,-2.238,0.313,-0.008,-0.208,6.8,-34.6,-22.5,635,2020-06-14 21:10:49:724
