sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.86,0.24,12.47,0.05,0.21,3.46,0.21,0.22,-0.09,-2.0,-32.0,-26.0,7,2020-06-14 21:14:00:684
-0.86,0.24,12.47,0.05,0.21,3.46,0.21,0.22,-0.09,-2.0,-32.0,-26.0,16,2020-06-14 21:14:00:693
-0.53,-0.05,11.8,0.51,0.02,1.74,0.21,0.22,-0.09,-2.0,-32.0,-26.0,28,2020-06-14 21:14:00:705
-0.53,-0.05,11.8,0.51,0.02,1.74,0.21,0.22,-0.09,-2.0,-32.0,-26.0,37,2020-06-14 21:14:00:714
-0.53,-0.05,11.8,0.51,0.02,1.74,-0.27,0.35,0.22,-2.0,-32.0,-26.0,47,2020-06-14 21:14:00:724
-0.24,-0.55,11.47,0.91,-0.4,1.41,-0.27,0.35,0.22,-2.0,-32.0,-26.0,56,2020-06-14 21:14:00:733
-0.24,-0.55,11.47,0.91,-0.4,1.41,-0.27,0.35,0.22,-2.0,-32.0,-27.0,67,2020-06-14 21:14:00:744
-0.24,-0.55,11.47,0.91,-0.4,1.41,-0.52,-0.13,0.25,-2.0,-32.0,-27.0,77,2020-06-14 21:14:00:754
-0.7,-0.53,9.84,0.42,-0.25,-0.23,-0.52,-0.13,0.25,-2.0,-32.0,-27.0,86,2020-06-14 21:14:00:763
-0.7,-0.53,9.84,0.42,-0.25,-0.23,-0.52,-0.13,0.25,-3.0,-31.0,-27.0,96,2020-06-14 21:14:00:773
-0.7,-0.53,9.84,0.42,-0.25,-0.23,-0.51,-0.47,0.25,-3.0,-31.0,-27.0,107,2020-06-14 21:14:00:784
-0.51,-0.94,8.73,0.5,-0.5,-1.33,-0.51,-0.47,0.25,-3.0,-31.0,-27.0,117,2020-06-14 21:14:00:794
-0.51,-0.94,8.73,0.5,-0.5,-1.33,-0.51,-0.47,0.25,-3.0,-31.0,-27.0,127,2020-06-14 21:14:00:804
-0.55,-0.65,7.42,0.34,-0.2,-2.64,0.23,-0.29,0.15,-3.0,-30.0,-29.0,137,2020-06-14 21:14:00:814
-0.55,-0.65,7.42,0.34,-0.2,-2.64,0.23,-0.29,0.15,-3.0,-30.0,-29.0,147,2020-06-14 21:14:00:824
-0.55,-0.65,7.42,0.34,-0.2,-2.64,0.23,-0.29,0.15,-3.0,-30.0,-29.0,157,2020-06-14 21:14:00:834
-0.75,0.23,7.99,0.34,-0.2,-2.64,0.23,-0.29,0.15,-5.0,-31.0,-28.0,167,2020-06-14 21:14:00:844
-0.75,0.23,7.99,0.19,0.55,-2.14,0.62,-0.61,0.15,-5.0,-31.0,-28.0,177,2020-06-14 21:14:00:854
-0.75,0.23,7.99,0.19,0.55,-2.14,0.62,-0.61,0.15,-5.0,-31.0,-28.0,187,2020-06-14 21:14:00:864
-0.49,-0.16,6.4,0.19,0.55,-2.14,0.62,-0.61,0.15,-4.0,-32.0,-27.0,196,2020-06-14 21:14:00:873
-0.49,-0.16,6.4,-0.15,-0.47,-4.32,0.92,-0.78,0.15,-4.0,-32.0,-27.0,206,2020-06-14 21:14:00:883
-0.49,-0.16,6.4,-0.15,-0.47,-4.32,0.92,-0.78,0.15,-4.0,-32.0,-27.0,216,2020-06-14 21:14:00:893
-0.59,-0.68,4.67,-0.15,-0.47,-4.32,0.92,-0.78,0.15,-6.0,-33.0,-26.0,227,2020-06-14 21:14:00:904
-0.59,-0.68,4.67,-0.28,-0.84,-5.97,0.81,-0.82,-0.21,-6.0,-33.0,-26.0,237,2020-06-14 21:14:00:914
-0.59,-0.68,4.67,-0.28,-0.84,-5.97,0.81,-0.82,-0.21,-6.0,-33.0,-26.0,247,2020-06-14 21:14:00:924
-0.98,0.28,2.45,-0.28,-0.84,-5.97,0.81,-0.82,-0.21,-6.0,-33.0,-26.0,257,2020-06-14 21:14:00:934
-0.98,0.28,2.45,-1.0,0.5,-8.08,0.81,-0.82,-0.21,-5.0,-33.0,-25.0,267,2020-06-14 21:14:00:944
-0.86,1.36,2.98,-1.0,0.5,-8.08,0.53,0.01,-0.19,-5.0,-33.0,-25.0,277,2020-06-14 21:14:00:954
-0.86,1.36,2.98,-1.0,0.5,-8.08,0.53,0.01,-0.19,-5.0,-33.0,-25.0,287,2020-06-14 21:14:00:964
-0.86,1.36,2.98,-0.17,0.86,-5.54,0.53,0.01,-0.19,-6.0,-33.0,-25.0,297,2020-06-14 21:14:00:974
-0.08,1.45,4.55,-0.17,0.86,-5.54,0.6,0.54,0.09,-6.0,-33.0,-25.0,307,2020-06-14 21:14:00:984
-0.08,1.45,4.55,-0.17,0.86,-5.54,0.6,0.54,0.09,-6.0,-33.0,-25.0,317,2020-06-14 21:14:00:994
-0.08,1.45,4.55,0.3,0.69,-6.22,0.6,0.54,0.09,-5.0,-34.0,-24.0,327,2020-06-14 21:14:01:004
-0.23,1.53,2.78,0.3,0.69,-6.22,0.89,0.78,0.07,-5.0,-34.0,-24.0,337,2020-06-14 21:14:01:014
-0.23,1.53,2.78,0.3,0.69,-6.22,0.89,0.78,0.07,-5.0,-34.0,-24.0,347,2020-06-14 21:14:01:024
-0.23,1.53,2.78,0.37,0.26,-7.05,0.89,0.78,0.07,-4.0,-34.0,-23.0,357,2020-06-14 21:14:01:034
-0.05,1.24,2.97,0.37,0.26,-7.05,0.3,0.74,-0.04,-4.0,-34.0,-23.0,367,2020-06-14 21:14:01:044
-0.05,1.24,2.97,0.37,0.26,-7.05,0.3,0.74,-0.04,-4.0,-34.0,-23.0,377,2020-06-14 21:14:01:054
-0.05,1.24,2.97,0.63,-0.25,-5.19,0.3,0.74,-0.04,-4.0,-35.0,-24.0,387,2020-06-14 21:14:01:064
-0.34,0.84,4.77,0.63,-0.25,-5.19,0.3,0.74,-0.04,-4.0,-35.0,-24.0,397,2020-06-14 21:14:01:074
-0.34,0.84,4.77,0.63,-0.25,-5.19,-0.37,0.25,-0.36,-4.0,-35.0,-24.0,407,2020-06-14 21:14:01:084
-0.34,0.84,4.77,0.0,-0.15,-3.49,-0.37,0.25,-0.36,-3.0,-35.0,-23.0,417,2020-06-14 21:14:01:094
-0.92,0.89,6.2,0.0,-0.15,-3.49,-0.37,0.25,-0.36,-3.0,-35.0,-23.0,427,2020-06-14 21:14:01:104
