sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.97,0.33,15.02,-4.71,0.36,4.65,1.22,0.44,-0.16,0.0,-31.0,-27.0,6,2020-06-14 21:15:27:364
-4.97,0.33,15.02,-4.71,0.36,4.65,0.86,0.17,0.4,0.0,-32.0,-25.0,15,2020-06-14 21:15:27:373
-2.63,-1.19,10.71,-2.42,-1.55,0.48,0.86,0.17,0.4,0.0,-32.0,-25.0,25,2020-06-14 21:15:27:383
-2.63,-1.19,10.71,-2.42,-1.55,0.48,0.86,0.17,0.4,0.0,-32.0,-25.0,35,2020-06-14 21:15:27:393
-2.63,-1.19,10.71,-2.42,-1.55,0.48,-0.01,0.16,0.99,0.0,-33.0,-24.0,46,2020-06-14 21:15:27:404
-0.57,-2.39,11.86,-0.38,-2.7,2.53,-0.01,0.16,0.99,0.0,-33.0,-24.0,56,2020-06-14 21:15:27:414
-0.57,-2.39,11.86,-0.38,-2.7,2.53,-0.01,0.16,0.99,0.0,-33.0,-24.0,66,2020-06-14 21:15:27:424
-0.57,-2.39,11.86,-0.38,-2.7,2.53,0.58,1.11,0.82,0.0,-33.0,-26.0,76,2020-06-14 21:15:27:434
-1.28,-1.97,14.61,-0.38,-2.7,2.53,0.58,1.11,0.82,0.0,-33.0,-26.0,86,2020-06-14 21:15:27:444
-1.28,-1.97,14.61,-0.12,-2.06,2.43,0.58,1.11,0.82,0.0,-33.0,-26.0,96,2020-06-14 21:15:27:454
-1.48,0.14,10.87,-0.12,-2.06,2.43,2.22,0.62,0.15,0.0,-33.0,-26.0,105,2020-06-14 21:15:27:463
-1.48,0.14,10.87,-1.23,-1.61,-2.24,2.22,0.62,0.15,0.0,-33.0,-23.0,116,2020-06-14 21:15:27:474
-1.48,0.14,10.87,-1.23,-1.61,-2.24,2.22,0.62,0.15,0.0,-33.0,-23.0,126,2020-06-14 21:15:27:484
-2.07,-0.14,4.88,-1.23,-1.61,-2.24,2.22,0.62,0.15,0.0,-33.0,-23.0,135,2020-06-14 21:15:27:493
-2.07,-0.14,4.88,-1.66,-1.62,-5.96,2.51,-0.54,-0.35,0.0,-35.0,-22.0,146,2020-06-14 21:15:27:504
-2.07,-0.14,4.88,-1.66,-1.62,-5.96,2.51,-0.54,-0.35,0.0,-35.0,-22.0,156,2020-06-14 21:15:27:514
-1.95,0.2,1.63,-1.66,-1.62,-5.96,2.51,-0.54,-0.35,0.0,-35.0,-22.0,166,2020-06-14 21:15:27:524
-1.95,0.2,1.63,-0.99,-2.59,-8.51,1.82,-0.97,-0.54,0.0,-35.0,-22.0,176,2020-06-14 21:15:27:534
-1.95,0.2,1.63,-0.99,-2.59,-8.51,1.82,-0.97,-0.54,0.0,-37.0,-17.0,186,2020-06-14 21:15:27:544
-1.68,-0.58,0.98,-0.99,-2.59,-8.51,1.82,-0.97,-0.54,0.0,-37.0,-17.0,196,2020-06-14 21:15:27:554
-1.68,-0.58,0.98,-0.99,-2.59,-8.51,1.82,-0.97,-0.54,0.0,-37.0,-17.0,205,2020-06-14 21:15:27:563
-1.68,-0.58,0.98,-2.0,-3.57,-9.2,1.32,-0.77,-0.8,1.0,-39.0,-16.0,216,2020-06-14 21:15:27:574
-2.59,-0.74,1.17,-2.0,-3.57,-9.2,1.32,-0.77,-0.8,1.0,-39.0,-16.0,226,2020-06-14 21:15:27:584
-2.59,-0.74,1.17,-2.0,-3.57,-9.2,1.32,-0.77,-0.8,1.0,-39.0,-16.0,236,2020-06-14 21:15:27:594
-2.59,-0.74,1.17,-2.89,-4.08,-8.32,1.2,-0.68,-0.76,1.0,-39.0,-15.0,246,2020-06-14 21:15:27:604
-3.26,-0.87,0.59,-2.89,-4.08,-8.32,1.2,-0.68,-0.76,1.0,-39.0,-15.0,256,2020-06-14 21:15:27:614
