sep=,
ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.99,0.02,8.94,-3.95,-1.01,-0.83,-0.29,-0.11,-0.59,1.0,-35.0,-22.0,4,2020-06-14 21:21:35:429
-3.91,-0.2,9.42,-3.87,-1.17,-0.39,-0.29,-0.11,-0.59,1.0,-36.0,-22.0,14,2020-06-14 21:21:35:439
-3.91,-0.2,9.42,-3.87,-1.17,-0.39,-0.29,-0.11,-0.59,1.0,-36.0,-22.0,24,2020-06-14 21:21:35:449
-3.91,-0.2,9.42,-3.63,-1.14,-0.51,-0.02,-0.29,-0.5,1.0,-36.0,-22.0,35,2020-06-14 21:21:35:460
-3.65,-0.13,9.22,-3.63,-1.14,-0.51,-0.02,-0.29,-0.5,1.0,-35.0,-22.0,44,2020-06-14 21:21:35:469
-3.65,-0.13,9.22,-3.63,-1.14,-0.51,-0.02,-0.29,-0.5,1.0,-35.0,-22.0,55,2020-06-14 21:21:35:480
-3.65,-0.13,9.22,-3.44,-1.0,-1.22,-0.02,-0.29,-0.5,1.0,-35.0,-22.0,65,2020-06-14 21:21:35:490
-3.41,-0.04,8.35,-3.44,-1.0,-1.22,0.24,-0.25,-0.34,2.0,-35.0,-24.0,75,2020-06-14 21:21:35:500
-3.41,-0.04,8.35,-3.44,-1.0,-1.22,0.24,-0.25,-0.34,2.0,-35.0,-24.0,85,2020-06-14 21:21:35:510
-3.24,-0.23,8.0,-3.31,-1.22,-1.85,0.24,-0.25,-0.34,2.0,-35.0,-24.0,95,2020-06-14 21:21:35:520
-3.24,-0.23,8.0,-3.31,-1.22,-1.85,0.14,-0.01,-0.2,2.0,-35.0,-24.0,104,2020-06-14 21:21:35:529
-3.24,-0.23,8.0,-3.31,-1.22,-1.85,0.14,-0.01,-0.2,3.0,-36.0,-25.0,114,2020-06-14 21:21:35:539
-3.11,-0.59,8.77,-3.04,-1.58,-1.04,0.14,-0.01,-0.2,3.0,-36.0,-25.0,125,2020-06-14 21:21:35:550
-3.11,-0.59,8.77,-3.04,-1.58,-1.04,0.14,-0.25,-0.23,3.0,-36.0,-25.0,135,2020-06-14 21:21:35:560
-3.11,-0.59,8.77,-3.04,-1.58,-1.04,0.14,-0.25,-0.23,1.0,-35.0,-23.0,145,2020-06-14 21:21:35:570
-3.78,-0.61,7.76,-3.65,-1.68,-1.54,0.14,-0.25,-0.23,1.0,-35.0,-23.0,155,2020-06-14 21:21:35:580
-3.78,-0.61,7.76,-3.65,-1.68,-1.54,0.07,-0.32,-0.11,1.0,-35.0,-23.0,165,2020-06-14 21:21:35:590
-3.78,-0.61,7.76,-3.77,-1.98,-4.06,0.07,-0.32,-0.11,1.0,-35.0,-23.0,175,2020-06-14 21:21:35:600
-3.63,-0.96,5.2,-3.77,-1.98,-4.06,0.07,-0.32,-0.11,1.0,-35.0,-22.0,185,2020-06-14 21:21:35:610
-3.63,-0.96,5.2,-3.77,-1.98,-4.06,0.07,-0.32,-0.11,1.0,-35.0,-22.0,195,2020-06-14 21:21:35:620
-3.63,-0.96,5.2,-3.67,-1.5,-3.36,-1.16,0.06,0.01,1.0,-35.0,-22.0,205,2020-06-14 21:21:35:630
-3.73,-0.59,6.87,-3.67,-1.5,-3.36,-1.16,0.06,0.01,1.0,-35.0,-22.0,215,2020-06-14 21:21:35:640
-3.73,-0.59,6.87,-3.67,-1.5,-3.36,-1.16,0.06,0.01,1.0,-34.0,-24.0,225,2020-06-14 21:21:35:650
-3.09,-1.44,9.98,-3.54,-1.49,0.07,-1.53,0.05,0.3,1.0,-34.0,-24.0,235,2020-06-14 21:21:35:660
-3.09,-1.44,9.98,-3.54,-1.49,0.07,-1.53,0.05,0.3,1.0,-34.0,-24.0,245,2020-06-14 21:21:35:670
-3.09,-1.44,9.98,-3.54,-1.49,0.07,-1.53,0.05,0.3,2.0,-33.0,-25.0,255,2020-06-14 21:21:35:680
-1.05,-2.02,8.5,-1.43,-2.26,-0.76,-0.64,0.11,0.47,2.0,-33.0,-25.0,265,2020-06-14 21:21:35:690
-1.05,-2.02,8.5,-1.43,-2.26,-0.76,-0.64,0.11,0.47,2.0,-33.0,-25.0,275,2020-06-14 21:21:35:700
-1.05,-2.02,8.5,-1.43,-2.26,-0.76,-0.64,0.11,0.47,2.0,-33.0,-25.0,285,2020-06-14 21:21:35:710
-0.73,-1.28,10.48,-0.74,-1.21,0.8,-0.35,-0.03,0.48,1.0,-33.0,-26.0,295,2020-06-14 21:21:35:720
-0.73,-1.28,10.48,-0.74,-1.21,0.8,-0.35,-0.03,0.48,1.0,-33.0,-26.0,305,2020-06-14 21:21:35:730
-0.73,-1.28,10.48,-0.74,-1.21,0.8,-0.35,-0.03,0.48,1.0,-33.0,-26.0,314,2020-06-14 21:21:35:739
-2.38,-0.06,8.38,-2.36,0.14,-1.29,-0.35,-0.03,0.48,1.0,-33.0,-27.0,325,2020-06-14 21:21:35:750
-2.38,-0.06,8.38,-2.36,0.14,-1.29,-0.62,0.08,0.9,1.0,-33.0,-27.0,334,2020-06-14 21:21:35:759
-2.38,-0.06,8.38,-2.36,0.14,-1.29,-0.62,0.08,0.9,1.0,-33.0,-27.0,345,2020-06-14 21:21:35:770
