ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
4.47981,-2.44356,8.033745,4.175091,-2.248303,-1.659346,1.437397,-0.184165,-0.151263,-17.571,-24.6479,-24.7054,8,2020-06-13 12:24:51:211
4.47981,-2.44356,8.033745,4.175091,-2.248303,-1.659346,1.437397,-0.184165,-0.151263,-17.571,-24.6479,-24.7054,16,2020-06-13 12:24:51:219
4.47981,-2.44356,8.033745,3.463632,-1.803758,-1.36558,0.987967,-0.29386,-0.428163,-17.571,-24.6479,-24.7054,26,2020-06-13 12:24:51:229
3.658153,-1.926132,9.152444,3.463632,-1.803758,-1.36558,0.987967,-0.29386,-0.428163,-17.571,-24.6479,-24.7054,39,2020-06-13 12:24:51:242
3.658153,-1.926132,9.152444,3.463632,-1.803758,-1.36558,0.987967,-0.29386,-0.428163,-17.2335,-25.6708,-22.9619,45,2020-06-13 12:24:51:248
3.111979,-1.41589,9.116511,2.647261,-1.523863,-0.973627,1.071037,-0.25765,-0.636903,-17.2335,-25.6708,-22.9619,58,2020-06-13 12:24:51:261
3.111979,-1.41589,9.116511,2.647261,-1.523863,-0.973627,1.071037,-0.25765,-0.636903,-17.2335,-25.6708,-22.9619,66,2020-06-13 12:24:51:269
3.111979,-1.41589,9.116511,2.647261,-1.523863,-0.973627,1.071037,-0.25765,-0.636903,-17.2335,-25.6708,-22.9619,79,2020-06-13 12:24:51:282
3.332365,-0.436131,7.569018,2.762016,-0.882565,-2.580509,1.166887,-0.205465,-0.909543,-16.4349,-26.6008,-21.6812,86,2020-06-13 12:24:51:289
3.332365,-0.436131,7.569018,2.762016,-0.882565,-2.580509,1.166887,-0.205465,-0.909543,-16.4349,-26.6008,-21.6812,95,2020-06-13 12:24:51:298
3.332365,-0.436131,7.569018,2.762016,-0.882565,-2.580509,1.166887,-0.205465,-0.909543,-16.4349,-26.6008,-21.6812,106,2020-06-13 12:24:51:309
3.236545,-0.244491,6.347313,2.762016,-0.882565,-2.580509,0.980512,-0.26617,-1.239693,-16.2228,-27.3252,-20.5247,115,2020-06-13 12:24:51:318
3.236545,-0.244491,6.347313,2.568355,-0.981069,-3.920936,0.980512,-0.26617,-1.239693,-16.2228,-27.3252,-20.5247,126,2020-06-13 12:24:51:329
2.410097,-0.244491,5.705319,2.568355,-0.981069,-3.920936,0.980512,-0.26617,-1.239693,-16.2228,-27.3252,-20.5247,135,2020-06-13 12:24:51:338
2.410097,-0.244491,5.705319,1.463208,-1.310467,-4.408283,0.750472,-0.290665,-1.452693,-15.3786,-28.6326,-18.9661,146,2020-06-13 12:24:51:349
2.410097,-0.244491,5.705319,1.463208,-1.310467,-4.408283,0.750472,-0.290665,-1.452693,-15.3786,-28.6326,-18.9661,155,2020-06-13 12:24:51:358
0.831463,-0.543928,5.619081,1.463208,-1.310467,-4.408283,0.750472,-0.290665,-1.452693,-15.3786,-28.6326,-18.9661,166,2020-06-13 12:24:51:369
0.831463,-0.543928,5.619081,-0.367036,-2.047801,-4.510198,0.608827,-0.28108,-1.431393,-15.3786,-28.6326,-18.9661,176,2020-06-13 12:24:51:379
0.831463,-0.543928,5.619081,-0.367036,-2.047801,-4.510198,0.608827,-0.28108,-1.431393,-14.3128,-29.9361,-17.1153,187,2020-06-13 12:24:51:390
-0.052477,-0.589443,5.439419,-0.367036,-2.047801,-4.510198,0.608827,-0.28108,-1.431393,-14.3128,-29.9361,-17.1153,196,2020-06-13 12:24:51:399
-0.052477,-0.589443,5.439419,-1.333724,-1.989181,-4.961558,0.538537,-0.26404,-1.304658,-14.3128,-29.9361,-17.1153,207,2020-06-13 12:24:51:410
-0.052477,-0.589443,5.439419,-1.333724,-1.989181,-4.961558,0.538537,-0.26404,-1.304658,-14.3128,-29.9361,-17.1153,217,2020-06-13 12:24:51:420
-0.052477,-0.589443,5.439419,-1.333724,-1.989181,-4.961558,0.538537,-0.26404,-1.304658,-14.3128,-29.9361,-17.1153,228,2020-06-13 12:24:51:431
-0.052477,-0.589443,5.439419,-1.333724,-1.989181,-4.961558,0.538537,-0.26404,-1.304658,-14.3128,-29.9361,-17.1153,236,2020-06-13 12:24:51:439
-0.773522,-0.594234,4.967505,-1.43118,-2.083194,-4.979123,0.532147,-0.233155,-1.276968,-13.0998,-30.3525,-17.0794,246,2020-06-13 12:24:51:449
-0.773522,-0.594234,4.967505,-1.43118,-2.083194,-4.979123,0.532147,-0.233155,-1.276968,-13.0998,-30.3525,-17.0794,255,2020-06-13 12:24:51:458
