ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-7.018591,-4.76959,8.670948,-4.540435,-2.856722,-1.430646,1.553167,0.263003,-0.722762,-22.4718,-3.5471,-35.6057,5,2020-06-14 10:38:46:069
-7.018591,-4.76959,8.670948,-4.540435,-2.856722,-1.430646,1.553167,0.263003,-0.722762,-22.4718,-3.5471,-35.6057,14,2020-06-14 10:38:46:078
-7.478527,-4.110828,7.988231,-4.540435,-2.856722,-1.430646,1.719307,-0.120397,-0.455447,-22.4718,-3.5471,-35.6057,25,2020-06-14 10:38:46:089
-7.478527,-4.110828,7.988231,-4.957911,-2.668976,-2.073657,1.719307,-0.120397,-0.455447,-21.5856,-5.0381,-34.8765,34,2020-06-14 10:38:46:098
-7.478527,-4.110828,7.988231,-4.957911,-2.668976,-2.073657,1.719307,-0.120397,-0.455447,-21.5856,-5.0381,-34.8765,45,2020-06-14 10:38:46:109
-7.722868,-4.441407,7.001285,-4.957911,-2.668976,-2.073657,1.335907,0.337553,0.100483,-21.5856,-5.0381,-34.8765,54,2020-06-14 10:38:46:118
-7.722868,-4.441407,7.001285,-4.957911,-2.668976,-2.073657,1.335907,0.337553,0.100483,-21.5856,-5.0381,-34.8765,64,2020-06-14 10:38:46:128
-7.722868,-4.441407,7.001285,-5.096018,-3.395024,-3.10781,1.335907,0.337553,0.100483,-21.7505,-7.6749,-34.5818,75,2020-06-14 10:38:46:139
-6.989845,-3.591004,6.313776,-5.096018,-3.395024,-3.10781,0.881152,0.833843,0.684103,-21.7505,-7.6749,-34.5818,84,2020-06-14 10:38:46:148
-6.989845,-3.591004,6.313776,-5.096018,-3.395024,-3.10781,0.881152,0.833843,0.684103,-21.7505,-7.6749,-34.5818,95,2020-06-14 10:38:46:159
-6.989845,-3.591004,6.313776,-3.629169,-2.333879,-4.109042,0.881152,0.833843,0.684103,-21.5975,-10.0536,-34.7925,105,2020-06-14 10:38:46:169
-5.780117,-2.589685,5.868213,-3.629169,-2.333879,-4.109042,0.624487,0.776333,0.884323,-21.5975,-10.0536,-34.7925,117,2020-06-14 10:38:46:181
-5.780117,-2.589685,5.868213,-3.629169,-2.333879,-4.109042,0.624487,0.776333,0.884323,-21.5975,-10.0536,-34.7925,127,2020-06-14 10:38:46:191
-5.780117,-2.589685,5.868213,-2.282475,-1.936449,-4.198851,0.624487,0.776333,0.884323,-21.0266,-10.5828,-34.4693,135,2020-06-14 10:38:46:199
-5.65076,-2.398045,6.158069,-2.282475,-1.936449,-4.198851,0.624487,0.776333,0.884323,-21.0266,-10.5828,-34.4693,146,2020-06-14 10:38:46:210
-5.65076,-2.398045,6.158069,-2.282475,-1.936449,-4.198851,0.626617,0.414233,0.749068,-21.0266,-10.5828,-34.4693,156,2020-06-14 10:38:46:220
-5.65076,-2.398045,6.158069,-2.282475,-1.936449,-4.198851,0.626617,0.414233,0.749068,-21.0266,-10.5828,-34.4693,164,2020-06-14 10:38:46:228
-6.728735,-3.334686,6.613214,-2.956402,-2.946311,-3.275645,0.626617,0.414233,0.749068,-20.4695,-10.114,-34.3953,174,2020-06-14 10:38:46:238
-6.728735,-3.334686,6.613214,-2.956402,-2.946311,-3.275645,0.626617,0.414233,0.749068,-20.4695,-10.114,-34.3953,184,2020-06-14 10:38:46:248
-6.685616,-3.710779,5.664596,-3.242115,-3.894804,-3.858904,0.889672,0.238508,1.009993,-20.4695,-10.114,-34.3953,195,2020-06-14 10:38:46:259
-6.685616,-3.710779,5.664596,-3.242115,-3.894804,-3.858904,0.889672,0.238508,1.009993,-20.0002,-10.5929,-34.3255,204,2020-06-14 10:38:46:268
-6.685616,-3.710779,5.664596,-3.242115,-3.894804,-3.858904,0.889672,0.238508,1.009993,-20.0002,-10.5929,-34.3255,215,2020-06-14 10:38:46:279
-5.368091,-3.986262,3.920672,-3.242115,-3.894804,-3.858904,0.775717,0.180998,1.360378,-20.0002,-10.5929,-34.3255,225,2020-06-14 10:38:46:289
-5.368091,-3.986262,3.920672,-1.937786,-4.489602,-5.650963,0.775717,0.180998,1.360378,-20.0002,-10.5929,-34.3255,234,2020-06-14 10:38:46:298
-5.368091,-3.986262,3.920672,-1.937786,-4.489602,-5.650963,0.775717,0.180998,1.360378,-20.0744,-11.0475,-34.2991,245,2020-06-14 10:38:46:309
-4.941692,-3.95512,4.598598,-1.937786,-4.489602,-5.650963,0.261322,0.374828,1.621303,-20.0744,-11.0475,-34.2991,254,2020-06-14 10:38:46:318
-4.941692,-3.95512,4.598598,-1.296205,-4.690627,-4.97749,0.261322,0.374828,1.621303,-20.0744,-11.0475,-34.2991,265,2020-06-14 10:38:46:329
-4.941692,-3.95512,4.598598,-1.296205,-4.690627,-4.97749,0.261322,0.374828,1.621303,-20.3999,-10.7884,-34.3253,274,2020-06-14 10:38:46:338
-4.06973,-1.65544,4.900431,-0.689264,-3.151894,-4.695277,-0.063503,0.704978,1.922698,-20.3999,-10.7884,-34.3253,285,2020-06-14 10:38:46:349
-4.06973,-1.65544,4.900431,-0.689264,-3.151894,-4.695277,-0.063503,0.704978,1.922698,-20.3999,-10.7884,-34.3253,294,2020-06-14 10:38:46:358
-4.06973,-1.65544,4.900431,-0.689264,-3.151894,-4.695277,-0.063503,0.704978,1.922698,-20.3999,-10.7884,-34.3253,304,2020-06-14 10:38:46:368
-1.762864,-0.397803,4.62974,2.167235,-1.611171,-4.628304,-0.452228,1.194878,1.779988,-21.217,-9.909,-34.637,315,2020-06-14 10:38:46:379
-1.762864,-0.397803,4.62974,2.167235,-1.611171,-4.628304,-0.452228,1.194878,1.779988,-21.217,-9.909,-34.637,324,2020-06-14 10:38:46:388
-1.762864,-0.397803,4.62974,2.167235,-1.611171,-4.628304,-0.452228,1.194878,1.779988,-21.217,-9.909,-34.637,335,2020-06-14 10:38:46:399
-2.74981,-0.110343,4.600994,1.540637,-1.223149,-4.701388,-0.561923,0.774203,1.627693,-21.217,-9.909,-34.637,344,2020-06-14 10:38:46:408
-2.74981,-0.110343,4.600994,1.540637,-1.223149,-4.701388,-0.561923,0.774203,1.627693,-20.8614,-8.0184,-35.5374,355,2020-06-14 10:38:46:419
-2.74981,-0.110343,4.600994,1.540637,-1.223149,-4.701388,-0.561923,0.774203,1.627693,-20.8614,-8.0184,-35.5374,364,2020-06-14 10:38:46:428
-2.87198,-0.57507,5.63585,1.29606,-1.99031,-3.336608,-0.256268,0.308798,1.610653,-20.8614,-8.0184,-35.5374,375,2020-06-14 10:38:46:439
-2.87198,-0.57507,5.63585,1.29606,-1.99031,-3.336608,-0.256268,0.308798,1.610653,-20.8614,-8.0184,-35.5374,384,2020-06-14 10:38:46:448
-2.87198,-0.57507,5.63585,1.29606,-1.99031,-3.336608,-0.256268,0.308798,1.610653,-20.0238,-6.0628,-36.5127,395,2020-06-14 10:38:46:459
-3.178604,-0.874507,5.726879,1.183339,-2.222575,-3.425439,-0.295673,0.447248,1.765078,-20.0238,-6.0628,-36.5127,404,2020-06-14 10:38:46:468
-3.178604,-0.874507,5.726879,1.183339,-2.222575,-3.425439,-0.295673,0.447248,1.765078,-20.0238,-6.0628,-36.5127,414,2020-06-14 10:38:46:478
-2.742623,-0.675681,5.37474,1.183339,-2.222575,-3.425439,-0.295673,0.447248,1.765078,-20.0807,-4.8676,-36.9399,425,2020-06-14 10:38:46:489
-2.742623,-0.675681,5.37474,1.549292,-2.24833,-3.644317,-0.368093,0.358853,1.824718,-20.0807,-4.8676,-36.9399,434,2020-06-14 10:38:46:498
-2.742623,-0.675681,5.37474,1.549292,-2.24833,-3.644317,-0.368093,0.358853,1.824718,-20.0807,-4.8676,-36.9399,445,2020-06-14 10:38:46:509
-2.742623,-0.675681,5.37474,1.549292,-2.24833,-3.644317,-0.368093,0.358853,1.824718,-20.0807,-4.8676,-36.9399,454,2020-06-14 10:38:46:518
-2.047928,-0.737964,4.768679,2.124334,-2.280355,-4.112701,-0.626888,0.173543,1.770403,-19.759,-3.4285,-37.6587,465,2020-06-14 10:38:46:529
-2.047928,-0.737964,4.768679,2.124334,-2.280355,-4.112701,-0.626888,0.173543,1.770403,-19.759,-3.4285,-37.6587,474,2020-06-14 10:38:46:538
-1.278973,-0.467272,6.158069,2.124334,-2.280355,-4.112701,-0.626888,0.173543,1.770403,-19.759,-3.4285,-37.6587,485,2020-06-14 10:38:46:549
-1.278973,-0.467272,6.158069,3.189171,-1.883874,-2.724896,-0.626888,0.173543,1.770403,-19.759,-3.4285,-37.6587,495,2020-06-14 10:38:46:559
-1.278973,-0.467272,6.158069,3.189171,-1.883874,-2.724896,-0.871838,0.463223,1.679878,-18.8945,-0.5102,-38.8048,504,2020-06-14 10:38:46:568
-1.278973,-0.467272,6.158069,3.189171,-1.883874,-2.724896,-0.871838,0.463223,1.679878,-18.8945,-0.5102,-38.8048,514,2020-06-14 10:38:46:578
-0.845387,-0.201372,6.347313,3.385351,-1.929542,-2.504173,-0.871838,0.463223,1.679878,-18.8945,-0.5102,-38.8048,525,2020-06-14 10:38:46:589
-0.845387,-0.201372,6.347313,3.385351,-1.929542,-2.504173,-0.729128,0.238508,1.447708,-19.1395,1.2811,-38.0039,534,2020-06-14 10:38:46:598
-0.845387,-0.201372,6.347313,3.385351,-1.929542,-2.504173,-0.729128,0.238508,1.447708,-19.1395,1.2811,-38.0039,545,2020-06-14 10:38:46:609
-1.001095,-0.637353,6.653937,3.360405,-2.081442,-2.404491,-0.729128,0.238508,1.447708,-19.1395,1.2811,-38.0039,555,2020-06-14 10:38:46:619
