ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.36653,-0.587047,6.895883,0.954137,-1.5204,-2.498707,0.053647,0.108578,0.914143,-21.8711,8.4476,-35.744,6,2020-06-14 10:53:38:538
-2.36653,-0.587047,6.895883,0.954137,-1.5204,-2.498707,-0.113558,0.100058,0.970588,-21.8711,8.4476,-35.744,15,2020-06-14 10:53:38:547
-2.36653,-0.587047,6.895883,0.954137,-1.5204,-2.498707,-0.113558,0.100058,0.970588,-21.8711,8.4476,-35.744,26,2020-06-14 10:53:38:558
-2.373716,-0.563092,7.094709,0.853886,-1.535592,-2.292215,-0.113558,0.100058,0.970588,-21.7373,8.9255,-36.3126,35,2020-06-14 10:53:38:567
-2.373716,-0.563092,7.094709,0.853886,-1.535592,-2.292215,0.083467,-0.230092,1.008928,-21.7373,8.9255,-36.3126,46,2020-06-14 10:53:38:578
-2.373716,-0.563092,7.094709,0.853886,-1.535592,-2.292215,0.083467,-0.230092,1.008928,-21.7373,8.9255,-36.3126,56,2020-06-14 10:53:38:588
-1.346047,-1.348816,6.229934,1.558284,-2.284999,-3.274258,0.083467,-0.230092,1.008928,-21.3252,9.7124,-35.974,65,2020-06-14 10:53:38:597
-1.346047,-1.348816,6.229934,1.558284,-2.284999,-3.274258,0.247477,-1.105522,0.938638,-21.3252,9.7124,-35.974,76,2020-06-14 10:53:38:608
-1.346047,-1.348816,6.229934,1.558284,-2.284999,-3.274258,0.247477,-1.105522,0.938638,-21.3252,9.7124,-35.974,85,2020-06-14 10:53:38:617
-0.972349,-1.166758,8.081655,1.77493,-2.484957,-1.578582,0.247477,-1.105522,0.938638,-21.3252,9.7124,-35.974,95,2020-06-14 10:53:38:627
-0.972349,-1.166758,8.081655,1.77493,-2.484957,-1.578582,-0.381938,-0.108682,1.073893,-21.4961,10.4486,-35.794,106,2020-06-14 10:53:38:638
-0.83341,-1.073334,8.869775,1.77493,-2.484957,-1.578582,-0.381938,-0.108682,1.073893,-21.4961,10.4486,-35.794,116,2020-06-14 10:53:38:648
-0.83341,-1.073334,8.869775,1.810708,-2.304881,-0.583746,-0.381938,-0.108682,1.073893,-21.4961,10.4486,-35.794,126,2020-06-14 10:53:38:658
-0.83341,-1.073334,8.869775,1.810708,-2.304881,-0.583746,-0.688658,0.576113,1.217668,-22.2529,11.38,-35.3894,136,2020-06-14 10:53:38:668
