ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.062507,-4.618674,10.354984,0.647203,-1.662611,2.152306,-1.355741,-0.80529,-0.465303,-32.1541,15.2669,-25.0355,8,2020-06-14 11:41:39:627
0.927283,-5.315764,13.586514,0.851819,-1.765181,4.08553,-1.554896,-0.81594,-0.435483,-32.6414,15.636,-24.329,18,2020-06-14 11:41:39:637
0.927283,-5.315764,13.586514,0.851819,-1.765181,4.08553,-1.554896,-0.81594,-0.435483,-32.6414,15.636,-24.329,28,2020-06-14 11:41:39:647
0.026575,-5.861938,15.613107,0.851819,-1.765181,4.08553,-1.554896,-0.81594,-0.435483,-32.6414,15.636,-24.329,38,2020-06-14 11:41:39:657
0.026575,-5.861938,15.613107,0.851819,-1.765181,4.08553,-1.554896,-0.81594,-0.435483,-32.6414,15.636,-24.329,48,2020-06-14 11:41:39:667
0.026575,-5.861938,15.613107,-0.445975,-1.639222,6.718708,-1.328051,0.173445,-0.068058,-33.8026,16.8064,-22.4791,58,2020-06-14 11:41:39:677
0.026575,-5.861938,15.613107,-0.445975,-1.639222,6.718708,-1.328051,0.173445,-0.068058,-33.8026,16.8064,-22.4791,67,2020-06-14 11:41:39:686
1.142878,-4.989976,14.863316,-0.445975,-1.639222,6.718708,-1.328051,0.173445,-0.068058,-33.8026,16.8064,-22.4791,78,2020-06-14 11:41:39:697
1.142878,-4.989976,14.863316,0.803349,-0.180411,6.032723,-0.629411,-0.092805,-0.273603,-34.1192,17.97,-21.2422,87,2020-06-14 11:41:39:706
0.546398,-5.004349,14.463267,0.803349,-0.180411,6.032723,-0.629411,-0.092805,-0.273603,-34.1192,17.97,-21.2422,98,2020-06-14 11:41:39:717
0.546398,-5.004349,14.463267,0.803349,-0.180411,6.032723,-0.629411,-0.092805,-0.273603,-34.1192,17.97,-21.2422,109,2020-06-14 11:41:39:728
0.546398,-5.004349,14.463267,0.252779,-0.258777,5.19702,-0.452621,0.18729,-0.271473,-34.1192,17.97,-21.2422,118,2020-06-14 11:41:39:737
0.821881,-5.023513,13.169697,0.252779,-0.258777,5.19702,-0.452621,0.18729,-0.271473,-34.2018,18.168,-20.6071,128,2020-06-14 11:41:39:747
0.821881,-5.023513,13.169697,0.252779,-0.258777,5.19702,-0.452621,0.18729,-0.271473,-34.2018,18.168,-20.6071,138,2020-06-14 11:41:39:757
0.84344,-4.915716,12.712156,0.586443,-0.004171,4.05448,-0.630476,0.50679,-0.294903,-34.06,18.091,-20.7015,150,2020-06-14 11:41:39:769
0.84344,-4.915716,12.712156,0.586443,-0.004171,4.05448,-0.630476,0.50679,-0.294903,-34.06,18.091,-20.7015,158,2020-06-14 11:41:39:777
0.84344,-4.915716,12.712156,0.586443,-0.004171,4.05448,-0.630476,0.50679,-0.294903,-34.06,18.091,-20.7015,168,2020-06-14 11:41:39:787
0.211028,-5.136102,12.985244,0.261845,0.094957,4.123372,-0.630476,0.50679,-0.294903,-34.06,18.091,-20.7015,178,2020-06-14 11:41:39:797
0.211028,-5.136102,12.985244,0.261845,0.094957,4.123372,-0.875426,0.6495,-0.332178,-33.824,18.487,-20.8031,188,2020-06-14 11:41:39:807
0.211028,-5.136102,12.985244,0.261845,0.094957,4.123372,-0.875426,0.6495,-0.332178,-33.824,18.487,-20.8031,198,2020-06-14 11:41:39:817
0.062507,-6.024832,15.167544,-0.093509,-0.708645,6.289687,-0.875426,0.6495,-0.332178,-33.824,18.487,-20.8031,208,2020-06-14 11:41:39:827
0.062507,-6.024832,15.167544,-0.093509,-0.708645,6.289687,-0.331211,0.052035,-0.192663,-33.824,18.487,-20.8031,218,2020-06-14 11:41:39:837
0.062507,-6.024832,15.167544,-0.093509,-0.708645,6.289687,-0.331211,0.052035,-0.192663,-34.0721,18.9902,-20.4843,230,2020-06-14 11:41:39:849
0.074485,-5.969736,15.260968,-0.004443,-0.549695,6.704153,-0.331211,0.052035,-0.192663,-34.0721,18.9902,-20.4843,238,2020-06-14 11:41:39:857
0.074485,-5.969736,15.260968,-0.004443,-0.549695,6.704153,0.182119,0.194745,-0.070188,-34.0721,18.9902,-20.4843,251,2020-06-14 11:41:39:870
0.500884,-6.094302,14.199762,-0.004443,-0.549695,6.704153,0.182119,0.194745,-0.070188,-33.895,19.2762,-20.6426,258,2020-06-14 11:41:39:877
0.500884,-6.094302,14.199762,-0.004443,-0.549695,6.704153,0.182119,0.194745,-0.070188,-33.895,19.2762,-20.6426,268,2020-06-14 11:41:39:887
0.500884,-6.094302,14.199762,0.44834,-0.776355,5.579939,0.182119,0.194745,-0.070188,-33.895,19.2762,-20.6426,278,2020-06-14 11:41:39:897
0.048134,-6.30271,14.918412,0.44834,-0.776355,5.579939,0.215134,0.37686,0.026727,-33.91,18.8632,-21.1587,288,2020-06-14 11:41:39:907
0.048134,-6.30271,14.918412,0.44834,-0.776355,5.579939,0.215134,0.37686,0.026727,-33.91,18.8632,-21.1587,298,2020-06-14 11:41:39:917
0.048134,-6.30271,14.918412,0.008708,-0.868543,6.979007,0.215134,0.37686,0.026727,-33.91,18.8632,-21.1587,310,2020-06-14 11:41:39:929
0.575144,-5.598433,14.829779,0.008708,-0.868543,6.979007,0.215134,0.37686,0.026727,-33.91,18.8632,-21.1587,318,2020-06-14 11:41:39:937
0.575144,-5.598433,14.829779,0.008708,-0.868543,6.979007,0.760414,0.505725,0.081042,-33.4964,18.0069,-21.664,328,2020-06-14 11:41:39:947
0.575144,-5.598433,14.829779,1.150594,-0.385219,4.957069,0.760414,0.505725,0.081042,-33.4964,18.0069,-21.664,338,2020-06-14 11:41:39:957
0.718874,-5.490636,12.647478,1.150594,-0.385219,4.957069,0.760414,0.505725,0.081042,-33.4964,18.0069,-21.664,348,2020-06-14 11:41:39:967
0.718874,-5.490636,12.647478,1.150594,-0.385219,4.957069,0.402574,0.965805,-0.094683,-33.138,18.2422,-22.343,358,2020-06-14 11:41:39:977
-1.604761,-6.223659,12.463024,0.135441,-0.794124,2.84768,0.402574,0.965805,-0.094683,-33.138,18.2422,-22.343,369,2020-06-14 11:41:39:988
-1.604761,-6.223659,12.463024,0.135441,-0.794124,2.84768,0.402574,0.965805,-0.094683,-33.138,18.2422,-22.343,379,2020-06-14 11:41:39:998
-1.604761,-6.223659,12.463024,0.135441,-0.794124,2.84768,0.402574,0.965805,-0.094683,-33.138,18.2422,-22.343,387,2020-06-14 11:41:40:006
-1.698185,-6.168562,13.540999,-1.364959,-1.454739,4.226468,0.420679,0.499335,-0.064863,-32.601,18.6012,-23.8942,400,2020-06-14 11:41:40:019
-1.698185,-6.168562,13.540999,-1.364959,-1.454739,4.226468,0.420679,0.499335,-0.064863,-32.601,18.6012,-23.8942,408,2020-06-14 11:41:40:027
-1.698185,-6.168562,13.540999,-1.364959,-1.454739,4.226468,0.420679,0.499335,-0.064863,-32.601,18.6012,-23.8942,417,2020-06-14 11:41:40:036
-0.490853,-5.437935,12.324085,-0.091708,-1.085357,3.557841,1.351489,-0.25149,0.050157,-32.0885,17.8976,-24.0527,428,2020-06-14 11:41:40:047
-0.490853,-5.437935,12.324085,-0.091708,-1.085357,3.557841,1.351489,-0.25149,0.050157,-32.0885,17.8976,-24.0527,438,2020-06-14 11:41:40:057
-0.490853,-5.437935,12.324085,-0.091708,-1.085357,3.557841,1.364269,-0.067245,-0.052083,-32.0885,17.8976,-24.0527,448,2020-06-14 11:41:40:067
-0.922043,-5.354092,10.628072,-0.16877,-1.146891,1.548996,1.364269,-0.067245,-0.052083,-32.0885,17.8976,-24.0527,458,2020-06-14 11:41:40:077
-0.922043,-5.354092,10.628072,-0.16877,-1.146891,1.548996,1.364269,-0.067245,-0.052083,-31.9641,16.1389,-24.2933,467,2020-06-14 11:41:40:086
-0.922043,-5.354092,10.628072,-0.16877,-1.146891,1.548996,1.364269,-0.067245,-0.052083,-31.9641,16.1389,-24.2933,478,2020-06-14 11:41:40:097
-1.523314,-5.306182,10.419663,-0.975584,-1.481239,0.59378,1.008559,0.07227,0.060807,-31.9641,16.1389,-24.2933,488,2020-06-14 11:41:40:107
-1.523314,-5.306182,10.419663,-0.975584,-1.481239,0.59378,1.008559,0.07227,0.060807,-32.0313,15.1203,-24.9934,498,2020-06-14 11:41:40:117
-0.967558,-4.824687,10.290306,-0.975584,-1.481239,0.59378,1.008559,0.07227,0.060807,-32.0313,15.1203,-24.9934,507,2020-06-14 11:41:40:126
-0.967558,-4.824687,10.290306,-0.562792,-1.288501,0.638557,1.041574,0.12978,0.148137,-32.0313,15.1203,-24.9934,518,2020-06-14 11:41:40:137
-0.967558,-4.824687,10.290306,-0.562792,-1.288501,0.638557,1.041574,0.12978,0.148137,-32.5025,14.2172,-25.6598,528,2020-06-14 11:41:40:147
-0.658538,-4.439011,9.741736,-0.042298,-1.14383,-0.096,1.041574,0.12978,0.148137,-32.5025,14.2172,-25.6598,538,2020-06-14 11:41:40:157
-0.658538,-4.439011,9.741736,-0.042298,-1.14383,-0.096,0.990454,0.243735,0.061872,-32.5025,14.2172,-25.6598,548,2020-06-14 11:41:40:167
-0.658538,-4.439011,9.741736,-0.042298,-1.14383,-0.096,0.990454,0.243735,0.061872,-32.5889,13.152,-26.0106,558,2020-06-14 11:41:40:177
-0.505226,-4.343191,8.953617,0.194835,-1.307693,-0.936883,0.990454,0.243735,0.061872,-32.5889,13.152,-26.0106,568,2020-06-14 11:41:40:187
-0.505226,-4.343191,8.953617,0.194835,-1.307693,-0.936883,0.650719,0.34491,0.085302,-32.5889,13.152,-26.0106,577,2020-06-14 11:41:40:196
-0.802268,-4.079687,10.793361,0.194835,-1.307693,-0.936883,0.650719,0.34491,0.085302,-31.9609,12.8295,-26.1939,589,2020-06-14 11:41:40:208
-0.802268,-4.079687,10.793361,0.194835,-1.307693,-0.936883,0.650719,0.34491,0.085302,-31.9609,12.8295,-26.1939,599,2020-06-14 11:41:40:218
-0.802268,-4.079687,10.793361,-0.060187,-1.179672,1.013717,0.525049,0.98178,0.197127,-31.9609,12.8295,-26.1939,616,2020-06-14 11:41:40:235
-0.802268,-4.079687,10.793361,-0.060187,-1.179672,1.013717,0.525049,0.98178,0.197127,-31.9609,12.8295,-26.1939,618,2020-06-14 11:41:40:237
-1.322092,-4.091664,11.025724,-0.060187,-1.179672,1.013717,0.525049,0.98178,0.197127,-31.3314,12.3975,-26.3754,628,2020-06-14 11:41:40:247
-1.322092,-4.091664,11.025724,-0.060187,-1.179672,1.013717,0.525049,0.98178,0.197127,-31.3314,12.3975,-26.3754,637,2020-06-14 11:41:40:256
-1.401143,-3.732339,7.576205,-0.379716,-1.627359,-1.246141,1.307824,0.618615,0.396282,-31.3314,12.3975,-26.3754,648,2020-06-14 11:41:40:267
-1.401143,-3.732339,7.576205,-0.379716,-1.627359,-1.246141,1.307824,0.618615,0.396282,-31.3314,12.3975,-26.3754,658,2020-06-14 11:41:40:277
-1.401143,-3.732339,7.576205,-0.379716,-1.627359,-1.246141,1.307824,0.618615,0.396282,-29.8753,11.7611,-27.8446,668,2020-06-14 11:41:40:287
-1.063378,-2.747788,5.645432,0.44176,-1.083128,-4.038897,2.174734,-0.8841,0.071457,-29.8753,11.7611,-27.8446,680,2020-06-14 11:41:40:299
-1.063378,-2.747788,5.645432,0.44176,-1.083128,-4.038897,2.174734,-0.8841,0.071457,-29.8753,11.7611,-27.8446,688,2020-06-14 11:41:40:307
-1.063378,-2.747788,5.645432,0.44176,-1.083128,-4.038897,2.174734,-0.8841,0.071457,-29.7192,10.5946,-28.5016,700,2020-06-14 11:41:40:319
-1.561642,-2.649573,5.080094,-0.460132,-1.369953,-5.120901,2.086339,-1.117335,-0.135153,-29.7192,10.5946,-28.5016,708,2020-06-14 11:41:40:327
-1.561642,-2.649573,5.080094,-0.460132,-1.369953,-5.120901,2.086339,-1.117335,-0.135153,-29.7192,10.5946,-28.5016,718,2020-06-14 11:41:40:337
-1.561642,-2.649573,5.080094,-0.460132,-1.369953,-5.120901,2.086339,-1.117335,-0.135153,-29.7192,10.5946,-28.5016,728,2020-06-14 11:41:40:347
-2.081465,-2.628013,3.772151,-0.460132,-1.369953,-5.120901,1.616674,-0.40059,0.032052,-30.3732,8.3677,-28.9149,737,2020-06-14 11:41:40:356
-2.081465,-2.628013,3.772151,-1.324557,-2.046692,-6.385875,1.616674,-0.40059,0.032052,-30.3732,8.3677,-28.9149,748,2020-06-14 11:41:40:367
-2.081465,-2.628013,3.772151,-1.324557,-2.046692,-6.385875,1.616674,-0.40059,0.032052,-30.3732,8.3677,-28.9149,758,2020-06-14 11:41:40:377
-1.949713,-2.165682,1.862937,-1.12558,-1.817969,-8.437418,0.862654,-0.23019,0.339837,-31.2363,6.7618,-28.6236,768,2020-06-14 11:41:40:387
-1.949713,-2.165682,1.862937,-1.12558,-1.817969,-8.437418,0.862654,-0.23019,0.339837,-31.2363,6.7618,-28.6236,778,2020-06-14 11:41:40:397
-0.644165,-1.003864,3.02715,-1.12558,-1.817969,-8.437418,0.862654,-0.23019,0.339837,-31.2363,6.7618,-28.6236,788,2020-06-14 11:41:40:407
-0.644165,-1.003864,3.02715,0.329516,-0.584971,-6.579072,0.341869,-0.32604,0.449532,-31.7779,5.1624,-28.6591,798,2020-06-14 11:41:40:417
-0.644165,-1.003864,3.02715,0.329516,-0.584971,-6.579072,0.341869,-0.32604,0.449532,-31.7779,5.1624,-28.6591,808,2020-06-14 11:41:40:427
0.48172,0.203468,5.583149,0.329516,-0.584971,-6.579072,0.341869,-0.32604,0.449532,-31.7779,5.1624,-28.6591,818,2020-06-14 11:41:40:437
0.48172,0.203468,5.583149,0.329516,-0.584971,-6.579072,0.341869,-0.32604,0.449532,-32.337,4.8635,-28.4842,828,2020-06-14 11:41:40:447
0.48172,0.203468,5.583149,1.192797,0.359853,-4.136555,0.395119,0.03606,0.240792,-32.337,4.8635,-28.4842,838,2020-06-14 11:41:40:457
0.67336,0.524465,5.386718,1.192797,0.359853,-4.136555,0.395119,0.03606,0.240792,-32.337,4.8635,-28.4842,848,2020-06-14 11:41:40:467
0.67336,0.524465,5.386718,1.192797,0.359853,-4.136555,0.395119,0.03606,0.240792,-32.0725,4.6648,-28.2464,858,2020-06-14 11:41:40:477
0.582331,0.433436,5.032184,1.154939,0.241511,-5.040824,0.755089,-0.007605,-0.019068,-32.0725,4.6648,-28.2464,869,2020-06-14 11:41:40:488
0.582331,0.433436,5.032184,1.154939,0.241511,-5.040824,0.755089,-0.007605,-0.019068,-32.0725,4.6648,-28.2464,878,2020-06-14 11:41:40:497
0.582331,0.433436,5.032184,1.154939,0.241511,-5.040824,0.755089,-0.007605,-0.019068,-32.0725,4.6648,-28.2464,888,2020-06-14 11:41:40:507
0.390691,0.57477,4.632135,1.101078,0.070673,-5.193901,0.875434,-0.320715,-0.210768,-31.8762,5.0603,-27.593,899,2020-06-14 11:41:40:518
0.390691,0.57477,4.632135,1.101078,0.070673,-5.193901,0.875434,-0.320715,-0.210768,-31.8762,5.0603,-27.593,909,2020-06-14 11:41:40:528
0.390691,0.57477,4.632135,1.101078,0.070673,-5.193901,0.875434,-0.320715,-0.210768,-31.8762,5.0603,-27.593,918,2020-06-14 11:41:40:537
-0.251303,0.550815,3.503855,0.197116,-0.154454,-6.395973,0.564454,-0.30261,-0.238458,-31.59,4.7252,-27.7207,928,2020-06-14 11:41:40:547
-0.251303,0.550815,3.503855,0.197116,-0.154454,-6.395973,0.564454,-0.30261,-0.238458,-31.59,4.7252,-27.7207,938,2020-06-14 11:41:40:557
0.067298,0.093275,4.359048,0.197116,-0.154454,-6.395973,0.564454,-0.30261,-0.238458,-31.59,4.7252,-27.7207,948,2020-06-14 11:41:40:567
0.067298,0.093275,4.359048,0.406609,-0.634841,-5.689593,-0.210866,0.02541,-0.144738,-31.59,4.7252,-27.7207,958,2020-06-14 11:41:40:577
0.067298,0.093275,4.359048,0.406609,-0.634841,-5.689593,-0.210866,0.02541,-0.144738,-32.4578,3.4397,-27.7834,968,2020-06-14 11:41:40:587
-0.581882,-0.09597,5.312457,0.406609,-0.634841,-5.689593,-0.210866,0.02541,-0.144738,-32.4578,3.4397,-27.7834,978,2020-06-14 11:41:40:597
-0.581882,-0.09597,5.312457,-0.192239,-0.710861,-4.609045,-0.626216,0.422655,-0.020133,-32.4578,3.4397,-27.7834,988,2020-06-14 11:41:40:607
-0.581882,-0.09597,5.312457,-0.192239,-0.710861,-4.609045,-0.626216,0.422655,-0.020133,-32.3316,3.0617,-27.4856,997,2020-06-14 11:41:40:616
-0.287236,-0.062433,5.995175,-0.192239,-0.710861,-4.609045,-0.626216,0.422655,-0.020133,-32.3316,3.0617,-27.4856,1008,2020-06-14 11:41:40:627
-0.287236,-0.062433,5.995175,0.549395,-0.357348,-3.538007,-0.503741,-0.04488,0.168372,-32.3316,3.0617,-27.4856,1018,2020-06-14 11:41:40:637
-0.287236,-0.062433,5.995175,0.549395,-0.357348,-3.538007,-0.503741,-0.04488,0.168372,-31.7648,2.795,-27.651,1028,2020-06-14 11:41:40:647
0.754807,0.505301,7.166574,0.549395,-0.357348,-3.538007,-0.503741,-0.04488,0.168372,-31.7648,2.795,-27.651,1038,2020-06-14 11:41:40:657
0.754807,0.505301,7.166574,0.549395,-0.357348,-3.538007,-0.503741,-0.04488,0.168372,-31.7648,2.795,-27.651,1048,2020-06-14 11:41:40:667
0.855418,0.397503,7.822941,1.240849,0.168601,-2.313346,-0.316301,-0.32817,0.026727,-31.393,3.5235,-28.2994,1066,2020-06-14 11:41:40:685
0.855418,0.397503,7.822941,1.240849,0.168601,-2.313346,-0.316301,-0.32817,0.026727,-31.393,3.5235,-28.2994,1068,2020-06-14 11:41:40:687
0.855418,0.397503,7.822941,1.240849,0.168601,-2.313346,-0.316301,-0.32817,0.026727,-31.393,3.5235,-28.2994,1078,2020-06-14 11:41:40:697
0.910514,-0.146275,7.535481,1.285799,-0.269891,-2.195669,-0.238556,-0.29196,-0.146868,-31.393,3.5235,-28.2994,1088,2020-06-14 11:41:40:707
0.910514,-0.146275,7.535481,1.285799,-0.269891,-2.195669,-0.238556,-0.29196,-0.146868,-31.4235,4.2939,-28.1382,1097,2020-06-14 11:41:40:716
0.910514,-0.146275,7.535481,1.285799,-0.269891,-2.195669,-0.238556,-0.29196,-0.146868,-31.4235,4.2939,-28.1382,1108,2020-06-14 11:41:40:727
0.273311,-1.035006,7.724726,0.606611,-0.869781,-2.463934,-0.423866,-0.45384,-0.238458,-31.4235,4.2939,-28.1382,1117,2020-06-14 11:41:40:736
0.273311,-1.035006,7.724726,0.606611,-0.869781,-2.463934,-0.423866,-0.45384,-0.238458,-31.4235,4.2939,-28.1382,1128,2020-06-14 11:41:40:747
0.273311,-1.035006,7.724726,0.606611,-0.869781,-2.463934,-0.423866,-0.45384,-0.238458,-32.1051,4.1535,-27.4828,1138,2020-06-14 11:41:40:757
0.304453,-1.312884,9.401575,0.606611,-0.869781,-2.463934,-0.423866,-0.45384,-0.238458,-32.1051,4.1535,-27.4828,1148,2020-06-14 11:41:40:767
0.304453,-1.312884,9.401575,0.283143,-1.315996,-0.597283,-0.297131,-0.457035,-0.007353,-32.1051,4.1535,-27.4828,1158,2020-06-14 11:41:40:777
0.591913,-0.953559,8.965594,0.283143,-1.315996,-0.597283,-0.297131,-0.457035,-0.007353,-32.9946,4.5113,-26.7017,1171,2020-06-14 11:41:40:790
0.591913,-0.953559,8.965594,0.283143,-1.315996,-0.597283,-0.297131,-0.457035,-0.007353,-32.9946,4.5113,-26.7017,1178,2020-06-14 11:41:40:797
