ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-4.819522,-3.890442,8.970386,-0.341468,-0.836161,0.746202,-0.476051,0.282075,-0.833793,-20.0762,18.5585,-33.7886,4,2020-06-14 12:27:16:461
-7.092851,-4.450989,8.869775,-3.388928,-0.76791,0.092255,-0.841346,0.25971,-1.046793,-20.0762,18.5585,-33.7886,15,2020-06-14 12:27:16:472
-7.092851,-4.450989,8.869775,-3.388928,-0.76791,0.092255,-0.841346,0.25971,-1.046793,-20.5634,18.9036,-33.3334,25,2020-06-14 12:27:16:482
-7.092851,-4.450989,8.869775,-3.388928,-0.76791,0.092255,-0.841346,0.25971,-1.046793,-20.5634,18.9036,-33.3334,35,2020-06-14 12:27:16:492
-6.702385,-4.601905,10.913136,-3.829548,-0.892278,1.823071,-0.797681,-0.43041,-0.772023,-20.5634,18.9036,-33.3334,45,2020-06-14 12:27:16:502
-6.702385,-4.601905,10.913136,-3.829548,-0.892278,1.823071,-0.797681,-0.43041,-0.772023,-21.1371,19.6597,-33.3118,55,2020-06-14 12:27:16:512
-6.702385,-4.601905,10.913136,-3.829548,-0.892278,1.823071,-0.797681,-0.43041,-0.772023,-21.1371,19.6597,-33.3118,65,2020-06-14 12:27:16:522
-5.351323,-4.082082,12.199519,-2.235401,0.112579,3.686597,-0.626216,-0.34521,-0.768828,-21.1371,19.6597,-33.3118,75,2020-06-14 12:27:16:532
-5.351323,-4.082082,12.199519,-2.235401,0.112579,3.686597,-0.626216,-0.34521,-0.768828,-21.1371,19.6597,-33.3118,84,2020-06-14 12:27:16:541
-5.205197,-3.602982,12.290548,-2.235401,0.112579,3.686597,-0.626216,-0.34521,-0.768828,-22.1825,19.6579,-32.3904,95,2020-06-14 12:27:16:552
-5.205197,-3.602982,12.290548,-2.621906,0.562797,3.884536,-0.626216,-0.34521,-0.768828,-22.1825,19.6579,-32.3904,104,2020-06-14 12:27:16:561
-5.205197,-3.602982,12.290548,-2.621906,0.562797,3.884536,-0.689051,0.03819,-1.089393,-22.1825,19.6579,-32.3904,115,2020-06-14 12:27:16:572
-6.448462,-4.592323,12.709761,-2.621906,0.562797,3.884536,-0.689051,0.03819,-1.089393,-22.1825,19.6579,-32.3904,125,2020-06-14 12:27:16:582
-6.448462,-4.592323,12.709761,-3.840122,-0.426326,4.236336,-0.689051,0.03819,-1.089393,-22.2791,19.4241,-31.4963,134,2020-06-14 12:27:16:591
-6.51314,-5.346906,12.206706,-3.840122,-0.426326,4.236336,-0.444101,0.20007,-0.973308,-22.2791,19.4241,-31.4963,145,2020-06-14 12:27:16:602
-6.51314,-5.346906,12.206706,-3.840122,-0.426326,4.236336,-0.444101,0.20007,-0.973308,-22.2791,19.4241,-31.4963,155,2020-06-14 12:27:16:612
-6.51314,-5.346906,12.206706,-3.586022,-0.413999,3.3843,-0.444101,0.20007,-0.973308,-22.9631,19.3871,-31.9078,166,2020-06-14 12:27:16:623
-6.383783,-4.86541,11.308393,-3.586022,-0.413999,3.3843,-0.415346,0.252255,-0.801843,-22.9631,19.3871,-31.9078,175,2020-06-14 12:27:16:632
-6.383783,-4.86541,11.308393,-3.586022,-0.413999,3.3843,-0.415346,0.252255,-0.801843,-22.9631,19.3871,-31.9078,185,2020-06-14 12:27:16:642
-6.383783,-4.86541,11.308393,-3.586022,-0.413999,3.3843,-0.415346,0.252255,-0.801843,-22.9631,19.3871,-31.9078,195,2020-06-14 12:27:16:652
-6.891629,-5.011536,11.689278,-3.974245,0.037553,3.077123,-0.508001,0.128715,-0.789063,-23.1006,19.1287,-32.1176,205,2020-06-14 12:27:16:662
-6.891629,-5.011536,11.689278,-3.974245,0.037553,3.077123,-0.508001,0.128715,-0.789063,-23.1006,19.1287,-32.1176,215,2020-06-14 12:27:16:672
-6.891629,-5.011536,11.689278,-3.974245,0.037553,3.077123,-0.508001,0.128715,-0.789063,-23.1006,19.1287,-32.1176,225,2020-06-14 12:27:16:682
