sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.0788;0.6218;8.0172;1.7316;-0.4798;-1.3566;-0.5425;0.805;0.5853;-3.54;-36.0;-27.06;4;2020-06-13 12:15:18:670
0.7223;0.6147;8.6489;1.7316;-0.4798;-1.3566;-0.5425;0.805;0.5853;-3.54;-36.0;-27.06;14;2020-06-13 12:15:18:680
0.7223;0.6147;8.6489;2.7125;-0.7516;-0.2865;-0.7648;0.5472;0.6854;-4.14;-35.65;-28.26;24;2020-06-13 12:15:18:690
0.7223;0.6147;8.6489;2.7125;-0.7516;-0.2865;-0.7648;0.5472;0.6854;-4.14;-35.65;-28.26;33;2020-06-13 12:15:18:699
2.2273;-0.7899;9.728;2.7125;-0.7516;-0.2865;-0.7648;0.5472;0.6854;-4.14;-35.65;-28.26;43;2020-06-13 12:15:18:709
2.2273;-0.7899;9.728;3.5662;-2.0731;1.393;-0.7001;0.7011;0.6146;-3.54;-35.13;-29.76;53;2020-06-13 12:15:18:719
2.2273;-0.7899;9.728;3.5662;-2.0731;1.393;-0.7001;0.7011;0.6146;-3.54;-35.13;-29.76;63;2020-06-13 12:15:18:729
2.1245;-1.5508;10.7115;3.5662;-2.0731;1.393;-0.7001;0.7011;0.6146;-3.54;-35.13;-29.76;78;2020-06-13 12:15:18:744
2.1245;-1.5508;10.7115;3.5662;-2.0731;1.393;-0.7001;0.7011;0.6146;-5.04;-33.75;-29.76;83;2020-06-13 12:15:18:749
0.8634;-0.2157;9.3476;2.5333;-1.0329;-0.0667;-0.9823;0.3627;0.4252;-5.04;-33.75;-29.76;93;2020-06-13 12:15:18:759
0.8634;-0.2157;9.3476;2.5333;-1.0329;-0.0667;-0.9823;0.3627;0.4252;-5.04;-33.75;-29.76;104;2020-06-13 12:15:18:770
0.8634;-0.2157;9.3476;2.5333;-1.0329;-0.0667;-0.9823;0.3627;0.4252;-5.04;-33.75;-29.76;113;2020-06-13 12:15:18:779
2.1938;-0.979;11.7452;3.2783;-0.6417;1.7759;-1.4184;0.5631;0.4582;-4.44;-33.05;-30.36;123;2020-06-13 12:15:18:789
2.1938;-0.979;11.7452;3.2783;-0.6417;1.7759;-1.4184;0.5631;0.4582;-4.44;-33.05;-30.36;134;2020-06-13 12:15:18:800
2.1938;-0.979;11.7452;3.2783;-0.6417;1.7759;-1.4184;0.5631;0.4582;-4.44;-33.05;-30.36;144;2020-06-13 12:15:18:810
2.1556;-2.1323;12.0419;3.5113;-1.7521;2.478;-0.7587;-0.1235;0.0892;-3.84;-32.19;-32.46;159;2020-06-13 12:15:18:825
2.1556;-2.1323;12.0419;3.5113;-1.7521;2.478;-0.7587;-0.1235;0.0892;-3.84;-32.19;-32.46;163;2020-06-13 12:15:18:829
2.1556;-2.1323;12.0419;3.5113;-1.7521;2.478;-0.7587;-0.1235;0.0892;-3.84;-32.19;-32.46;173;2020-06-13 12:15:18:839
2.1556;-2.1323;12.0419;3.5113;-1.7521;2.478;-0.7587;-0.1235;0.0892;-3.84;-32.19;-32.46;183;2020-06-13 12:15:18:849
0.8515;-1.0316;10.1013;2.0815;-0.4719;0.5196;-0.5083;-0.297;0.0404;-4.14;-31.84;-32.46;193;2020-06-13 12:15:18:859
0.8515;-1.0316;10.1013;2.0815;-0.4719;0.5196;-0.5083;-0.297;0.0404;-4.14;-31.84;-32.46;203;2020-06-13 12:15:18:869
2.5528;-1.4121;11.8266;2.0815;-0.4719;0.5196;-0.5083;-0.297;0.0404;-4.14;-31.84;-32.46;213;2020-06-13 12:15:18:879
2.5528;-1.4121;11.8266;3.8274;-0.8156;2.3261;-0.8137;0.1709;-0.0171;-4.74;-30.46;-34.26;223;2020-06-13 12:15:18:889
2.5528;-1.4121;11.8266;3.8274;-0.8156;2.3261;-0.8137;0.1709;-0.0171;-4.74;-30.46;-34.26;233;2020-06-13 12:15:18:899
2.1053;-2.0916;12.5181;3.8274;-0.8156;2.3261;-0.8137;0.1709;-0.0171;-4.74;-30.46;-34.26;243;2020-06-13 12:15:18:909
2.1053;-2.0916;12.5181;2.8581;-1.1016;3.6685;-0.4191;0.2479;-0.4007;-3.54;-30.28;-35.16;254;2020-06-13 12:15:18:920
2.1053;-2.0916;12.5181;2.8581;-1.1016;3.6685;-0.4191;0.2479;-0.4007;-3.54;-30.28;-35.16;263;2020-06-13 12:15:18:929
1.5909;-1.5748;14.8319;2.8581;-1.1016;3.6685;-0.4191;0.2479;-0.4007;-3.54;-30.28;-35.16;273;2020-06-13 12:15:18:939
1.5909;-1.5748;14.8319;2.4669;0.0785;5.7543;-0.4191;0.2479;-0.4007;-3.54;-30.28;-35.16;283;2020-06-13 12:15:18:949
1.5909;-1.5748;14.8319;2.4669;0.0785;5.7543;0.3677;-0.5267;-0.6707;-3.54;-29.94;-34.56;294;2020-06-13 12:15:18:960
0.9544;-0.2922;14.5783;2.4669;0.0785;5.7543;0.3677;-0.5267;-0.6707;-3.54;-29.94;-34.56;303;2020-06-13 12:15:18:969
0.9544;-0.2922;14.5783;1.9837;0.8084;4.6758;0.3677;-0.5267;-0.6707;-3.54;-29.94;-34.56;314;2020-06-13 12:15:18:980
1.4401;-0.2922;13.8365;1.9837;0.8084;4.6758;0.3249;-0.8517;-0.6902;-4.44;-31.32;-33.36;331;2020-06-13 12:15:18:997
1.4401;-0.2922;13.8365;1.9837;0.8084;4.6758;0.3249;-0.8517;-0.6902;-4.44;-31.32;-33.36;333;2020-06-13 12:15:18:999
1.4401;-0.2922;13.8365;1.8134;0.6056;4.3423;0.3249;-0.8517;-0.6902;-4.44;-31.32;-33.36;343;2020-06-13 12:15:19:009
1.4401;-0.2922;13.8365;1.8134;0.6056;4.3423;0.3249;-0.8517;-0.6902;-4.44;-31.32;-33.36;353;2020-06-13 12:15:19:019
0.684;-0.4836;14.6429;1.8134;0.6056;4.3423;-0.2505;-0.4448;-0.722;-3.54;-30.8;-33.66;363;2020-06-13 12:15:19:029
0.684;-0.4836;14.6429;0.8212;0.4708;5.5532;-0.2505;-0.4448;-0.722;-3.54;-30.8;-33.66;373;2020-06-13 12:15:19:039
0.684;-0.4836;14.6429;0.8212;0.4708;5.5532;-0.2505;-0.4448;-0.722;-3.54;-30.8;-33.66;383;2020-06-13 12:15:19:049
0.2915;-0.7971;15.9829;0.8212;0.4708;5.5532;-0.446;-0.2713;-0.5461;-3.54;-30.8;-34.26;393;2020-06-13 12:15:19:059
0.2915;-0.7971;15.9829;0.8212;0.4708;5.5532;-0.446;-0.2713;-0.5461;-3.54;-30.8;-34.26;404;2020-06-13 12:15:19:070
-0.4072;-0.486;16.5237;0.4515;0.4903;6.4313;-0.446;-0.2713;-0.5461;-3.54;-30.8;-34.26;414;2020-06-13 12:15:19:080
-0.4072;-0.486;16.5237;0.4515;0.4903;6.4313;-0.1576;-0.5401;-0.4996;-3.54;-30.8;-34.26;423;2020-06-13 12:15:19:089
-0.4072;-0.486;16.5237;0.4515;0.4903;6.4313;-0.1576;-0.5401;-0.4996;-2.94;-29.94;-34.56;434;2020-06-13 12:15:19:100
