sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.045;0.569;4.397;1.813;-1.864;-5.058;1.633;0.323;0.439;4.0;-42.6;-20.5;4;2020-06-14 09:47:06:988
1.045;0.569;4.397;1.813;-1.864;-5.058;1.633;0.323;0.439;4.0;-42.6;-20.5;14;2020-06-14 09:47:06:998
-0.438;0.165;2.16;0.731;-2.836;-6.883;0.742;-0.6;0.082;4.0;-42.6;-20.5;24;2020-06-14 09:47:07:008
-0.438;0.165;2.16;0.731;-2.836;-6.883;0.742;-0.6;0.082;2.2;-42.7;-19.6;34;2020-06-14 09:47:07:018
-0.438;0.165;2.16;-0.898;-3.178;-6.531;0.742;-0.6;0.082;2.2;-42.7;-19.6;45;2020-06-14 09:47:07:029
-1.388;-0.309;3.705;-0.898;-3.178;-6.531;-0.154;-0.581;-0.063;2.2;-42.7;-19.6;56;2020-06-14 09:47:07:040
-1.388;-0.309;3.705;-0.898;-3.178;-6.531;-0.154;-0.581;-0.063;2.5;-42.9;-18.1;64;2020-06-14 09:47:07:048
-1.388;-0.309;3.705;-1.335;-2.942;-4.667;-0.154;-0.581;-0.063;2.5;-42.9;-18.1;74;2020-06-14 09:47:07:058
-1.606;0.172;4.957;-1.335;-2.942;-4.667;-0.154;-0.581;-0.063;2.5;-42.9;-18.1;85;2020-06-14 09:47:07:069
-1.606;0.172;4.957;-1.335;-2.942;-4.667;0.177;-0.787;0.248;1.6;-43.4;-19.0;97;2020-06-14 09:47:07:081
-0.304;-0.354;4.629;-0.296;-3.406;-4.851;0.177;-0.787;0.248;1.6;-43.4;-19.0;104;2020-06-14 09:47:07:088
-0.304;-0.354;4.629;-0.296;-3.406;-4.851;0.177;-0.787;0.248;1.6;-43.4;-19.0;115;2020-06-14 09:47:07:099
-0.304;-0.354;4.629;-0.296;-3.406;-4.851;0.849;-1.088;0.742;1.6;-43.4;-19.0;126;2020-06-14 09:47:07:110
0.258;-0.888;1.243;-0.072;-4.122;-8.108;0.849;-1.088;0.742;-0.2;-43.1;-16.6;134;2020-06-14 09:47:07:118
0.258;-0.888;1.243;-0.072;-4.122;-8.108;0.849;-1.088;0.742;-0.2;-43.1;-16.6;144;2020-06-14 09:47:07:128
0.258;-0.888;1.243;-0.072;-4.122;-8.108;0.282;-0.747;0.667;-0.2;-43.1;-16.6;155;2020-06-14 09:47:07:139
0.265;-0.697;0.159;-0.661;-3.93;-9.129;0.282;-0.747;0.667;-0.5;-44.0;-17.5;165;2020-06-14 09:47:07:149
0.265;-0.697;0.159;-0.661;-3.93;-9.129;0.282;-0.747;0.667;-0.5;-44.0;-17.5;175;2020-06-14 09:47:07:159
0.603;-0.259;1.576;-0.661;-3.93;-9.129;-0.489;-0.475;0.543;-0.5;-44.0;-17.5;184;2020-06-14 09:47:07:168
0.603;-0.259;1.576;0.11;-3.575;-6.781;-0.489;-0.475;0.543;-0.5;-44.0;-17.5;194;2020-06-14 09:47:07:178
