sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.464;0.024;2.758;2.85;-2.061;-6.568;-0.115;-0.458;0.062;-2.0;-40.8;-22.9;4;2020-06-14 10:04:01:753
2.464;0.024;2.758;2.35;-2.36;-5.135;-0.325;0.047;-0.096;-1.4;-40.3;-22.0;14;2020-06-14 10:04:01:763
1.813;-0.972;5.419;2.35;-2.36;-5.135;-0.325;0.047;-0.096;-1.4;-40.3;-22.0;27;2020-06-14 10:04:01:776
1.813;-0.972;5.419;2.35;-2.36;-5.135;-0.325;0.047;-0.096;-1.4;-40.3;-22.0;34;2020-06-14 10:04:01:783
1.813;-0.972;5.419;2.059;-3.392;-3.583;-0.325;0.047;-0.096;-1.4;-40.8;-23.5;44;2020-06-14 10:04:01:793
1.074;-1.553;5.579;2.059;-3.392;-3.583;-0.147;-0.095;-0.236;-1.4;-40.8;-23.5;54;2020-06-14 10:04:01:803
1.074;-1.553;5.579;2.059;-3.392;-3.583;-0.147;-0.095;-0.236;-1.4;-40.8;-23.5;64;2020-06-14 10:04:01:813
1.074;-1.553;5.579;0.394;-2.807;-4.461;0.125;-0.029;-0.247;-1.4;-40.8;-23.5;75;2020-06-14 10:04:01:824
0.239;-0.752;4.438;0.394;-2.807;-4.461;0.125;-0.029;-0.247;-1.4;-40.0;-22.0;84;2020-06-14 10:04:01:833
0.239;-0.752;4.438;0.394;-2.807;-4.461;0.125;-0.029;-0.247;-1.4;-40.0;-22.0;94;2020-06-14 10:04:01:843
0.239;-0.752;4.438;0.394;-2.807;-4.461;0.125;-0.029;-0.247;-1.4;-40.0;-22.0;104;2020-06-14 10:04:01:853
2.05;-1.503;5.184;1.909;-3.065;-4.483;-0.224;0.155;-0.185;-1.7;-39.8;-22.9;114;2020-06-14 10:04:01:863
2.05;-1.503;5.184;1.909;-3.065;-4.483;-0.224;0.155;-0.185;-1.7;-39.8;-22.9;124;2020-06-14 10:04:01:873
2.05;-1.503;5.184;1.856;-4.686;-1.417;-0.224;0.155;-0.185;-1.7;-39.8;-22.9;134;2020-06-14 10:04:01:883
1.072;-3.049;8.28;1.856;-4.686;-1.417;-0.93;-0.453;-0.699;-0.5;-39.6;-23.2;144;2020-06-14 10:04:01:893
1.072;-3.049;8.28;1.856;-4.686;-1.417;-0.93;-0.453;-0.699;-0.5;-39.6;-23.2;154;2020-06-14 10:04:01:903
1.072;-3.049;8.28;-2.149;-0.639;-0.383;-0.93;-0.453;-0.699;-0.5;-39.6;-23.2;164;2020-06-14 10:04:01:913
-2.836;1.792;9.101;-2.149;-0.639;-0.383;-1.432;-0.065;-0.92;-0.5;-39.6;-23.2;175;2020-06-14 10:04:01:924
