sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.079;2.041;9.372;0.289;-0.5;-0.828;0.263;0.206;-0.008;-2.6;-41.9;-21.7;6;2020-06-14 10:20:57:680
-0.072;1.852;7.854;0.289;-0.5;-0.828;0.263;0.206;-0.008;-3.5;-41.2;-20.5;16;2020-06-14 10:20:57:690
-0.072;1.852;7.854;0.289;-0.5;-0.828;0.333;0.183;-0.08;-3.5;-41.2;-20.5;24;2020-06-14 10:20:57:698
-0.072;1.852;7.854;0.224;-0.966;-2.057;0.333;0.183;-0.08;-3.5;-41.2;-20.5;34;2020-06-14 10:20:57:708
-0.431;1.409;6.615;0.224;-0.966;-2.057;0.333;0.183;-0.08;-2.3;-42.4;-20.2;45;2020-06-14 10:20:57:719
-0.431;1.409;6.615;0.224;-0.966;-2.057;0.326;0.24;-0.136;-2.3;-42.4;-20.2;56;2020-06-14 10:20:57:730
-0.431;1.409;6.615;-0.338;-1.561;-3.934;0.326;0.24;-0.136;-2.3;-42.4;-20.2;64;2020-06-14 10:20:57:738
-1.149;0.942;4.703;-0.338;-1.561;-3.934;0.326;0.24;-0.136;-2.3;-42.4;-20.2;75;2020-06-14 10:20:57:749
-1.149;0.942;4.703;-0.338;-1.561;-3.934;0.326;0.24;-0.136;-3.8;-41.5;-20.5;84;2020-06-14 10:20:57:758
-1.149;0.942;4.703;-0.811;-1.938;-5.374;0.036;0.147;0.025;-3.8;-41.5;-20.5;94;2020-06-14 10:20:57:768
-1.221;0.519;3.703;-0.811;-1.938;-5.374;0.036;0.147;0.025;-3.8;-41.5;-20.5;104;2020-06-14 10:20:57:778
-1.221;0.519;3.703;-0.154;-2.281;-5.654;0.036;0.147;0.025;-1.1;-42.2;-19.9;114;2020-06-14 10:20:57:788
-1.221;0.519;3.703;-0.154;-2.281;-5.654;-0.212;0.153;0.195;-1.1;-42.2;-19.9;125;2020-06-14 10:20:57:799
-0.333;0.442;3.748;-0.154;-2.281;-5.654;-0.212;0.153;0.195;-1.1;-42.2;-19.9;134;2020-06-14 10:20:57:808
-0.333;0.442;3.748;-0.044;-2.052;-5.367;-0.212;0.153;0.195;-3.5;-41.4;-19.6;144;2020-06-14 10:20:57:818
-0.333;0.442;3.748;-0.044;-2.052;-5.367;-0.086;0.136;0.012;-3.5;-41.4;-19.6;154;2020-06-14 10:20:57:828
-1.032;0.485;3.756;-0.044;-2.052;-5.367;-0.086;0.136;0.012;-3.5;-41.4;-19.6;165;2020-06-14 10:20:57:839
-1.032;0.485;3.756;-0.994;-2.126;-5.863;-0.086;0.136;0.012;-3.5;-41.4;-19.6;175;2020-06-14 10:20:57:849
-1.032;0.485;3.756;-0.994;-2.126;-5.863;-0.086;0.136;0.012;-2.3;-42.4;-19.6;184;2020-06-14 10:20:57:858
-1.783;0.457;2.724;-0.994;-2.126;-5.863;0.031;-0.179;0.063;-2.3;-42.4;-19.6;194;2020-06-14 10:20:57:868
-1.783;0.457;2.724;-0.994;-2.126;-5.863;0.031;-0.179;0.063;-2.3;-42.4;-19.6;204;2020-06-14 10:20:57:878
-0.718;1.577;1.994;-0.302;-1.392;-7.123;0.031;-0.179;0.063;-3.2;-40.8;-21.1;214;2020-06-14 10:20:57:888
-0.718;1.577;1.994;-0.302;-1.392;-7.123;-0.471;-0.247;0.323;-3.2;-40.8;-21.1;225;2020-06-14 10:20:57:899
-0.718;1.577;1.994;-0.302;-1.392;-7.123;-0.471;-0.247;0.323;-3.2;-40.8;-21.1;235;2020-06-14 10:20:57:909
-0.716;1.325;3.732;-0.304;-1.06;-5.446;-0.471;-0.247;0.323;-4.1;-41.4;-22.6;244;2020-06-14 10:20:57:918
-0.716;1.325;3.732;-0.304;-1.06;-5.446;-0.823;-0.598;0.525;-4.1;-41.4;-22.6;254;2020-06-14 10:20:57:928
-0.716;1.325;3.732;-0.304;-1.06;-5.446;-0.823;-0.598;0.525;-4.1;-41.4;-22.6;264;2020-06-14 10:20:57:938
1.356;-0.039;6.098;1.509;-2.189;-3.109;-0.823;-0.598;0.525;-4.1;-41.4;-22.6;274;2020-06-14 10:20:57:948
1.356;-0.039;6.098;1.509;-2.189;-3.109;-0.514;-1.47;0.425;-5.6;-39.8;-22.9;285;2020-06-14 10:20:57:959
1.356;-0.039;6.098;1.509;-2.189;-3.109;-0.514;-1.47;0.425;-5.6;-39.8;-22.9;294;2020-06-14 10:20:57:968
5.709;0.263;1.389;5.443;-1.712;-7.81;-0.514;-1.47;0.425;-5.6;-39.8;-22.9;304;2020-06-14 10:20:57:978
5.709;0.263;1.389;5.443;-1.712;-7.81;-0.514;-1.47;0.425;-5.6;-39.8;-22.9;314;2020-06-14 10:20:57:988
2.73;0.249;5.758;5.443;-1.712;-7.81;-2.007;-0.717;-0.246;-5.6;-39.3;-24.4;324;2020-06-14 10:20:57:998
2.73;0.249;5.758;1.523;-1.237;-1.072;-2.007;-0.717;-0.246;-5.6;-39.3;-24.4;334;2020-06-14 10:20:58:008
2.73;0.249;5.758;1.523;-1.237;-1.072;-2.007;-0.717;-0.246;-5.6;-39.3;-24.4;344;2020-06-14 10:20:58:018
0.734;0.438;17.098;1.523;-1.237;-1.072;-2.246;0.774;0.243;-5.9;-38.2;-25.6;354;2020-06-14 10:20:58:028
0.734;0.438;17.098;0.989;-0.71;8.199;-2.246;0.774;0.243;-5.9;-38.2;-25.6;364;2020-06-14 10:20:58:038
