sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.117;-0.697;9.048;1.772;-0.99;-2.737;-0.634;0.169;0.007;-7.6;-37.0;-21.1;6;2020-06-14 20:25:27:836
2.117;-0.697;9.048;1.772;-0.99;-2.737;-0.634;0.169;0.007;-5.5;-36.7;-21.1;17;2020-06-14 20:25:27:847
2.117;-0.697;9.048;3.216;-2.197;4.512;-0.374;1.224;-0.041;-5.5;-36.7;-21.1;26;2020-06-14 20:25:27:856
0.885;-0.57;16.593;3.216;-2.197;4.512;-0.374;1.224;-0.041;-5.5;-36.7;-21.1;36;2020-06-14 20:25:27:866
0.885;-0.57;16.593;3.216;-2.197;4.512;-0.374;1.224;-0.041;-5.5;-36.7;-21.1;46;2020-06-14 20:25:27:876
0.885;-0.57;16.593;-0.178;-0.093;5.064;0.205;0.428;-0.421;-4.3;-36.7;-21.1;56;2020-06-14 20:25:27:886
-1.029;1.21;13.238;-0.178;-0.093;5.064;0.205;0.428;-0.421;-4.3;-36.7;-21.1;65;2020-06-14 20:25:27:895
-1.029;1.21;13.238;-0.178;-0.093;5.064;0.205;0.428;-0.421;-4.3;-36.7;-21.1;75;2020-06-14 20:25:27:905
-1.029;1.21;13.238;0.657;-0.047;6.322;-0.613;0.265;-0.228;-4.9;-36.5;-21.4;86;2020-06-14 20:25:27:916
-0.199;0.45;16.583;0.657;-0.047;6.322;-0.613;0.265;-0.228;-4.9;-36.5;-21.4;96;2020-06-14 20:25:27:926
-0.199;0.45;16.583;0.657;-0.047;6.322;-0.613;0.265;-0.228;-4.9;-36.5;-21.4;105;2020-06-14 20:25:27:935
-0.199;0.45;16.583;0.657;-0.047;6.322;-0.613;0.265;-0.228;-2.8;-36.8;-22.6;116;2020-06-14 20:25:27:946
-1.826;1.701;19.539;-0.686;0.982;9.953;0.275;0.475;-0.642;-2.8;-36.8;-22.6;125;2020-06-14 20:25:27:955
-1.826;1.701;19.539;-0.686;0.982;9.953;0.275;0.475;-0.642;-2.8;-36.8;-22.6;136;2020-06-14 20:25:27:966
-3.719;4.426;15.844;-0.686;0.982;9.953;0.275;0.475;-0.642;-3.4;-37.0;-22.3;146;2020-06-14 20:25:27:976
-3.719;4.426;15.844;-2.058;3.449;5.958;-0.095;-0.065;-0.223;-3.4;-37.0;-22.3;156;2020-06-14 20:25:27:986
-3.719;4.426;15.844;-2.058;3.449;5.958;-0.095;-0.065;-0.223;-3.4;-37.0;-22.3;166;2020-06-14 20:25:27:996
0.562;2.366;15.167;-2.058;3.449;5.958;-0.095;-0.065;-0.223;-1.9;-36.8;-21.4;175;2020-06-14 20:25:28:005
0.562;2.366;15.167;2.087;1.561;4.807;-0.068;-0.348;-0.04;-1.9;-36.8;-21.4;186;2020-06-14 20:25:28:016
0.562;2.366;15.167;2.087;1.561;4.807;-0.068;-0.348;-0.04;-1.9;-36.8;-21.4;196;2020-06-14 20:25:28:026
1.16;2.282;13.683;2.087;1.561;4.807;-0.068;-0.348;-0.04;-1.9;-36.8;-21.4;206;2020-06-14 20:25:28:036
1.16;2.282;13.683;2.087;1.561;4.807;-0.068;-0.348;-0.04;-4.0;-36.8;-20.8;216;2020-06-14 20:25:28:046
1.16;2.282;13.683;1.013;2.118;4.354;0.195;-0.182;-0.36;-4.0;-36.8;-20.8;225;2020-06-14 20:25:28:055
-1.891;2.014;14.614;1.013;2.118;4.354;0.195;-0.182;-0.36;-4.0;-36.8;-20.8;236;2020-06-14 20:25:28:066
-1.891;2.014;14.614;1.013;2.118;4.354;0.195;-0.182;-0.36;-4.0;-36.8;-20.8;246;2020-06-14 20:25:28:076
-1.891;2.014;14.614;0.829;1.293;3.654;0.506;-0.38;-0.402;-2.8;-37.4;-21.1;255;2020-06-14 20:25:28:085
