sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.031;0.703;9.881;0.106;-0.404;1.812;1.748;0.014;0.579;-13.0;-34.6;-21.1;5;2020-06-14 20:26:34:709
-0.031;0.703;9.881;0.26;-0.625;-1.788;1.748;0.014;0.579;-13.0;-34.6;-21.1;15;2020-06-14 20:26:34:719
-0.031;0.703;9.881;0.26;-0.625;-1.788;1.748;0.014;0.579;-13.0;-34.6;-21.1;25;2020-06-14 20:26:34:729
0.026;-0.141;4.787;0.732;-2.336;-5.44;1.423;0.254;0.644;-12.7;-36.1;-18.4;35;2020-06-14 20:26:34:739
0.026;-0.141;4.787;0.732;-2.336;-5.44;1.423;0.254;0.644;-12.7;-36.1;-18.4;45;2020-06-14 20:26:34:749
1.06;-0.855;4.193;0.732;-2.336;-5.44;1.423;0.254;0.644;-12.7;-36.1;-18.4;55;2020-06-14 20:26:34:759
1.06;-0.855;4.193;1.223;-2.753;-5.544;1.423;0.254;0.644;-15.1;-36.0;-18.7;65;2020-06-14 20:26:34:769
1.06;-0.855;4.193;1.223;-2.753;-5.544;1.014;0.106;0.401;-15.1;-36.0;-18.7;74;2020-06-14 20:26:34:778
0.653;-0.149;4.981;1.223;-2.753;-5.544;1.014;0.106;0.401;-15.1;-36.0;-18.7;84;2020-06-14 20:26:34:788
0.653;-0.149;4.981;1.187;-2.047;-4.374;1.014;0.106;0.401;-15.4;-36.0;-18.1;95;2020-06-14 20:26:34:799
0.653;-0.149;4.981;1.187;-2.047;-4.374;1.087;0.259;0.216;-15.4;-36.0;-18.1;104;2020-06-14 20:26:34:808
1.186;-0.041;5.179;1.187;-2.047;-4.374;1.087;0.259;0.216;-15.4;-36.0;-18.1;115;2020-06-14 20:26:34:819
1.186;-0.041;5.179;1.187;-2.047;-4.374;1.087;0.259;0.216;-15.4;-36.0;-18.1;125;2020-06-14 20:26:34:829
1.186;-0.041;5.179;1.298;-2.42;-4.638;1.139;0.392;-0.046;-15.4;-36.7;-15.7;135;2020-06-14 20:26:34:839
0.773;0.399;4.382;1.298;-2.42;-4.638;1.139;0.392;-0.046;-15.4;-36.7;-15.7;145;2020-06-14 20:26:34:849
0.773;0.399;4.382;1.298;-2.42;-4.638;1.139;0.392;-0.046;-15.4;-36.7;-15.7;155;2020-06-14 20:26:34:859
0.773;0.399;4.382;0.929;-2.29;-6.083;1.139;0.392;-0.046;-14.5;-37.7;-14.5;165;2020-06-14 20:26:34:869
0.351;0.701;3.21;0.929;-2.29;-6.083;0.76;0.266;-0.211;-14.5;-37.7;-14.5;174;2020-06-14 20:26:34:878
0.351;0.701;3.21;0.929;-2.29;-6.083;0.76;0.266;-0.211;-14.5;-37.7;-14.5;185;2020-06-14 20:26:34:889
0.351;0.701;3.21;1.162;-2.232;-5.983;0.76;0.266;-0.211;-14.5;-37.7;-14.5;195;2020-06-14 20:26:34:899
0.744;0.911;3.76;1.162;-2.232;-5.983;0.299;0.307;-0.359;-15.1;-38.2;-13.0;205;2020-06-14 20:26:34:909
0.744;0.911;3.76;1.314;-2.114;-4.556;0.299;0.307;-0.359;-15.1;-38.2;-13.0;215;2020-06-14 20:26:34:919
0.507;0.95;4.751;1.314;-2.114;-4.556;0.299;0.307;-0.359;-15.1;-38.2;-13.0;225;2020-06-14 20:26:34:929
0.507;0.95;4.751;1.314;-2.114;-4.556;0.129;-0.001;-0.518;-13.9;-38.4;-14.5;235;2020-06-14 20:26:34:939
0.507;0.95;4.751;1.314;-2.123;-4.688;0.129;-0.001;-0.518;-13.9;-38.4;-14.5;245;2020-06-14 20:26:34:949
0.313;1.153;4.256;0.964;-2.123;-4.688;0.129;-0.001;-0.518;-13.9;-38.4;-14.5;255;2020-06-14 20:26:34:959
0.313;1.153;4.256;0.964;-2.123;-4.688;0.129;-0.001;-0.518;-12.4;-38.6;-13.6;265;2020-06-14 20:26:34:969
0.313;1.153;4.256;0.964;-2.123;-4.688;-0.067;-0.187;-0.469;-12.4;-38.6;-13.6;275;2020-06-14 20:26:34:979
0.158;1.213;3.801;0.798;-1.867;-5.44;-0.067;-0.187;-0.469;-12.4;-38.6;-13.6;285;2020-06-14 20:26:34:989
0.158;1.213;3.801;0.798;-1.867;-5.44;-0.067;-0.187;-0.469;-12.4;-38.6;-13.6;295;2020-06-14 20:26:34:999
0.325;1.014;3.779;0.798;-1.867;-5.44;-0.249;-0.27;-0.423;-12.7;-38.2;-13.6;305;2020-06-14 20:26:35:009
0.325;1.014;3.779;0.904;-1.958;-5.547;-0.249;-0.27;-0.423;-12.7;-38.2;-13.6;315;2020-06-14 20:26:35:019
0.325;1.014;3.779;0.904;-1.958;-5.547;-0.249;-0.27;-0.423;-12.7;-38.2;-13.6;325;2020-06-14 20:26:35:029
-0.268;0.954;4.189;0.904;-1.958;-5.547;-0.484;-0.401;-0.337;-11.5;-39.4;-15.7;334;2020-06-14 20:26:35:038
-0.268;0.954;4.189;0.102;-1.913;-4.805;-0.484;-0.401;-0.337;-11.5;-39.4;-15.7;344;2020-06-14 20:26:35:048
-0.268;0.954;4.189;0.102;-1.913;-4.805;-0.484;-0.401;-0.337;-11.5;-39.4;-15.7;355;2020-06-14 20:26:35:059
-1.697;1.093;5.208;-1.398;-1.51;-4.263;-0.583;-1.013;0.087;-11.5;-39.4;-15.7;365;2020-06-14 20:26:35:069
-1.697;1.093;5.208;-1.398;-1.51;-4.263;-0.583;-1.013;0.087;-11.8;-38.2;-16.6;375;2020-06-14 20:26:35:079
-1.697;1.093;5.208;-1.398;-1.51;-4.263;-0.583;-1.013;0.087;-11.8;-38.2;-16.6;385;2020-06-14 20:26:35:089
-0.359;1.56;2.973;0.017;-0.874;-6.371;-0.963;-1.312;0.532;-11.8;-38.2;-16.6;395;2020-06-14 20:26:35:099
-0.359;1.56;2.973;0.017;-0.874;-6.371;-0.963;-1.312;0.532;-12.7;-38.0;-14.5;405;2020-06-14 20:26:35:109
-0.359;1.56;2.973;0.017;-0.874;-6.371;-0.963;-1.312;0.532;-12.7;-38.0;-14.5;414;2020-06-14 20:26:35:118
1.811;1.421;5.153;0.017;-0.874;-6.371;-0.963;-1.312;0.532;-12.7;-38.0;-14.5;424;2020-06-14 20:26:35:128
1.811;1.421;5.153;2.017;-1.058;-3.485;-1.332;-0.628;0.51;-12.7;-38.0;-14.5;435;2020-06-14 20:26:35:139
1.581;0.574;7.144;2.017;-1.058;-3.485;-1.332;-0.628;0.51;-13.6;-37.2;-16.6;445;2020-06-14 20:26:35:149
1.581;0.574;7.144;0.198;-1.135;-0.953;-1.332;-0.628;0.51;-13.6;-37.2;-16.6;455;2020-06-14 20:26:35:159
1.581;0.574;7.144;0.198;-1.135;-0.953;-1.205;0.13;-0.091;-13.6;-37.2;-16.6;465;2020-06-14 20:26:35:169
-0.055;0.335;9.809;0.198;-1.135;-0.953;-1.205;0.13;-0.091;-14.5;-36.3;-17.5;475;2020-06-14 20:26:35:179
-0.055;0.335;9.809;-0.485;-1.211;0.584;-1.205;0.13;-0.091;-14.5;-36.3;-17.5;485;2020-06-14 20:26:35:189
-0.055;0.335;9.809;-0.485;-1.211;0.584;-1.064;0.001;-0.204;-14.5;-36.3;-17.5;495;2020-06-14 20:26:35:199
0.38;0.074;10.058;-0.485;-1.211;0.584;-1.064;0.001;-0.204;-13.6;-36.0;-19.9;505;2020-06-14 20:26:35:209
0.38;0.074;10.058;0.282;-1.125;0.6;-1.064;0.001;-0.204;-13.6;-36.0;-19.9;515;2020-06-14 20:26:35:219
0.38;0.074;10.058;0.282;-1.125;0.6;-1.064;0.001;-0.204;-13.6;-36.0;-19.9;525;2020-06-14 20:26:35:229
