sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.433;0.251;17.256;0.876;1.306;8.035;-0.731;0.186;-0.416;-5.2;-28.8;-31.2;5;2020-06-14 21:11:00:327
1.433;0.251;17.256;0.876;1.306;8.035;-0.44;0.381;-0.653;-5.2;-28.8;-31.2;15;2020-06-14 21:11:00:337
1.06;-0.132;17.476;0.665;1.164;7.726;-0.44;0.381;-0.653;-5.2;-28.8;-31.2;25;2020-06-14 21:11:00:347
1.06;-0.132;17.476;0.665;1.164;7.726;-0.44;0.381;-0.653;-4.3;-28.7;-30.9;35;2020-06-14 21:11:00:357
1.06;-0.132;17.476;0.665;1.164;7.726;-0.44;0.381;-0.653;-4.3;-28.7;-30.9;45;2020-06-14 21:11:00:367
1.091;-0.57;16.66;0.788;0.778;6.858;-0.15;0.469;-0.829;-4.3;-28.7;-30.9;55;2020-06-14 21:11:00:377
1.091;-0.57;16.66;0.788;0.778;6.858;-0.15;0.469;-0.829;-3.1;-28.5;-31.8;65;2020-06-14 21:11:00:387
0.653;-0.639;16.641;0.788;0.778;6.858;0.107;0.605;-0.969;-3.1;-28.5;-31.8;75;2020-06-14 21:11:00:397
0.653;-0.639;16.641;0.327;0.613;7.255;0.107;0.605;-0.969;-3.1;-28.5;-31.8;85;2020-06-14 21:11:00:407
0.653;-0.639;16.641;0.327;0.613;7.255;0.107;0.605;-0.969;-3.1;-28.5;-31.8;94;2020-06-14 21:11:00:416
0.72;-0.986;18.258;0.327;0.613;7.255;0.107;0.605;-0.969;-1.6;-29.0;-32.1;104;2020-06-14 21:11:00:426
0.72;-0.986;18.258;0.846;0.141;8.19;0.476;0.577;-0.882;-1.6;-29.0;-32.1;114;2020-06-14 21:11:00:436
0.72;-0.986;18.258;0.846;0.141;8.19;0.476;0.577;-0.882;-1.6;-29.0;-32.1;125;2020-06-14 21:11:00:447
1.227;-1.254;17.347;0.846;0.141;8.19;0.476;0.577;-0.882;-0.1;-29.0;-30.9;135;2020-06-14 21:11:00:457
1.227;-1.254;17.347;1.195;-0.171;7.289;0.493;0.507;-0.932;-0.1;-29.0;-30.9;145;2020-06-14 21:11:00:467
1.227;-1.254;17.347;1.195;-0.171;7.289;0.493;0.507;-0.932;-0.1;-29.0;-30.9;155;2020-06-14 21:11:00:477
0.816;-1.149;17.471;1.195;-0.171;7.289;0.493;0.507;-0.932;0.5;-30.1;-30.9;165;2020-06-14 21:11:00:487
0.816;-1.149;17.471;1.29;-0.465;7.14;0.524;0.244;-0.883;0.5;-30.1;-30.9;174;2020-06-14 21:11:00:496
0.816;-1.149;17.471;1.29;-0.465;7.14;0.524;0.244;-0.883;0.5;-30.1;-30.9;185;2020-06-14 21:11:00:507
